epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0                   ,0                   ,0.27975             ,0.28016             ,2904                ,918                 ,0.98851             
100                 ,0                   ,0                   ,0.1484              ,0.14809             ,2899                ,918                 ,1.00861             
150                 ,0.03277             ,0.03714             ,0.13413             ,0.13339             ,2898                ,913                 ,1.01372             
200                 ,0.03965             ,0.04499             ,0.13365             ,0.13285             ,2898                ,904                 ,1.01453             
250                 ,0.04668             ,0.0527              ,0.13316             ,0.13231             ,2899                ,894                 ,1.01506             
300                 ,0.05506             ,0.06176             ,0.13258             ,0.13168             ,2899                ,880                 ,1.01566             
350                 ,0.06515             ,0.07253             ,0.13187             ,0.13092             ,2899                ,863                 ,1.0163              
400                 ,0.07698             ,0.0852              ,0.13103             ,0.13002             ,2900                ,843                 ,1.017               
450                 ,0.08989             ,0.09939             ,0.13011             ,0.12901             ,2901                ,822                 ,1.0178              
500                 ,0.10349             ,0.11459             ,0.12913             ,0.12791             ,2902                ,799                 ,1.01867             
550                 ,0.1179              ,0.13071             ,0.12809             ,0.12674             ,2902                ,776                 ,1.01959             
600                 ,0.13304             ,0.14762             ,0.12699             ,0.12551             ,2903                ,752                 ,1.02056             
650                 ,0.14831             ,0.16421             ,0.12586             ,0.12428             ,2905                ,728                 ,1.02155             
700                 ,0.16349             ,0.18083             ,0.12474             ,0.12304             ,2905                ,704                 ,1.02256             
750                 ,0.17879             ,0.19748             ,0.12359             ,0.12178             ,2905                ,681                 ,1.02355             
800                 ,0.19334             ,0.21335             ,0.12249             ,0.12057             ,2905                ,659                 ,1.0246              
850                 ,0.20868             ,0.23006             ,0.12132             ,0.11928             ,2905                ,638                 ,1.02562             
900                 ,0.22494             ,0.24765             ,0.12007             ,0.11791             ,2905                ,616                 ,1.02662             
950                 ,0.24187             ,0.26587             ,0.11875             ,0.11647             ,2905                ,594                 ,1.02756             
1000                ,0.25803             ,0.28316             ,0.11748             ,0.1151              ,2905                ,573                 ,1.02845             
1050                ,0.27303             ,0.29902             ,0.11628             ,0.11381             ,2905                ,553                 ,1.02926             
1100                ,0.28602             ,0.3126              ,0.11524             ,0.11271             ,2905                ,534                 ,1.03                
1150                ,0.2971              ,0.32408             ,0.11434             ,0.11176             ,2905                ,517                 ,1.03062             
1200                ,0.30707             ,0.33437             ,0.11353             ,0.11091             ,2905                ,502                 ,1.03111             
1250                ,0.31626             ,0.34374             ,0.11277             ,0.11012             ,2905                ,487                 ,1.03148             
1300                ,0.32466             ,0.35231             ,0.11208             ,0.1094              ,2905                ,472                 ,1.03174             
1350                ,0.33208             ,0.35984             ,0.11146             ,0.10877             ,2905                ,459                 ,1.03185             
1400                ,0.33862             ,0.36643             ,0.11091             ,0.1082              ,2905                ,447                 ,1.03182             
1450                ,0.34433             ,0.37213             ,0.11043             ,0.10772             ,2905                ,437                 ,1.03167             
1500                ,0.34914             ,0.37687             ,0.11003             ,0.10731             ,2905                ,428                 ,1.03144             
1550                ,0.3533              ,0.38097             ,0.10968             ,0.10696             ,2905                ,421                 ,1.03113             
1600                ,0.35696             ,0.38456             ,0.10937             ,0.10664             ,2905                ,415                 ,1.03078             
1650                ,0.36033             ,0.38787             ,0.10908             ,0.10636             ,2905                ,410                 ,1.03042             
1700                ,0.36351             ,0.39097             ,0.10881             ,0.10609             ,2905                ,407                 ,1.03006             
1750                ,0.36658             ,0.39395             ,0.10854             ,0.10583             ,2905                ,404                 ,1.02974             
1800                ,0.36956             ,0.39684             ,0.10829             ,0.10558             ,2905                ,403                 ,1.02944             
1850                ,0.37275             ,0.39991             ,0.10801             ,0.10531             ,2905                ,401                 ,1.02915             
1900                ,0.37592             ,0.40298             ,0.10774             ,0.10504             ,2905                ,401                 ,1.02884             
1950                ,0.37925             ,0.40617             ,0.10745             ,0.10476             ,2905                ,401                 ,1.02854             
2000                ,0.38275             ,0.40951             ,0.10715             ,0.10446             ,2905                ,401                 ,1.02821             
2050                ,0.38646             ,0.41303             ,0.10683             ,0.10415             ,2905                ,401                 ,1.02783             
2100                ,0.39038             ,0.41673             ,0.10649             ,0.10382             ,2904                ,400                 ,1.02738             
2150                ,0.3947              ,0.42076             ,0.10611             ,0.10346             ,2904                ,398                 ,1.02686             
2200                ,0.39918             ,0.42495             ,0.10571             ,0.10309             ,2904                ,397                 ,1.02622             
2250                ,0.40386             ,0.4293              ,0.1053              ,0.10269             ,2904                ,395                 ,1.0255              
2300                ,0.40866             ,0.4338              ,0.10488             ,0.10229             ,2904                ,395                 ,1.02472             
2350                ,0.41367             ,0.43849             ,0.10443             ,0.10187             ,2904                ,394                 ,1.02387             
2400                ,0.41891             ,0.44339             ,0.10396             ,0.10142             ,2904                ,393                 ,1.02293             
2450                ,0.42423             ,0.44837             ,0.10349             ,0.10096             ,2904                ,393                 ,1.02192             
2500                ,0.42967             ,0.45347             ,0.103               ,0.1005              ,2904                ,393                 ,1.02086             
2550                ,0.4352              ,0.45864             ,0.1025              ,0.10002             ,2904                ,393                 ,1.0197              
2600                ,0.44078             ,0.46384             ,0.10199             ,0.09954             ,2904                ,393                 ,1.01846             
2650                ,0.44639             ,0.46906             ,0.10148             ,0.09905             ,2904                ,393                 ,1.01715             
2700                ,0.45198             ,0.47426             ,0.10096             ,0.09857             ,2904                ,393                 ,1.01577             
2750                ,0.45752             ,0.4794              ,0.10045             ,0.09808             ,2904                ,393                 ,1.01431             
2800                ,0.4632              ,0.48459             ,0.09992             ,0.09759             ,2904                ,391                 ,1.01276             
2850                ,0.46885             ,0.48971             ,0.0994              ,0.09711             ,2904                ,388                 ,1.01109             
2900                ,0.47438             ,0.49469             ,0.09888             ,0.09663             ,2904                ,386                 ,1.00928             
2950                ,0.47973             ,0.49951             ,0.09837             ,0.09617             ,2904                ,386                 ,1.00754             
3000                ,0.48506             ,0.50427             ,0.09787             ,0.09571             ,2904                ,384                 ,1.00564             
3050                ,0.49017             ,0.50877             ,0.09738             ,0.09528             ,2904                ,384                 ,1.00367             
3100                ,0.49524             ,0.51314             ,0.0969              ,0.09485             ,2904                ,384                 ,1.00164             
3150                ,0.50037             ,0.51765             ,0.0964              ,0.09441             ,2904                ,384                 ,0.99955             
3200                ,0.50599             ,0.52271             ,0.09586             ,0.09392             ,2904                ,384                 ,0.99748             
3250                ,0.51238             ,0.52826             ,0.09524             ,0.09337             ,2904                ,383                 ,0.99586             
3300                ,0.51863             ,0.53318             ,0.09462             ,0.09288             ,2904                ,380                 ,0.9948              
3350                ,0.52417             ,0.53765             ,0.09408             ,0.09243             ,2904                ,377                 ,0.99394             
3400                ,0.52863             ,0.54144             ,0.09364             ,0.09205             ,2905                ,377                 ,0.99293             
3450                ,0.53254             ,0.54452             ,0.09325             ,0.09174             ,2905                ,375                 ,0.99173             
3500                ,0.53619             ,0.54725             ,0.09288             ,0.09147             ,2905                ,371                 ,0.99034             
3550                ,0.53923             ,0.54954             ,0.09258             ,0.09124             ,2905                ,371                 ,0.98905             
3600                ,0.54179             ,0.55127             ,0.09232             ,0.09106             ,2905                ,369                 ,0.98766             
