epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0                   ,0                   ,0.13693             ,0.13655             ,3635                ,3758                ,0.15062             
100                 ,0                   ,0                   ,0.1365              ,0.13605             ,3647                ,3733                ,0.14985             
150                 ,0                   ,0                   ,0.13643             ,0.13599             ,3646                ,3711                ,0.15002             
200                 ,0                   ,0                   ,0.13641             ,0.13596             ,3639                ,3691                ,0.15008             
250                 ,0                   ,0                   ,0.1364              ,0.13595             ,3629                ,3674                ,0.15013             
300                 ,0                   ,0                   ,0.13639             ,0.13594             ,3613                ,3658                ,0.1502              
350                 ,0                   ,0                   ,0.13639             ,0.13594             ,3589                ,3643                ,0.15026             
400                 ,0                   ,0                   ,0.13639             ,0.13595             ,3569                ,3631                ,0.15023             
450                 ,0.00017             ,0.00011             ,0.13637             ,0.13593             ,3547                ,3619                ,0.15013             
500                 ,0.00106             ,0.00096             ,0.13631             ,0.13587             ,3517                ,3607                ,0.15005             
550                 ,0.00298             ,0.00279             ,0.13618             ,0.13575             ,3473                ,3607                ,0.15015             
600                 ,0.0053              ,0.00498             ,0.13602             ,0.1356              ,3443                ,3616                ,0.15059             
650                 ,0.00748             ,0.00703             ,0.13587             ,0.13546             ,3425                ,3616                ,0.15147             
700                 ,0.00976             ,0.00918             ,0.13572             ,0.13531             ,3409                ,3617                ,0.15282             
750                 ,0.01218             ,0.01145             ,0.13555             ,0.13516             ,3402                ,3617                ,0.15467             
800                 ,0.01486             ,0.01398             ,0.13537             ,0.13499             ,3402                ,3618                ,0.15707             
850                 ,0.01779             ,0.01677             ,0.13516             ,0.1348              ,3404                ,3618                ,0.16004             
900                 ,0.02112             ,0.01994             ,0.13494             ,0.13458             ,3412                ,3618                ,0.16365             
950                 ,0.02466             ,0.02329             ,0.13469             ,0.13435             ,3412                ,3618                ,0.1679              
1000                ,0.02865             ,0.02709             ,0.13442             ,0.13409             ,3417                ,3618                ,0.1728              
1050                ,0.03421             ,0.03253             ,0.13403             ,0.13371             ,3444                ,3618                ,0.17905             
1100                ,0.04243             ,0.0405              ,0.13346             ,0.13316             ,3460                ,3618                ,0.18702             
1150                ,0.05909             ,0.05643             ,0.13229             ,0.13205             ,3460                ,3618                ,0.19767             
1200                ,0.08819             ,0.08432             ,0.13023             ,0.13008             ,3463                ,3618                ,0.21201             
1250                ,0.1245              ,0.11916             ,0.12761             ,0.12758             ,3465                ,3619                ,0.23037             
1300                ,0.16065             ,0.15395             ,0.12495             ,0.12504             ,3468                ,3620                ,0.25107             
1350                ,0.19364             ,0.18592             ,0.12247             ,0.12265             ,3471                ,3622                ,0.27302             
1400                ,0.21845             ,0.20983             ,0.12057             ,0.12084             ,3473                ,3628                ,0.29424             
1450                ,0.23735             ,0.22801             ,0.1191              ,0.11944             ,3473                ,3632                ,0.31149             
1500                ,0.2529              ,0.24281             ,0.11788             ,0.11829             ,3473                ,3635                ,0.32741             
1550                ,0.26497             ,0.25437             ,0.11693             ,0.11738             ,3473                ,3638                ,0.34158             
1600                ,0.27435             ,0.2636              ,0.11618             ,0.11665             ,3473                ,3640                ,0.35419             
1650                ,0.28123             ,0.27028             ,0.11563             ,0.11612             ,3475                ,3643                ,0.36494             
1700                ,0.28713             ,0.27619             ,0.11515             ,0.11565             ,3483                ,3643                ,0.37475             
1750                ,0.29055             ,0.27962             ,0.11487             ,0.11538             ,3483                ,3643                ,0.38281             
1800                ,0.29302             ,0.28208             ,0.11467             ,0.11518             ,3485                ,3646                ,0.38945             
1850                ,0.29483             ,0.28394             ,0.11453             ,0.11503             ,3485                ,3646                ,0.39555             
1900                ,0.29586             ,0.28503             ,0.11444             ,0.11495             ,3485                ,3646                ,0.40041             
1950                ,0.29681             ,0.28586             ,0.11437             ,0.11488             ,3485                ,3648                ,0.40476             
2000                ,0.29745             ,0.28647             ,0.11431             ,0.11483             ,3485                ,3649                ,0.40883             
2050                ,0.29781             ,0.28683             ,0.11429             ,0.1148              ,3485                ,3649                ,0.41218             
2100                ,0.29801             ,0.28703             ,0.11427             ,0.11478             ,3485                ,3649                ,0.41503             
2150                ,0.29814             ,0.28715             ,0.11426             ,0.11477             ,3485                ,3649                ,0.41755             
2200                ,0.29821             ,0.28722             ,0.11425             ,0.11477             ,3485                ,3649                ,0.41988             
2250                ,0.29826             ,0.28726             ,0.11425             ,0.11477             ,3485                ,3649                ,0.42209             
2300                ,0.2983              ,0.28735             ,0.11425             ,0.11476             ,3485                ,3649                ,0.42424             
2350                ,0.29833             ,0.28737             ,0.11424             ,0.11476             ,3485                ,3649                ,0.42636             
2400                ,0.29836             ,0.28738             ,0.11424             ,0.11476             ,3485                ,3649                ,0.42847             
2450                ,0.29838             ,0.2874              ,0.11424             ,0.11475             ,3485                ,3649                ,0.43059             
2500                ,0.2984              ,0.28741             ,0.11424             ,0.11475             ,3485                ,3649                ,0.43271             
2550                ,0.29841             ,0.28746             ,0.11424             ,0.11475             ,3485                ,3649                ,0.43484             
2600                ,0.29843             ,0.28747             ,0.11423             ,0.11475             ,3485                ,3649                ,0.43699             
2650                ,0.29845             ,0.28746             ,0.11423             ,0.11475             ,3485                ,3649                ,0.43915             
2700                ,0.29847             ,0.28744             ,0.11423             ,0.11475             ,3485                ,3649                ,0.44132             
2750                ,0.29848             ,0.28752             ,0.11423             ,0.11474             ,3485                ,3649                ,0.44351             
2800                ,0.2985              ,0.28744             ,0.11423             ,0.11475             ,3485                ,3649                ,0.44571             
2850                ,0.29851             ,0.28753             ,0.11423             ,0.11474             ,3485                ,3649                ,0.44791             
2900                ,0.29853             ,0.28754             ,0.11423             ,0.11474             ,3485                ,3649                ,0.45013             
2950                ,0.29853             ,0.28768             ,0.11423             ,0.11473             ,3485                ,3649                ,0.45235             
3000                ,0.29856             ,0.28754             ,0.11422             ,0.11474             ,3485                ,3649                ,0.45459             
3050                ,0.29858             ,0.28756             ,0.11422             ,0.11474             ,3485                ,3649                ,0.45683             
3100                ,0.29859             ,0.2875              ,0.11422             ,0.11475             ,3485                ,3649                ,0.45908             
3150                ,0.29861             ,0.28759             ,0.11422             ,0.11474             ,3485                ,3649                ,0.46132             
3200                ,0.29862             ,0.28759             ,0.11422             ,0.11474             ,3485                ,3649                ,0.46352             
3250                ,0.29863             ,0.28768             ,0.11422             ,0.11473             ,3485                ,3649                ,0.46569             
3300                ,0.29865             ,0.28762             ,0.11422             ,0.11474             ,3485                ,3649                ,0.46787             
3350                ,0.29866             ,0.28764             ,0.11422             ,0.11473             ,3485                ,3649                ,0.47004             
3400                ,0.29866             ,0.28774             ,0.11422             ,0.11473             ,3485                ,3649                ,0.47221             
3450                ,0.29868             ,0.28764             ,0.11421             ,0.11473             ,3485                ,3649                ,0.47438             
3500                ,0.29869             ,0.28765             ,0.11421             ,0.11473             ,3485                ,3649                ,0.47655             
3550                ,0.2987              ,0.28766             ,0.11421             ,0.11473             ,3485                ,3649                ,0.47872             
3600                ,0.2987              ,0.28773             ,0.11421             ,0.11473             ,3485                ,3649                ,0.48089             
3650                ,0.29871             ,0.28766             ,0.11421             ,0.11473             ,3485                ,3649                ,0.48305             
