epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2Alpha_0:i,GNDI2Alpha_0:j,GNDI2Alpha_0:alpha1_1,GNDI2Alpha_0:alpha1_2
50                  ,0                   ,0                   ,0.18452             ,0.18476             ,1176                ,1399                ,0.70803             ,0.61607             
100                 ,0                   ,0                   ,0.13872             ,0.1384              ,1183                ,1399                ,0.73262             ,0.62837             
150                 ,0.00771             ,0.00858             ,0.13586             ,0.13536             ,1175                ,1401                ,0.73954             ,0.62997             
200                 ,0.00953             ,0.01077             ,0.13573             ,0.13521             ,1161                ,1401                ,0.74365             ,0.62937             
250                 ,0.01131             ,0.01283             ,0.13561             ,0.13506             ,1144                ,1401                ,0.74533             ,0.62893             
300                 ,0.01374             ,0.01565             ,0.13544             ,0.13487             ,1123                ,1401                ,0.74571             ,0.62869             
350                 ,0.01781             ,0.0203              ,0.13516             ,0.13455             ,1094                ,1401                ,0.74539             ,0.62859             
400                 ,0.02436             ,0.02777             ,0.13471             ,0.13404             ,1057                ,1401                ,0.74467             ,0.62865             
450                 ,0.03561             ,0.04051             ,0.13393             ,0.13316             ,1010                ,1401                ,0.74362             ,0.62894             
500                 ,0.0565              ,0.06377             ,0.13247             ,0.13153             ,951                 ,1400                ,0.74069             ,0.62986             
550                 ,0.09316             ,0.10235             ,0.12988             ,0.1288              ,882                 ,1400                ,0.73833             ,0.63114             
600                 ,0.16808             ,0.18282             ,0.1244              ,0.12289             ,814                 ,1399                ,0.72905             ,0.63436             
650                 ,0.27622             ,0.30187             ,0.11603             ,0.11358             ,748                 ,1399                ,0.7002              ,0.64268             
700                 ,0.36785             ,0.40272             ,0.10844             ,0.10506             ,690                 ,1399                ,0.65873             ,0.65263             
750                 ,0.4389              ,0.47737             ,0.10216             ,0.09827             ,640                 ,1399                ,0.61754             ,0.66197             
800                 ,0.49577             ,0.53327             ,0.09684             ,0.09287             ,597                 ,1399                ,0.57238             ,0.67081             
850                 ,0.5365              ,0.56913             ,0.09285             ,0.08923             ,561                 ,1399                ,0.53466             ,0.67766             
900                 ,0.56419             ,0.58932             ,0.09003             ,0.08712             ,532                 ,1399                ,0.50623             ,0.68265             
950                 ,0.58229             ,0.6007              ,0.08815             ,0.0859              ,509                 ,1399                ,0.48568             ,0.68599             
1000                ,0.59624             ,0.60825             ,0.08666             ,0.08508             ,489                 ,1399                ,0.46874             ,0.68813             
1050                ,0.60811             ,0.61442             ,0.08538             ,0.08441             ,470                 ,1399                ,0.45504             ,0.68944             
1100                ,0.618               ,0.61937             ,0.08429             ,0.08387             ,454                 ,1399                ,0.4443              ,0.69026             
1150                ,0.62616             ,0.62372             ,0.08339             ,0.08339             ,439                 ,1399                ,0.43526             ,0.69073             
1200                ,0.63254             ,0.62751             ,0.08267             ,0.08297             ,426                 ,1399                ,0.42851             ,0.69104             
1250                ,0.63733             ,0.63033             ,0.08213             ,0.08265             ,415                 ,1399                ,0.4231              ,0.6913              
1300                ,0.64072             ,0.6325              ,0.08175             ,0.08241             ,406                 ,1399                ,0.41906             ,0.69155             
1350                ,0.643               ,0.63394             ,0.08149             ,0.08225             ,399                 ,1399                ,0.41581             ,0.69183             
1400                ,0.64448             ,0.635               ,0.08132             ,0.08213             ,393                 ,1399                ,0.41343             ,0.69215             
1450                ,0.64536             ,0.63571             ,0.08122             ,0.08205             ,389                 ,1399                ,0.41216             ,0.69253             
1500                ,0.64689             ,0.63641             ,0.08104             ,0.08197             ,376                 ,1399                ,0.40622             ,0.69323             
1550                ,0.64705             ,0.63671             ,0.08103             ,0.08194             ,376                 ,1399                ,0.40619             ,0.69364             
1600                ,0.64719             ,0.63701             ,0.08101             ,0.0819              ,376                 ,1399                ,0.40789             ,0.69408             
1650                ,0.64734             ,0.63728             ,0.08099             ,0.08187             ,376                 ,1399                ,0.41                ,0.69454             
1700                ,0.6475              ,0.63744             ,0.08097             ,0.08185             ,376                 ,1399                ,0.41122             ,0.69507             
1750                ,0.64765             ,0.63764             ,0.08096             ,0.08183             ,376                 ,1399                ,0.41303             ,0.69559             
1800                ,0.64779             ,0.63781             ,0.08094             ,0.08181             ,376                 ,1399                ,0.4148              ,0.69615             
1850                ,0.64794             ,0.63793             ,0.08092             ,0.0818              ,376                 ,1399                ,0.41634             ,0.69675             
1900                ,0.64808             ,0.63804             ,0.08091             ,0.08179             ,376                 ,1399                ,0.41786             ,0.69736             
1950                ,0.64822             ,0.63814             ,0.08089             ,0.08177             ,376                 ,1399                ,0.41918             ,0.69797             
2000                ,0.64837             ,0.63825             ,0.08087             ,0.08176             ,376                 ,1399                ,0.42041             ,0.69857             
2050                ,0.64852             ,0.63834             ,0.08086             ,0.08175             ,376                 ,1399                ,0.42132             ,0.6992              
2100                ,0.64867             ,0.63843             ,0.08084             ,0.08174             ,376                 ,1399                ,0.42223             ,0.69982             
2150                ,0.64882             ,0.63855             ,0.08082             ,0.08173             ,376                 ,1399                ,0.42358             ,0.70041             
2200                ,0.64896             ,0.63866             ,0.08081             ,0.08172             ,376                 ,1399                ,0.42498             ,0.70099             
2250                ,0.64909             ,0.63879             ,0.08079             ,0.0817              ,376                 ,1399                ,0.42647             ,0.70155             
2300                ,0.64923             ,0.63891             ,0.08077             ,0.08169             ,376                 ,1399                ,0.42787             ,0.7021              
2350                ,0.64936             ,0.63901             ,0.08076             ,0.08168             ,376                 ,1399                ,0.42924             ,0.70266             
2400                ,0.6495              ,0.63907             ,0.08074             ,0.08167             ,376                 ,1399                ,0.43002             ,0.70326             
2450                ,0.64964             ,0.63912             ,0.08073             ,0.08166             ,376                 ,1399                ,0.43082             ,0.70387             
2500                ,0.64978             ,0.63922             ,0.08071             ,0.08165             ,376                 ,1399                ,0.4321              ,0.70442             
2550                ,0.64992             ,0.63931             ,0.0807              ,0.08164             ,376                 ,1399                ,0.43313             ,0.70496             
2600                ,0.65005             ,0.63941             ,0.08068             ,0.08163             ,376                 ,1399                ,0.43413             ,0.70551             
2650                ,0.65017             ,0.63952             ,0.08067             ,0.08162             ,376                 ,1399                ,0.43538             ,0.70601             
2700                ,0.65028             ,0.63962             ,0.08065             ,0.08161             ,376                 ,1399                ,0.43673             ,0.7065              
2750                ,0.65041             ,0.63967             ,0.08064             ,0.0816              ,376                 ,1399                ,0.43763             ,0.70701             
2800                ,0.65054             ,0.63975             ,0.08062             ,0.08159             ,376                 ,1399                ,0.43848             ,0.70751             
2850                ,0.65067             ,0.63985             ,0.08061             ,0.08158             ,376                 ,1399                ,0.43948             ,0.70793             
2900                ,0.65081             ,0.63996             ,0.08059             ,0.08157             ,376                 ,1399                ,0.44057             ,0.70833             
2950                ,0.65094             ,0.64004             ,0.08058             ,0.08156             ,376                 ,1399                ,0.44123             ,0.70874             
3000                ,0.65107             ,0.64014             ,0.08056             ,0.08155             ,376                 ,1399                ,0.44201             ,0.70913             
3050                ,0.65121             ,0.64018             ,0.08055             ,0.08154             ,376                 ,1399                ,0.44245             ,0.70956             
3100                ,0.65135             ,0.64025             ,0.08053             ,0.08154             ,376                 ,1399                ,0.4433              ,0.70991             
3150                ,0.65149             ,0.6403              ,0.08051             ,0.08153             ,376                 ,1399                ,0.44368             ,0.71027             
3200                ,0.65162             ,0.64041             ,0.0805              ,0.08152             ,376                 ,1399                ,0.44458             ,0.71051             
3250                ,0.65178             ,0.64048             ,0.08048             ,0.08151             ,376                 ,1399                ,0.44534             ,0.71085             
3300                ,0.65192             ,0.64055             ,0.08046             ,0.0815              ,376                 ,1399                ,0.44614             ,0.71107             
3350                ,0.65204             ,0.64071             ,0.08045             ,0.08148             ,376                 ,1399                ,0.44723             ,0.71119             
3400                ,0.6522              ,0.64075             ,0.08043             ,0.08148             ,376                 ,1399                ,0.44858             ,0.71136             
3450                ,0.65233             ,0.64083             ,0.08042             ,0.08147             ,376                 ,1399                ,0.44891             ,0.7115              
3500                ,0.65246             ,0.64089             ,0.0804              ,0.08146             ,376                 ,1399                ,0.44891             ,0.71165             
3550                ,0.65259             ,0.64097             ,0.08039             ,0.08145             ,376                 ,1399                ,0.44889             ,0.71176             
3600                ,0.65272             ,0.6411              ,0.08037             ,0.08144             ,376                 ,1399                ,0.44986             ,0.71169             
3650                ,0.65284             ,0.6412              ,0.08036             ,0.08143             ,376                 ,1399                ,0.45005             ,0.71164             
3700                ,0.65296             ,0.64131             ,0.08034             ,0.08142             ,376                 ,1399                ,0.45117             ,0.71145             
3750                ,0.65307             ,0.6414              ,0.08033             ,0.08141             ,376                 ,1399                ,0.45203             ,0.71122             
3800                ,0.6532              ,0.64153             ,0.08032             ,0.08139             ,376                 ,1399                ,0.45241             ,0.71092             
3850                ,0.65333             ,0.64167             ,0.0803              ,0.08137             ,376                 ,1399                ,0.45282             ,0.7106              
3900                ,0.65347             ,0.64167             ,0.08028             ,0.08137             ,376                 ,1399                ,0.45226             ,0.71035             
3950                ,0.65361             ,0.64174             ,0.08027             ,0.08137             ,376                 ,1399                ,0.45184             ,0.71                
4000                ,0.65374             ,0.64186             ,0.08025             ,0.08135             ,376                 ,1399                ,0.45185             ,0.70953             
