epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2Alpha_0:i,GNDI2Alpha_0:j,GNDI2Alpha_0:alpha1_1,GNDI2Alpha_0:alpha1_2
50                  ,0.26675             ,0.28332             ,0.11679             ,0.11508             ,397                 ,3030                ,0.95093             ,0.90161             
100                 ,0.32124             ,0.34228             ,0.11236             ,0.11025             ,398                 ,3030                ,0.93906             ,0.92004             
150                 ,0.36086             ,0.38373             ,0.10903             ,0.10672             ,396                 ,3030                ,0.9391              ,0.94313             
200                 ,0.40233             ,0.42594             ,0.10544             ,0.103               ,392                 ,3030                ,0.93545             ,0.96922             
250                 ,0.4376              ,0.46111             ,0.10228             ,0.09979             ,390                 ,3030                ,0.92951             ,0.99633             
300                 ,0.46401             ,0.48683             ,0.09985             ,0.09738             ,390                 ,3030                ,0.92226             ,1.02272             
350                 ,0.48535             ,0.50607             ,0.09784             ,0.09554             ,381                 ,3029                ,0.9142              ,1.04754             
400                 ,0.50146             ,0.51992             ,0.0963              ,0.09419             ,377                 ,3027                ,0.90545             ,1.07069             
450                 ,0.51388             ,0.53004             ,0.09509             ,0.09319             ,376                 ,3024                ,0.89725             ,1.09123             
500                 ,0.52285             ,0.53698             ,0.09421             ,0.0925              ,375                 ,3023                ,0.88905             ,1.10905             
550                 ,0.52885             ,0.54154             ,0.09361             ,0.09204             ,373                 ,3023                ,0.88128             ,1.1244              
600                 ,0.53324             ,0.54459             ,0.09318             ,0.09174             ,372                 ,3023                ,0.87336             ,1.13764             
650                 ,0.53669             ,0.54671             ,0.09283             ,0.09152             ,370                 ,3023                ,0.86632             ,1.14921             
700                 ,0.5395              ,0.54796             ,0.09255             ,0.0914              ,368                 ,3023                ,0.85949             ,1.15921             
750                 ,0.54163             ,0.54872             ,0.09234             ,0.09132             ,366                 ,3023                ,0.85266             ,1.16756             
800                 ,0.54333             ,0.54927             ,0.09216             ,0.09127             ,364                 ,3022                ,0.84625             ,1.17444             
850                 ,0.54469             ,0.5498              ,0.09203             ,0.09121             ,362                 ,3022                ,0.84026             ,1.18024             
900                 ,0.54715             ,0.55098             ,0.09178             ,0.09109             ,360                 ,3020                ,0.83394             ,1.18517             
950                 ,0.55414             ,0.55596             ,0.09107             ,0.09058             ,359                 ,3013                ,0.82707             ,1.19039             
1000                ,0.55794             ,0.55933             ,0.09068             ,0.09024             ,357                 ,3008                ,0.82033             ,1.1951              
1050                ,0.56066             ,0.56158             ,0.0904              ,0.09001             ,356                 ,3003                ,0.81352             ,1.19922             
1100                ,0.56262             ,0.56317             ,0.0902              ,0.08985             ,355                 ,3000                ,0.80717             ,1.20265             
1150                ,0.56401             ,0.56427             ,0.09005             ,0.08973             ,354                 ,2997                ,0.80086             ,1.20551             
1200                ,0.56502             ,0.56532             ,0.08995             ,0.08963             ,353                 ,2994                ,0.79503             ,1.20784             
1250                ,0.56583             ,0.56595             ,0.08987             ,0.08956             ,352                 ,2993                ,0.78899             ,1.21016             
