epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2Alpha_0:i,GNDI2Alpha_0:j,GNDI2Alpha_0:alpha1_1,GNDI2Alpha_0:alpha1_2
50                  ,0.10132             ,0.11203             ,0.12929             ,0.1281              ,788                 ,1691                ,0.65256             ,0.02515             
100                 ,0.16962             ,0.18785             ,0.12428             ,0.12251             ,748                 ,1669                ,0.64166             ,0.02356             
150                 ,0.23927             ,0.26641             ,0.11895             ,0.11643             ,708                 ,1611                ,0.62951             ,0.02342             
200                 ,0.30997             ,0.34437             ,0.11329             ,0.11007             ,670                 ,1510                ,0.61891             ,0.02223             
250                 ,0.36618             ,0.4048              ,0.10858             ,0.10488             ,636                 ,1424                ,0.60267             ,0.02014             
300                 ,0.40939             ,0.44935             ,0.10481             ,0.10087             ,606                 ,1353                ,0.58279             ,0.01608             
350                 ,0.4447              ,0.48404             ,0.10163             ,0.09765             ,581                 ,1286                ,0.55753             ,0.01083             
400                 ,0.47521             ,0.51333             ,0.0988              ,0.09483             ,560                 ,1224                ,0.52976             ,0.00461             
450                 ,0.50285             ,0.53942             ,0.09616             ,0.09226             ,541                 ,1167                ,0.50091             ,-0.00259            
500                 ,0.52774             ,0.56269             ,0.09372             ,0.0899              ,525                 ,1113                ,0.47282             ,-0.01109            
550                 ,0.54733             ,0.58063             ,0.09176             ,0.08803             ,510                 ,1069                ,0.44383             ,-0.02136            
600                 ,0.56438             ,0.59592             ,0.09002             ,0.08641             ,497                 ,1031                ,0.41396             ,-0.03414            
650                 ,0.57964             ,0.6091              ,0.08842             ,0.08499             ,483                 ,1000                ,0.38368             ,-0.05008            
700                 ,0.59356             ,0.62066             ,0.08695             ,0.08373             ,470                 ,974                 ,0.35359             ,-0.07027            
750                 ,0.6066              ,0.6311              ,0.08554             ,0.08257             ,456                 ,955                 ,0.32418             ,-0.09592            
800                 ,0.61972             ,0.64114             ,0.0841              ,0.08143             ,443                 ,942                 ,0.29678             ,-0.1284             
850                 ,0.63371             ,0.6513              ,0.08254             ,0.08027             ,431                 ,937                 ,0.2729              ,-0.16883            
900                 ,0.64945             ,0.66239             ,0.08075             ,0.07899             ,419                 ,938                 ,0.25566             ,-0.21666            
950                 ,0.66617             ,0.67392             ,0.0788              ,0.07763             ,409                 ,943                 ,0.24775             ,-0.2678             
1000                ,0.68096             ,0.68411             ,0.07703             ,0.0764              ,401                 ,948                 ,0.24932             ,-0.31433            
1050                ,0.6922              ,0.69231             ,0.07567             ,0.07541             ,395                 ,951                 ,0.25534             ,-0.35161            
1100                ,0.69976             ,0.69802             ,0.07473             ,0.0747              ,391                 ,950                 ,0.26079             ,-0.38079            
1150                ,0.70475             ,0.70133             ,0.07411             ,0.07429             ,390                 ,948                 ,0.26467             ,-0.40428            
1200                ,0.70841             ,0.70332             ,0.07365             ,0.07404             ,389                 ,943                 ,0.26717             ,-0.42434            
1250                ,0.7109              ,0.70421             ,0.07333             ,0.07393             ,389                 ,939                 ,0.26986             ,-0.43929            
1300                ,0.71262             ,0.7047              ,0.07311             ,0.07387             ,389                 ,936                 ,0.27166             ,-0.44987            
1350                ,0.71393             ,0.70487             ,0.07295             ,0.07385             ,389                 ,931                 ,0.27415             ,-0.45794            
1400                ,0.71489             ,0.70497             ,0.07282             ,0.07384             ,389                 ,926                 ,0.27641             ,-0.46471            
1450                ,0.71558             ,0.70478             ,0.07274             ,0.07386             ,389                 ,921                 ,0.27848             ,-0.47102            
1500                ,0.71629             ,0.70487             ,0.07264             ,0.07385             ,389                 ,917                 ,0.28059             ,-0.47671            
1550                ,0.71684             ,0.70479             ,0.07257             ,0.07386             ,389                 ,913                 ,0.28262             ,-0.48228            
1600                ,0.71733             ,0.70463             ,0.07251             ,0.07388             ,389                 ,910                 ,0.2847              ,-0.4874             
1650                ,0.71779             ,0.70423             ,0.07245             ,0.07393             ,389                 ,906                 ,0.2867              ,-0.49259            
1700                ,0.71812             ,0.70362             ,0.07241             ,0.07401             ,389                 ,902                 ,0.2888              ,-0.49745            
1750                ,0.7186              ,0.70362             ,0.07235             ,0.07401             ,389                 ,898                 ,0.29071             ,-0.50174            
1800                ,0.71895             ,0.70337             ,0.0723              ,0.07404             ,389                 ,895                 ,0.29255             ,-0.50627            
1850                ,0.71928             ,0.70329             ,0.07226             ,0.07405             ,389                 ,891                 ,0.29403             ,-0.51077            
1900                ,0.71956             ,0.70309             ,0.07222             ,0.07407             ,389                 ,888                 ,0.29556             ,-0.51504            
1950                ,0.71986             ,0.70314             ,0.07219             ,0.07407             ,389                 ,885                 ,0.29674             ,-0.51931            
2000                ,0.72007             ,0.70281             ,0.07216             ,0.07411             ,389                 ,884                 ,0.29793             ,-0.52364            
2050                ,0.72021             ,0.70258             ,0.07214             ,0.07414             ,389                 ,884                 ,0.29889             ,-0.52754            
2100                ,0.72032             ,0.70245             ,0.07213             ,0.07415             ,389                 ,884                 ,0.29986             ,-0.53095            
2150                ,0.7204              ,0.70227             ,0.07212             ,0.07418             ,389                 ,884                 ,0.30089             ,-0.53436            
2200                ,0.72047             ,0.70228             ,0.07211             ,0.07417             ,389                 ,884                 ,0.30158             ,-0.53809            
2250                ,0.72057             ,0.70204             ,0.07209             ,0.0742              ,389                 ,884                 ,0.3026              ,-0.54127            
2300                ,0.72064             ,0.70194             ,0.07209             ,0.07422             ,389                 ,884                 ,0.30338             ,-0.54469            
2350                ,0.72069             ,0.70185             ,0.07208             ,0.07423             ,389                 ,884                 ,0.30417             ,-0.54751            
2400                ,0.72074             ,0.70175             ,0.07207             ,0.07424             ,389                 ,884                 ,0.30494             ,-0.54997            
2450                ,0.72078             ,0.70167             ,0.07207             ,0.07425             ,389                 ,884                 ,0.30571             ,-0.55228            
2500                ,0.72078             ,0.70156             ,0.07207             ,0.07426             ,389                 ,883                 ,0.3065              ,-0.55453            
2550                ,0.72102             ,0.70173             ,0.07204             ,0.07424             ,389                 ,878                 ,0.30798             ,-0.55606            
2600                ,0.72108             ,0.70165             ,0.07203             ,0.07425             ,389                 ,878                 ,0.30866             ,-0.55913            
2650                ,0.72116             ,0.70159             ,0.07202             ,0.07426             ,389                 ,877                 ,0.30947             ,-0.56151            
2700                ,0.72134             ,0.70158             ,0.07199             ,0.07426             ,389                 ,873                 ,0.31095             ,-0.56335            
2750                ,0.72149             ,0.70155             ,0.07197             ,0.07426             ,389                 ,870                 ,0.31219             ,-0.56617            
2800                ,0.72166             ,0.70159             ,0.07195             ,0.07426             ,389                 ,867                 ,0.31356             ,-0.5687             
2850                ,0.72178             ,0.70146             ,0.07194             ,0.07428             ,389                 ,866                 ,0.31448             ,-0.57151            
2900                ,0.72187             ,0.7014              ,0.07193             ,0.07428             ,389                 ,866                 ,0.31508             ,-0.57464            
2950                ,0.72196             ,0.70136             ,0.07191             ,0.07429             ,389                 ,864                 ,0.31613             ,-0.57703            
3000                ,0.72202             ,0.70123             ,0.07191             ,0.0743              ,389                 ,864                 ,0.31681             ,-0.5798             
3050                ,0.7221              ,0.70133             ,0.0719              ,0.07429             ,389                 ,863                 ,0.31744             ,-0.58217            
3100                ,0.72212             ,0.70138             ,0.07189             ,0.07429             ,389                 ,860                 ,0.31853             ,-0.58402            
3150                ,0.72226             ,0.70125             ,0.07188             ,0.0743              ,389                 ,860                 ,0.31923             ,-0.58658            
3200                ,0.7223              ,0.7012              ,0.07187             ,0.07431             ,389                 ,860                 ,0.31982             ,-0.58896            
3250                ,0.72231             ,0.70121             ,0.07187             ,0.07431             ,389                 ,860                 ,0.32037             ,-0.59102            
3300                ,0.72235             ,0.70111             ,0.07186             ,0.07432             ,389                 ,860                 ,0.32092             ,-0.59291            
3350                ,0.72237             ,0.70109             ,0.07186             ,0.07432             ,389                 ,860                 ,0.32141             ,-0.59479            
3400                ,0.72235             ,0.701               ,0.07186             ,0.07433             ,389                 ,860                 ,0.32179             ,-0.59693            
3450                ,0.72242             ,0.7011              ,0.07186             ,0.07432             ,389                 ,860                 ,0.32218             ,-0.59904            
3500                ,0.72242             ,0.7012              ,0.07185             ,0.07431             ,389                 ,860                 ,0.32245             ,-0.60129            
3550                ,0.72249             ,0.70111             ,0.07185             ,0.07432             ,389                 ,860                 ,0.32287             ,-0.60353            
3600                ,0.72249             ,0.70098             ,0.07185             ,0.07434             ,389                 ,860                 ,0.32327             ,-0.60577            
3650                ,0.72257             ,0.70115             ,0.07184             ,0.07431             ,389                 ,860                 ,0.32352             ,-0.60788            
3700                ,0.7226              ,0.70105             ,0.07183             ,0.07433             ,389                 ,860                 ,0.32389             ,-0.61008            
3750                ,0.7226              ,0.70094             ,0.07183             ,0.07434             ,389                 ,860                 ,0.32423             ,-0.61203            
3800                ,0.72269             ,0.7011              ,0.07182             ,0.07432             ,389                 ,860                 ,0.32445             ,-0.61391            
3850                ,0.72269             ,0.70097             ,0.07182             ,0.07434             ,389                 ,860                 ,0.32481             ,-0.61572            
3900                ,0.72276             ,0.70105             ,0.07181             ,0.07433             ,389                 ,860                 ,0.32508             ,-0.61725            
3950                ,0.72277             ,0.70107             ,0.07181             ,0.07432             ,389                 ,860                 ,0.32535             ,-0.61872            
4000                ,0.72265             ,0.70105             ,0.07182             ,0.07433             ,389                 ,860                 ,0.32556             ,-0.6201             
