epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2Alpha_0:i,GNDI2Alpha_0:j,GNDI2Alpha_0:alpha1_1,GNDI2Alpha_0:alpha1_2
2800                ,0.56787             ,0.56559             ,0.08965             ,0.0896              ,347                 ,2983                ,0.43836             ,0.52636             
2850                ,0.56799             ,0.56582             ,0.08964             ,0.08957             ,347                 ,2984                ,0.43384             ,0.52545             
2900                ,0.56816             ,0.56602             ,0.08962             ,0.08955             ,347                 ,2983                ,0.4291              ,0.52458             
2950                ,0.56831             ,0.56614             ,0.08961             ,0.08954             ,347                 ,2983                ,0.42434             ,0.52358             
3000                ,0.56845             ,0.56635             ,0.08959             ,0.08952             ,347                 ,2983                ,0.41951             ,0.52243             
3050                ,0.56859             ,0.5665              ,0.08958             ,0.0895              ,347                 ,2983                ,0.41442             ,0.52114             
3100                ,0.56873             ,0.56672             ,0.08956             ,0.08948             ,347                 ,2983                ,0.40914             ,0.51966             
3150                ,0.56888             ,0.56693             ,0.08955             ,0.08946             ,347                 ,2983                ,0.40365             ,0.51814             
3200                ,0.56904             ,0.56722             ,0.08953             ,0.08943             ,347                 ,2983                ,0.39794             ,0.51654             
3250                ,0.56921             ,0.56741             ,0.08952             ,0.08941             ,347                 ,2983                ,0.3922              ,0.51482             
3300                ,0.56938             ,0.56762             ,0.0895              ,0.08939             ,347                 ,2983                ,0.38634             ,0.5129              
3350                ,0.56954             ,0.56787             ,0.08948             ,0.08936             ,347                 ,2983                ,0.38037             ,0.51082             
3400                ,0.56973             ,0.56816             ,0.08946             ,0.08933             ,347                 ,2983                ,0.37429             ,0.50869             
3450                ,0.56992             ,0.56857             ,0.08944             ,0.08929             ,347                 ,2983                ,0.36792             ,0.50653             
3500                ,0.57012             ,0.56885             ,0.08942             ,0.08926             ,347                 ,2983                ,0.36147             ,0.50441             
3550                ,0.57031             ,0.56895             ,0.0894              ,0.08925             ,347                 ,2983                ,0.35516             ,0.50233             
3600                ,0.57053             ,0.56939             ,0.08938             ,0.0892              ,347                 ,2983                ,0.34874             ,0.50027             
3650                ,0.57074             ,0.56971             ,0.08936             ,0.08917             ,347                 ,2983                ,0.34227             ,0.49808             
3700                ,0.57092             ,0.57009             ,0.08934             ,0.08913             ,348                 ,2983                ,0.33605             ,0.49566             
3750                ,0.57115             ,0.57033             ,0.08931             ,0.08911             ,348                 ,2983                ,0.32993             ,0.4933              
3800                ,0.57138             ,0.57069             ,0.08929             ,0.08907             ,348                 ,2983                ,0.32369             ,0.49107             
3850                ,0.57158             ,0.57088             ,0.08927             ,0.08905             ,348                 ,2983                ,0.31747             ,0.4889              
3900                ,0.5718              ,0.57139             ,0.08925             ,0.089               ,348                 ,2983                ,0.31166             ,0.48668             
3950                ,0.57202             ,0.57172             ,0.08922             ,0.08896             ,348                 ,2983                ,0.30593             ,0.48467             
4000                ,0.57224             ,0.57203             ,0.0892              ,0.08893             ,348                 ,2983                ,0.30032             ,0.48261             
