epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2Alpha_0:i,GNDI2Alpha_0:j,GNDI2Alpha_0:alpha1_1,GNDI2Alpha_0:alpha1_2
50                  ,0                   ,0                   ,0.16549             ,0.16461             ,2963                ,3607                ,0.87898             ,0.05623             
100                 ,0.00442             ,0.00526             ,0.13608             ,0.13558             ,2951                ,3586                ,0.86173             ,0.03937             
150                 ,0.01309             ,0.01413             ,0.13549             ,0.13498             ,2954                ,3555                ,0.86223             ,0.03949             
200                 ,0.01933             ,0.02027             ,0.13506             ,0.13455             ,2957                ,3529                ,0.86186             ,0.03796             
250                 ,0.02657             ,0.0274              ,0.13456             ,0.13406             ,2961                ,3503                ,0.8618              ,0.03604             
300                 ,0.0334              ,0.03414             ,0.13409             ,0.1336              ,2965                ,3481                ,0.86226             ,0.03382             
350                 ,0.03883             ,0.03963             ,0.13371             ,0.13322             ,2969                ,3469                ,0.86304             ,0.03126             
400                 ,0.04409             ,0.04501             ,0.13334             ,0.13285             ,2973                ,3464                ,0.86402             ,0.02847             
450                 ,0.04949             ,0.05053             ,0.13297             ,0.13246             ,2975                ,3464                ,0.86536             ,0.02557             
500                 ,0.0552              ,0.05638             ,0.13257             ,0.13205             ,2976                ,3464                ,0.86716             ,0.02258             
550                 ,0.06134             ,0.06266             ,0.13213             ,0.13161             ,2976                ,3464                ,0.86943             ,0.01947             
600                 ,0.06809             ,0.06957             ,0.13166             ,0.13113             ,2976                ,3464                ,0.87228             ,0.01623             
650                 ,0.07566             ,0.0773              ,0.13112             ,0.13058             ,2974                ,3464                ,0.87585             ,0.01286             
700                 ,0.08427             ,0.08614             ,0.13051             ,0.12995             ,2974                ,3464                ,0.8799              ,0.00926             
750                 ,0.09413             ,0.09626             ,0.12981             ,0.12923             ,2973                ,3464                ,0.88444             ,0.00542             
800                 ,0.10559             ,0.10797             ,0.12898             ,0.12839             ,2971                ,3464                ,0.88985             ,0.00144             
850                 ,0.11894             ,0.12166             ,0.12802             ,0.1274              ,2970                ,3464                ,0.89558             ,-0.00284            
900                 ,0.13441             ,0.13755             ,0.12689             ,0.12624             ,2969                ,3464                ,0.90178             ,-0.00737            
950                 ,0.15228             ,0.15593             ,0.12557             ,0.12489             ,2968                ,3464                ,0.9085              ,-0.01213            
1000                ,0.17263             ,0.17685             ,0.12405             ,0.12333             ,2967                ,3464                ,0.91569             ,-0.01713            
1050                ,0.19543             ,0.20035             ,0.12233             ,0.12156             ,2966                ,3464                ,0.92278             ,-0.02241            
1100                ,0.2205              ,0.2262              ,0.12041             ,0.11958             ,2966                ,3464                ,0.93009             ,-0.02791            
1150                ,0.24744             ,0.25401             ,0.11831             ,0.11741             ,2965                ,3463                ,0.93774             ,-0.0336             
1200                ,0.27587             ,0.28345             ,0.11606             ,0.11507             ,2963                ,3463                ,0.94641             ,-0.03945            
1250                ,0.30543             ,0.31395             ,0.11366             ,0.1126              ,2963                ,3460                ,0.95494             ,-0.04559            
1300                ,0.33509             ,0.34485             ,0.11121             ,0.11003             ,2963                ,3460                ,0.96367             ,-0.05209            
1350                ,0.36419             ,0.37526             ,0.10875             ,0.10745             ,2962                ,3460                ,0.97281             ,-0.05898            
1400                ,0.39201             ,0.40449             ,0.10634             ,0.1049              ,2962                ,3460                ,0.98188             ,-0.0665             
1450                ,0.418               ,0.43197             ,0.10405             ,0.10245             ,2961                ,3460                ,0.99086             ,-0.07473            
1500                ,0.44175             ,0.45729             ,0.1019              ,0.10015             ,2961                ,3459                ,1.00016             ,-0.08363            
1550                ,0.46396             ,0.48025             ,0.09985             ,0.098               ,2961                ,3450                ,1.01027             ,-0.09327            
1600                ,0.48319             ,0.50102             ,0.09805             ,0.09603             ,2961                ,3450                ,1.02052             ,-0.10378            
1650                ,0.4996              ,0.51901             ,0.09648             ,0.09428             ,2961                ,3450                ,1.03089             ,-0.11512            
1700                ,0.51327             ,0.53423             ,0.09515             ,0.09278             ,2960                ,3450                ,1.04149             ,-0.12717            
1750                ,0.5244              ,0.54683             ,0.09406             ,0.09151             ,2960                ,3450                ,1.05251             ,-0.1399             
