epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0.00207             ,0.0017              ,0.13624             ,0.13582             ,1385                ,1795                ,0.3345              
100                 ,0.0026              ,0.00247             ,0.13621             ,0.13577             ,1382                ,1798                ,0.33385             
150                 ,0.0029              ,0.00285             ,0.13619             ,0.13575             ,1378                ,1803                ,0.33396             
200                 ,0.00318             ,0.00315             ,0.13617             ,0.13573             ,1373                ,1809                ,0.33398             
250                 ,0.00352             ,0.00352             ,0.13614             ,0.1357              ,1366                ,1815                ,0.33406             
300                 ,0.00395             ,0.004               ,0.13611             ,0.13567             ,1357                ,1823                ,0.3342              
350                 ,0.00451             ,0.00465             ,0.13608             ,0.13562             ,1346                ,1831                ,0.33445             
400                 ,0.00531             ,0.00557             ,0.13602             ,0.13556             ,1332                ,1840                ,0.33482             
450                 ,0.00643             ,0.00687             ,0.13594             ,0.13547             ,1313                ,1849                ,0.33536             
500                 ,0.00807             ,0.00882             ,0.13583             ,0.13534             ,1289                ,1858                ,0.33618             
550                 ,0.01059             ,0.01189             ,0.13566             ,0.13513             ,1257                ,1866                ,0.33755             
600                 ,0.0147              ,0.017               ,0.13538             ,0.13478             ,1215                ,1871                ,0.33969             
650                 ,0.02123             ,0.02534             ,0.13493             ,0.13421             ,1161                ,1870                ,0.34274             
700                 ,0.03257             ,0.03939             ,0.13414             ,0.13324             ,1096                ,1870                ,0.34722             
750                 ,0.05882             ,0.07075             ,0.13231             ,0.13104             ,1002                ,1870                ,0.3538              
800                 ,0.11785             ,0.134               ,0.1281              ,0.1265              ,891                 ,1870                ,0.36487             
850                 ,0.1908              ,0.21111             ,0.12268             ,0.12074             ,799                 ,1856                ,0.38088             
900                 ,0.25859             ,0.28361             ,0.11743             ,0.11506             ,729                 ,1834                ,0.39658             
950                 ,0.34378             ,0.37948             ,0.11048             ,0.10708             ,667                 ,1793                ,0.4066              
1000                ,0.42536             ,0.46556             ,0.10339             ,0.09938             ,609                 ,1744                ,0.40858             
1050                ,0.4846              ,0.52338             ,0.09791             ,0.09385             ,561                 ,1710                ,0.40516             
1100                ,0.52205             ,0.55543             ,0.09429             ,0.09064             ,525                 ,1706                ,0.40201             
1150                ,0.54961             ,0.57539             ,0.09153             ,0.08858             ,496                 ,1703                ,0.3986              
1200                ,0.57264             ,0.58974             ,0.08916             ,0.08707             ,471                 ,1700                ,0.39511             
1250                ,0.59023             ,0.59952             ,0.0873              ,0.08603             ,450                 ,1697                ,0.39191             
1300                ,0.60377             ,0.60774             ,0.08585             ,0.08514             ,432                 ,1694                ,0.38824             
1350                ,0.61402             ,0.61345             ,0.08473             ,0.08452             ,418                 ,1691                ,0.38481             
1400                ,0.62125             ,0.61772             ,0.08393             ,0.08405             ,406                 ,1689                ,0.38155             
1450                ,0.62621             ,0.62012             ,0.08338             ,0.08379             ,396                 ,1686                ,0.37812             
1500                ,0.63054             ,0.62171             ,0.0829              ,0.08361             ,389                 ,1683                ,0.37467             
1550                ,0.62665             ,0.61998             ,0.08333             ,0.0838              ,398                 ,1680                ,0.36722             
1600                ,0.62712             ,0.62028             ,0.08328             ,0.08377             ,398                 ,1677                ,0.36562             
1650                ,0.62762             ,0.62073             ,0.08323             ,0.08372             ,398                 ,1674                ,0.36376             
1700                ,0.62812             ,0.62113             ,0.08317             ,0.08367             ,398                 ,1671                ,0.36194             
1750                ,0.62859             ,0.62152             ,0.08312             ,0.08363             ,398                 ,1668                ,0.36014             
1800                ,0.62907             ,0.62186             ,0.08306             ,0.08359             ,398                 ,1664                ,0.35845             
1850                ,0.62955             ,0.62231             ,0.08301             ,0.08354             ,398                 ,1661                ,0.35672             
1900                ,0.63002             ,0.62263             ,0.08296             ,0.08351             ,398                 ,1657                ,0.35507             
1950                ,0.6305              ,0.62294             ,0.0829              ,0.08347             ,398                 ,1654                ,0.35341             
2000                ,0.63097             ,0.62322             ,0.08285             ,0.08344             ,398                 ,1650                ,0.35173             
2050                ,0.63144             ,0.62358             ,0.0828              ,0.0834              ,397                 ,1647                ,0.34998             
2100                ,0.63194             ,0.624               ,0.08274             ,0.08336             ,397                 ,1643                ,0.34817             
2150                ,0.63243             ,0.6244              ,0.08269             ,0.08331             ,397                 ,1639                ,0.34637             
2200                ,0.63296             ,0.62481             ,0.08263             ,0.08327             ,397                 ,1635                ,0.34455             
2250                ,0.63353             ,0.62522             ,0.08256             ,0.08322             ,397                 ,1631                ,0.34275             
2300                ,0.63414             ,0.62569             ,0.08249             ,0.08317             ,397                 ,1626                ,0.34089             
2350                ,0.63481             ,0.62618             ,0.08242             ,0.08311             ,397                 ,1621                ,0.33918             
2400                ,0.63554             ,0.6267              ,0.08233             ,0.08306             ,397                 ,1616                ,0.33756             
2450                ,0.63637             ,0.6273              ,0.08224             ,0.08299             ,397                 ,1610                ,0.33595             
2500                ,0.63721             ,0.62794             ,0.08215             ,0.08292             ,396                 ,1604                ,0.33451             
2550                ,0.6381              ,0.62866             ,0.08205             ,0.08284             ,396                 ,1597                ,0.33321             
2600                ,0.63903             ,0.62939             ,0.08194             ,0.08276             ,396                 ,1591                ,0.33202             
2650                ,0.63996             ,0.63012             ,0.08183             ,0.08268             ,396                 ,1584                ,0.33094             
2700                ,0.64094             ,0.63089             ,0.08172             ,0.08259             ,396                 ,1577                ,0.32989             
2750                ,0.64199             ,0.63182             ,0.0816              ,0.08249             ,396                 ,1569                ,0.3288              
2800                ,0.64314             ,0.63273             ,0.08147             ,0.08238             ,396                 ,1561                ,0.32793             
2850                ,0.64429             ,0.63364             ,0.08134             ,0.08228             ,396                 ,1553                ,0.32734             
2900                ,0.64549             ,0.63457             ,0.0812              ,0.08218             ,395                 ,1545                ,0.32703             
2950                ,0.64672             ,0.63543             ,0.08106             ,0.08208             ,395                 ,1536                ,0.32708             
3000                ,0.64798             ,0.63663             ,0.08092             ,0.08194             ,395                 ,1528                ,0.32718             
3050                ,0.64931             ,0.63771             ,0.08077             ,0.08182             ,395                 ,1518                ,0.32744             
3100                ,0.65058             ,0.63874             ,0.08062             ,0.08171             ,395                 ,1509                ,0.32785             
3150                ,0.6518              ,0.63963             ,0.08048             ,0.08161             ,395                 ,1500                ,0.32816             
3200                ,0.65301             ,0.64052             ,0.08034             ,0.08151             ,395                 ,1491                ,0.32808             
3250                ,0.65414             ,0.64143             ,0.08021             ,0.0814              ,394                 ,1483                ,0.32801             
3300                ,0.65535             ,0.64208             ,0.08007             ,0.08133             ,394                 ,1474                ,0.32827             
3350                ,0.65653             ,0.64303             ,0.07993             ,0.08122             ,394                 ,1464                ,0.32804             
3400                ,0.65784             ,0.64373             ,0.07978             ,0.08114             ,394                 ,1455                ,0.32818             
3450                ,0.65925             ,0.64497             ,0.07961             ,0.081               ,394                 ,1444                ,0.3281              
3500                ,0.6606              ,0.646               ,0.07945             ,0.08088             ,394                 ,1434                ,0.32803             
3550                ,0.6618              ,0.64704             ,0.07931             ,0.08076             ,394                 ,1425                ,0.32767             
3600                ,0.66276             ,0.64798             ,0.0792              ,0.08066             ,393                 ,1416                ,0.32733             
3650                ,0.66396             ,0.64893             ,0.07906             ,0.08055             ,393                 ,1407                ,0.32738             
3700                ,0.66615             ,0.6511              ,0.0788              ,0.0803              ,393                 ,1395                ,0.33016             
3750                ,0.66652             ,0.65078             ,0.07876             ,0.08033             ,393                 ,1391                ,0.32956             
3800                ,0.66731             ,0.65162             ,0.07867             ,0.08024             ,393                 ,1383                ,0.32896             
3850                ,0.66853             ,0.65239             ,0.07852             ,0.08015             ,393                 ,1373                ,0.32899             
3900                ,0.6698              ,0.65326             ,0.07837             ,0.08005             ,392                 ,1363                ,0.3289              
3950                ,0.67111             ,0.65413             ,0.07821             ,0.07995             ,392                 ,1352                ,0.32927             
4000                ,0.67242             ,0.65533             ,0.07806             ,0.07981             ,392                 ,1341                ,0.32919             
