epoch,train_r2,validation_r2,train_rmse,validation_rmse,BI_0:i,BI_1:i,BI_2:i,BI_3:i,BI_4:i
50                  ,0.1071              ,0.10879             ,0.12887             ,0.12833             ,1537                ,208                 ,3556                ,3090                ,1198                
100                 ,0.1849              ,0.18872             ,0.12313             ,0.12244             ,1552                ,221                 ,3510                ,3072                ,1149                
150                 ,0.25408             ,0.26174             ,0.11779             ,0.1168              ,1562                ,236                 ,3475                ,3072                ,1089                
200                 ,0.33113             ,0.34246             ,0.11154             ,0.11023             ,1573                ,254                 ,3463                ,3073                ,1036                
250                 ,0.43126             ,0.44457             ,0.10285             ,0.10131             ,1582                ,275                 ,3463                ,3071                ,1030                
300                 ,0.54831             ,0.56262             ,0.09166             ,0.0899              ,1597                ,303                 ,3463                ,3063                ,1090                
350                 ,0.66778             ,0.68133             ,0.07861             ,0.07674             ,1651                ,334                 ,3463                ,3012                ,1150                
400                 ,0.74938             ,0.75706             ,0.06828             ,0.067               ,1720                ,357                 ,3463                ,2992                ,1171                
450                 ,0.78996             ,0.7943              ,0.0625              ,0.06165             ,1753                ,371                 ,3462                ,2989                ,1172                
500                 ,0.80749             ,0.80916             ,0.05984             ,0.05939             ,1796                ,378                 ,3461                ,2986                ,1167                
550                 ,0.81606             ,0.81638             ,0.05849             ,0.05825             ,1838                ,383                 ,3460                ,2985                ,1138                
600                 ,0.82123             ,0.82114             ,0.05766             ,0.05749             ,1865                ,386                 ,3460                ,2984                ,1113                
650                 ,0.82464             ,0.82421             ,0.05711             ,0.057               ,1871                ,388                 ,3456                ,2983                ,1100                
700                 ,0.82721             ,0.82672             ,0.05669             ,0.05659             ,1872                ,391                 ,3456                ,2982                ,1090                
750                 ,0.8293              ,0.82899             ,0.05635             ,0.05622             ,1872                ,393                 ,3456                ,2982                ,1082                
800                 ,0.83145             ,0.83116             ,0.05599             ,0.05586             ,1876                ,395                 ,3456                ,2982                ,1073                
850                 ,0.83302             ,0.83308             ,0.05573             ,0.05554             ,1880                ,396                 ,3456                ,2983                ,1066                
900                 ,0.83435             ,0.83434             ,0.05551             ,0.05533             ,1880                ,398                 ,3456                ,2982                ,1065                
950                 ,0.83553             ,0.83569             ,0.05531             ,0.0551              ,1880                ,399                 ,3456                ,2982                ,1065                
1000                ,0.83671             ,0.8369              ,0.05511             ,0.0549              ,1880                ,400                 ,3456                ,2982                ,1065                
1050                ,0.83779             ,0.83794             ,0.05493             ,0.05472             ,1880                ,401                 ,3456                ,2982                ,1065                
1100                ,0.83881             ,0.83897             ,0.05476             ,0.05455             ,1880                ,402                 ,3456                ,2982                ,1065                
1150                ,0.83978             ,0.83995             ,0.05459             ,0.05438             ,1880                ,402                 ,3456                ,2982                ,1066                
1200                ,0.8408              ,0.841               ,0.05442             ,0.05421             ,1880                ,403                 ,3456                ,2982                ,1066                
1250                ,0.8417              ,0.84191             ,0.05426             ,0.05405             ,1880                ,403                 ,3456                ,2982                ,1066                
1300                ,0.84259             ,0.84285             ,0.05411             ,0.05389             ,1880                ,404                 ,3456                ,2982                ,1066                
1350                ,0.84348             ,0.8438              ,0.05396             ,0.05373             ,1880                ,405                 ,3456                ,2981                ,1066                
1400                ,0.84441             ,0.84462             ,0.0538              ,0.05359             ,1880                ,406                 ,3456                ,2981                ,1066                
1450                ,0.84526             ,0.84535             ,0.05365             ,0.05346             ,1880                ,406                 ,3456                ,2981                ,1066                
1500                ,0.84605             ,0.8462              ,0.05351             ,0.05331             ,1880                ,407                 ,3456                ,2981                ,1067                
