epoch,train_r2,validation_r2,train_rmse,validation_rmse,MNDI_0:i,MNDI_0:j,MNDI_0:k,MNDI_0:alpha,MNDI_1:i,MNDI_1:j,MNDI_1:k,MNDI_1:alpha,MNDI_2:i,MNDI_2:j,MNDI_2:k,MNDI_2:alpha,MNDI_3:i,MNDI_3:j,MNDI_3:k,MNDI_3:alpha,MNDI_4:i,MNDI_4:j,MNDI_4:k,MNDI_4:alpha
700                 ,0.60159             ,0.63244             ,0.08608             ,0.08242             ,3023                ,135                 ,2027                ,0.62286             ,1185                ,1137                ,1379                ,0.58165             ,1068                ,1928                ,2173                ,-0.26224            ,958                 ,370                 ,3299                ,0.61476             ,415                 ,3007                ,511                 ,0.89511             
750                 ,0.61256             ,0.63764             ,0.08489             ,0.08183             ,3023                ,138                 ,2026                ,0.61922             ,1210                ,1136                ,1416                ,0.58549             ,1057                ,1928                ,2173                ,-0.27453            ,958                 ,370                 ,3299                ,0.61476             ,409                 ,3006                ,511                 ,0.89092             
800                 ,0.62151             ,0.64167             ,0.0839              ,0.08137             ,3023                ,141                 ,2025                ,0.61478             ,1237                ,1132                ,1455                ,0.5914              ,1053                ,1928                ,2173                ,-0.28404            ,958                 ,370                 ,3299                ,0.61476             ,405                 ,3006                ,511                 ,0.88633             
850                 ,0.56791             ,0.6491              ,0.08965             ,0.08053             ,3039                ,142                 ,2022                ,0.62587             ,1264                ,1123                ,1504                ,0.60096             ,1044                ,1930                ,2186                ,-0.29098            ,958                 ,370                 ,3299                ,0.61476             ,403                 ,3003                ,507                 ,0.87782             
900                 ,0.61899             ,0.64572             ,0.08418             ,0.08091             ,3041                ,141                 ,2034                ,0.62299             ,1290                ,1122                ,1556                ,0.6021              ,1060                ,1930                ,2180                ,-0.25877            ,958                 ,370                 ,3299                ,0.61476             ,398                 ,3005                ,471                 ,0.86495             
950                 ,0.62545             ,0.64946             ,0.08347             ,0.08048             ,3040                ,141                 ,2035                ,0.62243             ,1317                ,1109                ,1616                ,0.6232              ,1058                ,1929                ,2180                ,-0.25837            ,958                 ,370                 ,3299                ,0.61476             ,398                 ,3003                ,471                 ,0.86382             
1000                ,0.63117             ,0.65308             ,0.08283             ,0.08007             ,3040                ,141                 ,2035                ,0.62191             ,1342                ,1093                ,1659                ,0.65211             ,1058                ,1929                ,2180                ,-0.25548            ,958                 ,370                 ,3299                ,0.61476             ,397                 ,3002                ,471                 ,0.86027             
1050                ,0.63701             ,0.65713             ,0.08217             ,0.0796              ,3040                ,141                 ,2036                ,0.6214              ,1364                ,1074                ,1703                ,0.68931             ,1058                ,1929                ,2180                ,-0.24908            ,958                 ,370                 ,3299                ,0.61476             ,395                 ,3001                ,471                 ,0.85514             
1100                ,0.64319             ,0.66185             ,0.08147             ,0.07905             ,3040                ,141                 ,2036                ,0.62092             ,1379                ,1057                ,1736                ,0.73646             ,1058                ,1929                ,2179                ,-0.23778            ,958                 ,370                 ,3299                ,0.61476             ,394                 ,3001                ,471                 ,0.84861             
1150                ,0.64946             ,0.66686             ,0.08075             ,0.07846             ,3040                ,141                 ,2037                ,0.62044             ,1383                ,1043                ,1735                ,0.7934              ,1059                ,1929                ,2179                ,-0.22202            ,958                 ,370                 ,3299                ,0.61476             ,393                 ,2998                ,471                 ,0.84158             
1200                ,0.65593             ,0.67255             ,0.08                ,0.07779             ,3040                ,141                 ,2037                ,0.61996             ,1383                ,1038                ,1735                ,0.85589             ,1059                ,1929                ,2179                ,-0.20156            ,958                 ,370                 ,3299                ,0.61476             ,393                 ,2997                ,471                 ,0.83379             
1250                ,0.66236             ,0.67844             ,0.07925             ,0.07709             ,3040                ,141                 ,2037                ,0.61948             ,1383                ,1038                ,1735                ,0.91743             ,1073                ,1929                ,2179                ,-0.17792            ,958                 ,370                 ,3299                ,0.61476             ,393                 ,2994                ,471                 ,0.82587             
1300                ,0.66833             ,0.68408             ,0.07854             ,0.07641             ,3040                ,141                 ,2037                ,0.61905             ,1383                ,1046                ,1735                ,0.97484             ,1088                ,1929                ,2179                ,-0.15385            ,958                 ,370                 ,3299                ,0.61476             ,393                 ,2992                ,472                 ,0.81915             
1350                ,0.67251             ,0.68862             ,0.07805             ,0.07586             ,3040                ,141                 ,2037                ,0.61899             ,1393                ,1064                ,1735                ,1.01978             ,1100                ,1928                ,2179                ,-0.13422            ,958                 ,370                 ,3299                ,0.61476             ,394                 ,2991                ,472                 ,0.81415             
1400                ,0.67497             ,0.691               ,0.07775             ,0.07557             ,3040                ,141                 ,2037                ,0.61893             ,1398                ,1081                ,1735                ,1.04175             ,1107                ,1926                ,2179                ,-0.121              ,958                 ,370                 ,3299                ,0.61476             ,394                 ,2990                ,473                 ,0.8101              
1450                ,0.67663             ,0.69207             ,0.07756             ,0.07543             ,3040                ,141                 ,2037                ,0.61887             ,1398                ,1088                ,1735                ,1.0466              ,1109                ,1925                ,2142                ,-0.1121             ,958                 ,370                 ,3299                ,0.61476             ,395                 ,2989                ,483                 ,0.80647             
1500                ,0.67833             ,0.69315             ,0.07735             ,0.0753              ,3039                ,141                 ,2037                ,0.6188              ,1398                ,1087                ,1735                ,1.04564             ,1109                ,1925                ,2137                ,-0.10549            ,958                 ,370                 ,3299                ,0.61476             ,396                 ,2989                ,484                 ,0.80371             
