epoch,train_r2,validation_r2,train_rmse,validation_rmse,RI_0:i,RI_0:j,RI_1:i,RI_1:j,RI_2:i,RI_2:j,RI_3:i,RI_3:j,RI_4:i,RI_4:j
50                  ,0                   ,0                   ,36.85086            ,0.13921             ,3361                ,2565                ,1522                ,2753                ,792                 ,3784                ,3344                ,3244                ,3183                ,60                  
100                 ,0                   ,0                   ,2.55961             ,0.13987             ,3366                ,2565                ,1522                ,2754                ,793                 ,3784                ,3344                ,3244                ,3182                ,60                  
150                 ,0                   ,0                   ,0.73852             ,0.13981             ,3366                ,2565                ,1522                ,2754                ,793                 ,3785                ,3344                ,3244                ,3182                ,60                  
200                 ,0                   ,0                   ,0.1504              ,0.13969             ,3366                ,2565                ,1522                ,2754                ,793                 ,3785                ,3344                ,3243                ,3182                ,60                  
250                 ,0                   ,0                   ,0.13987             ,0.13956             ,3366                ,2565                ,1522                ,2754                ,793                 ,3785                ,3345                ,3242                ,3182                ,60                  
300                 ,0                   ,0                   ,0.1397              ,0.13944             ,3366                ,2565                ,1522                ,2753                ,793                 ,3785                ,3345                ,3241                ,3182                ,60                  
350                 ,0                   ,0                   ,0.13956             ,0.1393              ,3366                ,2564                ,1522                ,2753                ,793                 ,3785                ,3345                ,3240                ,3182                ,60                  
400                 ,0                   ,0                   ,0.13941             ,0.13915             ,3366                ,2564                ,1522                ,2753                ,793                 ,3785                ,3345                ,3239                ,3182                ,60                  
450                 ,0                   ,0                   ,0.13926             ,0.13899             ,3366                ,2564                ,1522                ,2752                ,793                 ,3785                ,3346                ,3238                ,3182                ,60                  
500                 ,0                   ,0                   ,0.1391              ,0.13883             ,3366                ,2564                ,1522                ,2752                ,793                 ,3786                ,3346                ,3237                ,3182                ,60                  
550                 ,0                   ,0                   ,0.13894             ,0.13866             ,3366                ,2564                ,1522                ,2752                ,793                 ,3786                ,3347                ,3235                ,3182                ,60                  
600                 ,0                   ,0                   ,0.13878             ,0.13849             ,3366                ,2564                ,1522                ,2751                ,793                 ,3786                ,3347                ,3234                ,3182                ,60                  
650                 ,0                   ,0                   ,0.13861             ,0.13831             ,3366                ,2564                ,1522                ,2751                ,793                 ,3787                ,3347                ,3233                ,3182                ,60                  
700                 ,0                   ,0                   ,0.13844             ,0.13814             ,3366                ,2564                ,1522                ,2751                ,793                 ,3787                ,3348                ,3232                ,3182                ,60                  
750                 ,0                   ,0                   ,0.13827             ,0.13795             ,3366                ,2564                ,1522                ,2750                ,793                 ,3788                ,3348                ,3230                ,3182                ,60                  
800                 ,0                   ,0                   ,0.13809             ,0.13777             ,3366                ,2563                ,1522                ,2750                ,793                 ,3788                ,3349                ,3229                ,3182                ,60                  
850                 ,0                   ,0                   ,0.13791             ,0.13758             ,3366                ,2563                ,1522                ,2749                ,793                 ,3788                ,3350                ,3228                ,3182                ,60                  
900                 ,0                   ,0                   ,0.13774             ,0.13739             ,3366                ,2563                ,1522                ,2749                ,793                 ,3788                ,3350                ,3226                ,3182                ,60                  
950                 ,0                   ,0                   ,0.13756             ,0.13719             ,3366                ,2562                ,1522                ,2748                ,793                 ,3788                ,3351                ,3225                ,3182                ,60                  
1000                ,0                   ,0                   ,0.13738             ,0.137               ,3366                ,2562                ,1522                ,2748                ,793                 ,3788                ,3351                ,3224                ,3182                ,60                  
1050                ,0                   ,0                   ,0.1372              ,0.1368              ,3366                ,2562                ,1522                ,2747                ,793                 ,3788                ,3352                ,3223                ,3182                ,60                  
1100                ,0                   ,0                   ,0.13701             ,0.1366              ,3366                ,2562                ,1522                ,2746                ,793                 ,3788                ,3353                ,3221                ,3182                ,60                  
1150                ,0                   ,0                   ,0.13683             ,0.1364              ,3366                ,2562                ,1522                ,2746                ,793                 ,3788                ,3353                ,3220                ,3182                ,60                  
1200                ,0                   ,0                   ,0.13665             ,0.1362              ,3366                ,2561                ,1522                ,2745                ,793                 ,3788                ,3354                ,3219                ,3182                ,60                  
1250                ,0                   ,0                   ,0.13646             ,0.13601             ,3366                ,2561                ,1522                ,2745                ,793                 ,3788                ,3354                ,3218                ,3182                ,60                  
1300                ,0.0016              ,0.00195             ,0.13627             ,0.13581             ,3366                ,2561                ,1522                ,2744                ,793                 ,3788                ,3355                ,3217                ,3182                ,60                  
1350                ,0.00437             ,0.00496             ,0.13609             ,0.1356              ,3366                ,2560                ,1522                ,2743                ,793                 ,3788                ,3356                ,3215                ,3182                ,60                  
1400                ,0.0071              ,0.00791             ,0.1359              ,0.1354              ,3366                ,2560                ,1522                ,2742                ,793                 ,3788                ,3357                ,3214                ,3182                ,60                  
1450                ,0.00985             ,0.01087             ,0.13571             ,0.1352              ,3366                ,2560                ,1522                ,2741                ,793                 ,3788                ,3357                ,3214                ,3182                ,60                  
1500                ,0.01267             ,0.01392             ,0.13552             ,0.13499             ,3366                ,2560                ,1522                ,2740                ,793                 ,3788                ,3358                ,3212                ,3182                ,60                  
