epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.13676             ,0.13632             ,2943                ,3370                ,2521                ,0.40776             ,0.32724             
100                 ,0.00755             ,0.00747             ,0.13587             ,0.13543             ,2957                ,3348                ,2570                ,0.40818             ,0.32341             
150                 ,0.02665             ,0.02697             ,0.13455             ,0.13409             ,2967                ,3363                ,2634                ,0.37731             ,0.34307             
200                 ,0.06014             ,0.06099             ,0.13222             ,0.13173             ,2967                ,3408                ,2655                ,0.30459             ,0.39248             
250                 ,0.11432             ,0.11636             ,0.12835             ,0.12779             ,2966                ,3443                ,2655                ,0.19975             ,0.46031             
300                 ,0.20423             ,0.20882             ,0.12166             ,0.12092             ,2965                ,3464                ,2654                ,0.0844              ,0.53261             
350                 ,0.32331             ,0.33159             ,0.11219             ,0.11114             ,2963                ,3458                ,2648                ,-0.03048            ,0.59874             
400                 ,0.4349              ,0.44899             ,0.10252             ,0.10091             ,2962                ,3457                ,2600                ,-0.13636            ,0.64939             
450                 ,0.50831             ,0.52652             ,0.09563             ,0.09354             ,2961                ,3437                ,2550                ,-0.22002            ,0.67377             
500                 ,0.55871             ,0.57625             ,0.0906              ,0.08849             ,2961                ,3389                ,2507                ,-0.28476            ,0.68524             
550                 ,0.58735             ,0.60709             ,0.08761             ,0.08521             ,2960                ,3390                ,2449                ,-0.3354             ,0.68575             
600                 ,0.61243             ,0.62846             ,0.08491             ,0.08286             ,2958                ,3390                ,2304                ,-0.36569            ,0.67795             
650                 ,0.62805             ,0.64019             ,0.08318             ,0.08154             ,2959                ,3390                ,2167                ,-0.38783            ,0.67351             
700                 ,0.63072             ,0.6427              ,0.08288             ,0.08126             ,2960                ,3390                ,2134                ,-0.39895            ,0.66888             
750                 ,0.63092             ,0.64283             ,0.08286             ,0.08124             ,2960                ,3390                ,2134                ,-0.40957            ,0.6658              
800                 ,0.63111             ,0.64297             ,0.08283             ,0.08123             ,2960                ,3390                ,2134                ,-0.42101            ,0.66324             
850                 ,0.63126             ,0.64317             ,0.08282             ,0.0812              ,2959                ,3390                ,2134                ,-0.43296            ,0.6609              
900                 ,0.63147             ,0.64328             ,0.08279             ,0.08119             ,2960                ,3390                ,2134                ,-0.44525            ,0.6588              
950                 ,0.63165             ,0.64332             ,0.08277             ,0.08119             ,2960                ,3390                ,2134                ,-0.45827            ,0.65679             
1000                ,0.63188             ,0.64356             ,0.08275             ,0.08116             ,2960                ,3390                ,2134                ,-0.47151            ,0.65497             
1050                ,0.63209             ,0.64374             ,0.08272             ,0.08114             ,2960                ,3390                ,2134                ,-0.48488            ,0.65325             
