epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.14414             ,0.14379             ,4                   ,4072                ,1671                ,0.4611              ,0.83559             
100                 ,0.01114             ,0.01318             ,0.13562             ,0.13504             ,5                   ,4072                ,1692                ,0.46017             ,0.83751             
150                 ,0.10656             ,0.11372             ,0.12891             ,0.12798             ,5                   ,4071                ,1702                ,0.45702             ,0.83623             
200                 ,0.17895             ,0.19157             ,0.12358             ,0.12223             ,5                   ,4069                ,1696                ,0.45197             ,0.83317             
250                 ,0.23637             ,0.25348             ,0.11918             ,0.11745             ,5                   ,4066                ,1666                ,0.44601             ,0.82851             
300                 ,0.28468             ,0.30467             ,0.11535             ,0.11336             ,5                   ,4062                ,1610                ,0.43951             ,0.82334             
350                 ,0.34415             ,0.36551             ,0.11045             ,0.10828             ,6                   ,4059                ,1481                ,0.43028             ,0.81902             
400                 ,0.39449             ,0.41819             ,0.10613             ,0.10369             ,6                   ,4054                ,1396                ,0.42029             ,0.81433             
450                 ,0.44051             ,0.46399             ,0.10201             ,0.09953             ,6                   ,4050                ,1341                ,0.40964             ,0.80935             
500                 ,0.48008             ,0.50316             ,0.09834             ,0.09582             ,7                   ,4045                ,1301                ,0.39881             ,0.80394             
550                 ,0.51559             ,0.53694             ,0.09492             ,0.09251             ,7                   ,4039                ,1270                ,0.38798             ,0.79816             
600                 ,0.54536             ,0.56464             ,0.09196             ,0.0897              ,7                   ,4033                ,1247                ,0.37717             ,0.79221             
650                 ,0.56851             ,0.58541             ,0.08959             ,0.08753             ,8                   ,4026                ,1227                ,0.36645             ,0.78629             
700                 ,0.58588             ,0.60049             ,0.08777             ,0.08592             ,8                   ,4019                ,1206                ,0.3559              ,0.78068             
750                 ,0.59889             ,0.6113              ,0.08638             ,0.08475             ,9                   ,4012                ,1180                ,0.3458              ,0.7757              
800                 ,0.6092              ,0.61962             ,0.08526             ,0.08384             ,9                   ,4004                ,1150                ,0.33538             ,0.77194             
850                 ,0.6163              ,0.62497             ,0.08448             ,0.08325             ,9                   ,3996                ,1128                ,0.32614             ,0.76835             
900                 ,0.62037             ,0.62754             ,0.08403             ,0.08296             ,10                  ,3986                ,1126                ,0.31959             ,0.76412             
950                 ,0.62294             ,0.62923             ,0.08375             ,0.08277             ,10                  ,3976                ,1125                ,0.31455             ,0.7606              
1000                ,0.62495             ,0.63099             ,0.08352             ,0.08258             ,10                  ,3964                ,1125                ,0.3102              ,0.75803             
1050                ,0.62733             ,0.63378             ,0.08326             ,0.08227             ,11                  ,3948                ,1126                ,0.30555             ,0.75665             
1100                ,0.62896             ,0.63633             ,0.08308             ,0.08198             ,11                  ,3934                ,1126                ,0.30048             ,0.75632             
1150                ,0.62994             ,0.63789             ,0.08297             ,0.0818              ,12                  ,3924                ,1126                ,0.29546             ,0.75574             
1200                ,0.63253             ,0.64101             ,0.08268             ,0.08145             ,12                  ,3908                ,1125                ,0.29009             ,0.75544             
1250                ,0.63439             ,0.6429              ,0.08246             ,0.08123             ,12                  ,3888                ,1126                ,0.28676             ,0.75478             
1300                ,0.63635             ,0.64481             ,0.08224             ,0.08102             ,13                  ,3869                ,1127                ,0.28325             ,0.75419             
1350                ,0.64265             ,0.65059             ,0.08153             ,0.08036             ,13                  ,3838                ,1130                ,0.28085             ,0.75435             
1400                ,0.6476              ,0.65609             ,0.08096             ,0.07972             ,14                  ,3810                ,1132                ,0.28236             ,0.75679             
1450                ,0.64785             ,0.65742             ,0.08093             ,0.07957             ,14                  ,3805                ,1136                ,0.28311             ,0.75817             
1500                ,0.64774             ,0.65835             ,0.08095             ,0.07946             ,15                  ,3805                ,1137                ,0.2826              ,0.7585              
1550                ,0.64745             ,0.65866             ,0.08098             ,0.07942             ,15                  ,3805                ,1137                ,0.2815              ,0.75805             
1600                ,0.64721             ,0.6587              ,0.08101             ,0.07942             ,15                  ,3805                ,1137                ,0.28002             ,0.75721             
1650                ,0.64694             ,0.65854             ,0.08104             ,0.07944             ,16                  ,3805                ,1137                ,0.27815             ,0.75609             
1700                ,0.64667             ,0.65841             ,0.08107             ,0.07945             ,16                  ,3805                ,1137                ,0.27619             ,0.75479             
1750                ,0.64637             ,0.6582              ,0.0811              ,0.07948             ,17                  ,3805                ,1137                ,0.27419             ,0.75342             
1800                ,0.64605             ,0.65798             ,0.08114             ,0.0795              ,18                  ,3805                ,1137                ,0.27218             ,0.75201             
1850                ,0.64573             ,0.6577              ,0.08118             ,0.07953             ,18                  ,3805                ,1137                ,0.27023             ,0.75048             
1900                ,0.64544             ,0.65735             ,0.08121             ,0.07957             ,19                  ,3805                ,1137                ,0.26798             ,0.74888             
1950                ,0.64511             ,0.65701             ,0.08125             ,0.07961             ,19                  ,3805                ,1137                ,0.26564             ,0.74732             
2000                ,0.64477             ,0.65677             ,0.08129             ,0.07964             ,20                  ,3805                ,1137                ,0.26325             ,0.74574             
2050                ,0.64444             ,0.65649             ,0.08132             ,0.07967             ,21                  ,3805                ,1137                ,0.26083             ,0.74408             
2100                ,0.64411             ,0.65626             ,0.08136             ,0.0797              ,21                  ,3805                ,1137                ,0.2583              ,0.74241             
2150                ,0.64378             ,0.65597             ,0.0814              ,0.07973             ,22                  ,3805                ,1137                ,0.25569             ,0.74076             
2200                ,0.64345             ,0.6557              ,0.08144             ,0.07977             ,23                  ,3805                ,1137                ,0.25304             ,0.73912             
2250                ,0.64311             ,0.65541             ,0.08148             ,0.0798              ,24                  ,3805                ,1137                ,0.2503              ,0.73747             
2300                ,0.64278             ,0.65514             ,0.08151             ,0.07983             ,25                  ,3805                ,1137                ,0.2477              ,0.73566             
2350                ,0.64252             ,0.65482             ,0.08154             ,0.07987             ,25                  ,3805                ,1137                ,0.24515             ,0.73366             
2400                ,0.64225             ,0.65451             ,0.08157             ,0.0799              ,26                  ,3804                ,1137                ,0.24223             ,0.73209             
2450                ,0.64196             ,0.65417             ,0.08161             ,0.07994             ,27                  ,3804                ,1137                ,0.23924             ,0.73061             
2500                ,0.64168             ,0.65392             ,0.08164             ,0.07997             ,29                  ,3804                ,1137                ,0.23633             ,0.72907             
2550                ,0.6414              ,0.65357             ,0.08167             ,0.08001             ,30                  ,3803                ,1137                ,0.23336             ,0.72754             
2600                ,0.64119             ,0.65328             ,0.08169             ,0.08005             ,31                  ,3803                ,1137                ,0.2304              ,0.72614             
2650                ,0.64098             ,0.65308             ,0.08172             ,0.08007             ,32                  ,3803                ,1137                ,0.22743             ,0.72473             
2700                ,0.64074             ,0.65286             ,0.08175             ,0.08009             ,34                  ,3803                ,1137                ,0.22433             ,0.72309             
2750                ,0.64057             ,0.65265             ,0.08177             ,0.08012             ,35                  ,3803                ,1137                ,0.22116             ,0.72159             
2800                ,0.64042             ,0.65236             ,0.08178             ,0.08015             ,37                  ,3803                ,1137                ,0.21782             ,0.7199              
2850                ,0.64035             ,0.65203             ,0.08179             ,0.08019             ,39                  ,3803                ,1137                ,0.21454             ,0.71822             
2900                ,0.64031             ,0.65173             ,0.08179             ,0.08022             ,41                  ,3803                ,1137                ,0.21129             ,0.71653             
2950                ,0.64038             ,0.65138             ,0.08179             ,0.08026             ,43                  ,3803                ,1137                ,0.20822             ,0.7149              
3000                ,0.64052             ,0.65117             ,0.08177             ,0.08029             ,45                  ,3803                ,1137                ,0.20519             ,0.71332             
3050                ,0.64065             ,0.65116             ,0.08176             ,0.08029             ,48                  ,3803                ,1137                ,0.20177             ,0.71166             
3100                ,0.64079             ,0.65097             ,0.08174             ,0.08031             ,50                  ,3803                ,1137                ,0.19826             ,0.70993             
3150                ,0.64103             ,0.65086             ,0.08171             ,0.08032             ,53                  ,3803                ,1137                ,0.19481             ,0.70817             
3200                ,0.64131             ,0.65088             ,0.08168             ,0.08032             ,56                  ,3803                ,1137                ,0.19144             ,0.7064              
3250                ,0.64168             ,0.65092             ,0.08164             ,0.08032             ,59                  ,3803                ,1137                ,0.18814             ,0.70465             
3300                ,0.64213             ,0.65114             ,0.08159             ,0.08029             ,63                  ,3803                ,1137                ,0.18494             ,0.70294             
3350                ,0.64275             ,0.65145             ,0.08152             ,0.08026             ,67                  ,3803                ,1137                ,0.18187             ,0.70133             
3400                ,0.64346             ,0.65181             ,0.08144             ,0.08021             ,71                  ,3803                ,1137                ,0.17882             ,0.69968             
3450                ,0.64436             ,0.65231             ,0.08133             ,0.08016             ,76                  ,3803                ,1137                ,0.17578             ,0.69784             
3500                ,0.64543             ,0.65283             ,0.08121             ,0.0801              ,81                  ,3802                ,1137                ,0.17275             ,0.69598             
3550                ,0.64662             ,0.65382             ,0.08107             ,0.07998             ,87                  ,3802                ,1137                ,0.16973             ,0.6942              
3600                ,0.6478              ,0.65448             ,0.08094             ,0.07991             ,93                  ,3802                ,1137                ,0.1662              ,0.69216             
3650                ,0.6488              ,0.65508             ,0.08082             ,0.07984             ,99                  ,3802                ,1137                ,0.16307             ,0.6903              
3700                ,0.64974             ,0.65549             ,0.08072             ,0.07979             ,104                 ,3800                ,1129                ,0.15947             ,0.68858             
3750                ,0.6502              ,0.65586             ,0.08066             ,0.07975             ,110                 ,3800                ,1129                ,0.15594             ,0.68669             
3800                ,0.65022             ,0.65558             ,0.08066             ,0.07978             ,113                 ,3800                ,1129                ,0.15199             ,0.68468             
3850                ,0.65022             ,0.65578             ,0.08066             ,0.07976             ,117                 ,3800                ,1129                ,0.14801             ,0.68257             
3900                ,0.65021             ,0.65569             ,0.08066             ,0.07977             ,120                 ,3800                ,1129                ,0.14372             ,0.68061             
3950                ,0.65013             ,0.65571             ,0.08067             ,0.07976             ,123                 ,3800                ,1129                ,0.13946             ,0.67868             
4000                ,0.65007             ,0.65567             ,0.08068             ,0.07977             ,126                 ,3800                ,1129                ,0.13512             ,0.67675             
