epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0.00089             ,0.00198             ,0.13632             ,0.13581             ,1834                ,3629                ,2284                ,0.39149             ,0.77817             
100                 ,0.00172             ,0.00261             ,0.13627             ,0.13576             ,1839                ,3630                ,2254                ,0.38871             ,0.77935             
150                 ,0.00515             ,0.00503             ,0.13603             ,0.1356              ,1846                ,3632                ,2185                ,0.38798             ,0.77791             
200                 ,0.00766             ,0.0062              ,0.13586             ,0.13552             ,1851                ,3627                ,2148                ,0.38536             ,0.77819             
250                 ,0.0103              ,0.0074              ,0.13568             ,0.13544             ,1855                ,3618                ,2144                ,0.38215             ,0.77859             
300                 ,0.01241             ,0.00812             ,0.13553             ,0.13539             ,1857                ,3618                ,2144                ,0.37915             ,0.77881             
350                 ,0.01398             ,0.00857             ,0.13543             ,0.13536             ,1859                ,3618                ,2144                ,0.37657             ,0.77875             
400                 ,0.0151              ,0.00883             ,0.13535             ,0.13534             ,1859                ,3618                ,2144                ,0.37411             ,0.77862             
450                 ,0.01597             ,0.009               ,0.13529             ,0.13533             ,1859                ,3618                ,2144                ,0.37177             ,0.77835             
500                 ,0.01676             ,0.00966             ,0.13524             ,0.13528             ,1859                ,3618                ,2144                ,0.36948             ,0.77776             
550                 ,0.01746             ,0.01011             ,0.13519             ,0.13525             ,1862                ,3618                ,2144                ,0.36646             ,0.77761             
600                 ,0.01812             ,0.01053             ,0.13514             ,0.13522             ,1864                ,3618                ,2144                ,0.36335             ,0.77729             
650                 ,0.01871             ,0.01117             ,0.1351              ,0.13518             ,1864                ,3618                ,2144                ,0.36015             ,0.77688             
700                 ,0.0193              ,0.0116              ,0.13506             ,0.13515             ,1864                ,3618                ,2144                ,0.3565              ,0.77666             
750                 ,0.01992             ,0.01231             ,0.13502             ,0.1351              ,1864                ,3618                ,2144                ,0.35264             ,0.77636             
800                 ,0.02054             ,0.01282             ,0.13498             ,0.13507             ,1864                ,3618                ,2144                ,0.34842             ,0.77618             
850                 ,0.02117             ,0.01337             ,0.13493             ,0.13503             ,1864                ,3618                ,2144                ,0.34396             ,0.77607             
900                 ,0.02195             ,0.01407             ,0.13488             ,0.13498             ,1864                ,3618                ,2144                ,0.33927             ,0.776               
950                 ,0.02434             ,0.01635             ,0.13471             ,0.13482             ,1864                ,3618                ,2144                ,0.3355              ,0.77484             
1000                ,0.03229             ,0.02364             ,0.13416             ,0.13432             ,1864                ,3618                ,2144                ,0.33155             ,0.77307             
1050                ,0.04614             ,0.03615             ,0.1332              ,0.13346             ,1875                ,3618                ,2144                ,0.32888             ,0.76841             
1100                ,0.06337             ,0.05153             ,0.13199             ,0.13239             ,1912                ,3618                ,2145                ,0.32338             ,0.764               
1150                ,0.15907             ,0.14811             ,0.12507             ,0.12547             ,2007                ,3619                ,2114                ,0.32055             ,0.75548             
1200                ,0.22292             ,0.21419             ,0.12023             ,0.12051             ,2013                ,3595                ,2106                ,0.30406             ,0.74729             
1250                ,0.3283              ,0.32355             ,0.11178             ,0.11181             ,2011                ,3486                ,2092                ,0.28829             ,0.7315              
1300                ,0.39164             ,0.38999             ,0.10638             ,0.10617             ,2010                ,3468                ,2083                ,0.26895             ,0.71611             
1350                ,0.4304              ,0.43011             ,0.10293             ,0.10262             ,2010                ,3467                ,2076                ,0.23257             ,0.7146              
1400                ,0.45651             ,0.45662             ,0.10054             ,0.10021             ,2010                ,3466                ,2075                ,0.19465             ,0.7137              
1450                ,0.47346             ,0.47432             ,0.09896             ,0.09856             ,2009                ,3464                ,2074                ,0.15959             ,0.71236             
1500                ,0.48543             ,0.48776             ,0.09783             ,0.09729             ,2010                ,3464                ,2071                ,0.12627             ,0.7108              
1550                ,0.49394             ,0.49695             ,0.09702             ,0.09642             ,2010                ,3463                ,2070                ,0.09657             ,0.7082              
1600                ,0.50054             ,0.50379             ,0.09639             ,0.09576             ,2011                ,3460                ,2070                ,0.06851             ,0.70618             
1650                ,0.50596             ,0.50915             ,0.09586             ,0.09524             ,2011                ,3460                ,2070                ,0.04155             ,0.70445             
1700                ,0.51067             ,0.51359             ,0.0954              ,0.09481             ,2011                ,3460                ,2070                ,0.01478             ,0.70308             
1750                ,0.51497             ,0.51751             ,0.09498             ,0.09443             ,2012                ,3460                ,2070                ,-0.01127            ,0.70113             
