epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.13647             ,0.13601             ,1566                ,3996                ,1430                ,0.97478             ,0.59949             
100                 ,0                   ,0.00011             ,0.13642             ,0.13593             ,1567                ,3986                ,1430                ,0.97352             ,0.60123             
150                 ,0                   ,0.00047             ,0.13639             ,0.13591             ,1567                ,3976                ,1431                ,0.97392             ,0.60114             
200                 ,0.00034             ,0.00096             ,0.13636             ,0.13587             ,1568                ,3965                ,1432                ,0.97399             ,0.60145             
250                 ,0.00084             ,0.00158             ,0.13633             ,0.13583             ,1568                ,3953                ,1433                ,0.97409             ,0.60175             
300                 ,0.00152             ,0.00243             ,0.13628             ,0.13577             ,1569                ,3939                ,1435                ,0.97424             ,0.60204             
350                 ,0.00239             ,0.00354             ,0.13622             ,0.1357              ,1570                ,3924                ,1438                ,0.9745              ,0.60221             
400                 ,0.00389             ,0.0053              ,0.13612             ,0.13558             ,1571                ,3906                ,1442                ,0.97482             ,0.60231             
450                 ,0.00474             ,0.00636             ,0.13606             ,0.13551             ,1571                ,3893                ,1446                ,0.97505             ,0.6027              
500                 ,0.00553             ,0.00734             ,0.13601             ,0.13544             ,1571                ,3882                ,1451                ,0.97526             ,0.6031              
550                 ,0.00695             ,0.00892             ,0.13591             ,0.13533             ,1573                ,3864                ,1456                ,0.97547             ,0.60349             
600                 ,0.01261             ,0.01505             ,0.13552             ,0.13491             ,1574                ,3831                ,1461                ,0.97584             ,0.60405             
650                 ,0.01611             ,0.01906             ,0.13528             ,0.13464             ,1575                ,3814                ,1466                ,0.97672             ,0.60526             
700                 ,0.01881             ,0.02233             ,0.13509             ,0.13441             ,1577                ,3813                ,1472                ,0.97767             ,0.60662             
750                 ,0.02148             ,0.02559             ,0.13491             ,0.13419             ,1578                ,3814                ,1479                ,0.9785              ,0.60817             
800                 ,0.02415             ,0.02889             ,0.13473             ,0.13396             ,1580                ,3816                ,1487                ,0.9792              ,0.6099              
850                 ,0.02666             ,0.03204             ,0.13455             ,0.13374             ,1582                ,3816                ,1495                ,0.97974             ,0.61185             
900                 ,0.0291              ,0.03512             ,0.13438             ,0.13353             ,1581                ,3816                ,1502                ,0.98012             ,0.61399             
950                 ,0.03144             ,0.03813             ,0.13422             ,0.13332             ,1582                ,3816                ,1506                ,0.98033             ,0.61633             
1000                ,0.03371             ,0.04107             ,0.13407             ,0.13312             ,1582                ,3816                ,1508                ,0.98036             ,0.61886             
1050                ,0.03587             ,0.04391             ,0.13392             ,0.13292             ,1582                ,3817                ,1508                ,0.98023             ,0.62153             
1100                ,0.03792             ,0.04664             ,0.13377             ,0.13273             ,1582                ,3817                ,1509                ,0.9799              ,0.62434             
1150                ,0.03987             ,0.04928             ,0.13364             ,0.13255             ,1582                ,3817                ,1511                ,0.97936             ,0.62732             
1200                ,0.04173             ,0.05181             ,0.13351             ,0.13237             ,1582                ,3817                ,1512                ,0.97857             ,0.63049             
1250                ,0.04351             ,0.05423             ,0.13338             ,0.1322              ,1583                ,3817                ,1512                ,0.97754             ,0.63382             
1300                ,0.04528             ,0.05663             ,0.13326             ,0.13203             ,1594                ,3817                ,1512                ,0.97622             ,0.63735             
1350                ,0.047               ,0.05896             ,0.13314             ,0.13187             ,1605                ,3817                ,1512                ,0.97469             ,0.64099             
1400                ,0.0488              ,0.06138             ,0.13301             ,0.1317              ,1622                ,3817                ,1512                ,0.97297             ,0.64475             
1450                ,0.05133             ,0.0646              ,0.13284             ,0.13148             ,1654                ,3817                ,1512                ,0.97113             ,0.64861             
1500                ,0.05405             ,0.06804             ,0.13265             ,0.13123             ,1690                ,3817                ,1512                ,0.96919             ,0.65279             
1550                ,0.05654             ,0.07112             ,0.13247             ,0.13102             ,1716                ,3816                ,1512                ,0.96699             ,0.6574              
1600                ,0.05939             ,0.07437             ,0.13227             ,0.13079             ,1739                ,3816                ,1512                ,0.96432             ,0.66259             
1650                ,0.06641             ,0.08122             ,0.13178             ,0.1303              ,1796                ,3816                ,1512                ,0.96088             ,0.66898             
1700                ,0.07658             ,0.0908              ,0.13106             ,0.12962             ,1857                ,3816                ,1506                ,0.95675             ,0.6774              
1750                ,0.08511             ,0.09883             ,0.13045             ,0.12905             ,1888                ,3816                ,1505                ,0.95308             ,0.68641             
1800                ,0.09444             ,0.10882             ,0.12978             ,0.12833             ,1945                ,3816                ,1505                ,0.95214             ,0.69297             
1850                ,0.14079             ,0.15831             ,0.12642             ,0.12472             ,2022                ,3816                ,1504                ,0.95786             ,0.69823             
1900                ,0.20892             ,0.23529             ,0.1213              ,0.11888             ,2020                ,3816                ,1489                ,0.96244             ,0.70586             
1950                ,0.31892             ,0.36291             ,0.11255             ,0.1085              ,2020                ,3816                ,1422                ,0.94762             ,0.72378             
2000                ,0.38755             ,0.44272             ,0.10673             ,0.10148             ,2020                ,3813                ,1364                ,0.92476             ,0.74132             
2050                ,0.41386             ,0.47505             ,0.10441             ,0.09849             ,2020                ,3813                ,1352                ,0.90178             ,0.75582             
2100                ,0.42399             ,0.48669             ,0.10351             ,0.0974              ,2020                ,3812                ,1352                ,0.88344             ,0.76635             
2150                ,0.43005             ,0.49154             ,0.10296             ,0.09693             ,2020                ,3811                ,1353                ,0.86898             ,0.77425             
2200                ,0.43634             ,0.4955              ,0.10239             ,0.09656             ,2020                ,3811                ,1362                ,0.85668             ,0.78074             
2250                ,0.45258             ,0.50544             ,0.10091             ,0.0956              ,2020                ,3811                ,1381                ,0.84888             ,0.78411             
2300                ,0.51839             ,0.56225             ,0.09465             ,0.08994             ,2020                ,3813                ,1379                ,0.84565             ,0.78418             
2350                ,0.54279             ,0.58627             ,0.09222             ,0.08744             ,2020                ,3812                ,1367                ,0.82285             ,0.79489             
2400                ,0.55741             ,0.5981              ,0.09073             ,0.08618             ,2020                ,3811                ,1363                ,0.80152             ,0.80367             
2450                ,0.56758             ,0.60498             ,0.08968             ,0.08544             ,2020                ,3810                ,1363                ,0.78177             ,0.8111              
2500                ,0.57561             ,0.60935             ,0.08885             ,0.08497             ,2020                ,3809                ,1364                ,0.76311             ,0.8176              
2550                ,0.58198             ,0.61227             ,0.08818             ,0.08465             ,2020                ,3809                ,1364                ,0.74552             ,0.82341             
2600                ,0.58715             ,0.61406             ,0.08763             ,0.08445             ,2020                ,3808                ,1366                ,0.72906             ,0.82852             
2650                ,0.59133             ,0.61504             ,0.08719             ,0.08434             ,2020                ,3808                ,1366                ,0.71399             ,0.83289             
2700                ,0.59489             ,0.61628             ,0.08681             ,0.08421             ,2020                ,3808                ,1370                ,0.69896             ,0.83726             
2750                ,0.59803             ,0.61746             ,0.08647             ,0.08408             ,2020                ,3808                ,1379                ,0.68558             ,0.84068             
2800                ,0.60076             ,0.61881             ,0.08617             ,0.08393             ,2020                ,3806                ,1392                ,0.67368             ,0.84342             
2850                ,0.60284             ,0.61883             ,0.08595             ,0.08393             ,2020                ,3806                ,1392                ,0.66289             ,0.84578             
2900                ,0.60454             ,0.61876             ,0.08577             ,0.08394             ,2020                ,3806                ,1392                ,0.65288             ,0.84781             
2950                ,0.60617             ,0.61906             ,0.08559             ,0.0839              ,2020                ,3806                ,1392                ,0.64355             ,0.84966             
3000                ,0.6077              ,0.61913             ,0.08542             ,0.08389             ,2020                ,3806                ,1392                ,0.63546             ,0.851               
3050                ,0.6085              ,0.61887             ,0.08534             ,0.08392             ,2020                ,3806                ,1394                ,0.62923             ,0.85143             
3100                ,0.60914             ,0.61851             ,0.08527             ,0.08396             ,2020                ,3806                ,1394                ,0.62351             ,0.85164             
3150                ,0.60968             ,0.61817             ,0.08521             ,0.084               ,2020                ,3806                ,1394                ,0.61862             ,0.85152             
3200                ,0.61021             ,0.61802             ,0.08515             ,0.08402             ,2020                ,3806                ,1394                ,0.61412             ,0.85123             
3250                ,0.61068             ,0.61768             ,0.0851              ,0.08405             ,2020                ,3806                ,1394                ,0.61027             ,0.85057             
3300                ,0.61112             ,0.61728             ,0.08505             ,0.0841              ,2020                ,3806                ,1394                ,0.60754             ,0.84927             
3350                ,0.61151             ,0.61698             ,0.08501             ,0.08413             ,2020                ,3806                ,1394                ,0.60459             ,0.84815             
3400                ,0.61185             ,0.61669             ,0.08497             ,0.08416             ,2020                ,3805                ,1394                ,0.60149             ,0.84713             
3450                ,0.61214             ,0.61644             ,0.08494             ,0.08419             ,2020                ,3805                ,1394                ,0.59846             ,0.84614             
3500                ,0.61238             ,0.61619             ,0.08491             ,0.08422             ,2020                ,3805                ,1394                ,0.59559             ,0.84507             
3550                ,0.61261             ,0.61594             ,0.08489             ,0.08425             ,2020                ,3805                ,1394                ,0.59309             ,0.84377             
3600                ,0.61283             ,0.61576             ,0.08486             ,0.08427             ,2020                ,3805                ,1394                ,0.59021             ,0.84272             
3650                ,0.61301             ,0.61553             ,0.08484             ,0.08429             ,2020                ,3805                ,1394                ,0.58735             ,0.84168             
3700                ,0.61318             ,0.61536             ,0.08482             ,0.08431             ,2020                ,3805                ,1394                ,0.58495             ,0.84042             
3750                ,0.61333             ,0.61515             ,0.08481             ,0.08433             ,2020                ,3805                ,1394                ,0.58261             ,0.83907             
3800                ,0.61349             ,0.61501             ,0.08479             ,0.08435             ,2020                ,3805                ,1394                ,0.58043             ,0.8376              
3850                ,0.61362             ,0.61483             ,0.08478             ,0.08437             ,2020                ,3805                ,1394                ,0.57763             ,0.83654             
3900                ,0.61374             ,0.61468             ,0.08476             ,0.08438             ,2020                ,3805                ,1394                ,0.57494             ,0.83544             
3950                ,0.61385             ,0.61456             ,0.08475             ,0.0844              ,2020                ,3805                ,1394                ,0.57237             ,0.83434             
4000                ,0.61393             ,0.61445             ,0.08474             ,0.08441             ,2020                ,3805                ,1394                ,0.5698              ,0.8333              
