epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.13666             ,0.13617             ,3577                ,2508                ,3977                ,0.83277             ,0.96741             
100                 ,0.00635             ,0.00671             ,0.13595             ,0.13548             ,3587                ,2515                ,3967                ,0.82286             ,0.96698             
150                 ,0.01327             ,0.01445             ,0.13548             ,0.13495             ,3599                ,2502                ,3955                ,0.81586             ,0.96385             
200                 ,0.02588             ,0.02798             ,0.13461             ,0.13402             ,3616                ,2476                ,3939                ,0.80624             ,0.96294             
250                 ,0.04214             ,0.04542             ,0.13348             ,0.13282             ,3617                ,2471                ,3925                ,0.79643             ,0.96184             
300                 ,0.07104             ,0.07665             ,0.13145             ,0.13063             ,3618                ,2470                ,3898                ,0.78706             ,0.95903             
350                 ,0.09985             ,0.10724             ,0.1294              ,0.12844             ,3618                ,2470                ,3897                ,0.76971             ,0.96471             
400                 ,0.13171             ,0.14046             ,0.12708             ,0.12603             ,3618                ,2470                ,3897                ,0.7462              ,0.97405             
450                 ,0.16531             ,0.17486             ,0.1246              ,0.12348             ,3618                ,2468                ,3897                ,0.71572             ,0.98684             
500                 ,0.19967             ,0.21007             ,0.12201             ,0.12082             ,3619                ,2467                ,3900                ,0.67937             ,1.00148             
550                 ,0.2327              ,0.24352             ,0.11947             ,0.11823             ,3619                ,2467                ,3900                ,0.63894             ,1.01532             
600                 ,0.26345             ,0.27489             ,0.11705             ,0.11576             ,3620                ,2467                ,3901                ,0.59613             ,1.0266              
650                 ,0.29153             ,0.30357             ,0.1148              ,0.11345             ,3621                ,2467                ,3902                ,0.55267             ,1.0326              
700                 ,0.31582             ,0.3285              ,0.11281             ,0.1114              ,3622                ,2467                ,3904                ,0.51023             ,1.03194             
750                 ,0.33648             ,0.35028             ,0.11109             ,0.10957             ,3623                ,2467                ,3904                ,0.46684             ,1.02735             
800                 ,0.35399             ,0.36818             ,0.10962             ,0.10805             ,3624                ,2467                ,3905                ,0.42434             ,1.01561             
850                 ,0.36836             ,0.38312             ,0.10839             ,0.10677             ,3626                ,2467                ,3905                ,0.38091             ,1.00107             
900                 ,0.38009             ,0.39487             ,0.10738             ,0.10575             ,3627                ,2467                ,3906                ,0.33774             ,0.98271             
950                 ,0.38941             ,0.40433             ,0.10657             ,0.10492             ,3628                ,2467                ,3906                ,0.29373             ,0.96336             
1000                ,0.39667             ,0.41152             ,0.10593             ,0.10428             ,3628                ,2467                ,3906                ,0.25176             ,0.9405              
1050                ,0.40675             ,0.42171             ,0.10505             ,0.10338             ,3629                ,2535                ,3907                ,0.2095              ,0.91925             
1100                ,0.42693             ,0.44353             ,0.10324             ,0.10141             ,3632                ,2654                ,3908                ,0.14362             ,0.93052             
1150                ,0.43397             ,0.45076             ,0.10261             ,0.10075             ,3632                ,2658                ,3908                ,0.08831             ,0.93356             
1200                ,0.43836             ,0.45555             ,0.10221             ,0.10031             ,3633                ,2658                ,3908                ,0.04025             ,0.93061             
1250                ,0.44136             ,0.45888             ,0.10194             ,0.1                 ,3634                ,2658                ,3908                ,-0.00289            ,0.92553             
1300                ,0.44308             ,0.46073             ,0.10178             ,0.09983             ,3634                ,2658                ,3908                ,-0.03804            ,0.91923             
1350                ,0.44399             ,0.46183             ,0.1017              ,0.09973             ,3634                ,2659                ,3909                ,-0.06715            ,0.91198             
1400                ,0.44464             ,0.46272             ,0.10164             ,0.09964             ,3634                ,2659                ,3910                ,-0.09264            ,0.904               
1450                ,0.44504             ,0.46315             ,0.1016              ,0.0996              ,3634                ,2659                ,3910                ,-0.11644            ,0.89633             
1500                ,0.44525             ,0.46343             ,0.10158             ,0.09958             ,3634                ,2659                ,3910                ,-0.13699            ,0.88854             
1550                ,0.44535             ,0.46356             ,0.10157             ,0.09956             ,3634                ,2659                ,3910                ,-0.15503            ,0.87992             
1600                ,0.44536             ,0.46354             ,0.10157             ,0.09957             ,3634                ,2659                ,3910                ,-0.16965            ,0.86896             
1650                ,0.44538             ,0.46358             ,0.10157             ,0.09956             ,3634                ,2659                ,3910                ,-0.18365            ,0.85852             
1700                ,0.4454              ,0.46357             ,0.10157             ,0.09956             ,3634                ,2659                ,3910                ,-0.19727            ,0.84848             
1750                ,0.44541             ,0.46358             ,0.10157             ,0.09956             ,3634                ,2659                ,3910                ,-0.2105             ,0.8391              
1800                ,0.44541             ,0.46359             ,0.10157             ,0.09956             ,3634                ,2659                ,3910                ,-0.22337            ,0.83036             
1850                ,0.44542             ,0.46359             ,0.10156             ,0.09956             ,3634                ,2659                ,3910                ,-0.23598            ,0.82212             
1900                ,0.44542             ,0.46361             ,0.10156             ,0.09956             ,3634                ,2659                ,3910                ,-0.24826            ,0.81446             
1950                ,0.44544             ,0.46358             ,0.10156             ,0.09956             ,3634                ,2659                ,3910                ,-0.26023            ,0.80727             
2000                ,0.44546             ,0.46357             ,0.10156             ,0.09956             ,3634                ,2659                ,3910                ,-0.27194            ,0.80067             
2050                ,0.44547             ,0.46357             ,0.10156             ,0.09956             ,3634                ,2659                ,3910                ,-0.28333            ,0.79471             
2100                ,0.44549             ,0.46358             ,0.10156             ,0.09956             ,3634                ,2659                ,3910                ,-0.29441            ,0.7894              
2150                ,0.44551             ,0.46362             ,0.10156             ,0.09956             ,3634                ,2659                ,3910                ,-0.3053             ,0.78466             
2200                ,0.44554             ,0.46361             ,0.10155             ,0.09956             ,3634                ,2659                ,3910                ,-0.31603            ,0.78042             
2250                ,0.44557             ,0.46362             ,0.10155             ,0.09956             ,3634                ,2659                ,3910                ,-0.32665            ,0.77669             
2300                ,0.4456              ,0.46367             ,0.10155             ,0.09956             ,3634                ,2659                ,3910                ,-0.33706            ,0.77354             
2350                ,0.44564             ,0.46369             ,0.10155             ,0.09955             ,3634                ,2659                ,3910                ,-0.34723            ,0.77097             
2400                ,0.44569             ,0.46375             ,0.10154             ,0.09955             ,3634                ,2660                ,3910                ,-0.35764            ,0.76894             
2450                ,0.44575             ,0.46379             ,0.10154             ,0.09954             ,3634                ,2660                ,3910                ,-0.36805            ,0.76737             
2500                ,0.44581             ,0.46383             ,0.10153             ,0.09954             ,3634                ,2660                ,3910                ,-0.3787             ,0.76637             
2550                ,0.44589             ,0.46388             ,0.10152             ,0.09954             ,3634                ,2660                ,3910                ,-0.38966            ,0.76593             
2600                ,0.44598             ,0.46391             ,0.10151             ,0.09953             ,3634                ,2660                ,3910                ,-0.40108            ,0.76612             
2650                ,0.44612             ,0.46401             ,0.1015              ,0.09952             ,3634                ,2660                ,3910                ,-0.41314            ,0.76694             
2700                ,0.44633             ,0.46419             ,0.10148             ,0.09951             ,3634                ,2660                ,3910                ,-0.42584            ,0.76818             
2750                ,0.44678             ,0.46475             ,0.10144             ,0.09945             ,3634                ,2660                ,3910                ,-0.44023            ,0.77073             
2800                ,0.44756             ,0.4656              ,0.10137             ,0.09938             ,3635                ,2660                ,3910                ,-0.45736            ,0.77325             
2850                ,0.44821             ,0.46644             ,0.10131             ,0.0993              ,3635                ,2660                ,3910                ,-0.47871            ,0.77392             
2900                ,0.44867             ,0.46699             ,0.10127             ,0.09925             ,3635                ,2660                ,3910                ,-0.50427            ,0.77414             
2950                ,0.44899             ,0.46733             ,0.10124             ,0.09921             ,3635                ,2660                ,3910                ,-0.53206            ,0.77437             
3000                ,0.44938             ,0.46792             ,0.1012              ,0.09916             ,3635                ,2660                ,3910                ,-0.56086            ,0.77449             
3050                ,0.44964             ,0.46818             ,0.10118             ,0.09914             ,3635                ,2660                ,3910                ,-0.58922            ,0.77498             
3100                ,0.44991             ,0.46861             ,0.10115             ,0.0991              ,3635                ,2660                ,3910                ,-0.61563            ,0.77497             
3150                ,0.45012             ,0.46891             ,0.10113             ,0.09907             ,3635                ,2660                ,3910                ,-0.63893            ,0.77515             
3200                ,0.45017             ,0.46936             ,0.10113             ,0.09903             ,3635                ,2660                ,3910                ,-0.65354            ,0.77371             
3250                ,0.44952             ,0.46879             ,0.10119             ,0.09908             ,3635                ,2665                ,3910                ,-0.65506            ,0.77139             
3300                ,0.45042             ,0.4697              ,0.10111             ,0.09899             ,3635                ,2660                ,3910                ,-0.65482            ,0.76908             
3350                ,0.45043             ,0.46982             ,0.1011              ,0.09898             ,3635                ,2661                ,3910                ,-0.65562            ,0.76741             
3400                ,0.45057             ,0.4699              ,0.10109             ,0.09897             ,3635                ,2660                ,3910                ,-0.65921            ,0.76728             
3450                ,0.45061             ,0.47003             ,0.10109             ,0.09896             ,3635                ,2660                ,3910                ,-0.6607             ,0.76664             
3500                ,0.45061             ,0.4699              ,0.10109             ,0.09897             ,3635                ,2660                ,3910                ,-0.65998            ,0.76532             
3550                ,0.45028             ,0.4697              ,0.10112             ,0.09899             ,3635                ,2666                ,3910                ,-0.65555            ,0.76253             
3600                ,0.45082             ,0.47023             ,0.10107             ,0.09894             ,3635                ,2660                ,3910                ,-0.6581             ,0.76346             
3650                ,0.44989             ,0.46952             ,0.10115             ,0.09901             ,3634                ,2660                ,3908                ,-0.65051            ,0.75794             
3700                ,0.45084             ,0.47027             ,0.10107             ,0.09894             ,3635                ,2660                ,3910                ,-0.65071            ,0.75915             
3750                ,0.45099             ,0.47037             ,0.10105             ,0.09893             ,3635                ,2660                ,3910                ,-0.65682            ,0.76124             
3800                ,0.45107             ,0.47048             ,0.10105             ,0.09892             ,3635                ,2660                ,3910                ,-0.66126            ,0.76214             
3850                ,0.45092             ,0.47033             ,0.10106             ,0.09893             ,3635                ,2662                ,3910                ,-0.65876            ,0.7602              
3900                ,0.45116             ,0.47065             ,0.10104             ,0.0989              ,3635                ,2663                ,3910                ,-0.6633             ,0.76154             
3950                ,0.45104             ,0.47048             ,0.10105             ,0.09892             ,3635                ,2659                ,3910                ,-0.65663            ,0.75915             
4000                ,0.45125             ,0.47065             ,0.10103             ,0.0989              ,3635                ,2660                ,3910                ,-0.66151            ,0.76063             
