features,samples,r2_train,r2_validation,r2_test,rmse_train,rmse_validation,rmse_test,csv_file,sis
4200,21782,0.63,0.65,0.59,0.08,0.08,0.09,results\1707999016174655.csv,GNDI3:1
4200,21782,0.45,0.47,0.43,0.10,0.10,0.11,results\1707999081611022.csv,GNDI3:1
4200,21782,0.24,0.28,0.30,0.12,0.12,0.12,results\1707999144925614.csv,GNDI3:1
4200,21782,0.65,0.66,0.66,0.08,0.08,0.08,results\1707999209130529.csv,GNDI3:1
4200,21782,0.61,0.61,0.59,0.08,0.08,0.09,results\1707999273061087.csv,GNDI3:1
4200,21782,0.74,0.74,0.72,0.07,0.07,0.07,results\1707999338178288.csv,GNDI3:1
4200,21782,0.73,0.71,0.71,0.07,0.07,0.08,results\1707999403862761.csv,GNDI3:1
4200,21782,0.66,0.62,0.68,0.08,0.08,0.08,results\1707999469301457.csv,GNDI3:1
4200,21782,0.68,0.68,0.69,0.08,0.08,0.08,results\1707999534370119.csv,GNDI3:1
4200,21782,0.74,0.74,0.73,0.07,0.07,0.07,results\170799959846718.csv,GNDI3:1
