epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24,GNDI4Alpha_1:i,GNDI4Alpha_1:j,GNDI4Alpha_1:k,GNDI4Alpha_1:l,GNDI4Alpha_1:alpha1_1,GNDI4Alpha_1:alpha1_2,GNDI4Alpha_1:alpha1_3,GNDI4Alpha_1:alpha1_4,GNDI4Alpha_1:alpha1_5,GNDI4Alpha_1:alpha1_6,GNDI4Alpha_1:alpha1_7,GNDI4Alpha_1:alpha1_8,GNDI4Alpha_1:alpha1_9,GNDI4Alpha_1:alpha1_10,GNDI4Alpha_1:alpha1_11,GNDI4Alpha_1:alpha1_12,GNDI4Alpha_1:alpha1_13,GNDI4Alpha_1:alpha1_14,GNDI4Alpha_1:alpha1_15,GNDI4Alpha_1:alpha1_16,GNDI4Alpha_1:alpha1_17,GNDI4Alpha_1:alpha1_18,GNDI4Alpha_1:alpha1_19,GNDI4Alpha_1:alpha1_20,GNDI4Alpha_1:alpha1_21,GNDI4Alpha_1:alpha1_22,GNDI4Alpha_1:alpha1_23,GNDI4Alpha_1:alpha1_24,GNDI4Alpha_1:alpha2_1,GNDI4Alpha_1:alpha2_2,GNDI4Alpha_1:alpha2_3,GNDI4Alpha_1:alpha2_4,GNDI4Alpha_1:alpha2_5,GNDI4Alpha_1:alpha2_6,GNDI4Alpha_1:alpha2_7,GNDI4Alpha_1:alpha2_8,GNDI4Alpha_1:alpha2_9,GNDI4Alpha_1:alpha2_10,GNDI4Alpha_1:alpha2_11,GNDI4Alpha_1:alpha2_12,GNDI4Alpha_1:alpha2_13,GNDI4Alpha_1:alpha2_14,GNDI4Alpha_1:alpha2_15,GNDI4Alpha_1:alpha2_16,GNDI4Alpha_1:alpha2_17,GNDI4Alpha_1:alpha2_18,GNDI4Alpha_1:alpha2_19,GNDI4Alpha_1:alpha2_20,GNDI4Alpha_1:alpha2_21,GNDI4Alpha_1:alpha2_22,GNDI4Alpha_1:alpha2_23,GNDI4Alpha_1:alpha2_24,GNDI4Alpha_1:alpha3_1,GNDI4Alpha_1:alpha3_2,GNDI4Alpha_1:alpha3_3,GNDI4Alpha_1:alpha3_4,GNDI4Alpha_1:alpha3_5,GNDI4Alpha_1:alpha3_6,GNDI4Alpha_1:alpha3_7,GNDI4Alpha_1:alpha3_8,GNDI4Alpha_1:alpha3_9,GNDI4Alpha_1:alpha3_10,GNDI4Alpha_1:alpha3_11,GNDI4Alpha_1:alpha3_12,GNDI4Alpha_1:alpha3_13,GNDI4Alpha_1:alpha3_14,GNDI4Alpha_1:alpha3_15,GNDI4Alpha_1:alpha3_16,GNDI4Alpha_1:alpha3_17,GNDI4Alpha_1:alpha3_18,GNDI4Alpha_1:alpha3_19,GNDI4Alpha_1:alpha3_20,GNDI4Alpha_1:alpha3_21,GNDI4Alpha_1:alpha3_22,GNDI4Alpha_1:alpha3_23,GNDI4Alpha_1:alpha3_24
50                  ,0.13501             ,0.14441             ,0.12684             ,0.12574             ,3829                ,3787                ,627                 ,728                 ,0.48807             ,0.1223              ,0.41958             ,0.07627             ,0.33768             ,0.08495             ,0.56042             ,0.92189             ,0.42335             ,0.14232             ,0.86992             ,0.16281             ,0.897               ,0.57869             ,0.82156             ,0.49427             ,0.94417             ,0.31693             ,0.23962             ,0.64697             ,0.20611             ,0.5835              ,0.57151             ,0.95924             ,0.93848             ,0.44662             ,0.80443             ,0.72015             ,0.3452              ,0.78576             ,0.21413             ,0.83703             ,0.92263             ,0.75563             ,0.4839              ,0.4174              ,0.49768             ,0.214               ,0.14095             ,0.08712             ,0.88918             ,0.37069             ,0.16963             ,0.85819             ,0.43426             ,0.28816             ,0.06303             ,0.73958             ,0.28631             ,0.60526             ,0.29753             ,0.54138             ,0.16412             ,0.36753             ,0.65295             ,0.11988             ,0.8554              ,0.29808             ,0.73673             ,0.41366             ,0.28533             ,0.31774             ,0.26982             ,0.05679             ,0.21692             ,0.82482             ,0.84773             ,0.56544             ,0.32472             ,0.29724             ,0.67502             ,0.44878             ,497                 ,4163                ,1633                ,2567                ,0.0478              ,0.44308             ,0.82513             ,-0.00984            ,0.299               ,0.89369             ,0.49038             ,0.92356             ,0.04832             ,0.15577             ,0.29183             ,0.52213             ,0.29657             ,0.39673             ,0.71172             ,0.50751             ,0.87041             ,0.07865             ,0.93562             ,0.6113              ,0.92742             ,0.30064             ,0.32747             ,0.23                ,0.47641             ,0.25057             ,0.6708              ,0.28151             ,0.72664             ,0.54119             ,0.92492             ,0.92127             ,0.55052             ,0.37965             ,0.09491             ,0.90724             ,0.41629             ,0.29851             ,0.89198             ,0.36713             ,0.00923             ,0.87255             ,0.20563             ,0.05122             ,0.04888             ,0.15707             ,0.2868              ,0.95556             ,0.04701             ,0.36814             ,0.0166              ,0.35335             ,0.81102             ,0.65062             ,0.25047             ,0.95587             ,0.19452             ,0.64681             ,0.29119             ,0.42547             ,0.88836             ,0.00367             ,0.20561             ,0.69406             ,0.34223             ,0.50152             ,0.86722             ,0.43208             ,0.43552             ,0.14157             ,0.95653             ,0.75381             
100                 ,0.34552             ,0.37216             ,0.11033             ,0.10771             ,3841                ,3765                ,598                 ,686                 ,0.48741             ,0.10116             ,0.40021             ,0.06106             ,0.32073             ,0.07969             ,0.51925             ,0.88598             ,0.41559             ,0.13966             ,0.82185             ,0.15165             ,0.87789             ,0.54423             ,0.77301             ,0.44965             ,0.92543             ,0.30013             ,0.22635             ,0.63281             ,0.20082             ,0.54849             ,0.53074             ,0.94182             ,0.91103             ,0.4401              ,0.74776             ,0.69945             ,0.33723             ,0.76201             ,0.14494             ,0.80431             ,0.90192             ,0.7138              ,0.43074             ,0.37345             ,0.49279             ,0.20152             ,0.14496             ,0.08009             ,0.86045             ,0.33819             ,0.15931             ,0.82011             ,0.39372             ,0.26912             ,0.05284             ,0.72122             ,0.28222             ,0.59772             ,0.29646             ,0.52989             ,0.16104             ,0.35582             ,0.65439             ,0.11799             ,0.84382             ,0.29657             ,0.69505             ,0.4108              ,0.28566             ,0.31624             ,0.27177             ,0.0473              ,0.21784             ,0.80902             ,0.83658             ,0.5632              ,0.32377             ,0.30228             ,0.66856             ,0.44819             ,467                 ,4161                ,1620                ,2498                ,0.0531              ,0.4193              ,0.77835             ,-0.00744            ,0.29636             ,0.87276             ,0.44507             ,0.89358             ,0.04329             ,0.14973             ,0.26815             ,0.51815             ,0.30745             ,0.35143             ,0.68993             ,0.48517             ,0.82307             ,0.09682             ,0.91442             ,0.56279             ,0.88623             ,0.28504             ,0.28093             ,0.2311              ,0.42962             ,0.25318             ,0.62624             ,0.28068             ,0.70382             ,0.52856             ,0.87156             ,0.8711              ,0.51216             ,0.34226             ,0.10178             ,0.83372             ,0.41631             ,0.2549              ,0.85516             ,0.29933             ,0.01026             ,0.81063             ,0.23968             ,0.0002              ,0.05427             ,0.12221             ,0.22581             ,0.9389              ,0.04516             ,0.36789             ,0.0217              ,0.35398             ,0.80409             ,0.64729             ,0.24708             ,0.91552             ,0.20584             ,0.62284             ,0.28685             ,0.41943             ,0.88606             ,0.00131             ,0.21334             ,0.67115             ,0.344               ,0.46087             ,0.86322             ,0.43206             ,0.42697             ,0.14757             ,0.95676             ,0.74639             
150                 ,0.50292             ,0.53075             ,0.09616             ,0.09312             ,3857                ,3739                ,562                 ,660                 ,0.4823              ,0.09844             ,0.37372             ,0.05312             ,0.30369             ,0.0811              ,0.49442             ,0.85332             ,0.40793             ,0.13702             ,0.78632             ,0.14576             ,0.85417             ,0.5077              ,0.72316             ,0.40629             ,0.8876              ,0.28249             ,0.2111              ,0.61957             ,0.19039             ,0.51115             ,0.49041             ,0.90075             ,0.87639             ,0.40787             ,0.70981             ,0.66661             ,0.32162             ,0.72488             ,0.07403             ,0.77129             ,0.87761             ,0.67117             ,0.42256             ,0.32484             ,0.4859              ,0.19097             ,0.13725             ,0.07076             ,0.81804             ,0.30154             ,0.14444             ,0.79232             ,0.34569             ,0.25141             ,0.03649             ,0.67975             ,0.28198             ,0.5803              ,0.28787             ,0.52426             ,0.16255             ,0.35093             ,0.6543              ,0.11632             ,0.8307              ,0.29481             ,0.66491             ,0.41915             ,0.28376             ,0.30982             ,0.26051             ,0.05137             ,0.21597             ,0.79996             ,0.82149             ,0.56017             ,0.31801             ,0.29949             ,0.66541             ,0.4493              ,437                 ,4160                ,1526                ,2447                ,0.05635             ,0.38904             ,0.7312              ,-0.00126            ,0.28944             ,0.84279             ,0.4118              ,0.85667             ,0.0365              ,0.14666             ,0.2361              ,0.50776             ,0.31294             ,0.30998             ,0.67252             ,0.45324             ,0.77653             ,0.11481             ,0.8787              ,0.52087             ,0.84328             ,0.25822             ,0.23218             ,0.23358             ,0.38579             ,0.23795             ,0.58062             ,0.27376             ,0.68092             ,0.51184             ,0.82686             ,0.81344             ,0.47665             ,0.31041             ,0.10519             ,0.77005             ,0.4191              ,0.21482             ,0.82155             ,0.23111             ,0.00559             ,0.75854             ,0.23579             ,-0.03752            ,0.05434             ,0.05359             ,0.17184             ,0.91902             ,0.03993             ,0.36418             ,0.02461             ,0.3557              ,0.79209             ,0.64286             ,0.24849             ,0.86734             ,0.21237             ,0.5921              ,0.27623             ,0.40812             ,0.88372             ,0.00146             ,0.23155             ,0.63497             ,0.34046             ,0.40957             ,0.85475             ,0.43704             ,0.42322             ,0.15707             ,0.94865             ,0.72964             
200                 ,0.65257             ,0.66076             ,0.08039             ,0.07918             ,3857                ,3708                ,535                 ,674                 ,0.47526             ,0.07369             ,0.35509             ,0.05116             ,0.2817              ,0.08583             ,0.47699             ,0.824               ,0.39815             ,0.13078             ,0.75794             ,0.12931             ,0.82841             ,0.46951             ,0.67717             ,0.36497             ,0.84572             ,0.25714             ,0.20075             ,0.60924             ,0.18074             ,0.4756              ,0.45011             ,0.85298             ,0.83707             ,0.3664              ,0.67596             ,0.62747             ,0.29595             ,0.68355             ,0.00945             ,0.73867             ,0.84691             ,0.62957             ,0.44177             ,0.29005             ,0.4735              ,0.17517             ,0.13035             ,0.06076             ,0.77395             ,0.27491             ,0.12186             ,0.77198             ,0.30174             ,0.23694             ,0.01873             ,0.63054             ,0.28113             ,0.55942             ,0.2865              ,0.52424             ,0.16051             ,0.35007             ,0.65075             ,0.11431             ,0.81185             ,0.28949             ,0.64975             ,0.41159             ,0.28172             ,0.30397             ,0.25185             ,0.06232             ,0.21414             ,0.78229             ,0.81344             ,0.55729             ,0.31339             ,0.29524             ,0.65751             ,0.44732             ,413                 ,4157                ,1437                ,2424                ,0.05094             ,0.36247             ,0.68576             ,0.00533             ,0.2832              ,0.80676             ,0.38543             ,0.81184             ,0.03142             ,0.15143             ,0.2072              ,0.49275             ,0.3151              ,0.27128             ,0.64597             ,0.42579             ,0.73133             ,0.12735             ,0.83309             ,0.48131             ,0.80103             ,0.23009             ,0.19257             ,0.23825             ,0.34413             ,0.21207             ,0.53699             ,0.2654              ,0.64555             ,0.48352             ,0.78418             ,0.75356             ,0.44569             ,0.28859             ,0.10743             ,0.71052             ,0.42755             ,0.17828             ,0.78325             ,0.17088             ,0.00017             ,0.71496             ,0.19865             ,-0.06051            ,0.05305             ,-0.00911            ,0.11946             ,0.8983              ,0.03233             ,0.36221             ,0.0243              ,0.35532             ,0.77707             ,0.6415              ,0.25417             ,0.8219              ,0.21403             ,0.56651             ,0.27057             ,0.3985              ,0.88135             ,0.01217             ,0.23943             ,0.60054             ,0.3464              ,0.37357             ,0.84151             ,0.44415             ,0.4259              ,0.17208             ,0.93142             ,0.71619             
250                 ,0.72472             ,0.72362             ,0.07156             ,0.07147             ,3836                ,3711                ,525                 ,710                 ,0.47123             ,0.03315             ,0.33682             ,0.04875             ,0.2576              ,0.089               ,0.44646             ,0.79603             ,0.38685             ,0.12355             ,0.72259             ,0.11557             ,0.80242             ,0.42959             ,0.63443             ,0.32619             ,0.8083              ,0.23173             ,0.18864             ,0.59841             ,0.17097             ,0.44103             ,0.41091             ,0.80819             ,0.79645             ,0.33668             ,0.63113             ,0.5899              ,0.25371             ,0.64377             ,-0.00344            ,0.70612             ,0.80918             ,0.5873              ,0.44021             ,0.25825             ,0.45654             ,0.14858             ,0.12017             ,0.05359             ,0.7347              ,0.24991             ,0.10862             ,0.74799             ,0.27391             ,0.22209             ,0.01272             ,0.58367             ,0.28008             ,0.55141             ,0.28184             ,0.52437             ,0.16085             ,0.34845             ,0.65316             ,0.11542             ,0.78806             ,0.28715             ,0.63384             ,0.40218             ,0.2801              ,0.30274             ,0.25261             ,0.07071             ,0.21346             ,0.76115             ,0.80563             ,0.55314             ,0.31082             ,0.29164             ,0.64778             ,0.4415              ,405                 ,4155                ,1402                ,2421                ,0.04223             ,0.33529             ,0.64313             ,0.00784             ,0.28254             ,0.77059             ,0.36264             ,0.76365             ,0.02923             ,0.15375             ,0.18055             ,0.47772             ,0.31221             ,0.23437             ,0.61452             ,0.40843             ,0.68749             ,0.11987             ,0.78155             ,0.44246             ,0.75804             ,0.20827             ,0.17121             ,0.23876             ,0.30469             ,0.17736             ,0.49682             ,0.25314             ,0.61708             ,0.45474             ,0.74226             ,0.71016             ,0.41623             ,0.27022             ,0.10435             ,0.66402             ,0.43053             ,0.14558             ,0.74246             ,0.13969             ,-0.00036            ,0.68239             ,0.18028             ,-0.06123            ,0.04362             ,-0.01579            ,0.07059             ,0.87642             ,0.0293              ,0.36                ,0.02275             ,0.3534              ,0.7627              ,0.63672             ,0.25598             ,0.79074             ,0.21411             ,0.54767             ,0.26828             ,0.39008             ,0.87411             ,0.01228             ,0.24193             ,0.58042             ,0.35374             ,0.35626             ,0.82558             ,0.44308             ,0.42814             ,0.18486             ,0.90685             ,0.70409             
300                 ,0.7473              ,0.7433              ,0.06856             ,0.06888             ,3815                ,3722                ,524                 ,734                 ,0.46746             ,0.00507             ,0.31859             ,0.04666             ,0.23422             ,0.09009             ,0.41524             ,0.76623             ,0.37561             ,0.11582             ,0.68361             ,0.1039              ,0.77753             ,0.39119             ,0.59272             ,0.28996             ,0.77161             ,0.20904             ,0.17646             ,0.58504             ,0.15838             ,0.40645             ,0.37334             ,0.76421             ,0.75647             ,0.33576             ,0.58895             ,0.55692             ,0.20776             ,0.6048              ,0.02642             ,0.67218             ,0.77185             ,0.54575             ,0.42682             ,0.22625             ,0.44206             ,0.12361             ,0.10607             ,0.04862             ,0.697               ,0.22436             ,0.10254             ,0.71972             ,0.24874             ,0.20575             ,0.01312             ,0.53711             ,0.27992             ,0.54417             ,0.27437             ,0.52187             ,0.16258             ,0.34671             ,0.6467              ,0.11682             ,0.76667             ,0.28468             ,0.6193              ,0.39367             ,0.28003             ,0.29888             ,0.25637             ,0.07748             ,0.2117              ,0.74058             ,0.79736             ,0.54609             ,0.30692             ,0.28634             ,0.63926             ,0.43193             ,406                 ,4153                ,1400                ,2421                ,0.0334              ,0.31072             ,0.60222             ,0.00879             ,0.27901             ,0.73854             ,0.34177             ,0.71742             ,0.02804             ,0.14991             ,0.15158             ,0.46736             ,0.30181             ,0.20011             ,0.58229             ,0.3908              ,0.64502             ,0.1103              ,0.72354             ,0.40357             ,0.71582             ,0.18825             ,0.15968             ,0.23555             ,0.26796             ,0.15225             ,0.45861             ,0.23762             ,0.59325             ,0.42988             ,0.70414             ,0.67516             ,0.3868              ,0.26027             ,0.09194             ,0.63558             ,0.42572             ,0.11712             ,0.70206             ,0.12658             ,-0.00216            ,0.66049             ,0.17796             ,-0.05502            ,0.03759             ,0.01119             ,0.04633             ,0.85378             ,0.02755             ,0.35675             ,0.02178             ,0.3515              ,0.7491              ,0.62849             ,0.25398             ,0.76365             ,0.21308             ,0.5385              ,0.26464             ,0.38563             ,0.86274             ,0.01237             ,0.24183             ,0.57043             ,0.35558             ,0.34827             ,0.80792             ,0.43919             ,0.4271              ,0.19309             ,0.8763              ,0.69099             
350                 ,0.75471             ,0.75093             ,0.06755             ,0.06784             ,3811                ,3723                ,525                 ,753                 ,0.46214             ,-0.01153            ,0.30049             ,0.0454              ,0.2109              ,0.09012             ,0.3885              ,0.73312             ,0.36334             ,0.10771             ,0.64184             ,0.09111             ,0.75138             ,0.35586             ,0.55244             ,0.25608             ,0.73577             ,0.18615             ,0.16402             ,0.56907             ,0.14492             ,0.37228             ,0.33774             ,0.72189             ,0.71751             ,0.34633             ,0.54729             ,0.52489             ,0.16457             ,0.56597             ,0.05743             ,0.63592             ,0.73666             ,0.50602             ,0.40746             ,0.19737             ,0.42749             ,0.10514             ,0.09404             ,0.04469             ,0.66062             ,0.19929             ,0.0987              ,0.68812             ,0.21875             ,0.18817             ,0.01316             ,0.4924              ,0.27873             ,0.53411             ,0.2702              ,0.51731             ,0.16203             ,0.34509             ,0.63148             ,0.11587             ,0.74568             ,0.28112             ,0.59787             ,0.38199             ,0.28009             ,0.2958              ,0.25963             ,0.08221             ,0.20997             ,0.71811             ,0.78814             ,0.53677             ,0.30072             ,0.28035             ,0.62998             ,0.42285             ,409                 ,4151                ,1401                ,2424                ,0.02565             ,0.28779             ,0.56281             ,0.00882             ,0.2739              ,0.70947             ,0.32162             ,0.67256             ,0.02687             ,0.14393             ,0.12556             ,0.46036             ,0.28925             ,0.16839             ,0.54862             ,0.37222             ,0.60394             ,0.10132             ,0.66921             ,0.3662              ,0.67485             ,0.17067             ,0.15091             ,0.23113             ,0.23433             ,0.13214             ,0.42218             ,0.22111             ,0.57037             ,0.40996             ,0.66769             ,0.63992             ,0.35766             ,0.25257             ,0.07735             ,0.61436             ,0.4171              ,0.09261             ,0.66148             ,0.12227             ,-0.00175            ,0.64338             ,0.18055             ,-0.04702            ,0.03413             ,0.04485             ,0.03465             ,0.82992             ,0.02654             ,0.35464             ,0.02166             ,0.34938             ,0.73491             ,0.62046             ,0.25065             ,0.73787             ,0.21158             ,0.53258             ,0.26191             ,0.38461             ,0.84962             ,0.01237             ,0.23937             ,0.56463             ,0.3552              ,0.34583             ,0.79072             ,0.43268             ,0.42535             ,0.20039             ,0.84072             ,0.67866             
400                 ,0.75861             ,0.75564             ,0.06701             ,0.0672              ,3812                ,3721                ,527                 ,772                 ,0.4556              ,-0.01662            ,0.28211             ,0.04368             ,0.18892             ,0.08884             ,0.36262             ,0.69938             ,0.35117             ,0.09978             ,0.5999              ,0.07898             ,0.72404             ,0.32274             ,0.51363             ,0.22465             ,0.70098             ,0.16251             ,0.15114             ,0.55184             ,0.13176             ,0.33965             ,0.30442             ,0.68143             ,0.67949             ,0.35377             ,0.50872             ,0.49478             ,0.12596             ,0.52844             ,0.08052             ,0.59994             ,0.70466             ,0.46795             ,0.38428             ,0.17046             ,0.41218             ,0.09102             ,0.0833              ,0.04266             ,0.62545             ,0.17518             ,0.09579             ,0.65476             ,0.1849              ,0.17132             ,0.01128             ,0.45059             ,0.27697             ,0.51867             ,0.2666              ,0.50991             ,0.16138             ,0.34255             ,0.61518             ,0.11519             ,0.72598             ,0.27718             ,0.57211             ,0.36997             ,0.27966             ,0.29095             ,0.26256             ,0.08481             ,0.20895             ,0.69435             ,0.7774              ,0.52676             ,0.29388             ,0.27493             ,0.6197              ,0.41443             ,411                 ,4149                ,1401                ,2429                ,0.01934             ,0.26538             ,0.52482             ,0.00828             ,0.26827             ,0.68088             ,0.30146             ,0.63049             ,0.02603             ,0.13533             ,0.10286             ,0.45408             ,0.27707             ,0.13872             ,0.51513             ,0.3524              ,0.5643              ,0.09205             ,0.62023             ,0.33093             ,0.63506             ,0.15497             ,0.14253             ,0.22554             ,0.20411             ,0.11499             ,0.38744             ,0.20458             ,0.54672             ,0.39255             ,0.63228             ,0.60575             ,0.329               ,0.24477             ,0.06341             ,0.5944              ,0.40587             ,0.07194             ,0.6217              ,0.12087             ,-0.00161            ,0.6273              ,0.1856              ,-0.03952            ,0.0313              ,0.06941             ,0.02682             ,0.80491             ,0.02645             ,0.35195             ,0.02213             ,0.34682             ,0.7208              ,0.61118             ,0.24577             ,0.71226             ,0.2103              ,0.52526             ,0.25932             ,0.38342             ,0.83608             ,0.01236             ,0.23671             ,0.55801             ,0.35344             ,0.34344             ,0.77512             ,0.42401             ,0.42307             ,0.20619             ,0.80559             ,0.66591             
450                 ,0.76188             ,0.75916             ,0.06655             ,0.06671             ,3812                ,3713                ,529                 ,792                 ,0.44825             ,-0.01471            ,0.26354             ,0.04168             ,0.16839             ,0.08693             ,0.33664             ,0.66565             ,0.33854             ,0.09211             ,0.5591              ,0.068               ,0.69639             ,0.29143             ,0.47628             ,0.19577             ,0.66671             ,0.13937             ,0.1383              ,0.53383             ,0.11896             ,0.30864             ,0.27344             ,0.64221             ,0.64224             ,0.35724             ,0.47248             ,0.46613             ,0.09105             ,0.49235             ,0.09784             ,0.56464             ,0.67426             ,0.43136             ,0.35928             ,0.14531             ,0.3968              ,0.07882             ,0.07208             ,0.04182             ,0.59101             ,0.15152             ,0.09306             ,0.62112             ,0.14908             ,0.15514             ,0.00724             ,0.41117             ,0.27503             ,0.50117             ,0.26264             ,0.50104             ,0.16099             ,0.33952             ,0.59834             ,0.11492             ,0.70712             ,0.27329             ,0.54528             ,0.35833             ,0.27906             ,0.28444             ,0.26568             ,0.087               ,0.20802             ,0.67031             ,0.7657              ,0.51617             ,0.28707             ,0.26968             ,0.60892             ,0.40575             ,413                 ,4146                ,1401                ,2438                ,0.01426             ,0.24348             ,0.48814             ,0.00764             ,0.26155             ,0.65255             ,0.2816              ,0.58982             ,0.02523             ,0.12592             ,0.08357             ,0.44779             ,0.26445             ,0.11159             ,0.48249             ,0.33176             ,0.52612             ,0.08314             ,0.57455             ,0.29771             ,0.59651             ,0.14024             ,0.13393             ,0.21981             ,0.17704             ,0.09958             ,0.35425             ,0.18808             ,0.52239             ,0.37569             ,0.59772             ,0.57157             ,0.30127             ,0.23661             ,0.0513              ,0.57453             ,0.39323             ,0.05491             ,0.58319             ,0.12008             ,-0.00181            ,0.61115             ,0.19037             ,-0.03323            ,0.0287              ,0.08685             ,0.02056             ,0.77918             ,0.02662             ,0.34878             ,0.02249             ,0.34413             ,0.70619             ,0.60116             ,0.24049             ,0.68535             ,0.20901             ,0.5171              ,0.25646             ,0.38218             ,0.82181             ,0.01235             ,0.23412             ,0.5505              ,0.3506              ,0.34027             ,0.75912             ,0.41492             ,0.42028             ,0.21115             ,0.77038             ,0.6525              
500                 ,0.76592             ,0.76353             ,0.06599             ,0.06611             ,3812                ,3697                ,531                 ,817                 ,0.44016             ,-0.00642            ,0.24513             ,0.03946             ,0.1493              ,0.08458             ,0.31092             ,0.63195             ,0.32521             ,0.08472             ,0.51956             ,0.05811             ,0.66892             ,0.26186             ,0.44028             ,0.1695              ,0.63289             ,0.11723             ,0.12577             ,0.51546             ,0.10633             ,0.27931             ,0.24496             ,0.60412             ,0.60572             ,0.35728             ,0.43819             ,0.43951             ,0.05964             ,0.45795             ,0.11281             ,0.53008             ,0.64565             ,0.3961              ,0.33435             ,0.12181             ,0.38196             ,0.06746             ,0.05875             ,0.04156             ,0.55719             ,0.12705             ,0.09028             ,0.58781             ,0.11117             ,0.13969             ,-0.01139            ,0.37374             ,0.27298             ,0.48333             ,0.25779             ,0.49116             ,0.16063             ,0.33615             ,0.58086             ,0.11481             ,0.68977             ,0.26937             ,0.519               ,0.34691             ,0.27825             ,0.27578             ,0.26895             ,0.08942             ,0.20693             ,0.64698             ,0.75338             ,0.50512             ,0.28049             ,0.26436             ,0.59814             ,0.39665             ,413                 ,4144                ,1401                ,2446                ,0.01027             ,0.22223             ,0.45281             ,0.00709             ,0.25395             ,0.62439             ,0.26243             ,0.54996             ,0.02432             ,0.11649             ,0.06872             ,0.44123             ,0.25115             ,0.08711             ,0.45085             ,0.3109              ,0.48942             ,0.07444             ,0.53125             ,0.26656             ,0.55937             ,0.1262              ,0.12518             ,0.21404             ,0.15296             ,0.08568             ,0.32264             ,0.17175             ,0.49776             ,0.35843             ,0.56404             ,0.53697             ,0.27468             ,0.22872             ,0.04128             ,0.55481             ,0.37981             ,0.04116             ,0.54604             ,0.12005             ,-0.00161            ,0.59525             ,0.19331             ,-0.02804            ,0.02631             ,0.10002             ,0.01555             ,0.7532              ,0.02678             ,0.3454              ,0.02267             ,0.34148             ,0.69086             ,0.59059             ,0.23531             ,0.65721             ,0.20757             ,0.50878             ,0.25312             ,0.3811              ,0.80667             ,0.01233             ,0.23153             ,0.54261             ,0.34687             ,0.33683             ,0.74195             ,0.40593             ,0.41683             ,0.2156              ,0.73466             ,0.63874             
