epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24,GNDI4Alpha_1:i,GNDI4Alpha_1:j,GNDI4Alpha_1:k,GNDI4Alpha_1:l,GNDI4Alpha_1:alpha1_1,GNDI4Alpha_1:alpha1_2,GNDI4Alpha_1:alpha1_3,GNDI4Alpha_1:alpha1_4,GNDI4Alpha_1:alpha1_5,GNDI4Alpha_1:alpha1_6,GNDI4Alpha_1:alpha1_7,GNDI4Alpha_1:alpha1_8,GNDI4Alpha_1:alpha1_9,GNDI4Alpha_1:alpha1_10,GNDI4Alpha_1:alpha1_11,GNDI4Alpha_1:alpha1_12,GNDI4Alpha_1:alpha1_13,GNDI4Alpha_1:alpha1_14,GNDI4Alpha_1:alpha1_15,GNDI4Alpha_1:alpha1_16,GNDI4Alpha_1:alpha1_17,GNDI4Alpha_1:alpha1_18,GNDI4Alpha_1:alpha1_19,GNDI4Alpha_1:alpha1_20,GNDI4Alpha_1:alpha1_21,GNDI4Alpha_1:alpha1_22,GNDI4Alpha_1:alpha1_23,GNDI4Alpha_1:alpha1_24,GNDI4Alpha_1:alpha2_1,GNDI4Alpha_1:alpha2_2,GNDI4Alpha_1:alpha2_3,GNDI4Alpha_1:alpha2_4,GNDI4Alpha_1:alpha2_5,GNDI4Alpha_1:alpha2_6,GNDI4Alpha_1:alpha2_7,GNDI4Alpha_1:alpha2_8,GNDI4Alpha_1:alpha2_9,GNDI4Alpha_1:alpha2_10,GNDI4Alpha_1:alpha2_11,GNDI4Alpha_1:alpha2_12,GNDI4Alpha_1:alpha2_13,GNDI4Alpha_1:alpha2_14,GNDI4Alpha_1:alpha2_15,GNDI4Alpha_1:alpha2_16,GNDI4Alpha_1:alpha2_17,GNDI4Alpha_1:alpha2_18,GNDI4Alpha_1:alpha2_19,GNDI4Alpha_1:alpha2_20,GNDI4Alpha_1:alpha2_21,GNDI4Alpha_1:alpha2_22,GNDI4Alpha_1:alpha2_23,GNDI4Alpha_1:alpha2_24,GNDI4Alpha_1:alpha3_1,GNDI4Alpha_1:alpha3_2,GNDI4Alpha_1:alpha3_3,GNDI4Alpha_1:alpha3_4,GNDI4Alpha_1:alpha3_5,GNDI4Alpha_1:alpha3_6,GNDI4Alpha_1:alpha3_7,GNDI4Alpha_1:alpha3_8,GNDI4Alpha_1:alpha3_9,GNDI4Alpha_1:alpha3_10,GNDI4Alpha_1:alpha3_11,GNDI4Alpha_1:alpha3_12,GNDI4Alpha_1:alpha3_13,GNDI4Alpha_1:alpha3_14,GNDI4Alpha_1:alpha3_15,GNDI4Alpha_1:alpha3_16,GNDI4Alpha_1:alpha3_17,GNDI4Alpha_1:alpha3_18,GNDI4Alpha_1:alpha3_19,GNDI4Alpha_1:alpha3_20,GNDI4Alpha_1:alpha3_21,GNDI4Alpha_1:alpha3_22,GNDI4Alpha_1:alpha3_23,GNDI4Alpha_1:alpha3_24
50                  ,0.27268             ,0.29128             ,0.11631             ,0.11444             ,372                 ,2635                ,2358                ,3425                ,0.13388             ,0.3577              ,0.50865             ,0.31134             ,0.44051             ,0.54053             ,0.938               ,0.56448             ,0.52563             ,0.70493             ,0.18103             ,0.04561             ,0.12499             ,0.41403             ,0.52804             ,0.17617             ,0.67337             ,0.31246             ,0.05437             ,0.37731             ,0.79599             ,0.06748             ,0.74635             ,0.39222             ,0.7507              ,0.09328             ,0.06765             ,0.26182             ,0.26006             ,0.17916             ,0.03349             ,0.85528             ,0.11568             ,0.88411             ,0.95642             ,0.09414             ,0.83181             ,0.84645             ,0.45128             ,0.69384             ,0.29582             ,0.1218              ,0.42968             ,0.59267             ,0.51513             ,0.21658             ,-0.02193            ,0.9473              ,0.90383             ,0.23025             ,0.19559             ,0.32384             ,0.74895             ,0.42304             ,0.21357             ,0.60234             ,0.67364             ,0.07654             ,0.58088             ,0.54863             ,0.03568             ,0.85276             ,0.77307             ,0.50921             ,0.8633              ,0.13932             ,0.00591             ,0.60031             ,0.34232             ,0.64944             ,0.73049             ,0.27446             ,2880                ,954                 ,1865                ,177                 ,0.59206             ,0.91168             ,0.50064             ,0.49246             ,0.93158             ,0.36091             ,0.02287             ,0.10957             ,0.43011             ,0.80641             ,0.59251             ,0.56409             ,0.39527             ,0.35468             ,0.56048             ,0.17191             ,0.38561             ,0.81896             ,0.74761             ,0.85215             ,0.3848              ,0.32183             ,0.35712             ,0.3995              ,0.86704             ,0.43267             ,0.58642             ,0.41043             ,0.13749             ,0.16484             ,0.70345             ,0.38984             ,0.37558             ,0.18099             ,0.96763             ,0.02849             ,0.9761              ,0.88127             ,0.64288             ,0.51808             ,0.57529             ,0.10518             ,0.3288              ,0.00152             ,0.8384              ,0.7838              ,0.70904             ,0.23359             ,0.89182             ,0.87866             ,0.46114             ,0.43763             ,0.03674             ,0.29498             ,0.9362              ,0.79385             ,0.91573             ,0.91165             ,0.33793             ,0.65106             ,0.69884             ,0.17136             ,0.43936             ,0.10071             ,0.97415             ,0.2376              ,0.52819             ,0.62547             ,0.04259             ,0.57139             ,0.55555             ,0.75325             
100                 ,0.43644             ,0.4608              ,0.10238             ,0.09982             ,382                 ,2582                ,2340                ,3401                ,0.13289             ,0.3367              ,0.49261             ,0.287               ,0.43238             ,0.5024              ,0.89021             ,0.55529             ,0.50228             ,0.7034              ,0.1793              ,0.03559             ,0.12576             ,0.40476             ,0.52925             ,0.17505             ,0.66688             ,0.27901             ,0.03635             ,0.3943              ,0.76302             ,0.06415             ,0.71012             ,0.38687             ,0.73094             ,0.08553             ,0.06479             ,0.25424             ,0.26758             ,0.17112             ,0.03677             ,0.84176             ,0.08117             ,0.85693             ,0.91576             ,0.05298             ,0.78477             ,0.83864             ,0.45384             ,0.68833             ,0.29853             ,0.04915             ,0.38325             ,0.58107             ,0.48637             ,0.20361             ,-0.06043            ,0.92257             ,0.89767             ,0.22615             ,0.19403             ,0.31157             ,0.74936             ,0.42446             ,0.20882             ,0.59738             ,0.67589             ,0.07571             ,0.57667             ,0.54001             ,0.0431              ,0.84812             ,0.77243             ,0.50576             ,0.85647             ,0.14204             ,0.00609             ,0.60315             ,0.34308             ,0.64136             ,0.74625             ,0.28316             ,2875                ,961                 ,1858                ,186                 ,0.58976             ,0.89207             ,0.49125             ,0.48425             ,0.88292             ,0.33454             ,0.02278             ,0.11125             ,0.42466             ,0.78842             ,0.59683             ,0.51716             ,0.39184             ,0.35327             ,0.55585             ,0.15256             ,0.37823             ,0.76969             ,0.74332             ,0.80811             ,0.3569              ,0.31934             ,0.35405             ,0.39472             ,0.85122             ,0.39987             ,0.58288             ,0.39006             ,0.12558             ,0.16221             ,0.69574             ,0.3784              ,0.37434             ,0.16458             ,0.92007             ,0.03165             ,0.95778             ,0.87354             ,0.63819             ,0.4637              ,0.57464             ,0.09786             ,0.3271              ,0.00106             ,0.78723             ,0.75495             ,0.68383             ,0.23095             ,0.87721             ,0.86982             ,0.46115             ,0.43719             ,0.03688             ,0.29246             ,0.92782             ,0.7949              ,0.90872             ,0.91354             ,0.3414              ,0.64821             ,0.6848              ,0.17211             ,0.43583             ,0.09126             ,0.96743             ,0.23793             ,0.52638             ,0.62654             ,0.04096             ,0.56922             ,0.55276             ,0.75142             
150                 ,0.53193             ,0.55079             ,0.09331             ,0.09111             ,387                 ,2519                ,2285                ,3375                ,0.13187             ,0.31667             ,0.47397             ,0.26747             ,0.41818             ,0.4589              ,0.84337             ,0.54712             ,0.47898             ,0.7024              ,0.1785              ,0.02405             ,0.12174             ,0.39761             ,0.5282              ,0.17509             ,0.65781             ,0.24344             ,0.02271             ,0.39979             ,0.73119             ,0.05804             ,0.67704             ,0.37818             ,0.71486             ,0.08328             ,0.06333             ,0.24578             ,0.25326             ,0.16112             ,0.03528             ,0.82117             ,0.05309             ,0.82792             ,0.87302             ,0.01581             ,0.73852             ,0.83017             ,0.45069             ,0.67801             ,0.2947              ,-0.01892            ,0.33951             ,0.56611             ,0.46012             ,0.1945              ,-0.09461            ,0.86686             ,0.89226             ,0.22606             ,0.19331             ,0.30504             ,0.74596             ,0.42222             ,0.20694             ,0.59477             ,0.67765             ,0.07611             ,0.57264             ,0.52072             ,0.04461             ,0.8429              ,0.77097             ,0.49981             ,0.85094             ,0.14922             ,0.00517             ,0.60055             ,0.34513             ,0.62993             ,0.76492             ,0.28251             ,2865                ,969                 ,1845                ,195                 ,0.5861              ,0.87346             ,0.47934             ,0.47841             ,0.83571             ,0.30512             ,0.01902             ,0.1098              ,0.41992             ,0.77172             ,0.59565             ,0.47193             ,0.38502             ,0.35438             ,0.55208             ,0.13581             ,0.36941             ,0.72242             ,0.73987             ,0.7637              ,0.32759             ,0.31669             ,0.35238             ,0.38819             ,0.84233             ,0.37192             ,0.55052             ,0.36989             ,0.11305             ,0.15948             ,0.69014             ,0.36403             ,0.36965             ,0.15596             ,0.86545             ,0.03132             ,0.93425             ,0.867               ,0.62671             ,0.4165              ,0.56851             ,0.08895             ,0.3283              ,0.00037             ,0.73934             ,0.72797             ,0.66296             ,0.22733             ,0.85727             ,0.86164             ,0.45349             ,0.43819             ,0.03736             ,0.29059             ,0.91552             ,0.79398             ,0.90116             ,0.91609             ,0.34629             ,0.6466              ,0.66995             ,0.17359             ,0.43067             ,0.08115             ,0.96122             ,0.23854             ,0.52546             ,0.62584             ,0.0406              ,0.56842             ,0.55221             ,0.7491              
200                 ,0.61158             ,0.61876             ,0.085               ,0.08394             ,387                 ,2462                ,2228                ,3353                ,0.13086             ,0.29761             ,0.45375             ,0.25073             ,0.40043             ,0.41522             ,0.79787             ,0.54075             ,0.45645             ,0.69916             ,0.17853             ,0.02003             ,0.11116             ,0.39203             ,0.52584             ,0.17583             ,0.6477              ,0.21208             ,0.01421             ,0.39533             ,0.70052             ,0.05115             ,0.63936             ,0.36671             ,0.69842             ,0.08344             ,0.06277             ,0.23053             ,0.23118             ,0.15032             ,0.03434             ,0.79689             ,0.03246             ,0.80071             ,0.8305              ,-0.0121             ,0.69327             ,0.82063             ,0.44542             ,0.6671              ,0.28882             ,-0.07283            ,0.29863             ,0.54794             ,0.43638             ,0.19068             ,-0.12167            ,0.8091              ,0.88668             ,0.22918             ,0.1934              ,0.30329             ,0.73967             ,0.41769             ,0.2082              ,0.59416             ,0.6785              ,0.07685             ,0.56835             ,0.49738             ,0.04147             ,0.83749             ,0.76861             ,0.49386             ,0.84598             ,0.15754             ,0.00356             ,0.59393             ,0.3485              ,0.61805             ,0.78234             ,0.27711             ,2852                ,979                 ,1831                ,204                 ,0.58113             ,0.85561             ,0.46217             ,0.47438             ,0.78988             ,0.27595             ,0.01381             ,0.10718             ,0.41607             ,0.75632             ,0.5902              ,0.42954             ,0.37516             ,0.35694             ,0.54999             ,0.12205             ,0.36064             ,0.67729             ,0.73628             ,0.71993             ,0.29796             ,0.3144              ,0.352               ,0.37994             ,0.8407              ,0.34846             ,0.50428             ,0.35146             ,0.10057             ,0.15682             ,0.68606             ,0.35261             ,0.36284             ,0.15365             ,0.80999             ,0.0269              ,0.90809             ,0.8609              ,0.61401             ,0.37329             ,0.55684             ,0.08122             ,0.33042             ,0.00158             ,0.69355             ,0.70332             ,0.6387              ,0.22117             ,0.83364             ,0.85463             ,0.44336             ,0.44013             ,0.03832             ,0.28922             ,0.90191             ,0.79092             ,0.89399             ,0.91807             ,0.35226             ,0.64607             ,0.65583             ,0.17556             ,0.42609             ,0.07239             ,0.95544             ,0.24022             ,0.52529             ,0.62473             ,0.04117             ,0.56867             ,0.55346             ,0.7469              
250                 ,0.67869             ,0.67755             ,0.07731             ,0.07719             ,388                 ,2443                ,2199                ,3350                ,0.12908             ,0.27778             ,0.4323              ,0.23218             ,0.38192             ,0.37379             ,0.75354             ,0.53637             ,0.43417             ,0.69081             ,0.17902             ,0.024               ,0.0958              ,0.38637             ,0.52311             ,0.17607             ,0.63687             ,0.1891              ,0.01135             ,0.38519             ,0.66934             ,0.0446              ,0.59159             ,0.35317             ,0.68053             ,0.08149             ,0.06239             ,0.19892             ,0.20649             ,0.13887             ,0.02977             ,0.77262             ,0.02047             ,0.77587             ,0.78935             ,-0.03339            ,0.64914             ,0.80988             ,0.44026             ,0.65798             ,0.28212             ,-0.10293            ,0.26069             ,0.5257              ,0.41333             ,0.19108             ,-0.14001            ,0.75694             ,0.87956             ,0.23281             ,0.1938              ,0.30244             ,0.73195             ,0.41232             ,0.21052             ,0.59432             ,0.67738             ,0.07581             ,0.56276             ,0.47468             ,0.03712             ,0.83163             ,0.7658              ,0.48834             ,0.84115             ,0.16181             ,0.00133             ,0.58655             ,0.35139             ,0.60711             ,0.79568             ,0.27027             ,2833                ,988                 ,1820                ,212                 ,0.57308             ,0.8375              ,0.4377              ,0.47063             ,0.74536             ,0.24908             ,0.00953             ,0.10543             ,0.4123              ,0.74159             ,0.58269             ,0.38964             ,0.36291             ,0.35955             ,0.5479              ,0.10927             ,0.35412             ,0.63351             ,0.73111             ,0.67733             ,0.2685              ,0.3126              ,0.35173             ,0.36926             ,0.843               ,0.33063             ,0.45958             ,0.33539             ,0.0877              ,0.153               ,0.68303             ,0.34458             ,0.35739             ,0.15431             ,0.75569             ,0.01947             ,0.88409             ,0.85383             ,0.60496             ,0.33274             ,0.54157             ,0.07155             ,0.33111             ,0.00602             ,0.6494              ,0.67621             ,0.60768             ,0.21015             ,0.80764             ,0.84744             ,0.43107             ,0.44249             ,0.0392              ,0.28785             ,0.88962             ,0.78702             ,0.88802             ,0.91839             ,0.35886             ,0.64531             ,0.64285             ,0.17787             ,0.4227              ,0.06869             ,0.94962             ,0.24217             ,0.52524             ,0.62523             ,0.04183             ,0.56901             ,0.55498             ,0.74444             
300                 ,0.71472             ,0.70847             ,0.07284             ,0.0734              ,388                 ,2448                ,2210                ,3379                ,0.12788             ,0.25527             ,0.40957             ,0.21037             ,0.3658              ,0.33529             ,0.71043             ,0.52893             ,0.41134             ,0.67864             ,0.17866             ,0.02749             ,0.08283             ,0.38116             ,0.52068             ,0.17594             ,0.62551             ,0.16635             ,0.00452             ,0.37113             ,0.63574             ,0.0424              ,0.5419              ,0.34153             ,0.65907             ,0.07719             ,0.06158             ,0.16268             ,0.17898             ,0.12818             ,0.02174             ,0.74804             ,0.01595             ,0.75585             ,0.75003             ,-0.04519            ,0.60661             ,0.79781             ,0.43494             ,0.65059             ,0.27695             ,-0.09919            ,0.22572             ,0.50107             ,0.38958             ,0.19361             ,-0.14863            ,0.71215             ,0.87189             ,0.23376             ,0.19356             ,0.30091             ,0.72603             ,0.40712             ,0.2125              ,0.59265             ,0.67167             ,0.07599             ,0.55438             ,0.46796             ,0.03605             ,0.82567             ,0.76353             ,0.48439             ,0.83502             ,0.16684             ,0.00094             ,0.57902             ,0.3486              ,0.60314             ,0.79759             ,0.26874             ,2812                ,986                 ,1816                ,217                 ,0.56884             ,0.81769             ,0.41238             ,0.46483             ,0.70223             ,0.2229              ,0.0088              ,0.10508             ,0.40752             ,0.72548             ,0.57041             ,0.35177             ,0.35365             ,0.36034             ,0.54435             ,0.09586             ,0.34304             ,0.59165             ,0.72313             ,0.63606             ,0.23954             ,0.31053             ,0.34981             ,0.35766             ,0.83931             ,0.32043             ,0.42874             ,0.32412             ,0.07642             ,0.14356             ,0.67925             ,0.3368              ,0.35403             ,0.15501             ,0.69974             ,0.01181             ,0.86455             ,0.8445              ,0.59794             ,0.29471             ,0.52779             ,0.06465             ,0.32909             ,0.01329             ,0.60678             ,0.64935             ,0.58191             ,0.19565             ,0.7919              ,0.83617             ,0.4239              ,0.4412              ,0.04052             ,0.2866              ,0.88166             ,0.78341             ,0.8819              ,0.91289             ,0.36175             ,0.64354             ,0.63521             ,0.17825             ,0.42023             ,0.06464             ,0.94007             ,0.24457             ,0.52437             ,0.62431             ,0.04184             ,0.5685              ,0.55468             ,0.74214             
350                 ,0.72975             ,0.72352             ,0.0709              ,0.07148             ,386                 ,2468                ,2261                ,3411                ,0.12693             ,0.23204             ,0.38642             ,0.18836             ,0.35011             ,0.29982             ,0.66864             ,0.51971             ,0.38828             ,0.66338             ,0.17839             ,0.02682             ,0.07077             ,0.37572             ,0.51833             ,0.17568             ,0.61416             ,0.14087             ,0.00137             ,0.35526             ,0.60118             ,0.0429              ,0.49328             ,0.33083             ,0.63431             ,0.07192             ,0.06078             ,0.12862             ,0.15155             ,0.11764             ,0.01314             ,0.72294             ,0.01633             ,0.73788             ,0.71239             ,-0.04506            ,0.56564             ,0.78436             ,0.42976             ,0.64353             ,0.27434             ,-0.07201            ,0.19374             ,0.47507             ,0.36528             ,0.19778             ,-0.15104            ,0.67615             ,0.86319             ,0.23337             ,0.19343             ,0.29941             ,0.7208              ,0.40292             ,0.21376             ,0.59012             ,0.6641              ,0.07639             ,0.54427             ,0.47204             ,0.03636             ,0.81947             ,0.76128             ,0.48193             ,0.82755             ,0.17431             ,0.00076             ,0.57177             ,0.34321             ,0.60356             ,0.79141             ,0.27294             ,2789                ,975                 ,1810                ,221                 ,0.56386             ,0.79607             ,0.38887             ,0.45692             ,0.66045             ,0.199               ,0.00856             ,0.10562             ,0.40271             ,0.70783             ,0.55631             ,0.31603             ,0.3468              ,0.35962             ,0.54077             ,0.08349             ,0.33312             ,0.55121             ,0.71354             ,0.59586             ,0.21292             ,0.30875             ,0.34749             ,0.34609             ,0.8307              ,0.30923             ,0.41334             ,0.3156              ,0.0656              ,0.13405             ,0.67491             ,0.32987             ,0.35136             ,0.15517             ,0.64632             ,0.00603             ,0.84862             ,0.8331              ,0.59278             ,0.2594              ,0.51777             ,0.05957             ,0.32567             ,0.02039             ,0.56594             ,0.62116             ,0.56203             ,0.18357             ,0.77915             ,0.82282             ,0.42118             ,0.43751             ,0.04132             ,0.28566             ,0.87403             ,0.77938             ,0.87542             ,0.90394             ,0.3623              ,0.6413              ,0.63095             ,0.17778             ,0.41874             ,0.06363             ,0.92957             ,0.24565             ,0.52286             ,0.62186             ,0.04054             ,0.56744             ,0.55339             ,0.73936             
400                 ,0.74027             ,0.73487             ,0.06951             ,0.07                ,384                 ,2471                ,2270                ,3431                ,0.12592             ,0.20911             ,0.36313             ,0.16698             ,0.33426             ,0.26684             ,0.62818             ,0.50877             ,0.36506             ,0.64682             ,0.17807             ,0.02446             ,0.06025             ,0.36976             ,0.51596             ,0.17488             ,0.60258             ,0.11612             ,0.00179             ,0.33914             ,0.56687             ,0.04401             ,0.44897             ,0.32003             ,0.60806             ,0.06706             ,0.06                ,0.10124             ,0.12494             ,0.10727             ,0.00402             ,0.69668             ,0.01742             ,0.71864             ,0.67568             ,-0.04301            ,0.52627             ,0.76966             ,0.42425             ,0.63576             ,0.27308             ,-0.04373            ,0.16485             ,0.44876             ,0.34141             ,0.20222             ,-0.15206            ,0.64326             ,0.85377             ,0.23212             ,0.19334             ,0.29739             ,0.71575             ,0.39885             ,0.21468             ,0.58689             ,0.6557              ,0.07684             ,0.53316             ,0.47836             ,0.03734             ,0.81302             ,0.75904             ,0.4796              ,0.81926             ,0.18273             ,0.00118             ,0.56454             ,0.33597             ,0.60521             ,0.78255             ,0.27872             ,2759                ,966                 ,1795                ,224                 ,0.55864             ,0.77318             ,0.36693             ,0.44757             ,0.62002             ,0.17645             ,0.00868             ,0.10653             ,0.39755             ,0.68893             ,0.54122             ,0.2825              ,0.34036             ,0.35816             ,0.53664             ,0.07163             ,0.32308             ,0.51226             ,0.70307             ,0.55683             ,0.18773             ,0.30677             ,0.34474             ,0.33458             ,0.81864             ,0.2976              ,0.40017             ,0.30496             ,0.05553             ,0.12831             ,0.6703              ,0.3223              ,0.34916             ,0.1549              ,0.5969              ,0.0008              ,0.83238             ,0.8203              ,0.58775             ,0.22678             ,0.50931             ,0.05456             ,0.32184             ,0.0228              ,0.52663             ,0.59212             ,0.54204             ,0.17296             ,0.76729             ,0.8076              ,0.41945             ,0.43251             ,0.04199             ,0.28482             ,0.86637             ,0.7753              ,0.86861             ,0.89316             ,0.36177             ,0.6388              ,0.62696             ,0.17697             ,0.41726             ,0.063               ,0.91784             ,0.2464              ,0.52096             ,0.61816             ,0.03873             ,0.56602             ,0.55139             ,0.73641             
450                 ,0.75057             ,0.74552             ,0.06811             ,0.06858             ,385                 ,2471                ,2269                ,3446                ,0.12495             ,0.18677             ,0.33985             ,0.14644             ,0.31847             ,0.23618             ,0.58912             ,0.4959              ,0.34188             ,0.62942             ,0.17733             ,0.02147             ,0.05182             ,0.36329             ,0.51357             ,0.17327             ,0.59034             ,0.09408             ,0.00109             ,0.32342             ,0.53321             ,0.04546             ,0.40853             ,0.30898             ,0.58129             ,0.06314             ,0.05914             ,0.08099             ,0.09732             ,0.09679             ,-0.018              ,0.66938             ,0.01838             ,0.69684             ,0.63969             ,-0.04329            ,0.48852             ,0.75394             ,0.41796             ,0.62738             ,0.2716              ,-0.02076            ,0.13892             ,0.42273             ,0.31845             ,0.20607             ,-0.15275            ,0.61005             ,0.84402             ,0.22985             ,0.1931              ,0.29409             ,0.711               ,0.39462             ,0.21552             ,0.5827              ,0.64641             ,0.07712             ,0.52108             ,0.48532             ,0.03924             ,0.80631             ,0.75695             ,0.47698             ,0.81045             ,0.19016             ,0.00194             ,0.5574              ,0.32714             ,0.60726             ,0.77265             ,0.28424             ,2709                ,964                 ,1778                ,228                 ,0.55371             ,0.74918             ,0.34596             ,0.43746             ,0.58097             ,0.15498             ,0.00947             ,0.10733             ,0.39155             ,0.66938             ,0.52498             ,0.25121             ,0.33427             ,0.3563              ,0.53129             ,0.06015             ,0.31066             ,0.47494             ,0.69187             ,0.51922             ,0.16385             ,0.30432             ,0.34135             ,0.32292             ,0.80503             ,0.28722             ,0.38806             ,0.2941              ,0.0467              ,0.1227              ,0.66533             ,0.31207             ,0.34715             ,0.15513             ,0.55002             ,-0.00374            ,0.81619             ,0.80653             ,0.58209             ,0.19686             ,0.50103             ,0.04991             ,0.31778             ,0.02483             ,0.48882             ,0.56365             ,0.52207             ,0.16172             ,0.75743             ,0.79013             ,0.41761             ,0.42638             ,0.04279             ,0.28375             ,0.85906             ,0.77151             ,0.86113             ,0.88067             ,0.36048             ,0.63584             ,0.62311             ,0.17565             ,0.41528             ,0.06021             ,0.9046              ,0.2473              ,0.51872             ,0.61391             ,0.03683             ,0.56427             ,0.54875             ,0.73316             
500                 ,0.76029             ,0.75647             ,0.06677             ,0.06708             ,388                 ,2470                ,2269                ,3447                ,0.12352             ,0.16623             ,0.31709             ,0.12761             ,0.30223             ,0.20767             ,0.5515              ,0.48249             ,0.31917             ,0.61079             ,0.17649             ,0.01985             ,0.04455             ,0.35666             ,0.5106              ,0.17111             ,0.57738             ,0.07453             ,0.00282             ,0.30779             ,0.50088             ,0.04588             ,0.36818             ,0.29698             ,0.55528             ,0.06078             ,0.05861             ,0.06551             ,0.06792             ,0.08597             ,-0.01916            ,0.64036             ,0.0204              ,0.6729              ,0.60414             ,-0.03932            ,0.45241             ,0.73765             ,0.41007             ,0.61846             ,0.26896             ,0.0005              ,0.11598             ,0.39772             ,0.29706             ,0.21109             ,-0.15244            ,0.57784             ,0.8336              ,0.22845             ,0.19329             ,0.29208             ,0.70498             ,0.38979             ,0.21682             ,0.57891             ,0.63729             ,0.07671             ,0.50911             ,0.48818             ,0.03988             ,0.79927             ,0.75455             ,0.47438             ,0.80163             ,0.1971              ,0.0021              ,0.54979             ,0.31777             ,0.60818             ,0.76268             ,0.2885              ,2670                ,964                 ,1761                ,232                 ,0.546               ,0.72569             ,0.3256              ,0.42757             ,0.54332             ,0.13496             ,0.01004             ,0.10702             ,0.38491             ,0.65089             ,0.50772             ,0.22223             ,0.32803             ,0.35502             ,0.52514             ,0.04959             ,0.29577             ,0.4393              ,0.68041             ,0.48324             ,0.14155             ,0.30165             ,0.33831             ,0.31103             ,0.79513             ,0.2816              ,0.3798              ,0.2851              ,0.03898             ,0.11547             ,0.66096             ,0.29818             ,0.3445              ,0.15848             ,0.50407             ,-0.00807            ,0.80141             ,0.79297             ,0.57416             ,0.16968             ,0.49022             ,0.04585             ,0.31409             ,0.02821             ,0.45257             ,0.53721             ,0.50486             ,0.14904             ,0.74709             ,0.77193             ,0.41571             ,0.41949             ,0.04343             ,0.28307             ,0.85111             ,0.76744             ,0.85329             ,0.86737             ,0.35944             ,0.63305             ,0.61931             ,0.17437             ,0.41344             ,0.05497             ,0.89175             ,0.24831             ,0.51658             ,0.61006             ,0.03522             ,0.56283             ,0.54723             ,0.72948             
