epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24,GNDI4Alpha_1:i,GNDI4Alpha_1:j,GNDI4Alpha_1:k,GNDI4Alpha_1:l,GNDI4Alpha_1:alpha1_1,GNDI4Alpha_1:alpha1_2,GNDI4Alpha_1:alpha1_3,GNDI4Alpha_1:alpha1_4,GNDI4Alpha_1:alpha1_5,GNDI4Alpha_1:alpha1_6,GNDI4Alpha_1:alpha1_7,GNDI4Alpha_1:alpha1_8,GNDI4Alpha_1:alpha1_9,GNDI4Alpha_1:alpha1_10,GNDI4Alpha_1:alpha1_11,GNDI4Alpha_1:alpha1_12,GNDI4Alpha_1:alpha1_13,GNDI4Alpha_1:alpha1_14,GNDI4Alpha_1:alpha1_15,GNDI4Alpha_1:alpha1_16,GNDI4Alpha_1:alpha1_17,GNDI4Alpha_1:alpha1_18,GNDI4Alpha_1:alpha1_19,GNDI4Alpha_1:alpha1_20,GNDI4Alpha_1:alpha1_21,GNDI4Alpha_1:alpha1_22,GNDI4Alpha_1:alpha1_23,GNDI4Alpha_1:alpha1_24,GNDI4Alpha_1:alpha2_1,GNDI4Alpha_1:alpha2_2,GNDI4Alpha_1:alpha2_3,GNDI4Alpha_1:alpha2_4,GNDI4Alpha_1:alpha2_5,GNDI4Alpha_1:alpha2_6,GNDI4Alpha_1:alpha2_7,GNDI4Alpha_1:alpha2_8,GNDI4Alpha_1:alpha2_9,GNDI4Alpha_1:alpha2_10,GNDI4Alpha_1:alpha2_11,GNDI4Alpha_1:alpha2_12,GNDI4Alpha_1:alpha2_13,GNDI4Alpha_1:alpha2_14,GNDI4Alpha_1:alpha2_15,GNDI4Alpha_1:alpha2_16,GNDI4Alpha_1:alpha2_17,GNDI4Alpha_1:alpha2_18,GNDI4Alpha_1:alpha2_19,GNDI4Alpha_1:alpha2_20,GNDI4Alpha_1:alpha2_21,GNDI4Alpha_1:alpha2_22,GNDI4Alpha_1:alpha2_23,GNDI4Alpha_1:alpha2_24,GNDI4Alpha_1:alpha3_1,GNDI4Alpha_1:alpha3_2,GNDI4Alpha_1:alpha3_3,GNDI4Alpha_1:alpha3_4,GNDI4Alpha_1:alpha3_5,GNDI4Alpha_1:alpha3_6,GNDI4Alpha_1:alpha3_7,GNDI4Alpha_1:alpha3_8,GNDI4Alpha_1:alpha3_9,GNDI4Alpha_1:alpha3_10,GNDI4Alpha_1:alpha3_11,GNDI4Alpha_1:alpha3_12,GNDI4Alpha_1:alpha3_13,GNDI4Alpha_1:alpha3_14,GNDI4Alpha_1:alpha3_15,GNDI4Alpha_1:alpha3_16,GNDI4Alpha_1:alpha3_17,GNDI4Alpha_1:alpha3_18,GNDI4Alpha_1:alpha3_19,GNDI4Alpha_1:alpha3_20,GNDI4Alpha_1:alpha3_21,GNDI4Alpha_1:alpha3_22,GNDI4Alpha_1:alpha3_23,GNDI4Alpha_1:alpha3_24
50                  ,0.35915             ,0.38144             ,0.10918             ,0.10691             ,1372                ,2836                ,1292                ,3365                ,0.86967             ,0.16761             ,0.78811             ,0.65912             ,0.3786              ,0.50416             ,0.49141             ,0.72862             ,0.8375              ,0.68679             ,0.94426             ,0.48919             ,0.89578             ,0.22028             ,0.53175             ,0.27619             ,0.51413             ,0.4355              ,0.87598             ,0.73281             ,0.51716             ,0.06001             ,0.88836             ,0.10399             ,0.29988             ,0.83727             ,0.78801             ,0.61664             ,0.04183             ,0.44799             ,0.81059             ,0.80366             ,0.29398             ,0.85645             ,0.84734             ,0.49452             ,0.23538             ,0.03092             ,0.84371             ,0.64427             ,0.71174             ,0.67798             ,0.45948             ,0.11778             ,0.63738             ,0.68821             ,0.0553              ,0.8232              ,0.00386             ,0.06142             ,0.15803             ,0.70927             ,0.85501             ,0.76537             ,0.91862             ,0.09932             ,0.10302             ,0.57593             ,0.86552             ,0.63661             ,0.79076             ,0.40057             ,0.75644             ,0.53553             ,0.0043              ,0.58655             ,0.95792             ,0.10192             ,0.40785             ,0.24863             ,0.76162             ,0.94021             ,372                 ,280                 ,4059                ,2974                ,0.11677             ,0.45548             ,0.69766             ,0.33793             ,0.67764             ,0.64922             ,0.76512             ,0.12234             ,0.32888             ,0.02646             ,0.06242             ,0.48775             ,0.92403             ,0.46081             ,0.90665             ,0.13133             ,0.58145             ,0.76697             ,0.58059             ,0.83199             ,0.56965             ,0.26738             ,0.71003             ,0.49676             ,0.21403             ,0.63344             ,0.59385             ,0.25453             ,0.67007             ,0.25096             ,0.49627             ,0.94188             ,0.53998             ,0.79333             ,0.91497             ,0.12322             ,0.92661             ,0.5913              ,0.68569             ,0.78665             ,0.92795             ,0.62409             ,0.6772              ,0.14728             ,0.62761             ,0.81744             ,0.17714             ,0.54866             ,0.12454             ,0.17892             ,0.04496             ,0.99462             ,0.53636             ,0.5222              ,0.55167             ,0.74083             ,0.91502             ,0.36954             ,0.52435             ,0.70167             ,0.4796              ,0.70612             ,0.30019             ,0.15291             ,0.82288             ,0.61916             ,0.95861             ,0.43209             ,0.15902             ,0.30669             ,0.36262             ,0.87453             
100                 ,0.55354             ,0.57245             ,0.09113             ,0.08889             ,1352                ,2823                ,1310                ,3383                ,0.82145             ,0.15837             ,0.74752             ,0.63356             ,0.33557             ,0.48875             ,0.48279             ,0.69904             ,0.79172             ,0.67043             ,0.92767             ,0.49081             ,0.86305             ,0.18013             ,0.53317             ,0.26975             ,0.4681              ,0.43943             ,0.82679             ,0.68593             ,0.50544             ,0.06738             ,0.84026             ,0.09998             ,0.25649             ,0.78918             ,0.74346             ,0.56739             ,0.04279             ,0.45392             ,0.7722              ,0.7649              ,0.28507             ,0.80551             ,0.80401             ,0.45068             ,0.1828              ,0.01926             ,0.82477             ,0.62018             ,0.66444             ,0.65583             ,0.42985             ,0.11091             ,0.60417             ,0.64362             ,0.07132             ,0.80674             ,0.00304             ,0.05277             ,0.17308             ,0.70272             ,0.8422              ,0.74633             ,0.90008             ,0.09759             ,0.11821             ,0.57204             ,0.85565             ,0.63737             ,0.77705             ,0.40472             ,0.75773             ,0.52605             ,0.00876             ,0.58776             ,0.92104             ,0.10043             ,0.40981             ,0.24998             ,0.76056             ,0.92966             ,382                 ,293                 ,4053                ,2990                ,0.0961              ,0.43429             ,0.6586              ,0.28848             ,0.66337             ,0.6064              ,0.74256             ,0.10874             ,0.3142              ,-0.00035            ,0.06878             ,0.45871             ,0.92164             ,0.41619             ,0.86389             ,0.0966              ,0.58791             ,0.75                ,0.59345             ,0.79761             ,0.5355              ,0.24409             ,0.6727              ,0.49702             ,0.17072             ,0.58811             ,0.56074             ,0.25986             ,0.65017             ,0.29842             ,0.46757             ,0.92253             ,0.50269             ,0.76343             ,0.87422             ,0.15091             ,0.89801             ,0.55528             ,0.64251             ,0.74028             ,0.88596             ,0.59555             ,0.64096             ,0.11092             ,0.58561             ,0.75761             ,0.17506             ,0.52005             ,0.11526             ,0.17936             ,0.04778             ,0.94708             ,0.53216             ,0.48241             ,0.55032             ,0.73888             ,0.91791             ,0.35467             ,0.51074             ,0.68004             ,0.49066             ,0.66471             ,0.3051              ,0.14317             ,0.81065             ,0.62002             ,0.96534             ,0.41392             ,0.18076             ,0.30626             ,0.37883             ,0.8446              
150                 ,0.65648             ,0.66264             ,0.07993             ,0.07896             ,1305                ,2806                ,1270                ,3424                ,0.77472             ,0.14692             ,0.70316             ,0.60698             ,0.29948             ,0.47756             ,0.47712             ,0.66171             ,0.74517             ,0.63654             ,0.91516             ,0.46978             ,0.83151             ,0.14512             ,0.53138             ,0.26163             ,0.4231              ,0.4478              ,0.77014             ,0.63976             ,0.48758             ,0.06986             ,0.793               ,0.096               ,0.218               ,0.74218             ,0.69641             ,0.51586             ,0.03938             ,0.47393             ,0.72531             ,0.71893             ,0.26674             ,0.74224             ,0.76783             ,0.40796             ,0.1256              ,0.00631             ,0.75658             ,0.57905             ,0.61809             ,0.63218             ,0.3491              ,0.10042             ,0.5648              ,0.60219             ,0.12749             ,0.78828             ,0.02031             ,0.04063             ,0.167               ,0.70445             ,0.84196             ,0.72827             ,0.88145             ,0.09538             ,0.12912             ,0.55757             ,0.84115             ,0.62156             ,0.76442             ,0.40951             ,0.75524             ,0.52185             ,0.00643             ,0.59207             ,0.86494             ,0.09555             ,0.40763             ,0.25725             ,0.74861             ,0.91727             ,382                 ,306                 ,4046                ,2989                ,0.08085             ,0.402               ,0.61655             ,0.24645             ,0.65084             ,0.57491             ,0.71022             ,0.09431             ,0.30946             ,-0.02955            ,0.07418             ,0.43703             ,0.90846             ,0.38171             ,0.81849             ,0.07542             ,0.5842              ,0.73735             ,0.59104             ,0.76537             ,0.49109             ,0.22607             ,0.6383              ,0.48691             ,0.12972             ,0.54204             ,0.52246             ,0.25887             ,0.63375             ,0.34021             ,0.43003             ,0.8972              ,0.47639             ,0.73294             ,0.81939             ,0.17117             ,0.85915             ,0.53257             ,0.59701             ,0.70692             ,0.85333             ,0.56196             ,0.61161             ,0.0894              ,0.53978             ,0.70052             ,0.17517             ,0.49226             ,0.11034             ,0.1785              ,0.04705             ,0.90373             ,0.52825             ,0.45473             ,0.54739             ,0.73244             ,0.91464             ,0.34203             ,0.50266             ,0.66758             ,0.49499             ,0.63652             ,0.30373             ,0.14527             ,0.78176             ,0.61356             ,0.95747             ,0.40019             ,0.18289             ,0.31187             ,0.38053             ,0.81958             
200                 ,0.72252             ,0.72548             ,0.07184             ,0.07123             ,1250                ,2781                ,1193                ,3451                ,0.72952             ,0.13701             ,0.66003             ,0.5778              ,0.26561             ,0.44847             ,0.47225             ,0.62361             ,0.69986             ,0.59649             ,0.90533             ,0.4376              ,0.79677             ,0.11425             ,0.52514             ,0.2518              ,0.38051             ,0.4536              ,0.71482             ,0.59546             ,0.47223             ,0.06402             ,0.74853             ,0.09162             ,0.18515             ,0.6969              ,0.65181             ,0.4655              ,0.04763             ,0.41634             ,0.67473             ,0.673               ,0.24582             ,0.67708             ,0.7361              ,0.3644              ,0.06811             ,-0.00198            ,0.67002             ,0.52966             ,0.57331             ,0.61114             ,0.25875             ,0.09112             ,0.52411             ,0.56339             ,0.19344             ,0.77009             ,0.03674             ,0.0319              ,0.16671             ,0.70448             ,0.83103             ,0.7035              ,0.86196             ,0.0965              ,0.13997             ,0.54199             ,0.82132             ,0.59949             ,0.75326             ,0.41082             ,0.74807             ,0.52318             ,0.0034              ,0.59337             ,0.80485             ,0.09194             ,0.40585             ,0.26158             ,0.73578             ,0.90219             ,389                 ,318                 ,4040                ,2986                ,0.06791             ,0.36518             ,0.57423             ,0.20972             ,0.63712             ,0.55444             ,0.66828             ,0.08564             ,0.31047             ,-0.04614            ,0.07699             ,0.42064             ,0.88428             ,0.35877             ,0.7713              ,0.06774             ,0.57737             ,0.72461             ,0.56922             ,0.73489             ,0.44395             ,0.20496             ,0.60414             ,0.47302             ,0.09464             ,0.49714             ,0.4825              ,0.24885             ,0.61727             ,0.35261             ,0.3881              ,0.86298             ,0.46221             ,0.69126             ,0.76311             ,0.16542             ,0.8145              ,0.52907             ,0.55022             ,0.68641             ,0.81703             ,0.52998             ,0.58499             ,0.08457             ,0.49372             ,0.65068             ,0.16955             ,0.46859             ,0.1094              ,0.17951             ,0.046               ,0.86358             ,0.52211             ,0.44852             ,0.54399             ,0.72547             ,0.89976             ,0.34133             ,0.49772             ,0.66177             ,0.49173             ,0.62742             ,0.29345             ,0.15382             ,0.75502             ,0.60532             ,0.92684             ,0.39631             ,0.17158             ,0.31031             ,0.37467             ,0.80046             
250                 ,0.75687             ,0.76027             ,0.06725             ,0.06656             ,1207                ,2747                ,1128                ,3450                ,0.68532             ,0.12833             ,0.61889             ,0.55188             ,0.23135             ,0.41397             ,0.46353             ,0.58832             ,0.65581             ,0.56301             ,0.89418             ,0.40669             ,0.75591             ,0.08935             ,0.51773             ,0.23975             ,0.34046             ,0.45342             ,0.67008             ,0.55307             ,0.46143             ,0.05367             ,0.70515             ,0.08803             ,0.15273             ,0.65323             ,0.60973             ,0.4194              ,0.06665             ,0.34484             ,0.62783             ,0.63065             ,0.22368             ,0.62631             ,0.70547             ,0.32195             ,0.01584             ,-0.00058            ,0.5996              ,0.48317             ,0.53016             ,0.58946             ,0.19797             ,0.08382             ,0.48389             ,0.52674             ,0.23772             ,0.75566             ,0.03867             ,0.02776             ,0.18014             ,0.69639             ,0.80249             ,0.67903             ,0.83957             ,0.10377             ,0.1504              ,0.53415             ,0.80068             ,0.57766             ,0.74289             ,0.4064              ,0.73894             ,0.52441             ,0.00498             ,0.58959             ,0.75849             ,0.0911              ,0.40607             ,0.25666             ,0.71564             ,0.88537             ,401                 ,326                 ,4034                ,2987                ,0.05996             ,0.32876             ,0.5328              ,0.18054             ,0.62136             ,0.53165             ,0.62827             ,0.079               ,0.30775             ,-0.05277            ,0.07774             ,0.40275             ,0.85374             ,0.33668             ,0.72635             ,0.06283             ,0.57225             ,0.70912             ,0.54399             ,0.70391             ,0.40164             ,0.17807             ,0.57093             ,0.46027             ,0.06639             ,0.4547              ,0.44291             ,0.22984             ,0.59903             ,0.33162             ,0.35215             ,0.82461             ,0.44661             ,0.64493             ,0.71094             ,0.13204             ,0.76987             ,0.5286              ,0.50628             ,0.66787             ,0.7739              ,0.49633             ,0.55295             ,0.08348             ,0.45069             ,0.60836             ,0.1608              ,0.44353             ,0.10975             ,0.18149             ,0.04518             ,0.82918             ,0.51402             ,0.44837             ,0.54252             ,0.72071             ,0.87766             ,0.34648             ,0.49267             ,0.65875             ,0.48349             ,0.62222             ,0.28767             ,0.16279             ,0.73383             ,0.59731             ,0.89128             ,0.39696             ,0.16575             ,0.29806             ,0.36706             ,0.78194             
300                 ,0.77291             ,0.77703             ,0.06499             ,0.06419             ,1174                ,2714                ,1088                ,3450                ,0.64257             ,0.11969             ,0.57616             ,0.52972             ,0.2009              ,0.38132             ,0.45182             ,0.55318             ,0.61245             ,0.53275             ,0.88034             ,0.37487             ,0.7128              ,0.07114             ,0.51036             ,0.22746             ,0.30302             ,0.45064             ,0.62978             ,0.51226             ,0.44999             ,0.04687             ,0.66297             ,0.08536             ,0.12542             ,0.61103             ,0.56763             ,0.37895             ,0.07115             ,0.28234             ,0.58603             ,0.58999             ,0.19847             ,0.58454             ,0.67316             ,0.28393             ,-0.02596            ,-0.00129            ,0.54149             ,0.44225             ,0.48887             ,0.56027             ,0.15373             ,0.07647             ,0.44329             ,0.48958             ,0.25116             ,0.74119             ,0.03907             ,0.0258              ,0.19053             ,0.68703             ,0.77809             ,0.65742             ,0.81651             ,0.10995             ,0.15726             ,0.52689             ,0.7808              ,0.55383             ,0.73337             ,0.40182             ,0.72993             ,0.52367             ,0.00775             ,0.58544             ,0.72247             ,0.09033             ,0.40453             ,0.2521              ,0.69131             ,0.86891             ,406                 ,330                 ,4026                ,2989                ,0.05566             ,0.29305             ,0.49279             ,0.15496             ,0.60627             ,0.50247             ,0.59123             ,0.07238             ,0.30362             ,-0.05711            ,0.07784             ,0.38018             ,0.82023             ,0.31541             ,0.68322             ,0.05704             ,0.56177             ,0.69103             ,0.51807             ,0.67222             ,0.36278             ,0.15364             ,0.53897             ,0.44628             ,0.04536             ,0.41448             ,0.40484             ,0.20775             ,0.58215             ,0.29048             ,0.31977             ,0.78857             ,0.4294              ,0.60485             ,0.66284             ,0.09907             ,0.72599             ,0.52111             ,0.46561             ,0.64651             ,0.72374             ,0.46216             ,0.51404             ,0.08333             ,0.41017             ,0.56427             ,0.149               ,0.41311             ,0.10882             ,0.1808              ,0.04393             ,0.79612             ,0.50718             ,0.44432             ,0.53914             ,0.71472             ,0.85466             ,0.34848             ,0.48695             ,0.65564             ,0.47409             ,0.61271             ,0.28166             ,0.17011             ,0.70841             ,0.58763             ,0.8564              ,0.39649             ,0.16338             ,0.28783             ,0.3613              ,0.76144             
350                 ,0.78196             ,0.78588             ,0.06368             ,0.0629              ,1148                ,2704                ,1065                ,3450                ,0.60135             ,0.11122             ,0.53287             ,0.51021             ,0.1734              ,0.35015             ,0.43859             ,0.51818             ,0.57017             ,0.50506             ,0.86397             ,0.34332             ,0.6699              ,0.05818             ,0.50266             ,0.21556             ,0.26812             ,0.44622             ,0.59171             ,0.4731              ,0.43747             ,0.04246             ,0.62164             ,0.08326             ,0.10294             ,0.57035             ,0.52598             ,0.34362             ,0.06869             ,0.23213             ,0.54828             ,0.55085             ,0.17209             ,0.54935             ,0.63975             ,0.24976             ,-0.05603            ,-0.00185            ,0.49274             ,0.40475             ,0.44942             ,0.52594             ,0.12077             ,0.06922             ,0.40351             ,0.45281             ,0.2436              ,0.72615             ,0.03982             ,0.02572             ,0.19552             ,0.67801             ,0.75836             ,0.63543             ,0.79341             ,0.11409             ,0.16139             ,0.51905             ,0.76188             ,0.52855             ,0.7245              ,0.39797             ,0.72062             ,0.52135             ,0.00963             ,0.58117             ,0.69119             ,0.0896              ,0.40143             ,0.24858             ,0.66555             ,0.8524              ,405                 ,333                 ,4019                ,2990                ,0.05229             ,0.25853             ,0.45433             ,0.13131             ,0.59089             ,0.4711              ,0.55607             ,0.06574             ,0.29728             ,-0.0593             ,0.07788             ,0.35506             ,0.78548             ,0.29466             ,0.64164             ,0.05095             ,0.54777             ,0.6718              ,0.49147             ,0.64009             ,0.32619             ,0.1334              ,0.50763             ,0.43146             ,0.03042             ,0.37626             ,0.36847             ,0.18534             ,0.56526             ,0.25216             ,0.28926             ,0.75526             ,0.40913             ,0.5685              ,0.61774             ,0.0747              ,0.68288             ,0.50833             ,0.42779             ,0.62332             ,0.67332             ,0.43115             ,0.47388             ,0.08338             ,0.37158             ,0.52176             ,0.13693             ,0.38265             ,0.1073              ,0.17889             ,0.04242             ,0.76292             ,0.50045             ,0.43877             ,0.53361             ,0.70763             ,0.83114             ,0.34967             ,0.48086             ,0.65226             ,0.46477             ,0.60078             ,0.27353             ,0.17616             ,0.67845             ,0.57663             ,0.82122             ,0.39494             ,0.16158             ,0.27961             ,0.35441             ,0.73923             
400                 ,0.78725             ,0.79051             ,0.06291             ,0.06222             ,1126                ,2706                ,1050                ,3450                ,0.56156             ,0.1025              ,0.49044             ,0.49175             ,0.14873             ,0.3206              ,0.42444             ,0.48407             ,0.52938             ,0.47947             ,0.84585             ,0.31284             ,0.62827             ,0.04853             ,0.49419             ,0.20369             ,0.23573             ,0.4406              ,0.55527             ,0.43566             ,0.42413             ,0.03807             ,0.58115             ,0.08113             ,0.08336             ,0.53114             ,0.48552             ,0.31193             ,0.06614             ,0.19133             ,0.51304             ,0.51345             ,0.14661             ,0.51707             ,0.60649             ,0.219               ,-0.07508            ,-0.00198            ,0.44934             ,0.36934             ,0.41182             ,0.49048             ,0.09295             ,0.06242             ,0.36571             ,0.41741             ,0.22697             ,0.71061             ,0.03881             ,0.02536             ,0.1984              ,0.66955             ,0.73959             ,0.61291             ,0.77022             ,0.11732             ,0.16417             ,0.51201             ,0.74356             ,0.50376             ,0.71505             ,0.3938              ,0.71045             ,0.51782             ,0.01008             ,0.57641             ,0.66274             ,0.08933             ,0.39771             ,0.24379             ,0.63885             ,0.8351              ,405                 ,337                 ,4011                ,2991                ,0.0487              ,0.22585             ,0.41769             ,0.10998             ,0.57444             ,0.43962             ,0.52221             ,0.05907             ,0.28979             ,-0.0604             ,0.07792             ,0.32911             ,0.75038             ,0.27374             ,0.60177             ,0.04458             ,0.53212             ,0.6518              ,0.46434             ,0.60782             ,0.29175             ,0.11424             ,0.47691             ,0.41588             ,0.02004             ,0.34014             ,0.33415             ,0.16355             ,0.54741             ,0.22063             ,0.26021             ,0.72336             ,0.38642             ,0.5345              ,0.57435             ,0.05817             ,0.64085             ,0.49494             ,0.39246             ,0.60004             ,0.62576             ,0.40329             ,0.43536             ,0.0836              ,0.33498             ,0.48224             ,0.12455             ,0.35344             ,0.10562             ,0.17699             ,0.04113             ,0.73089             ,0.49279             ,0.43325             ,0.52761             ,0.70015             ,0.80774             ,0.35066             ,0.47492             ,0.64847             ,0.45522             ,0.58775             ,0.26528             ,0.181               ,0.64674             ,0.56528             ,0.78516             ,0.39276             ,0.15931             ,0.26946             ,0.34539             ,0.71636             
450                 ,0.79023             ,0.79292             ,0.06246             ,0.06186             ,1116                ,2708                ,1041                ,3450                ,0.52326             ,0.09373             ,0.44933             ,0.47389             ,0.12685             ,0.29268             ,0.40959             ,0.45098             ,0.49017             ,0.45518             ,0.82622             ,0.28351             ,0.58875             ,0.04017             ,0.48539             ,0.19172             ,0.20592             ,0.4338              ,0.52023             ,0.39993             ,0.41037             ,0.03415             ,0.54192             ,0.07899             ,0.06653             ,0.49345             ,0.44643             ,0.28231             ,0.06349             ,0.15797             ,0.47947             ,0.47766             ,0.12267             ,0.48712             ,0.57412             ,0.191               ,-0.08561            ,-0.00345            ,0.41068             ,0.33584             ,0.37612             ,0.45549             ,0.0703              ,0.0557              ,0.3302              ,0.38345             ,0.20746             ,0.69463             ,0.03793             ,0.02442             ,0.20041             ,0.66124             ,0.72119             ,0.58995             ,0.74715             ,0.12                ,0.16573             ,0.50535             ,0.72607             ,0.48015             ,0.70549             ,0.38938             ,0.69992             ,0.51328             ,0.00972             ,0.57095             ,0.63563             ,0.0887              ,0.39356             ,0.2383              ,0.61249             ,0.81719             ,405                 ,342                 ,4002                ,2991                ,0.0438              ,0.19572             ,0.38282             ,0.09123             ,0.55736             ,0.40814             ,0.48899             ,0.05238             ,0.2821              ,-0.06069            ,0.0777              ,0.30339             ,0.71549             ,0.25314             ,0.56344             ,0.03843             ,0.51523             ,0.63072             ,0.43721             ,0.57573             ,0.25955             ,0.09683             ,0.44726             ,0.39991             ,0.01289             ,0.30628             ,0.30181             ,0.14331             ,0.52891             ,0.1919              ,0.23273             ,0.69214             ,0.36296             ,0.50171             ,0.53268             ,0.04537             ,0.60025             ,0.48163             ,0.35905             ,0.57695             ,0.58126             ,0.37737             ,0.39868             ,0.08356             ,0.30053             ,0.44481             ,0.10912             ,0.32515             ,0.10388             ,0.17497             ,0.03996             ,0.70018             ,0.48462             ,0.42746             ,0.52121             ,0.69232             ,0.78489             ,0.35202             ,0.46871             ,0.64468             ,0.44528             ,0.57515             ,0.25714             ,0.18564             ,0.61509             ,0.55426             ,0.74881             ,0.39019             ,0.15652             ,0.25908             ,0.33553             ,0.69299             
500                 ,0.79214             ,0.79507             ,0.06218             ,0.06154             ,1112                ,2714                ,1040                ,3450                ,0.48649             ,0.0853              ,0.41041             ,0.4558              ,0.10776             ,0.26597             ,0.39437             ,0.41881             ,0.45267             ,0.43132             ,0.80557             ,0.2553              ,0.5517              ,0.03141             ,0.47634             ,0.17982             ,0.17862             ,0.42615             ,0.48627             ,0.36591             ,0.39615             ,0.03124             ,0.50427             ,0.07685             ,0.05227             ,0.45731             ,0.40901             ,0.25377             ,0.05971             ,0.12977             ,0.44689             ,0.44332             ,0.10096             ,0.45913             ,0.54288             ,0.16555             ,-0.09175            ,-0.00634            ,0.37484             ,0.30412             ,0.34234             ,0.42195             ,0.05204             ,0.04917             ,0.29726             ,0.35079             ,0.18822             ,0.67811             ,0.03808             ,0.02402             ,0.20122             ,0.6533              ,0.70355             ,0.56592             ,0.72474             ,0.12194             ,0.16653             ,0.49831             ,0.709               ,0.45774             ,0.69642             ,0.38547             ,0.68912             ,0.50829             ,0.00882             ,0.56509             ,0.60825             ,0.08766             ,0.38891             ,0.23322             ,0.58742             ,0.79885             ,406                 ,348                 ,3994                ,2991                ,0.03674             ,0.16857             ,0.34963             ,0.07472             ,0.53986             ,0.37702             ,0.45591             ,0.04625             ,0.27381             ,-0.06022            ,0.07729             ,0.27823             ,0.68127             ,0.23347             ,0.52644             ,0.03305             ,0.49679             ,0.60892             ,0.41021             ,0.54404             ,0.22953             ,0.08161             ,0.41838             ,0.3835              ,0.00808             ,0.27477             ,0.27135             ,0.1253              ,0.5099              ,0.16442             ,0.20698             ,0.66139             ,0.33989             ,0.46971             ,0.49287             ,0.03371             ,0.56136             ,0.46802             ,0.32725             ,0.55376             ,0.53955             ,0.35227             ,0.36392             ,0.08313             ,0.26827             ,0.40802             ,0.08958             ,0.29772             ,0.10235             ,0.17304             ,0.03876             ,0.67016             ,0.4762              ,0.42126             ,0.51406             ,0.68392             ,0.76281             ,0.35393             ,0.46224             ,0.64079             ,0.43526             ,0.56341             ,0.24867             ,0.19049             ,0.58416             ,0.54392             ,0.71222             ,0.38726             ,0.15259             ,0.25019             ,0.32536             ,0.66918             
