epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24,GNDI4Alpha_1:i,GNDI4Alpha_1:j,GNDI4Alpha_1:k,GNDI4Alpha_1:l,GNDI4Alpha_1:alpha1_1,GNDI4Alpha_1:alpha1_2,GNDI4Alpha_1:alpha1_3,GNDI4Alpha_1:alpha1_4,GNDI4Alpha_1:alpha1_5,GNDI4Alpha_1:alpha1_6,GNDI4Alpha_1:alpha1_7,GNDI4Alpha_1:alpha1_8,GNDI4Alpha_1:alpha1_9,GNDI4Alpha_1:alpha1_10,GNDI4Alpha_1:alpha1_11,GNDI4Alpha_1:alpha1_12,GNDI4Alpha_1:alpha1_13,GNDI4Alpha_1:alpha1_14,GNDI4Alpha_1:alpha1_15,GNDI4Alpha_1:alpha1_16,GNDI4Alpha_1:alpha1_17,GNDI4Alpha_1:alpha1_18,GNDI4Alpha_1:alpha1_19,GNDI4Alpha_1:alpha1_20,GNDI4Alpha_1:alpha1_21,GNDI4Alpha_1:alpha1_22,GNDI4Alpha_1:alpha1_23,GNDI4Alpha_1:alpha1_24,GNDI4Alpha_1:alpha2_1,GNDI4Alpha_1:alpha2_2,GNDI4Alpha_1:alpha2_3,GNDI4Alpha_1:alpha2_4,GNDI4Alpha_1:alpha2_5,GNDI4Alpha_1:alpha2_6,GNDI4Alpha_1:alpha2_7,GNDI4Alpha_1:alpha2_8,GNDI4Alpha_1:alpha2_9,GNDI4Alpha_1:alpha2_10,GNDI4Alpha_1:alpha2_11,GNDI4Alpha_1:alpha2_12,GNDI4Alpha_1:alpha2_13,GNDI4Alpha_1:alpha2_14,GNDI4Alpha_1:alpha2_15,GNDI4Alpha_1:alpha2_16,GNDI4Alpha_1:alpha2_17,GNDI4Alpha_1:alpha2_18,GNDI4Alpha_1:alpha2_19,GNDI4Alpha_1:alpha2_20,GNDI4Alpha_1:alpha2_21,GNDI4Alpha_1:alpha2_22,GNDI4Alpha_1:alpha2_23,GNDI4Alpha_1:alpha2_24,GNDI4Alpha_1:alpha3_1,GNDI4Alpha_1:alpha3_2,GNDI4Alpha_1:alpha3_3,GNDI4Alpha_1:alpha3_4,GNDI4Alpha_1:alpha3_5,GNDI4Alpha_1:alpha3_6,GNDI4Alpha_1:alpha3_7,GNDI4Alpha_1:alpha3_8,GNDI4Alpha_1:alpha3_9,GNDI4Alpha_1:alpha3_10,GNDI4Alpha_1:alpha3_11,GNDI4Alpha_1:alpha3_12,GNDI4Alpha_1:alpha3_13,GNDI4Alpha_1:alpha3_14,GNDI4Alpha_1:alpha3_15,GNDI4Alpha_1:alpha3_16,GNDI4Alpha_1:alpha3_17,GNDI4Alpha_1:alpha3_18,GNDI4Alpha_1:alpha3_19,GNDI4Alpha_1:alpha3_20,GNDI4Alpha_1:alpha3_21,GNDI4Alpha_1:alpha3_22,GNDI4Alpha_1:alpha3_23,GNDI4Alpha_1:alpha3_24
50                  ,0.28812             ,0.31112             ,0.11507             ,0.11283             ,4137                ,1768                ,3338                ,317                 ,0.4332              ,0.25376             ,0.95364             ,0.07149             ,0.14556             ,-0.01169            ,0.00985             ,0.90628             ,0.89712             ,0.01843             ,0.69007             ,0.64195             ,0.53035             ,0.49781             ,0.07194             ,0.85025             ,0.36759             ,0.05773             ,0.41206             ,0.83378             ,0.23091             ,0.82182             ,0.39476             ,0.43885             ,0.06443             ,0.14254             ,0.09307             ,0.38031             ,0.07687             ,0.7783              ,0.52059             ,0.77997             ,0.49752             ,0.02327             ,0.73106             ,0.69176             ,0.83767             ,0.42232             ,0.76136             ,0.07443             ,0.82568             ,0.66775             ,0.61104             ,0.03293             ,0.43993             ,0.73898             ,0.11656             ,0.07179             ,0.64902             ,0.95648             ,0.72001             ,0.51635             ,0.15558             ,0.47125             ,0.9383              ,0.6758              ,0.39921             ,0.20721             ,0.1362              ,0.74096             ,0.12036             ,0.09195             ,0.33566             ,0.88594             ,0.49614             ,0.21376             ,0.7374              ,0.27857             ,0.31675             ,0.81177             ,0.17002             ,0.57277             ,3210                ,3975                ,2970                ,718                 ,0.58135             ,0.90127             ,0.90284             ,0.10555             ,0.30107             ,0.91279             ,0.31022             ,0.12945             ,0.0694              ,0.41431             ,0.85692             ,0.04199             ,0.05941             ,0.71549             ,0.58505             ,0.27232             ,0.08975             ,0.52025             ,0.46385             ,0.7035              ,0.97775             ,0.54195             ,0.22405             ,0.11001             ,0.01189             ,0.68278             ,0.79037             ,0.97795             ,0.0736              ,0.95009             ,0.91488             ,0.13332             ,0.2898              ,0.03619             ,0.70605             ,0.43443             ,0.57667             ,0.97085             ,0.62404             ,0.82663             ,0.33885             ,0.09898             ,0.11992             ,0.48636             ,0.49917             ,0.64046             ,0.78159             ,0.05576             ,0.43486             ,0.66745             ,0.39242             ,0.73293             ,0.68212             ,0.65175             ,0.00366             ,0.53893             ,0.17083             ,0.43079             ,0.78076             ,0.60863             ,0.36145             ,0.40179             ,0.14459             ,0.10771             ,0.60049             ,0.22736             ,0.17017             ,0.86997             ,0.71873             ,0.89046             ,0.85497             ,0.22644             
100                 ,0.38257             ,0.41342             ,0.10717             ,0.10411             ,4134                ,1748                ,3290                ,337                 ,0.39034             ,0.22124             ,0.92282             ,0.07479             ,0.10758             ,-0.01186            ,0.01044             ,0.89715             ,0.88206             ,0.00543             ,0.67106             ,0.63248             ,0.52255             ,0.46417             ,0.08337             ,0.8221              ,0.36699             ,0.0574              ,0.39201             ,0.78467             ,0.21857             ,0.81546             ,0.36404             ,0.39808             ,0.0265              ,0.10264             ,0.06266             ,0.353               ,0.07545             ,0.77408             ,0.52275             ,0.76416             ,0.45727             ,0.00716             ,0.70347             ,0.68848             ,0.79374             ,0.39121             ,0.72259             ,0.08887             ,0.80378             ,0.64074             ,0.56109             ,0.03354             ,0.41342             ,0.74915             ,0.11145             ,0.06459             ,0.61128             ,0.95269             ,0.70175             ,0.52435             ,0.14965             ,0.47102             ,0.93744             ,0.66853             ,0.38228             ,0.20772             ,0.13416             ,0.73738             ,0.11679             ,0.08674             ,0.32762             ,0.8805              ,0.49535             ,0.20853             ,0.73036             ,0.27894             ,0.31474             ,0.80481             ,0.17269             ,0.5679              ,3218                ,3968                ,2980                ,686                 ,0.53531             ,0.89408             ,0.8771              ,0.10892             ,0.28263             ,0.90165             ,0.26931             ,0.11488             ,0.06509             ,0.37069             ,0.81906             ,0.04154             ,0.05074             ,0.70486             ,0.55539             ,0.26809             ,0.08009             ,0.50041             ,0.43286             ,0.68984             ,0.95956             ,0.52914             ,0.21929             ,0.09145             ,-0.02818            ,0.66816             ,0.75723             ,0.95181             ,0.07696             ,0.8839              ,0.86665             ,0.11649             ,0.26847             ,0.02191             ,0.63967             ,0.41892             ,0.55006             ,0.92851             ,0.58423             ,0.78514             ,0.31695             ,0.10417             ,0.11608             ,0.46052             ,0.49194             ,0.59883             ,0.73397             ,0.04443             ,0.43361             ,0.66539             ,0.38573             ,0.72877             ,0.67906             ,0.64812             ,0.00552             ,0.5279              ,0.16922             ,0.42588             ,0.75859             ,0.60217             ,0.34065             ,0.39836             ,0.13603             ,0.10972             ,0.58215             ,0.2264              ,0.16912             ,0.86119             ,0.7127              ,0.87762             ,0.83412             ,0.2306              
150                 ,0.4966              ,0.5237              ,0.09676             ,0.09382             ,4131                ,1737                ,3246                ,355                 ,0.34968             ,0.18881             ,0.8928              ,0.07545             ,0.06992             ,-0.02215            ,0.01005             ,0.88111             ,0.86388             ,0.00096             ,0.65079             ,0.61717             ,0.5116              ,0.4283              ,0.09992             ,0.78337             ,0.36251             ,0.05011             ,0.35551             ,0.73714             ,0.20517             ,0.80948             ,0.33204             ,0.35646             ,-0.01548            ,0.06835             ,0.03464             ,0.32443             ,0.0674              ,0.76554             ,0.52475             ,0.74015             ,0.41993             ,-0.00101            ,0.67497             ,0.67933             ,0.74814             ,0.35685             ,0.6776              ,0.09549             ,0.77756             ,0.60825             ,0.51108             ,0.03364             ,0.39277             ,0.76024             ,0.10783             ,0.05295             ,0.56893             ,0.93753             ,0.68118             ,0.53054             ,0.14137             ,0.4713              ,0.93369             ,0.66019             ,0.36435             ,0.20621             ,0.13302             ,0.73195             ,0.11386             ,0.08423             ,0.31034             ,0.87728             ,0.49295             ,0.20185             ,0.71944             ,0.27798             ,0.31106             ,0.79723             ,0.17924             ,0.56491             ,3240                ,3958                ,2999                ,661                 ,0.49219             ,0.88521             ,0.84611             ,0.11229             ,0.26349             ,0.88509             ,0.22946             ,0.10583             ,0.06164             ,0.3294              ,0.77567             ,0.03631             ,0.0434              ,0.69211             ,0.52366             ,0.26384             ,0.08177             ,0.47923             ,0.39951             ,0.67185             ,0.93884             ,0.51373             ,0.21451             ,0.07111             ,-0.06975            ,0.64893             ,0.72386             ,0.919               ,0.07888             ,0.82412             ,0.81971             ,0.09448             ,0.24002             ,0.01726             ,0.5811              ,0.40463             ,0.51905             ,0.88224             ,0.54583             ,0.74219             ,0.28232             ,0.11406             ,0.11065             ,0.42243             ,0.49053             ,0.55449             ,0.68714             ,0.04042             ,0.42706             ,0.66354             ,0.37934             ,0.72632             ,0.67757             ,0.6411              ,0.00629             ,0.51993             ,0.16903             ,0.41936             ,0.73168             ,0.58984             ,0.32263             ,0.39813             ,0.12684             ,0.11572             ,0.56855             ,0.22665             ,0.17015             ,0.85004             ,0.7071              ,0.86211             ,0.80806             ,0.23473             
200                 ,0.59113             ,0.61031             ,0.08721             ,0.08486             ,4127                ,1717                ,3212                ,367                 ,0.31222             ,0.1649              ,0.86482             ,0.07399             ,0.04352             ,-0.0243             ,0.01035             ,0.86135             ,0.84335             ,0.00027             ,0.6272              ,0.60087             ,0.49523             ,0.39392             ,0.12202             ,0.73507             ,0.3586              ,0.04432             ,0.31149             ,0.69157             ,0.19695             ,0.79736             ,0.2993              ,0.31628             ,-0.04477            ,0.03021             ,0.02042             ,0.29349             ,0.05379             ,0.74853             ,0.52298             ,0.71409             ,0.38863             ,-0.00275            ,0.64447             ,0.66163             ,0.70568             ,0.32288             ,0.63412             ,0.09535             ,0.74806             ,0.56932             ,0.46256             ,0.03531             ,0.37438             ,0.76403             ,0.10174             ,0.03952             ,0.52604             ,0.92817             ,0.65789             ,0.53753             ,0.13855             ,0.45857             ,0.92856             ,0.65191             ,0.34551             ,0.20481             ,0.12994             ,0.7269              ,0.11049             ,0.08035             ,0.29018             ,0.87198             ,0.49245             ,0.20049             ,0.70718             ,0.27882             ,0.3102              ,0.78572             ,0.18794             ,0.56261             ,3290                ,3944                ,3003                ,641                 ,0.45259             ,0.8726              ,0.81181             ,0.11166             ,0.23954             ,0.86946             ,0.19059             ,0.09547             ,0.05785             ,0.29018             ,0.73521             ,0.03581             ,0.03906             ,0.67246             ,0.49009             ,0.25639             ,0.08056             ,0.45438             ,0.36324             ,0.65025             ,0.91657             ,0.49419             ,0.20696             ,0.05084             ,-0.08373            ,0.62573             ,0.69067             ,0.88874             ,0.08018             ,0.77178             ,0.77405             ,0.07656             ,0.20804             ,0.01611             ,0.52512             ,0.38516             ,0.48293             ,0.83202             ,0.50978             ,0.69823             ,0.2485              ,0.1185              ,0.10082             ,0.3628              ,0.48964             ,0.50714             ,0.64214             ,0.04663             ,0.42193             ,0.65886             ,0.3753              ,0.71885             ,0.67413             ,0.63546             ,0.00347             ,0.50592             ,0.16988             ,0.41025             ,0.70884             ,0.58106             ,0.30965             ,0.39452             ,0.11326             ,0.11948             ,0.54625             ,0.22587             ,0.1679              ,0.83708             ,0.70407             ,0.84333             ,0.77541             ,0.23682             
250                 ,0.65932             ,0.66989             ,0.0796              ,0.0781              ,4124                ,1716                ,3199                ,373                 ,0.27482             ,0.14816             ,0.83776             ,0.07164             ,0.0277              ,-0.02329            ,0.01032             ,0.84203             ,0.82384             ,7e-05               ,0.60082             ,0.58461             ,0.477               ,0.36177             ,0.14087             ,0.68863             ,0.3566              ,0.04233             ,0.26549             ,0.64775             ,0.1891              ,0.78363             ,0.26712             ,0.27862             ,-0.05071            ,-0.01046            ,0.02182             ,0.26063             ,0.04084             ,0.74704             ,0.52172             ,0.69123             ,0.36595             ,0.0005              ,0.61212             ,0.63887             ,0.67101             ,0.29146             ,0.60135             ,0.09477             ,0.71792             ,0.53014             ,0.41853             ,0.03692             ,0.34784             ,0.76394             ,0.09305             ,0.03119             ,0.49415             ,0.91408             ,0.63894             ,0.54374             ,0.1373              ,0.45737             ,0.92197             ,0.64586             ,0.33186             ,0.20164             ,0.12636             ,0.72071             ,0.11311             ,0.07501             ,0.27345             ,0.86531             ,0.49322             ,0.20081             ,0.69225             ,0.27941             ,0.30962             ,0.77402             ,0.19779             ,0.56239             ,3346                ,3927                ,2999                ,636                 ,0.41267             ,0.85915             ,0.77161             ,0.11209             ,0.21201             ,0.85463             ,0.15773             ,0.08671             ,0.05262             ,0.25356             ,0.69707             ,0.04208             ,0.03891             ,0.64962             ,0.45883             ,0.24911             ,0.07208             ,0.42587             ,0.32841             ,0.62385             ,0.88789             ,0.4723              ,0.19678             ,0.03205             ,-0.02364            ,0.6033              ,0.65179             ,0.85951             ,0.07335             ,0.73123             ,0.72969             ,0.0674              ,0.17296             ,0.01807             ,0.47452             ,0.3555              ,0.44044             ,0.78388             ,0.47816             ,0.65647             ,0.2184              ,0.1141              ,0.09317             ,0.29079             ,0.47196             ,0.45197             ,0.5972              ,0.05976             ,0.41311             ,0.65251             ,0.37009             ,0.70867             ,0.67018             ,0.63154             ,-0.00077            ,0.48761             ,0.17115             ,0.4006              ,0.68767             ,0.57453             ,0.30208             ,0.39011             ,0.09945             ,0.12144             ,0.52043             ,0.2262              ,0.16689             ,0.82228             ,0.70134             ,0.82327             ,0.74093             ,0.23635             
300                 ,0.70751             ,0.71177             ,0.07376             ,0.07298             ,4121                ,1716                ,3193                ,379                 ,0.23727             ,0.1381              ,0.81084             ,0.06818             ,0.01667             ,-0.02328            ,0.01088             ,0.82162             ,0.80356             ,-3e-05              ,0.57437             ,0.56572             ,0.45899             ,0.33191             ,0.1527              ,0.64451             ,0.3522              ,0.0399              ,0.22723             ,0.60556             ,0.17996             ,0.77035             ,0.23558             ,0.24395             ,-0.03678            ,-0.04031            ,0.03177             ,0.23223             ,0.02907             ,0.74643             ,0.52009             ,0.66868             ,0.35216             ,0.0039              ,0.58037             ,0.61247             ,0.64463             ,0.26186             ,0.5758              ,0.0934              ,0.68766             ,0.49289             ,0.37674             ,0.03889             ,0.31938             ,0.74244             ,0.08274             ,0.02006             ,0.47629             ,0.88722             ,0.62747             ,0.54443             ,0.13591             ,0.4572              ,0.91355             ,0.639               ,0.32518             ,0.1955              ,0.12375             ,0.71244             ,0.11914             ,0.07108             ,0.26464             ,0.85815             ,0.4931              ,0.20039             ,0.67817             ,0.27955             ,0.30861             ,0.76251             ,0.20587             ,0.56305             ,3385                ,3904                ,2994                ,648                 ,0.37223             ,0.84488             ,0.72994             ,0.11264             ,0.18457             ,0.8408              ,0.13284             ,0.07646             ,0.04746             ,0.21988             ,0.65787             ,0.05209             ,0.04226             ,0.62627             ,0.42968             ,0.24239             ,0.06348             ,0.39646             ,0.29607             ,0.59685             ,0.85301             ,0.44958             ,0.18281             ,0.01552             ,0.01761             ,0.57998             ,0.59908             ,0.8279              ,0.06094             ,0.70076             ,0.68663             ,0.06317             ,0.12539             ,0.01916             ,0.42703             ,0.3178              ,0.38782             ,0.7389              ,0.44691             ,0.61667             ,0.18996             ,0.10701             ,0.08778             ,0.22225             ,0.45135             ,0.39152             ,0.55407             ,0.07644             ,0.40705             ,0.6455              ,0.36189             ,0.69863             ,0.66589             ,0.62954             ,-0.00749            ,0.46801             ,0.17442             ,0.39279             ,0.66575             ,0.56814             ,0.29559             ,0.38847             ,0.08668             ,0.12376             ,0.49771             ,0.22783             ,0.1683              ,0.80779             ,0.69815             ,0.80075             ,0.70634             ,0.2332              
350                 ,0.73754             ,0.7377              ,0.06987             ,0.06962             ,4118                ,1716                ,3194                ,386                 ,0.20405             ,0.12931             ,0.78404             ,0.06298             ,0.00927             ,-0.02327            ,0.0116              ,0.79786             ,0.78005             ,1e-05               ,0.54788             ,0.54514             ,0.44479             ,0.30587             ,0.15528             ,0.6021              ,0.34629             ,0.03668             ,0.20042             ,0.56477             ,0.17151             ,0.75147             ,0.20553             ,0.21223             ,-0.02504            ,-0.05782            ,0.03713             ,0.20976             ,0.01899             ,0.74572             ,0.51723             ,0.64177             ,0.34381             ,0.00531             ,0.54914             ,0.58128             ,0.62534             ,0.2346              ,0.55383             ,0.09175             ,0.66015             ,0.45738             ,0.34335             ,0.04019             ,0.29299             ,0.70242             ,0.07264             ,0.02632             ,0.46633             ,0.85326             ,0.62042             ,0.54116             ,0.1351              ,0.457               ,0.90396             ,0.62852             ,0.32224             ,0.18758             ,0.12248             ,0.70308             ,0.12519             ,0.06876             ,0.26151             ,0.85008             ,0.49175             ,0.19941             ,0.66192             ,0.27938             ,0.3071              ,0.75198             ,0.21066             ,0.56065             ,3404                ,3888                ,2990                ,669                 ,0.33419             ,0.82919             ,0.68787             ,0.11288             ,0.15887             ,0.82679             ,0.11594             ,0.06397             ,0.04273             ,0.18917             ,0.61917             ,0.06084             ,0.04812             ,0.60289             ,0.40338             ,0.23533             ,0.05425             ,0.36664             ,0.26569             ,0.57087             ,0.81692             ,0.42702             ,0.1643              ,0.00249             ,0.0311              ,0.55533             ,0.53661             ,0.79489             ,0.04667             ,0.67437             ,0.64533             ,0.05771             ,0.07345             ,0.01519             ,0.38265             ,0.2789              ,0.32823             ,0.69652             ,0.41514             ,0.57809             ,0.16375             ,0.09852             ,0.08329             ,0.16224             ,0.42988             ,0.33327             ,0.51403             ,0.08712             ,0.40244             ,0.63841             ,0.34945             ,0.68841             ,0.66126             ,0.6281              ,-0.01612            ,0.45058             ,0.1801              ,0.38828             ,0.64335             ,0.56035             ,0.2915              ,0.38795             ,0.07929             ,0.12602             ,0.47674             ,0.22967             ,0.17091             ,0.79316             ,0.69487             ,0.77763             ,0.67129             ,0.22912             
400                 ,0.75632             ,0.75356             ,0.06732             ,0.06748             ,4115                ,1716                ,3194                ,391                 ,0.17509             ,0.11841             ,0.75623             ,0.05875             ,0.00465             ,-0.02326            ,0.01271             ,0.77087             ,0.75344             ,0.00016             ,0.52134             ,0.52334             ,0.43342             ,0.28188             ,0.15025             ,0.56131             ,0.34015             ,0.03232             ,0.18206             ,0.52542             ,0.16411             ,0.72568             ,0.17747             ,0.18318             ,-0.02311            ,-0.06708            ,0.03752             ,0.19174             ,0.01039             ,0.74493             ,0.51292             ,0.60921             ,0.33825             ,0.00519             ,0.51837             ,0.54752             ,0.61018             ,0.20973             ,0.53272             ,0.08967             ,0.63519             ,0.42411             ,0.31943             ,0.04072             ,0.26928             ,0.6526              ,0.06328             ,0.0473              ,0.45843             ,0.81849             ,0.61496             ,0.53601             ,0.13465             ,0.45675             ,0.89362             ,0.61513             ,0.32005             ,0.17934             ,0.12183             ,0.69341             ,0.12942             ,0.06792             ,0.26106             ,0.8413              ,0.48941             ,0.19748             ,0.6414              ,0.27896             ,0.30604             ,0.74131             ,0.21199             ,0.55451             ,3404                ,3873                ,2987                ,691                 ,0.29901             ,0.81119             ,0.64602             ,0.11185             ,0.13609             ,0.81116             ,0.10353             ,0.05048             ,0.03852             ,0.16123             ,0.5822              ,0.06528             ,0.05434             ,0.57878             ,0.3794              ,0.2271              ,0.04344             ,0.33684             ,0.23685             ,0.54639             ,0.78109             ,0.40646             ,0.14539             ,-0.00521            ,0.02386             ,0.52712             ,0.4731              ,0.76129             ,0.03312             ,0.64928             ,0.60663             ,0.0516              ,0.03453             ,0.00652             ,0.34259             ,0.23959             ,0.27026             ,0.65627             ,0.38447             ,0.54028             ,0.14163             ,0.08951             ,0.07838             ,0.11411             ,0.40608             ,0.28195             ,0.47757             ,0.08751             ,0.39731             ,0.63088             ,0.33246             ,0.67741             ,0.6558              ,0.62595             ,-0.02505            ,0.43414             ,0.18761             ,0.38585             ,0.62352             ,0.55169             ,0.28951             ,0.38643             ,0.07919             ,0.12798             ,0.45236             ,0.23114             ,0.17242             ,0.77857             ,0.69155             ,0.7558              ,0.63796             ,0.22494             
450                 ,0.76897             ,0.76507             ,0.06555             ,0.06589             ,4112                ,1716                ,3195                ,395                 ,0.14925             ,0.10525             ,0.72771             ,0.05434             ,0.00217             ,-0.02324            ,0.01413             ,0.74283             ,0.72485             ,0.00011             ,0.49468             ,0.50107             ,0.42369             ,0.25874             ,0.14135             ,0.52244             ,0.33376             ,0.02775             ,0.16907             ,0.48753             ,0.15711             ,0.69512             ,0.15184             ,0.15718             ,-0.02596            ,-0.07006            ,0.03654             ,0.17735             ,0.00353             ,0.74408             ,0.50757             ,0.57431             ,0.33464             ,0.00458             ,0.48795             ,0.51458             ,0.59795             ,0.18636             ,0.51094             ,0.08716             ,0.61234             ,0.39323             ,0.30138             ,0.04038             ,0.24716             ,0.59821             ,0.05523             ,0.07557             ,0.45229             ,0.78242             ,0.61097             ,0.5289              ,0.13411             ,0.45643             ,0.88261             ,0.60051             ,0.31835             ,0.17106             ,0.12118             ,0.68318             ,0.13252             ,0.06723             ,0.26384             ,0.83212             ,0.48627             ,0.19435             ,0.61471             ,0.27797             ,0.30533             ,0.7291              ,0.21065             ,0.54574             ,3402                ,3855                ,2984                ,710                 ,0.26611             ,0.79089             ,0.60599             ,0.10984             ,0.11606             ,0.79342             ,0.09364             ,0.0381              ,0.03461             ,0.13603             ,0.54779             ,0.06532             ,0.05808             ,0.55449             ,0.35639             ,0.21774             ,0.03365             ,0.30747             ,0.20968             ,0.52344             ,0.747               ,0.38665             ,0.12847             ,-0.00821            ,0.00526             ,0.49587             ,0.41439             ,0.72772             ,0.02043             ,0.62357             ,0.56957             ,0.04524             ,0.00307             ,-0.0044             ,0.30649             ,0.20178             ,0.21863             ,0.61841             ,0.35459             ,0.50338             ,0.12244             ,0.08026             ,0.07309             ,0.07741             ,0.38213             ,0.23749             ,0.44325             ,0.07985             ,0.39044             ,0.62245             ,0.3147              ,0.66538             ,0.65006             ,0.62215             ,-0.03237            ,0.41817             ,0.19586             ,0.38413             ,0.60737             ,0.54219             ,0.28649             ,0.38361             ,0.08327             ,0.1294              ,0.42791             ,0.23199             ,0.17266             ,0.76436             ,0.68836             ,0.73452             ,0.60904             ,0.22101             
500                 ,0.78054             ,0.77604             ,0.06389             ,0.06433             ,4108                ,1716                ,3198                ,399                 ,0.12612             ,0.09058             ,0.69897             ,0.04978             ,0.001               ,-0.02322            ,0.01544             ,0.71377             ,0.6951              ,0.00012             ,0.46802             ,0.47891             ,0.41506             ,0.23657             ,0.12957             ,0.48558             ,0.32676             ,0.02399             ,0.15932             ,0.45117             ,0.15031             ,0.66216             ,0.12869             ,0.13432             ,-0.02865            ,-0.06789            ,0.03558             ,0.16631             ,-0.00107            ,0.74318             ,0.50185             ,0.5384              ,0.33284             ,0.0032              ,0.45793             ,0.48197             ,0.58845             ,0.16477             ,0.49047             ,0.08484             ,0.59076             ,0.36399             ,0.28456             ,0.03951             ,0.2263              ,0.54307             ,0.04849             ,0.0995              ,0.44871             ,0.74458             ,0.60852             ,0.51935             ,0.13358             ,0.45607             ,0.87108             ,0.58358             ,0.31784             ,0.16308             ,0.12081             ,0.67261             ,0.13502             ,0.06684             ,0.26899             ,0.8223              ,0.48244             ,0.19039             ,0.58467             ,0.2768              ,0.3044              ,0.71583             ,0.20759             ,0.53448             ,3402                ,3827                ,2982                ,726                 ,0.23527             ,0.76928             ,0.56821             ,0.10743             ,0.09833             ,0.77411             ,0.08445             ,0.02781             ,0.03091             ,0.11358             ,0.51553             ,0.06233             ,0.0591              ,0.53092             ,0.33404             ,0.20782             ,0.02583             ,0.27902             ,0.18436             ,0.50155             ,0.71534             ,0.36703             ,0.11201             ,-0.00834            ,-0.01712            ,0.4641              ,0.36233             ,0.69455             ,0.00946             ,0.59577             ,0.53354             ,0.0388              ,-0.0231             ,-0.01591            ,0.27338             ,0.16801             ,0.17233             ,0.58291             ,0.32535             ,0.46772             ,0.10548             ,0.07085             ,0.06768             ,0.04974             ,0.36001             ,0.1984              ,0.41068             ,0.06762             ,0.3835              ,0.61354             ,0.30001             ,0.65227             ,0.64397             ,0.61696             ,-0.0382             ,0.40252             ,0.20418             ,0.38287             ,0.59306             ,0.53216             ,0.28595             ,0.38032             ,0.08966             ,0.13043             ,0.40566             ,0.23246             ,0.17241             ,0.74954             ,0.68485             ,0.71464             ,0.58256             ,0.21756             
