epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24,GNDI4Alpha_1:i,GNDI4Alpha_1:j,GNDI4Alpha_1:k,GNDI4Alpha_1:l,GNDI4Alpha_1:alpha1_1,GNDI4Alpha_1:alpha1_2,GNDI4Alpha_1:alpha1_3,GNDI4Alpha_1:alpha1_4,GNDI4Alpha_1:alpha1_5,GNDI4Alpha_1:alpha1_6,GNDI4Alpha_1:alpha1_7,GNDI4Alpha_1:alpha1_8,GNDI4Alpha_1:alpha1_9,GNDI4Alpha_1:alpha1_10,GNDI4Alpha_1:alpha1_11,GNDI4Alpha_1:alpha1_12,GNDI4Alpha_1:alpha1_13,GNDI4Alpha_1:alpha1_14,GNDI4Alpha_1:alpha1_15,GNDI4Alpha_1:alpha1_16,GNDI4Alpha_1:alpha1_17,GNDI4Alpha_1:alpha1_18,GNDI4Alpha_1:alpha1_19,GNDI4Alpha_1:alpha1_20,GNDI4Alpha_1:alpha1_21,GNDI4Alpha_1:alpha1_22,GNDI4Alpha_1:alpha1_23,GNDI4Alpha_1:alpha1_24,GNDI4Alpha_1:alpha2_1,GNDI4Alpha_1:alpha2_2,GNDI4Alpha_1:alpha2_3,GNDI4Alpha_1:alpha2_4,GNDI4Alpha_1:alpha2_5,GNDI4Alpha_1:alpha2_6,GNDI4Alpha_1:alpha2_7,GNDI4Alpha_1:alpha2_8,GNDI4Alpha_1:alpha2_9,GNDI4Alpha_1:alpha2_10,GNDI4Alpha_1:alpha2_11,GNDI4Alpha_1:alpha2_12,GNDI4Alpha_1:alpha2_13,GNDI4Alpha_1:alpha2_14,GNDI4Alpha_1:alpha2_15,GNDI4Alpha_1:alpha2_16,GNDI4Alpha_1:alpha2_17,GNDI4Alpha_1:alpha2_18,GNDI4Alpha_1:alpha2_19,GNDI4Alpha_1:alpha2_20,GNDI4Alpha_1:alpha2_21,GNDI4Alpha_1:alpha2_22,GNDI4Alpha_1:alpha2_23,GNDI4Alpha_1:alpha2_24,GNDI4Alpha_1:alpha3_1,GNDI4Alpha_1:alpha3_2,GNDI4Alpha_1:alpha3_3,GNDI4Alpha_1:alpha3_4,GNDI4Alpha_1:alpha3_5,GNDI4Alpha_1:alpha3_6,GNDI4Alpha_1:alpha3_7,GNDI4Alpha_1:alpha3_8,GNDI4Alpha_1:alpha3_9,GNDI4Alpha_1:alpha3_10,GNDI4Alpha_1:alpha3_11,GNDI4Alpha_1:alpha3_12,GNDI4Alpha_1:alpha3_13,GNDI4Alpha_1:alpha3_14,GNDI4Alpha_1:alpha3_15,GNDI4Alpha_1:alpha3_16,GNDI4Alpha_1:alpha3_17,GNDI4Alpha_1:alpha3_18,GNDI4Alpha_1:alpha3_19,GNDI4Alpha_1:alpha3_20,GNDI4Alpha_1:alpha3_21,GNDI4Alpha_1:alpha3_22,GNDI4Alpha_1:alpha3_23,GNDI4Alpha_1:alpha3_24
50                  ,0                   ,0                   ,0.13662             ,0.13616             ,2328                ,1534                ,3568                ,1140                ,0.6504              ,0.32582             ,0.07101             ,0.81579             ,0.38887             ,0.3266              ,0.02004             ,0.682               ,0.13383             ,0.31216             ,0.86402             ,0.82203             ,0.71864             ,0.96485             ,0.39012             ,0.08114             ,0.55554             ,0.60403             ,0.79752             ,0.04598             ,0.86817             ,0.69304             ,0.6504              ,0.38508             ,0.45548             ,0.79183             ,0.40011             ,0.2408              ,0.33345             ,0.64905             ,0.68159             ,0.28453             ,0.7282              ,0.3949              ,0.44267             ,0.5392              ,0.53119             ,0.49044             ,0.34981             ,0.67049             ,0.118               ,0.41488             ,0.46882             ,0.84614             ,0.40214             ,0.75582             ,0.13209             ,0.76619             ,0.58514             ,0.41047             ,0.16748             ,0.19728             ,0.55928             ,0.82972             ,0.43054             ,0.40259             ,0.69616             ,0.89167             ,0.30211             ,0.19052             ,0.45296             ,0.3428              ,0.96565             ,0.07333             ,0.12925             ,0.76474             ,0.17454             ,0.2407              ,0.44779             ,0.32767             ,0.02742             ,0.51151             ,1395                ,4114                ,2229                ,2343                ,0.48754             ,0.36316             ,0.6775              ,0.63199             ,0.09198             ,0.28486             ,0.31615             ,0.05627             ,0.36284             ,0.59025             ,0.36513             ,0.66848             ,0.83131             ,0.81855             ,0.69326             ,0.73964             ,0.13213             ,0.64468             ,0.38781             ,0.35648             ,0.15409             ,0.09239             ,0.49027             ,0.52294             ,0.90549             ,0.85654             ,0.71733             ,0.46216             ,0.85393             ,0.14908             ,0.92414             ,0.24443             ,0.03299             ,0.5195              ,0.66393             ,0.0446              ,0.71913             ,0.22823             ,0.39002             ,0.79687             ,0.70429             ,0.46138             ,0.47094             ,0.21022             ,0.59931             ,0.15654             ,0.56707             ,0.52619             ,0.48198             ,0.25563             ,0.04781             ,0.70288             ,0.0151              ,0.95247             ,0.63817             ,0.83848             ,0.54587             ,0.10516             ,0.78288             ,0.25286             ,0.77473             ,0.60191             ,0.39259             ,0.16939             ,0.45367             ,0.72127             ,0.84791             ,0.03116             ,0.18143             ,0.79496             ,0.70065             ,0.5974              
100                 ,0.01216             ,0.01421             ,0.13555             ,0.13497             ,2302                ,1534                ,3541                ,1112                ,0.63761             ,0.32141             ,0.07375             ,0.78062             ,0.3688              ,0.32017             ,0.01902             ,0.66322             ,0.12947             ,0.30421             ,0.84983             ,0.79323             ,0.70709             ,0.93618             ,0.37412             ,0.07775             ,0.51325             ,0.58864             ,0.76259             ,0.0438              ,0.822               ,0.68399             ,0.60163             ,0.38127             ,0.42113             ,0.74462             ,0.35177             ,0.23456             ,0.29582             ,0.63227             ,0.65955             ,0.27854             ,0.70212             ,0.37751             ,0.43301             ,0.51812             ,0.50464             ,0.47708             ,0.34125             ,0.62246             ,0.1085              ,0.3935              ,0.4476              ,0.79928             ,0.36148             ,0.73634             ,0.12011             ,0.71525             ,0.58081             ,0.40951             ,0.16912             ,0.19798             ,0.55408             ,0.8181              ,0.4273              ,0.40107             ,0.68474             ,0.88087             ,0.30199             ,0.18897             ,0.45165             ,0.34144             ,0.94961             ,0.07151             ,0.12879             ,0.75922             ,0.17602             ,0.23977             ,0.43434             ,0.32713             ,0.02751             ,0.51079             ,1394                ,4111                ,2271                ,2322                ,0.48082             ,0.3573              ,0.65024             ,0.59093             ,0.08724             ,0.27552             ,0.31311             ,0.05528             ,0.31517             ,0.56945             ,0.35949             ,0.62633             ,0.82356             ,0.77601             ,0.67818             ,0.73125             ,0.13038             ,0.62637             ,0.37783             ,0.32375             ,0.1562              ,0.08666             ,0.47572             ,0.51431             ,0.85844             ,0.8134              ,0.68604             ,0.41047             ,0.80662             ,0.15063             ,0.89975             ,0.23915             ,0.01137             ,0.49753             ,0.63371             ,0.04133             ,0.67253             ,0.23682             ,0.37881             ,0.78236             ,0.67432             ,0.41636             ,0.45738             ,0.19095             ,0.55082             ,0.15519             ,0.51825             ,0.49892             ,0.48009             ,0.25509             ,0.04667             ,0.68239             ,0.01896             ,0.94793             ,0.63716             ,0.834               ,0.53995             ,0.10435             ,0.77316             ,0.2521              ,0.77032             ,0.5965              ,0.39141             ,0.16875             ,0.45032             ,0.71343             ,0.84179             ,0.02828             ,0.18156             ,0.78802             ,0.68917             ,0.59346             
150                 ,0.03044             ,0.03457             ,0.13429             ,0.13357             ,2296                ,1531                ,3511                ,1063                ,0.62253             ,0.31518             ,0.07555             ,0.74282             ,0.34545             ,0.31133             ,0.0172              ,0.64039             ,0.12248             ,0.29476             ,0.83215             ,0.76043             ,0.69266             ,0.90284             ,0.35507             ,0.07369             ,0.47096             ,0.56952             ,0.72515             ,0.04067             ,0.77662             ,0.67278             ,0.55506             ,0.37551             ,0.38711             ,0.69914             ,0.30567             ,0.22764             ,0.25172             ,0.6113              ,0.63356             ,0.27053             ,0.6703              ,0.35738             ,0.42014             ,0.4934              ,0.47546             ,0.4596              ,0.32839             ,0.57639             ,0.09733             ,0.36963             ,0.42298             ,0.75275             ,0.32136             ,0.71367             ,0.10539             ,0.66546             ,0.57503             ,0.40804             ,0.17211             ,0.19913             ,0.54828             ,0.80331             ,0.42294             ,0.3991              ,0.67007             ,0.86737             ,0.30206             ,0.18667             ,0.45056             ,0.33942             ,0.92957             ,0.06908             ,0.12815             ,0.75216             ,0.17936             ,0.23965             ,0.41899             ,0.32632             ,0.02734             ,0.50996             ,1394                ,4108                ,2297                ,2308                ,0.47305             ,0.35051             ,0.61899             ,0.54959             ,0.08155             ,0.26409             ,0.3093              ,0.05366             ,0.27151             ,0.54456             ,0.35234             ,0.58367             ,0.81275             ,0.73266             ,0.65963             ,0.72136             ,0.12805             ,0.60286             ,0.36482             ,0.28959             ,0.15753             ,0.07939             ,0.45811             ,0.50239             ,0.81278             ,0.77019             ,0.65115             ,0.35897             ,0.76026             ,0.14764             ,0.86964             ,0.23358             ,-0.00584            ,0.47175             ,0.60191             ,0.03793             ,0.62217             ,0.22823             ,0.36521             ,0.76539             ,0.64033             ,0.36752             ,0.44014             ,0.16952             ,0.50402             ,0.15327             ,0.46997             ,0.46589             ,0.47768             ,0.25444             ,0.04547             ,0.65797             ,0.02285             ,0.94176             ,0.6351              ,0.82835             ,0.53182             ,0.10337             ,0.76127             ,0.2511              ,0.76466             ,0.58932             ,0.3898              ,0.16805             ,0.44588             ,0.70372             ,0.83372             ,0.02518             ,0.1814              ,0.77906             ,0.67443             ,0.58848             
200                 ,0.05504             ,0.06204             ,0.13258             ,0.13166             ,2296                ,1531                ,3478                ,1000                ,0.60644             ,0.30717             ,0.07595             ,0.7047              ,0.32015             ,0.3012              ,0.01472             ,0.61539             ,0.11191             ,0.28475             ,0.81175             ,0.72529             ,0.67626             ,0.86721             ,0.33526             ,0.06929             ,0.42985             ,0.54782             ,0.68753             ,0.0363              ,0.73308             ,0.65988             ,0.51055             ,0.36744             ,0.35427             ,0.65516             ,0.26066             ,0.22108             ,0.20065             ,0.58644             ,0.60544             ,0.26116             ,0.63362             ,0.33649             ,0.4037              ,0.46604             ,0.44497             ,0.43878             ,0.31303             ,0.53226             ,0.08637             ,0.345               ,0.39747             ,0.7069              ,0.28504             ,0.68952             ,0.08951             ,0.61676             ,0.56801             ,0.40627             ,0.17674             ,0.20137             ,0.54313             ,0.78702             ,0.41813             ,0.39707             ,0.65219             ,0.85219             ,0.30231             ,0.18286             ,0.45011             ,0.33728             ,0.90696             ,0.0658              ,0.12733             ,0.7441              ,0.18604             ,0.24065             ,0.40831             ,0.325               ,0.02706             ,0.50896             ,1395                ,4106                ,2316                ,2300                ,0.46485             ,0.34321             ,0.58594             ,0.50885             ,0.07519             ,0.25139             ,0.30537             ,0.05143             ,0.23171             ,0.51762             ,0.34473             ,0.54176             ,0.79941             ,0.69015             ,0.63883             ,0.71056             ,0.12532             ,0.57648             ,0.34993             ,0.25609             ,0.15779             ,0.07147             ,0.43849             ,0.48831             ,0.76859             ,0.72783             ,0.6149              ,0.3096              ,0.71514             ,0.14026             ,0.83604             ,0.22821             ,-0.01503            ,0.44434             ,0.57056             ,0.03443             ,0.57142             ,0.20426             ,0.3502              ,0.74724             ,0.60453             ,0.31764             ,0.42053             ,0.14777             ,0.45925             ,0.15065             ,0.42299             ,0.43012             ,0.47488             ,0.25358             ,0.04442             ,0.63108             ,0.02628             ,0.93446             ,0.63186             ,0.82198             ,0.523               ,0.10262             ,0.74863             ,0.25006             ,0.75801             ,0.58157             ,0.38789             ,0.16734             ,0.44092             ,0.69243             ,0.82415             ,0.02217             ,0.18071             ,0.76867             ,0.65756             ,0.58301             
250                 ,0.09185             ,0.10307             ,0.12997             ,0.12874             ,2295                ,1526                ,3461                ,926                 ,0.58958             ,0.29749             ,0.07546             ,0.66679             ,0.29287             ,0.29184             ,0.01171             ,0.58891             ,0.09854             ,0.27402             ,0.78879             ,0.68904             ,0.65846             ,0.82986             ,0.31833             ,0.06484             ,0.39031             ,0.52395             ,0.65014             ,0.03144             ,0.69158             ,0.64581             ,0.46811             ,0.35772             ,0.31763             ,0.61123             ,0.21499             ,0.21394             ,0.14259             ,0.55868             ,0.57654             ,0.25098             ,0.59067             ,0.31265             ,0.38309             ,0.43688             ,0.40854             ,0.41394             ,0.28809             ,0.49006             ,0.07554             ,0.31855             ,0.37195             ,0.66148             ,0.25684             ,0.66466             ,0.07395             ,0.57115             ,0.55973             ,0.40477             ,0.18451             ,0.20545             ,0.53958             ,0.76962             ,0.41328             ,0.39452             ,0.63102             ,0.83765             ,0.30267             ,0.17811             ,0.45048             ,0.33491             ,0.8809              ,0.06113             ,0.12572             ,0.73547             ,0.19556             ,0.24305             ,0.40682             ,0.32357             ,0.02675             ,0.50835             ,1396                ,4104                ,2329                ,2298                ,0.45654             ,0.33569             ,0.55213             ,0.46949             ,0.06846             ,0.23782             ,0.30165             ,0.04847             ,0.19565             ,0.48982             ,0.33696             ,0.50111             ,0.78393             ,0.64857             ,0.61647             ,0.69919             ,0.12222             ,0.54947             ,0.33347             ,0.22422             ,0.15682             ,0.06384             ,0.4169              ,0.47261             ,0.72596             ,0.68655             ,0.5783              ,0.26309             ,0.6714              ,0.12992             ,0.8001              ,0.22341             ,-0.01286            ,0.41647             ,0.54112             ,0.03094             ,0.52176             ,0.17259             ,0.3342              ,0.72868             ,0.56815             ,0.2675              ,0.4                 ,0.12681             ,0.41656             ,0.14704             ,0.37817             ,0.39268             ,0.47171             ,0.2525              ,0.04362             ,0.60414             ,0.02881             ,0.92626             ,0.62695             ,0.81512             ,0.51309             ,0.10252             ,0.7354              ,0.24922             ,0.75036             ,0.57306             ,0.38577             ,0.16655             ,0.43586             ,0.67961             ,0.81282             ,0.01981             ,0.1793              ,0.7572              ,0.63901             ,0.57673             
300                 ,0.14728             ,0.16369             ,0.12594             ,0.12432             ,2295                ,1505                ,3456                ,853                 ,0.57216             ,0.28757             ,0.07204             ,0.62865             ,0.26442             ,0.28572             ,0.00918             ,0.56006             ,0.08407             ,0.26221             ,0.76319             ,0.65229             ,0.63891             ,0.78975             ,0.31023             ,0.0606              ,0.35257             ,0.49848             ,0.61245             ,0.028               ,0.65288             ,0.63055             ,0.4278              ,0.34676             ,0.27381             ,0.56634             ,0.17084             ,0.20343             ,0.0806              ,0.53022             ,0.54747             ,0.23878             ,0.53944             ,0.28321             ,0.35834             ,0.4065              ,0.35793             ,0.38175             ,0.23718             ,0.44975             ,0.06447             ,0.28636             ,0.34576             ,0.61597             ,0.24574             ,0.63873             ,0.06008             ,0.52915             ,0.55023             ,0.40524             ,0.19136             ,0.21128             ,0.53755             ,0.74876             ,0.40908             ,0.39005             ,0.60622             ,0.82787             ,0.30235             ,0.17202             ,0.45153             ,0.33097             ,0.84861             ,0.05489             ,0.12253             ,0.72797             ,0.20585             ,0.24797             ,0.42205             ,0.32207             ,0.02694             ,0.50827             ,1398                ,4103                ,2328                ,2299                ,0.44883             ,0.32804             ,0.51809             ,0.43254             ,0.06156             ,0.22373             ,0.29836             ,0.04451             ,0.16328             ,0.46268             ,0.3303              ,0.46196             ,0.76652             ,0.60826             ,0.59306             ,0.68733             ,0.11914             ,0.52461             ,0.31591             ,0.19454             ,0.15458             ,0.0581              ,0.39187             ,0.45606             ,0.68502             ,0.64643             ,0.54178             ,0.22032             ,0.62915             ,0.11884             ,0.76215             ,0.21969             ,0.00015             ,0.38961             ,0.51467             ,0.0277              ,0.47442             ,0.13903             ,0.3175              ,0.71037             ,0.53175             ,0.21885             ,0.38036             ,0.10737             ,0.37568             ,0.13961             ,0.33821             ,0.35469             ,0.46875             ,0.25105             ,0.04308             ,0.5822              ,0.0297              ,0.91742             ,0.61906             ,0.80804             ,0.50158             ,0.10477             ,0.72299             ,0.24885             ,0.74133             ,0.56473             ,0.38359             ,0.16524             ,0.43188             ,0.66618             ,0.79916             ,0.01955             ,0.17724             ,0.74696             ,0.61685             ,0.56915             
350                 ,0.30405             ,0.3318              ,0.11378             ,0.11112             ,2234                ,1473                ,3457                ,786                 ,0.55223             ,0.27922             ,0.06673             ,0.59294             ,0.23606             ,0.29778             ,0.001               ,0.53165             ,0.06106             ,0.24896             ,0.73386             ,0.61446             ,0.61425             ,0.74999             ,0.29401             ,0.05633             ,0.31718             ,0.4672              ,0.57447             ,0.02557             ,0.61316             ,0.61194             ,0.38947             ,0.33276             ,0.22501             ,0.52136             ,0.12767             ,0.19316             ,0.00959             ,0.49337             ,0.52754             ,0.22831             ,0.48245             ,0.23966             ,0.32709             ,0.37379             ,0.28338             ,0.3418              ,0.18133             ,0.41157             ,0.05538             ,0.24969             ,0.32016             ,0.56609             ,0.24086             ,0.60809             ,0.04612             ,0.4909              ,0.53421             ,0.40863             ,0.19364             ,0.22616             ,0.53041             ,0.7382              ,0.40216             ,0.38388             ,0.56564             ,0.83178             ,0.29995             ,0.16264             ,0.44783             ,0.33338             ,0.79375             ,0.04067             ,0.12161             ,0.71862             ,0.21734             ,0.2599              ,0.40714             ,0.31841             ,0.02498             ,0.50437             ,1394                ,4101                ,2320                ,2300                ,0.44054             ,0.32096             ,0.48361             ,0.39275             ,0.058               ,0.2068              ,0.2916              ,0.04166             ,0.13454             ,0.43669             ,0.32365             ,0.42465             ,0.74954             ,0.56964             ,0.56824             ,0.67449             ,0.11157             ,0.50563             ,0.30368             ,0.16741             ,0.15195             ,0.05193             ,0.36467             ,0.44147             ,0.6463              ,0.60775             ,0.50518             ,0.1914              ,0.58854             ,0.11576             ,0.72487             ,0.21587             ,0.00069             ,0.36421             ,0.48931             ,0.02575             ,0.43273             ,0.10898             ,0.30018             ,0.69184             ,0.4995              ,0.17152             ,0.35895             ,0.08997             ,0.33616             ,0.12493             ,0.30256             ,0.31597             ,0.46391             ,0.25013             ,0.04184             ,0.54316             ,0.03064             ,0.90464             ,0.60149             ,0.8027              ,0.48896             ,0.10986             ,0.71124             ,0.25112             ,0.73325             ,0.55805             ,0.38                ,0.16243             ,0.42388             ,0.66092             ,0.789               ,0.0235              ,0.1766              ,0.73783             ,0.59407             ,0.56224             
400                 ,0.52952             ,0.56413             ,0.09355             ,0.08975             ,2082                ,1407                ,3458                ,722                 ,0.53823             ,0.26885             ,0.06328             ,0.56482             ,0.21823             ,0.30063             ,-0.00682            ,0.50292             ,0.02566             ,0.24828             ,0.70639             ,0.58076             ,0.58569             ,0.71282             ,0.29087             ,0.0526              ,0.28452             ,0.4336              ,0.54281             ,0.01717             ,0.58071             ,0.58953             ,0.3533              ,0.31777             ,0.19806             ,0.48161             ,0.05593             ,0.19677             ,-0.09169            ,0.43167             ,0.5059              ,0.21731             ,0.41396             ,0.23518             ,0.29748             ,0.34787             ,0.21636             ,0.29031             ,0.18872             ,0.375               ,0.04696             ,0.23096             ,0.30492             ,0.51135             ,0.25327             ,0.56642             ,0.0349              ,0.44224             ,0.51758             ,0.40725             ,0.21832             ,0.24706             ,0.55571             ,0.73148             ,0.39614             ,0.37978             ,0.52197             ,0.83918             ,0.30028             ,0.15875             ,0.45072             ,0.3421              ,0.76198             ,0.03059             ,0.1226              ,0.7137              ,0.25285             ,0.28778             ,0.42222             ,0.31583             ,0.0232              ,0.50163             ,1395                ,4097                ,2326                ,2327                ,0.4323              ,0.3142              ,0.45039             ,0.35555             ,0.05322             ,0.19036             ,0.2893              ,0.03815             ,0.11138             ,0.41152             ,0.31231             ,0.38916             ,0.73377             ,0.53105             ,0.54294             ,0.66266             ,0.10182             ,0.48687             ,0.29364             ,0.1427              ,0.14711             ,0.03719             ,0.33558             ,0.42854             ,0.61006             ,0.57071             ,0.47006             ,0.17814             ,0.54941             ,0.12093             ,0.68486             ,0.21357             ,-0.07014            ,0.3392              ,0.45654             ,0.02256             ,0.40373             ,0.06845             ,0.28138             ,0.67401             ,0.46775             ,0.11587             ,0.34243             ,0.07419             ,0.29862             ,0.08977             ,0.26567             ,0.26899             ,0.45893             ,0.24913             ,0.04144             ,0.50919             ,0.02889             ,0.89241             ,0.58467             ,0.79632             ,0.48739             ,0.11658             ,0.69838             ,0.25562             ,0.72557             ,0.54867             ,0.37726             ,0.16085             ,0.41849             ,0.64873             ,0.77631             ,0.02764             ,0.173               ,0.72482             ,0.57939             ,0.55268             
450                 ,0.65319             ,0.67957             ,0.08032             ,0.07695             ,2022                ,1411                ,3461                ,686                 ,0.51969             ,0.25982             ,0.0657              ,0.54277             ,0.19522             ,0.29199             ,-0.01723            ,0.47352             ,-0.00665            ,0.26654             ,0.68001             ,0.55199             ,0.5679              ,0.67866             ,0.2753              ,0.04645             ,0.25419             ,0.41082             ,0.52321             ,-0.00116            ,0.5444              ,0.56788             ,0.31932             ,0.30535             ,0.18724             ,0.45027             ,0.00625             ,0.21808             ,-0.16216            ,0.41216             ,0.47406             ,0.2053              ,0.38613             ,0.23257             ,0.27863             ,0.32758             ,0.26676             ,0.25298             ,0.21759             ,0.33988             ,0.04964             ,0.2683              ,0.32202             ,0.47235             ,0.21929             ,0.52228             ,0.02726             ,0.40184             ,0.50948             ,0.40108             ,0.22233             ,0.25611             ,0.57023             ,0.73394             ,0.39551             ,0.37658             ,0.51214             ,0.83324             ,0.30528             ,0.16388             ,0.45204             ,0.34145             ,0.76319             ,0.03089             ,0.12435             ,0.7092              ,0.27229             ,0.30757             ,0.43599             ,0.3184              ,0.02372             ,0.49827             ,1395                ,4091                ,2334                ,2326                ,0.42477             ,0.30708             ,0.41861             ,0.32486             ,0.04643             ,0.17819             ,0.28545             ,0.034               ,0.09692             ,0.38567             ,0.29826             ,0.35519             ,0.71665             ,0.4938              ,0.51735             ,0.65215             ,0.09575             ,0.46298             ,0.28131             ,0.12109             ,0.14167             ,0.03326             ,0.31186             ,0.41329             ,0.57586             ,0.53521             ,0.43653             ,0.1593              ,0.51151             ,0.11907             ,0.64501             ,0.21246             ,-0.07399            ,0.31346             ,0.42476             ,0.01683             ,0.37598             ,0.02273             ,0.2606              ,0.65606             ,0.43462             ,0.07453             ,0.33134             ,0.06135             ,0.26234             ,0.07037             ,0.22928             ,0.2225              ,0.45628             ,0.24886             ,0.04192             ,0.50203             ,0.02678             ,0.88488             ,0.57493             ,0.78702             ,0.48337             ,0.12061             ,0.68499             ,0.25844             ,0.71648             ,0.53989             ,0.37583             ,0.16181             ,0.41615             ,0.63911             ,0.75795             ,0.03068             ,0.17023             ,0.7187              ,0.57187             ,0.54609             
500                 ,0.71618             ,0.73372             ,0.07266             ,0.07015             ,2020                ,1400                ,3460                ,661                 ,0.49529             ,0.25234             ,0.07268             ,0.51884             ,0.17731             ,0.29424             ,-0.03093            ,0.44465             ,-0.03646            ,0.2833              ,0.65059             ,0.5265              ,0.55335             ,0.64408             ,0.25461             ,0.04017             ,0.22592             ,0.38697             ,0.50423             ,-0.01951            ,0.50158             ,0.54807             ,0.28739             ,0.29448             ,0.1726              ,0.42033             ,-0.02147            ,0.23151             ,-0.22191            ,0.40675             ,0.44212             ,0.19478             ,0.36701             ,0.22101             ,0.26061             ,0.30939             ,0.322               ,0.21843             ,0.24778             ,0.3068              ,0.04454             ,0.29105             ,0.35159             ,0.43589             ,0.18863             ,0.47911             ,0.02089             ,0.36762             ,0.50363             ,0.39446             ,0.22081             ,0.26316             ,0.58227             ,0.73737             ,0.39459             ,0.37201             ,0.50557             ,0.82564             ,0.31011             ,0.1696              ,0.4533              ,0.34044             ,0.76663             ,0.0298              ,0.12485             ,0.70199             ,0.2848              ,0.32144             ,0.44892             ,0.32129             ,0.02416             ,0.49308             ,1395                ,4085                ,2333                ,2327                ,0.41647             ,0.29825             ,0.38764             ,0.29573             ,0.04021             ,0.16606             ,0.27874             ,0.03007             ,0.08322             ,0.35971             ,0.28504             ,0.32282             ,0.69806             ,0.45831             ,0.49148             ,0.64012             ,0.09006             ,0.43853             ,0.26694             ,0.10243             ,0.13711             ,0.03214             ,0.28992             ,0.39673             ,0.54157             ,0.49929             ,0.40399             ,0.12891             ,0.47507             ,0.11336             ,0.60733             ,0.20998             ,-0.069              ,0.28756             ,0.39395             ,0.01021             ,0.34815             ,0.00705             ,0.24026             ,0.63657             ,0.40505             ,0.04471             ,0.31841             ,0.05124             ,0.23027             ,0.0552              ,0.20298             ,0.18468             ,0.45332             ,0.24829             ,0.04235             ,0.49438             ,0.02561             ,0.8766              ,0.56425             ,0.77709             ,0.47475             ,0.12355             ,0.66885             ,0.26007             ,0.70589             ,0.52927             ,0.37342             ,0.16232             ,0.41184             ,0.62986             ,0.73891             ,0.03352             ,0.16858             ,0.71375             ,0.56223             ,0.53957             
