epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24,GNDI4Alpha_1:i,GNDI4Alpha_1:j,GNDI4Alpha_1:k,GNDI4Alpha_1:l,GNDI4Alpha_1:alpha1_1,GNDI4Alpha_1:alpha1_2,GNDI4Alpha_1:alpha1_3,GNDI4Alpha_1:alpha1_4,GNDI4Alpha_1:alpha1_5,GNDI4Alpha_1:alpha1_6,GNDI4Alpha_1:alpha1_7,GNDI4Alpha_1:alpha1_8,GNDI4Alpha_1:alpha1_9,GNDI4Alpha_1:alpha1_10,GNDI4Alpha_1:alpha1_11,GNDI4Alpha_1:alpha1_12,GNDI4Alpha_1:alpha1_13,GNDI4Alpha_1:alpha1_14,GNDI4Alpha_1:alpha1_15,GNDI4Alpha_1:alpha1_16,GNDI4Alpha_1:alpha1_17,GNDI4Alpha_1:alpha1_18,GNDI4Alpha_1:alpha1_19,GNDI4Alpha_1:alpha1_20,GNDI4Alpha_1:alpha1_21,GNDI4Alpha_1:alpha1_22,GNDI4Alpha_1:alpha1_23,GNDI4Alpha_1:alpha1_24,GNDI4Alpha_1:alpha2_1,GNDI4Alpha_1:alpha2_2,GNDI4Alpha_1:alpha2_3,GNDI4Alpha_1:alpha2_4,GNDI4Alpha_1:alpha2_5,GNDI4Alpha_1:alpha2_6,GNDI4Alpha_1:alpha2_7,GNDI4Alpha_1:alpha2_8,GNDI4Alpha_1:alpha2_9,GNDI4Alpha_1:alpha2_10,GNDI4Alpha_1:alpha2_11,GNDI4Alpha_1:alpha2_12,GNDI4Alpha_1:alpha2_13,GNDI4Alpha_1:alpha2_14,GNDI4Alpha_1:alpha2_15,GNDI4Alpha_1:alpha2_16,GNDI4Alpha_1:alpha2_17,GNDI4Alpha_1:alpha2_18,GNDI4Alpha_1:alpha2_19,GNDI4Alpha_1:alpha2_20,GNDI4Alpha_1:alpha2_21,GNDI4Alpha_1:alpha2_22,GNDI4Alpha_1:alpha2_23,GNDI4Alpha_1:alpha2_24,GNDI4Alpha_1:alpha3_1,GNDI4Alpha_1:alpha3_2,GNDI4Alpha_1:alpha3_3,GNDI4Alpha_1:alpha3_4,GNDI4Alpha_1:alpha3_5,GNDI4Alpha_1:alpha3_6,GNDI4Alpha_1:alpha3_7,GNDI4Alpha_1:alpha3_8,GNDI4Alpha_1:alpha3_9,GNDI4Alpha_1:alpha3_10,GNDI4Alpha_1:alpha3_11,GNDI4Alpha_1:alpha3_12,GNDI4Alpha_1:alpha3_13,GNDI4Alpha_1:alpha3_14,GNDI4Alpha_1:alpha3_15,GNDI4Alpha_1:alpha3_16,GNDI4Alpha_1:alpha3_17,GNDI4Alpha_1:alpha3_18,GNDI4Alpha_1:alpha3_19,GNDI4Alpha_1:alpha3_20,GNDI4Alpha_1:alpha3_21,GNDI4Alpha_1:alpha3_22,GNDI4Alpha_1:alpha3_23,GNDI4Alpha_1:alpha3_24
50                  ,0.38707             ,0.41382             ,0.10677             ,0.10408             ,502                 ,1416                ,1706                ,2018                ,0.62877             ,0.43132             ,0.48555             ,0.50308             ,0.81548             ,0.20891             ,0.39252             ,0.46435             ,0.22048             ,0.65282             ,0.61432             ,0.58168             ,0.21616             ,0.6781              ,0.27929             ,0.51225             ,0.72184             ,0.47494             ,0.16999             ,0.99078             ,0.05004             ,0.75539             ,0.29867             ,0.02701             ,0.11136             ,0.65757             ,0.36561             ,0.38593             ,0.14463             ,0.96049             ,0.31891             ,0.20254             ,0.08688             ,0.45135             ,0.92641             ,0.81654             ,0.61486             ,0.34725             ,0.3039              ,0.47491             ,0.20767             ,0.11206             ,0.64994             ,0.95592             ,0.54809             ,0.64795             ,0.22497             ,0.70358             ,0.23129             ,0.45765             ,0.3327              ,0.38019             ,0.72549             ,0.81507             ,0.12798             ,0.80325             ,0.19455             ,0.88664             ,0.37441             ,0.42077             ,0.39066             ,0.5085              ,0.45                ,0.50724             ,0.3388              ,0.32414             ,0.43198             ,0.18153             ,0.26598             ,0.86535             ,0.09938             ,0.19564             ,2660                ,2959                ,1565                ,2435                ,0.14165             ,0.623               ,0.80315             ,0.60266             ,0.05756             ,0.4282              ,0.01697             ,0.71281             ,0.08963             ,0.65034             ,0.76793             ,0.43393             ,0.10183             ,0.36642             ,0.55955             ,0.79125             ,0.84122             ,0.2733              ,0.32611             ,0.68158             ,0.71101             ,0.74828             ,0.03786             ,0.68563             ,0.02983             ,0.49847             ,0.1246              ,0.07987             ,0.40488             ,0.30401             ,0.61589             ,0.10178             ,0.08275             ,0.89003             ,0.21308             ,0.34829             ,0.94712             ,0.11575             ,0.23529             ,0.56274             ,0.15305             ,0.40661             ,0.74455             ,0.51747             ,0.46567             ,0.38955             ,0.9447              ,0.32416             ,0.59864             ,0.82749             ,0.59451             ,0.41579             ,0.69129             ,0.54037             ,0.44822             ,0.27664             ,0.34357             ,0.05944             ,0.79535             ,0.87951             ,0.58208             ,0.51634             ,0.8874              ,0.92178             ,0.30404             ,0.76255             ,0.44386             ,0.35676             ,0.5513              ,0.57205             ,0.90955             ,0.94438             
100                 ,0.5698              ,0.60103             ,0.08945             ,0.08586             ,476                 ,1351                ,1652                ,2018                ,0.57988             ,0.40595             ,0.43724             ,0.45534             ,0.76495             ,0.20012             ,0.33602             ,0.39957             ,0.17892             ,0.61908             ,0.57236             ,0.55901             ,0.2116              ,0.64317             ,0.23654             ,0.47032             ,0.68345             ,0.41931             ,0.16479             ,0.97903             ,0.00547             ,0.71865             ,0.25388             ,0.0215              ,0.07814             ,0.64187             ,0.30846             ,0.35646             ,0.17479             ,0.98651             ,0.26152             ,0.19961             ,0.05116             ,0.46303             ,0.88329             ,0.77253             ,0.56446             ,0.33029             ,0.25356             ,0.42444             ,0.17423             ,0.05939             ,0.60125             ,0.93338             ,0.50316             ,0.60838             ,0.17071             ,0.65733             ,0.23852             ,0.46304             ,0.32949             ,0.37002             ,0.70727             ,0.83361             ,0.12876             ,0.77531             ,0.22693             ,0.89077             ,0.40016             ,0.37502             ,0.37568             ,0.49392             ,0.48858             ,0.45235             ,0.36826             ,0.31326             ,0.41922             ,0.20099             ,0.2986              ,0.82137             ,0.08833             ,0.18962             ,2658                ,2992                ,1486                ,2400                ,0.09945             ,0.58302             ,0.75531             ,0.5563              ,0.0429              ,0.38043             ,-0.01225            ,0.66613             ,0.06123             ,0.60614             ,0.7176              ,0.39127             ,0.10112             ,0.32288             ,0.50745             ,0.74772             ,0.79241             ,0.2505              ,0.29786             ,0.65486             ,0.66618             ,0.69801             ,0.01129             ,0.65053             ,0.02747             ,0.43959             ,0.17167             ,0.04279             ,0.3658              ,0.24852             ,0.56694             ,0.10052             ,0.06352             ,0.84303             ,0.13833             ,0.29119             ,0.90476             ,0.0687              ,0.24317             ,0.51056             ,0.13643             ,0.37679             ,0.69567             ,0.50159             ,0.40502             ,0.32906             ,0.89752             ,0.30516             ,0.58659             ,0.78916             ,0.57859             ,0.40561             ,0.6473              ,0.52231             ,0.43338             ,0.28035             ,0.33589             ,0.05452             ,0.7709              ,0.85299             ,0.56286             ,0.49687             ,0.85239             ,0.88084             ,0.29731             ,0.74176             ,0.42185             ,0.34776             ,0.53791             ,0.55174             ,0.87185             ,0.90143             
150                 ,0.63867             ,0.66605             ,0.08198             ,0.07856             ,458                 ,1293                ,1634                ,2016                ,0.53334             ,0.37986             ,0.39112             ,0.40972             ,0.7164              ,0.18706             ,0.28507             ,0.34632             ,0.14269             ,0.5734              ,0.54541             ,0.52583             ,0.18495             ,0.60722             ,0.20459             ,0.42802             ,0.64966             ,0.36705             ,0.14302             ,0.9206              ,-0.02204            ,0.68137             ,0.21305             ,0.0138              ,0.03491             ,0.59679             ,0.25204             ,0.32062             ,0.17426             ,0.95493             ,0.20699             ,0.18648             ,0.03254             ,0.46094             ,0.85116             ,0.73977             ,0.51408             ,0.30985             ,0.22057             ,0.38842             ,0.15849             ,0.01855             ,0.55188             ,0.86877             ,0.46878             ,0.58834             ,0.12638             ,0.60014             ,0.23619             ,0.45837             ,0.31979             ,0.35028             ,0.68705             ,0.82271             ,0.12663             ,0.74278             ,0.23885             ,0.87423             ,0.40195             ,0.33829             ,0.36016             ,0.4788              ,0.50404             ,0.40736             ,0.37736             ,0.28797             ,0.40114             ,0.2068              ,0.31244             ,0.79129             ,0.08707             ,0.16773             ,2657                ,2986                ,1421                ,2340                ,0.06626             ,0.54066             ,0.71034             ,0.51175             ,0.02992             ,0.33906             ,-0.03836            ,0.62021             ,0.03373             ,0.56409             ,0.66939             ,0.35387             ,0.09888             ,0.28211             ,0.45743             ,0.70454             ,0.74503             ,0.22138             ,0.27601             ,0.61508             ,0.62045             ,0.65034             ,-0.01692            ,0.61844             ,0.02057             ,0.38383             ,0.21015             ,0.01732             ,0.31584             ,0.2                 ,0.5197              ,0.10409             ,0.03937             ,0.79765             ,0.0738              ,0.23927             ,0.86088             ,0.04086             ,0.26114             ,0.46704             ,0.11686             ,0.33355             ,0.6472              ,0.46446             ,0.35022             ,0.27012             ,0.85397             ,0.2865              ,0.58071             ,0.74633             ,0.56268             ,0.39431             ,0.59734             ,0.5168              ,0.43072             ,0.28272             ,0.32824             ,0.05853             ,0.74196             ,0.83101             ,0.53942             ,0.47686             ,0.81395             ,0.84116             ,0.28885             ,0.71304             ,0.40368             ,0.33527             ,0.51929             ,0.54214             ,0.83061             ,0.86543             
200                 ,0.68314             ,0.70212             ,0.07677             ,0.07419             ,444                 ,1253                ,1649                ,2016                ,0.48938             ,0.34964             ,0.34872             ,0.36728             ,0.67252             ,0.17965             ,0.24159             ,0.30489             ,0.11129             ,0.52832             ,0.51744             ,0.50062             ,0.16029             ,0.56979             ,0.17861             ,0.38746             ,0.61411             ,0.32445             ,0.12184             ,0.86662             ,-0.03937            ,0.64211             ,0.17632             ,0.00885             ,-0.03657            ,0.54345             ,0.21348             ,0.29002             ,0.17099             ,0.90704             ,0.16055             ,0.17098             ,0.0113              ,0.45364             ,0.8157              ,0.71138             ,0.46695             ,0.28724             ,0.19095             ,0.35647             ,0.14503             ,0.00249             ,0.5054              ,0.81315             ,0.43611             ,0.56487             ,0.09015             ,0.54992             ,0.23669             ,0.45253             ,0.30577             ,0.3304              ,0.66908             ,0.80281             ,0.12596             ,0.71559             ,0.24919             ,0.84929             ,0.39684             ,0.30929             ,0.34688             ,0.46231             ,0.51469             ,0.37351             ,0.37876             ,0.27662             ,0.38301             ,0.21142             ,0.32398             ,0.7616              ,0.09221             ,0.1485              ,2656                ,2968                ,1392                ,2296                ,0.04373             ,0.50243             ,0.66548             ,0.46911             ,0.02273             ,0.30313             ,-0.05552            ,0.57476             ,0.01508             ,0.5234              ,0.62441             ,0.3278              ,0.09483             ,0.24396             ,0.4159              ,0.66224             ,0.69918             ,0.19336             ,0.25398             ,0.57161             ,0.57878             ,0.60799             ,-0.03964            ,0.57807             ,0.02175             ,0.3511              ,0.20643             ,0.02334             ,0.27228             ,0.1623              ,0.47579             ,0.11513             ,0.01896             ,0.75336             ,0.04168             ,0.20593             ,0.81605             ,0.01517             ,0.23434             ,0.42858             ,0.09573             ,0.29512             ,0.60321             ,0.41806             ,0.30944             ,0.22702             ,0.81253             ,0.25199             ,0.56933             ,0.71467             ,0.54709             ,0.38194             ,0.5556              ,0.50757             ,0.42446             ,0.2774              ,0.32297             ,0.0645              ,0.72063             ,0.81124             ,0.51414             ,0.45525             ,0.78125             ,0.80495             ,0.27816             ,0.68288             ,0.38744             ,0.32589             ,0.50634             ,0.53351             ,0.7904              ,0.8366              
250                 ,0.70569             ,0.71884             ,0.07399             ,0.07208             ,431                 ,1216                ,1650                ,2015                ,0.44778             ,0.32423             ,0.31                ,0.32812             ,0.63158             ,0.17273             ,0.20272             ,0.27327             ,0.08463             ,0.48583             ,0.49428             ,0.48239             ,0.13482             ,0.53182             ,0.15697             ,0.35586             ,0.58054             ,0.28586             ,0.10314             ,0.81549             ,-0.05005            ,0.60869             ,0.14356             ,0.0018              ,-0.05976            ,0.48754             ,0.18051             ,0.26201             ,0.15124             ,0.85121             ,0.12467             ,0.15953             ,0.00205             ,0.44227             ,0.78139             ,0.68884             ,0.42299             ,0.26237             ,0.16763             ,0.33588             ,0.13792             ,0.00194             ,0.46194             ,0.75876             ,0.40651             ,0.54395             ,0.06081             ,0.51164             ,0.23514             ,0.44485             ,0.29546             ,0.31288             ,0.65653             ,0.77791             ,0.12605             ,0.6962              ,0.25518             ,0.81973             ,0.38982             ,0.29184             ,0.3311              ,0.44645             ,0.51667             ,0.35547             ,0.3752              ,0.27531             ,0.3646              ,0.21332             ,0.32988             ,0.73669             ,0.09983             ,0.13864             ,2656                ,2958                ,1389                ,2257                ,0.02808             ,0.47213             ,0.62135             ,0.42836             ,0.01858             ,0.27038             ,-0.06582            ,0.53152             ,0.00581             ,0.48392             ,0.58179             ,0.30693             ,0.09082             ,0.20877             ,0.38337             ,0.62193             ,0.65505             ,0.16794             ,0.23427             ,0.52974             ,0.54325             ,0.56897             ,-0.051              ,0.54193             ,0.02132             ,0.32454             ,0.18406             ,0.03026             ,0.2338              ,0.12937             ,0.43521             ,0.12356             ,0.00688             ,0.71013             ,0.02291             ,0.18297             ,0.77162             ,-0.00199            ,0.21416             ,0.39179             ,0.07746             ,0.25762             ,0.56132             ,0.37349             ,0.27234             ,0.19154             ,0.7739              ,0.23167             ,0.56177             ,0.69706             ,0.53147             ,0.37104             ,0.52407             ,0.5001              ,0.41801             ,0.27305             ,0.31518             ,0.07013             ,0.71074             ,0.79854             ,0.49093             ,0.4321              ,0.76524             ,0.77225             ,0.26894             ,0.65391             ,0.37573             ,0.31823             ,0.50048             ,0.52717             ,0.75682             ,0.82031             
300                 ,0.7211              ,0.72928             ,0.07202             ,0.07073             ,421                 ,1186                ,1650                ,2015                ,0.40829             ,0.29785             ,0.27401             ,0.29132             ,0.59228             ,0.16552             ,0.16871             ,0.2425              ,0.06264             ,0.44569             ,0.46989             ,0.46598             ,0.10912             ,0.49498             ,0.13729             ,0.32676             ,0.54657             ,0.24986             ,0.08716             ,0.76633             ,-0.05796            ,0.57559             ,0.11502             ,-0.00348            ,-0.06628            ,0.43511             ,0.15083             ,0.23258             ,0.13261             ,0.79512             ,0.09545             ,0.14569             ,-0.00345            ,0.42928             ,0.74605             ,0.67017             ,0.38142             ,0.23913             ,0.14759             ,0.32125             ,0.13074             ,0.0036              ,0.42094             ,0.70787             ,0.3786              ,0.5228              ,0.03875             ,0.48049             ,0.2331              ,0.43641             ,0.28527             ,0.29398             ,0.64343             ,0.74905             ,0.12664             ,0.67619             ,0.25889             ,0.78866             ,0.38145             ,0.28097             ,0.31374             ,0.42981             ,0.51389             ,0.34454             ,0.37064             ,0.27961             ,0.34638             ,0.21448             ,0.33287             ,0.7128              ,0.1064              ,0.13576             ,2656                ,2957                ,1387                ,2178                ,0.01679             ,0.44195             ,0.57832             ,0.3896              ,0.01549             ,0.23955             ,-0.07346            ,0.48986             ,0.00428             ,0.44567             ,0.54086             ,0.28572             ,0.08534             ,0.1768              ,0.35209             ,0.58257             ,0.61254             ,0.14369             ,0.21415             ,0.48839             ,0.50816             ,0.53089             ,-0.05804            ,0.50456             ,0.01915             ,0.29654             ,0.15495             ,0.03359             ,0.19339             ,0.10029             ,0.39643             ,0.128               ,0.00082             ,0.66798             ,0.0064              ,0.16181             ,0.72827             ,-0.01206            ,0.19405             ,0.35765             ,0.06198             ,0.22174             ,0.51932             ,0.32976             ,0.23655             ,0.15951             ,0.73522             ,0.2105              ,0.55318             ,0.6788              ,0.51437             ,0.35999             ,0.49319             ,0.49111             ,0.4105              ,0.26822             ,0.30621             ,0.07481             ,0.69958             ,0.78426             ,0.46541             ,0.409               ,0.748               ,0.73893             ,0.2602              ,0.62406             ,0.36248             ,0.31094             ,0.49355             ,0.51973             ,0.72267             ,0.80297             
350                 ,0.73131             ,0.73687             ,0.07069             ,0.06973             ,412                 ,1156                ,1650                ,2015                ,0.37081             ,0.27121             ,0.24064             ,0.25702             ,0.55437             ,0.15771             ,0.13912             ,0.2128              ,0.04504             ,0.40779             ,0.44483             ,0.45041             ,0.08533             ,0.45917             ,0.11972             ,0.29971             ,0.51286             ,0.21689             ,0.07361             ,0.71933             ,-0.06298            ,0.54268             ,0.09058             ,-0.00786            ,-0.069              ,0.38586             ,0.12459             ,0.20279             ,0.1155              ,0.74004             ,0.07165             ,0.1292              ,-0.00704            ,0.41557             ,0.71049             ,0.6547              ,0.34236             ,0.21708             ,0.13034             ,0.31228             ,0.12363             ,0.01071             ,0.38208             ,0.66                ,0.35221             ,0.50187             ,0.02294             ,0.45509             ,0.23175             ,0.42739             ,0.27443             ,0.27512             ,0.62994             ,0.71679             ,0.12781             ,0.65555             ,0.26096             ,0.75747             ,0.37154             ,0.27562             ,0.29544             ,0.41191             ,0.50718             ,0.33976             ,0.36578             ,0.2881              ,0.3287              ,0.21544             ,0.33352             ,0.68968             ,0.11173             ,0.13828             ,2656                ,2956                ,1385                ,2118                ,0.00948             ,0.41178             ,0.53675             ,0.3528              ,0.01429             ,0.21046             ,-0.07588            ,0.45004             ,0.004               ,0.40856             ,0.50158             ,0.26328             ,0.07914             ,0.14809             ,0.32221             ,0.54413             ,0.57161             ,0.12077             ,0.19365             ,0.44844             ,0.47396             ,0.49414             ,-0.06279            ,0.46718             ,0.01365             ,0.26517             ,0.12041             ,0.02966             ,0.15399             ,0.07516             ,0.35857             ,0.12627             ,0.00163             ,0.62688             ,-0.00696            ,0.14059             ,0.68637             ,-0.01493            ,0.1801              ,0.32496             ,0.04996             ,0.18772             ,0.47813             ,0.28827             ,0.20027             ,0.13294             ,0.69657             ,0.19382             ,0.54416             ,0.66034             ,0.49683             ,0.34962             ,0.46441             ,0.47976             ,0.40188             ,0.26465             ,0.2957              ,0.07772             ,0.68772             ,0.76859             ,0.4392              ,0.38633             ,0.73008             ,0.70443             ,0.25117             ,0.59334             ,0.34733             ,0.30382             ,0.48603             ,0.5116              ,0.68737             ,0.78469             
400                 ,0.7379              ,0.74161             ,0.06982             ,0.0691              ,405                 ,1127                ,1650                ,2014                ,0.33535             ,0.24443             ,0.20991             ,0.22521             ,0.51781             ,0.14948             ,0.11354             ,0.1833              ,0.03137             ,0.37194             ,0.41943             ,0.43621             ,0.06478             ,0.42456             ,0.10395             ,0.27402             ,0.47939             ,0.18773             ,0.06185             ,0.67513             ,-0.06545            ,0.51021             ,0.07006             ,-0.01045            ,-0.071              ,0.34111             ,0.10196             ,0.17403             ,0.10387             ,0.68797             ,0.05272             ,0.11045             ,-0.01113            ,0.40165             ,0.6747              ,0.64063             ,0.30593             ,0.19613             ,0.11412             ,0.30545             ,0.11541             ,0.02189             ,0.34537             ,0.61567             ,0.32644             ,0.48013             ,0.0123              ,0.43252             ,0.23141             ,0.41828             ,0.26286             ,0.2568              ,0.61549             ,0.68291             ,0.12857             ,0.6341              ,0.26296             ,0.72689             ,0.36165             ,0.27433             ,0.27661             ,0.39404             ,0.49931             ,0.33878             ,0.3615              ,0.30009             ,0.31079             ,0.2165              ,0.33355             ,0.66686             ,0.11565             ,0.14462             ,2656                ,2955                ,1385                ,2112                ,0.00515             ,0.38223             ,0.49668             ,0.31799             ,0.01253             ,0.18381             ,-0.07374            ,0.41225             ,0.00369             ,0.37264             ,0.46385             ,0.24127             ,0.07247             ,0.12261             ,0.29378             ,0.50646             ,0.53225             ,0.10016             ,0.17365             ,0.41024             ,0.44059             ,0.45889             ,-0.06457            ,0.43041             ,0.00783             ,0.23395             ,0.08719             ,0.02218             ,0.11886             ,0.05602             ,0.32268             ,0.12009             ,0.0018              ,0.58689             ,-0.01637            ,0.12074             ,0.64581             ,-0.01298            ,0.16637             ,0.29282             ,0.04064             ,0.1558              ,0.4389              ,0.2501              ,0.16663             ,0.11149             ,0.65825             ,0.17747             ,0.5341              ,0.64153             ,0.47862             ,0.33903             ,0.43696             ,0.46643             ,0.39004             ,0.26154             ,0.28374             ,0.07905             ,0.67485             ,0.75174             ,0.41273             ,0.36441             ,0.7113              ,0.66965             ,0.24257             ,0.56293             ,0.3324              ,0.29656             ,0.47784             ,0.50175             ,0.65258             ,0.76557             
450                 ,0.74273             ,0.74527             ,0.06918             ,0.06861             ,399                 ,1104                ,1633                ,2014                ,0.30256             ,0.21869             ,0.1817              ,0.19585             ,0.48276             ,0.1409              ,0.09164             ,0.15446             ,0.02109             ,0.33775             ,0.39368             ,0.42322             ,0.04804             ,0.39109             ,0.08952             ,0.25001             ,0.44643             ,0.16298             ,0.05142             ,0.63403             ,-0.06673            ,0.47847             ,0.0532              ,-0.01059            ,-0.08525            ,0.30177             ,0.08248             ,0.14722             ,0.09967             ,0.63925             ,0.03796             ,0.09154             ,-0.0166             ,0.38767             ,0.63883             ,0.6263              ,0.27211             ,0.17633             ,0.09779             ,0.29785             ,0.10579             ,0.03415             ,0.31069             ,0.57483             ,0.30113             ,0.4576              ,0.00556             ,0.41023             ,0.23216             ,0.41049             ,0.25011             ,0.23858             ,0.60191             ,0.64903             ,0.1291              ,0.61569             ,0.26579             ,0.6969              ,0.35215             ,0.27495             ,0.25813             ,0.37541             ,0.49207             ,0.33981             ,0.35847             ,0.31341             ,0.29314             ,0.21789             ,0.33382             ,0.64392             ,0.11871             ,0.15333             ,2656                ,2955                ,1386                ,2112                ,0.00266             ,0.354               ,0.4583              ,0.28522             ,0.01042             ,0.15952             ,-0.06907            ,0.37663             ,0.00697             ,0.33824             ,0.42772             ,0.22032             ,0.06566             ,0.10028             ,0.267               ,0.46972             ,0.49442             ,0.08203             ,0.15421             ,0.37403             ,0.40841             ,0.42504             ,-0.06474            ,0.39522             ,0.00302             ,0.20391             ,0.05974             ,0.0146              ,0.08777             ,0.04241             ,0.28906             ,0.11076             ,0.00495             ,0.54814             ,-0.02447            ,0.10264             ,0.60647             ,-0.00825            ,0.15263             ,0.26126             ,0.03305             ,0.12646             ,0.40177             ,0.21578             ,0.13569             ,0.09306             ,0.62131             ,0.16175             ,0.52356             ,0.62319             ,0.46138             ,0.32834             ,0.41128             ,0.45154             ,0.37627             ,0.25859             ,0.27166             ,0.07916             ,0.6618              ,0.73486             ,0.3866              ,0.34397             ,0.69241             ,0.63509             ,0.23383             ,0.53389             ,0.31753             ,0.28914             ,0.46997             ,0.49107             ,0.61938             ,0.74682             
500                 ,0.74613             ,0.74832             ,0.06872             ,0.0682              ,395                 ,1085                ,1629                ,2012                ,0.27154             ,0.19475             ,0.15606             ,0.16898             ,0.44917             ,0.13204             ,0.0731              ,0.12729             ,0.01352             ,0.30533             ,0.3681              ,0.41096             ,0.03521             ,0.35864             ,0.07654             ,0.22789             ,0.41447             ,0.14252             ,0.04224             ,0.59558             ,-0.06703            ,0.4477              ,0.03962             ,-0.00952            ,-0.08841            ,0.26703             ,0.06579             ,0.12305             ,0.09971             ,0.59292             ,0.0268              ,0.07456             ,-0.02156            ,0.37375             ,0.60345             ,0.61186             ,0.24077             ,0.15691             ,0.0819              ,0.29039             ,0.09579             ,0.04737             ,0.27813             ,0.53664             ,0.27689             ,0.4357              ,0.00138             ,0.38846             ,0.23358             ,0.40407             ,0.2361              ,0.22027             ,0.58961             ,0.61525             ,0.12919             ,0.60149             ,0.26888             ,0.66768             ,0.34261             ,0.2769              ,0.2415              ,0.35576             ,0.48497             ,0.3424              ,0.35628             ,0.32657             ,0.27548             ,0.21977             ,0.33358             ,0.62176             ,0.12086             ,0.16252             ,2656                ,2955                ,1387                ,2112                ,0.00126             ,0.32739             ,0.4217              ,0.25456             ,0.00806             ,0.13747             ,-0.06324            ,0.34321             ,0.00432             ,0.30561             ,0.39321             ,0.20037             ,0.05904             ,0.08099             ,0.24199             ,0.43418             ,0.45816             ,0.06643             ,0.13591             ,0.34003             ,0.37774             ,0.39247             ,-0.06411            ,0.36226             ,-0.00081            ,0.1751              ,0.04033             ,0.00827             ,0.06104             ,0.03245             ,0.25778             ,0.09904             ,0.00334             ,0.51076             ,-0.03354            ,0.08637             ,0.56842             ,-0.00318            ,0.14048             ,0.23096             ,0.02714             ,0.10016             ,0.36668             ,0.18555             ,0.10682             ,0.07624             ,0.58589             ,0.1488              ,0.5133              ,0.60629             ,0.44529             ,0.31824             ,0.38697             ,0.43612             ,0.36204             ,0.25614             ,0.25964             ,0.07878             ,0.64944             ,0.71859             ,0.36153             ,0.32651             ,0.67414             ,0.60094             ,0.22589             ,0.50718             ,0.30346             ,0.28174             ,0.46323             ,0.48                ,0.58935             ,0.72925             
