epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0.12346             ,0.14487             ,0.12769             ,0.12571             ,37                  ,511                 ,3223                ,0.35251             ,1.0195              
100                 ,0.24755             ,0.26748             ,0.1183              ,0.11635             ,38                  ,504                 ,3207                ,0.35299             ,1.02108             
150                 ,0.26593             ,0.28737             ,0.11685             ,0.11476             ,38                  ,499                 ,3206                ,0.35206             ,1.02097             
200                 ,0.28249             ,0.30516             ,0.11553             ,0.11332             ,39                  ,492                 ,3206                ,0.35087             ,1.02102             
250                 ,0.29836             ,0.32228             ,0.11424             ,0.11191             ,40                  ,485                 ,3206                ,0.34914             ,1.02123             
300                 ,0.31397             ,0.33907             ,0.11296             ,0.11052             ,41                  ,476                 ,3206                ,0.34687             ,1.02168             
350                 ,0.32901             ,0.35529             ,0.11172             ,0.10915             ,42                  ,467                 ,3204                ,0.34403             ,1.02254             
400                 ,0.34322             ,0.37062             ,0.11053             ,0.10785             ,43                  ,457                 ,3204                ,0.34057             ,1.024               
450                 ,0.35613             ,0.38435             ,0.10944             ,0.10666             ,44                  ,447                 ,3203                ,0.33668             ,1.02603             
500                 ,0.36894             ,0.39722             ,0.10834             ,0.10554             ,45                  ,436                 ,3189                ,0.3327              ,1.02822             
550                 ,0.38989             ,0.41755             ,0.10653             ,0.10375             ,46                  ,426                 ,3163                ,0.3293              ,1.0302              
600                 ,0.41975             ,0.44657             ,0.10389             ,0.10113             ,47                  ,416                 ,3156                ,0.32488             ,1.03271             
650                 ,0.44613             ,0.47277             ,0.1015              ,0.09871             ,48                  ,406                 ,3155                ,0.3221              ,1.0346              
700                 ,0.47086             ,0.49691             ,0.09921             ,0.09642             ,49                  ,397                 ,3157                ,0.31972             ,1.03568             
750                 ,0.49259             ,0.51744             ,0.09715             ,0.09443             ,50                  ,389                 ,3164                ,0.31715             ,1.03589             
800                 ,0.50999             ,0.53322             ,0.09547             ,0.09288             ,52                  ,381                 ,3164                ,0.31479             ,1.03532             
850                 ,0.52337             ,0.54453             ,0.09416             ,0.09174             ,53                  ,376                 ,3165                ,0.31261             ,1.03412             
900                 ,0.53425             ,0.55315             ,0.09308             ,0.09087             ,54                  ,370                 ,3168                ,0.31072             ,1.03241             
950                 ,0.54258             ,0.55925             ,0.09224             ,0.09025             ,55                  ,365                 ,3168                ,0.30941             ,1.03032             
1000                ,0.54917             ,0.56428             ,0.09157             ,0.08973             ,56                  ,361                 ,3169                ,0.3083              ,1.02791             
1050                ,0.55447             ,0.56862             ,0.09103             ,0.08928             ,58                  ,356                 ,3174                ,0.30713             ,1.02524             
1100                ,0.55832             ,0.57167             ,0.09064             ,0.08897             ,59                  ,353                 ,3174                ,0.30616             ,1.0224              
1150                ,0.56092             ,0.57337             ,0.09037             ,0.08879             ,60                  ,351                 ,3178                ,0.30562             ,1.01947             
1200                ,0.56294             ,0.57447             ,0.09016             ,0.08868             ,62                  ,349                 ,3179                ,0.30538             ,1.01643             
1250                ,0.56456             ,0.5754              ,0.09                ,0.08858             ,63                  ,347                 ,3179                ,0.30543             ,1.01326             
1300                ,0.56579             ,0.57562             ,0.08987             ,0.08856             ,64                  ,345                 ,3179                ,0.30596             ,1.01005             
