epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24
50                  ,0.10614             ,0.11559             ,0.12894             ,0.12784             ,2059                ,1685                ,2200                ,715                 ,0.58773             ,0.10584             ,0.84751             ,0.54002             ,0.71611             ,0.38192             ,0.31                ,0.18386             ,0.74268             ,0.68294             ,0.82327             ,0.45556             ,0.72904             ,0.7149              ,0.3366              ,0.08952             ,0.04918             ,0.20881             ,0.33638             ,0.96248             ,0.96689             ,0.11504             ,0.85633             ,0.04868             ,0.54143             ,0.92137             ,0.07422             ,0.19838             ,0.58833             ,0.56737             ,0.48989             ,0.36614             ,0.73947             ,0.22479             ,0.18695             ,0.23695             ,0.06114             ,-0.00637            ,0.08052             ,0.27138             ,0.65887             ,0.39141             ,0.48746             ,0.39938             ,0.78454             ,0.12704             ,0.52529             ,0.5954              ,0.38382             ,0.40976             ,0.77526             ,0.80585             ,0.92043             ,0.1147              ,-0.00713            ,0.92829             ,0.9141              ,0.76054             ,0.87374             ,0.45747             ,0.59113             ,0.07756             ,0.57045             ,0.28271             ,0.56785             ,0.16091             ,0.12456             ,0.33044             ,0.64484             ,0.88742             ,0.72316             ,0.77784             
100                 ,0.23355             ,0.25776             ,0.1194              ,0.11712             ,2076                ,1667                ,2206                ,671                 ,0.57669             ,0.10163             ,0.81157             ,0.50824             ,0.66764             ,0.33702             ,0.26977             ,0.18608             ,0.73228             ,0.67015             ,0.80349             ,0.45                ,0.68297             ,0.66694             ,0.29799             ,0.07312             ,0.06605             ,0.17128             ,0.32625             ,0.94156             ,0.95534             ,0.11276             ,0.82509             ,0.05273             ,0.48934             ,0.88612             ,0.01191             ,0.13512             ,0.54758             ,0.51776             ,0.44478             ,0.36506             ,0.70202             ,0.21128             ,0.2112              ,0.25459             ,0.06957             ,-0.00647            ,0.04634             ,0.22291             ,0.64728             ,0.34357             ,0.46051             ,0.39332             ,0.77476             ,0.14105             ,0.49975             ,0.57203             ,0.38137             ,0.41489             ,0.75746             ,0.81506             ,0.88669             ,0.11055             ,-0.00813            ,0.92367             ,0.90074             ,0.75901             ,0.87081             ,0.45773             ,0.58796             ,0.09279             ,0.56038             ,0.30229             ,0.56577             ,0.15434             ,0.12448             ,0.33016             ,0.64325             ,0.8851              ,0.71353             ,0.76974             
150                 ,0.33704             ,0.37144             ,0.11105             ,0.10778             ,2064                ,1589                ,2198                ,630                 ,0.56586             ,0.09481             ,0.78017             ,0.48076             ,0.61915             ,0.29766             ,0.23011             ,0.18662             ,0.71648             ,0.65437             ,0.77269             ,0.43119             ,0.63752             ,0.62044             ,0.25984             ,0.0574              ,0.07884             ,0.13437             ,0.31488             ,0.91824             ,0.94386             ,0.11134             ,0.78711             ,0.05752             ,0.43772             ,0.85399             ,-0.04873            ,0.07622             ,0.50777             ,0.47436             ,0.40082             ,0.35735             ,0.64871             ,0.18681             ,0.22735             ,0.25502             ,0.03281             ,-0.00642            ,-0.00614            ,0.17792             ,0.63101             ,0.3004              ,0.4304              ,0.38722             ,0.76245             ,0.15175             ,0.47707             ,0.54524             ,0.3789              ,0.41462             ,0.73174             ,0.83581             ,0.84529             ,0.1004              ,-0.0041             ,0.92152             ,0.87757             ,0.76115             ,0.86543             ,0.45457             ,0.58305             ,0.10497             ,0.53849             ,0.3233              ,0.56249             ,0.1414              ,0.12557             ,0.33189             ,0.64248             ,0.88169             ,0.69877             ,0.76259             
200                 ,0.44433             ,0.48121             ,0.10167             ,0.09791             ,2016                ,1488                ,2191                ,593                 ,0.54909             ,0.09095             ,0.77209             ,0.45749             ,0.57101             ,0.2653              ,0.19364             ,0.18388             ,0.69758             ,0.6363              ,0.73738             ,0.40783             ,0.59328             ,0.57565             ,0.22594             ,0.04312             ,0.08824             ,0.10878             ,0.29855             ,0.8887              ,0.92733             ,0.11081             ,0.75101             ,0.04932             ,0.39034             ,0.8211              ,-0.11156            ,0.02737             ,0.46353             ,0.43563             ,0.3592              ,0.34916             ,0.59208             ,0.16212             ,0.23676             ,0.23534             ,-0.01684            ,-0.00632            ,-0.05213            ,0.13906             ,0.61033             ,0.2619              ,0.39672             ,0.37628             ,0.74172             ,0.1601              ,0.45349             ,0.52718             ,0.36743             ,0.41576             ,0.7023              ,0.85569             ,0.80148             ,0.08981             ,-0.00357            ,0.91808             ,0.85151             ,0.76279             ,0.86007             ,0.45343             ,0.56816             ,0.11469             ,0.51325             ,0.33816             ,0.55844             ,0.14189             ,0.12339             ,0.3305              ,0.63688             ,0.87719             ,0.68524             ,0.74326             
250                 ,0.52497             ,0.55991             ,0.094               ,0.09018             ,2018                ,1413                ,2219                ,562                 ,0.53113             ,0.08771             ,0.81695             ,0.43623             ,0.52322             ,0.23595             ,0.16088             ,0.18051             ,0.67626             ,0.62009             ,0.6995              ,0.38323             ,0.5546              ,0.53248             ,0.19503             ,0.03272             ,0.09289             ,0.08654             ,0.28126             ,0.85695             ,0.90879             ,0.10918             ,0.71821             ,0.03499             ,0.35683             ,0.78847             ,-0.17224            ,-0.00531            ,0.41015             ,0.39934             ,0.3201              ,0.34269             ,0.54069             ,0.15566             ,0.23382             ,0.2073              ,-0.04722            ,-0.00617            ,-0.06304            ,0.10652             ,0.58606             ,0.22802             ,0.36348             ,0.36334             ,0.71559             ,0.16406             ,0.42391             ,0.50291             ,0.35432             ,0.41642             ,0.66939             ,0.87488             ,0.75524             ,0.07032             ,-0.00203            ,0.91324             ,0.82561             ,0.76335             ,0.85357             ,0.45416             ,0.54807             ,0.12268             ,0.48236             ,0.34649             ,0.55281             ,0.14241             ,0.12129             ,0.32975             ,0.62855             ,0.87219             ,0.67087             ,0.71832             
300                 ,0.60127             ,0.62943             ,0.08612             ,0.08275             ,2017                ,1353                ,2260                ,538                 ,0.51107             ,0.08484             ,0.88763             ,0.41024             ,0.47914             ,0.21086             ,0.13194             ,0.17809             ,0.65768             ,0.60535             ,0.65947             ,0.35586             ,0.51946             ,0.49091             ,0.1601              ,0.02412             ,0.09421             ,0.07032             ,0.2642              ,0.82516             ,0.89436             ,0.10249             ,0.68858             ,0.01742             ,0.33352             ,0.75688             ,-0.21302            ,-0.02043            ,0.34235             ,0.3642              ,0.28357             ,0.33731             ,0.50362             ,0.16734             ,0.20571             ,0.17906             ,-0.04244            ,-0.00594            ,-0.04292            ,0.08044             ,0.55818             ,0.1963              ,0.33154             ,0.34996             ,0.69294             ,0.16303             ,0.39386             ,0.47242             ,0.34635             ,0.41398             ,0.64147             ,0.88491             ,0.72583             ,0.05838             ,0.00137             ,0.90623             ,0.80483             ,0.76186             ,0.84377             ,0.45485             ,0.5312              ,0.12756             ,0.46326             ,0.3501              ,0.54802             ,0.15045             ,0.1207              ,0.33209             ,0.62249             ,0.86779             ,0.64939             ,0.68783             
350                 ,0.65416             ,0.67403             ,0.0802              ,0.07761             ,2015                ,1306                ,2328                ,521                 ,0.48598             ,0.08365             ,0.93449             ,0.37842             ,0.43931             ,0.18817             ,0.10683             ,0.17699             ,0.64107             ,0.5931              ,0.61821             ,0.33265             ,0.48293             ,0.45076             ,0.1301              ,0.01771             ,0.09272             ,0.05693             ,0.24718             ,0.79373             ,0.88053             ,0.09187             ,0.66263             ,-0.00374            ,0.3127              ,0.7246              ,-0.20318            ,-0.00945            ,0.27234             ,0.3301              ,0.24966             ,0.33278             ,0.48835             ,0.19389             ,0.16039             ,0.15345             ,0.01492             ,-0.00568            ,0.00345             ,0.06455             ,0.52871             ,0.16722             ,0.30152             ,0.33647             ,0.67203             ,0.15803             ,0.36351             ,0.43681             ,0.34126             ,0.41107             ,0.61164             ,0.88487             ,0.71118             ,0.05413             ,0.00581             ,0.89715             ,0.78887             ,0.75818             ,0.83121             ,0.45806             ,0.51863             ,0.13025             ,0.45447             ,0.34659             ,0.54524             ,0.16109             ,0.1206              ,0.33809             ,0.61738             ,0.8637              ,0.62307             ,0.65007             
400                 ,0.68193             ,0.69803             ,0.07692             ,0.0747              ,2014                ,1268                ,2331                ,509                 ,0.45896             ,0.0836              ,0.92802             ,0.35315             ,0.40464             ,0.16731             ,0.08556             ,0.17453             ,0.62582             ,0.57929             ,0.57506             ,0.31628             ,0.44456             ,0.41313             ,0.10972             ,0.01299             ,0.09079             ,0.04621             ,0.23045             ,0.76146             ,0.86381             ,0.08518             ,0.63588             ,-0.02008            ,0.27381             ,0.69211             ,-0.17299            ,0.01102             ,0.21169             ,0.29837             ,0.2183              ,0.32812             ,0.4771              ,0.21404             ,0.11591             ,0.12373             ,0.06948             ,-0.00553            ,0.03978             ,0.05229             ,0.50189             ,0.14051             ,0.27539             ,0.32226             ,0.64868             ,0.15241             ,0.3441              ,0.40356             ,0.33778             ,0.40754             ,0.5969              ,0.87387             ,0.70416             ,0.05787             ,0.01063             ,0.88663             ,0.77479             ,0.75278             ,0.81791             ,0.46176             ,0.5136              ,0.1309              ,0.45722             ,0.34151             ,0.54176             ,0.17227             ,0.12043             ,0.3442              ,0.61412             ,0.86042             ,0.5969              ,0.61686             
450                 ,0.69866             ,0.71358             ,0.07487             ,0.07275             ,2012                ,1237                ,2332                ,499                 ,0.43312             ,0.08383             ,0.89249             ,0.33647             ,0.37322             ,0.14776             ,0.06748             ,0.17137             ,0.61014             ,0.56468             ,0.5312              ,0.30519             ,0.40752             ,0.37794             ,0.09413             ,0.0092              ,0.08814             ,0.03701             ,0.21409             ,0.72862             ,0.8433              ,0.08454             ,0.60588             ,-0.03666            ,0.2276              ,0.65902             ,-0.14506            ,0.03239             ,0.16127             ,0.26894             ,0.1895              ,0.3239              ,0.46122             ,0.23025             ,0.07904             ,0.09323             ,0.11499             ,-0.00546            ,0.06882             ,0.04174             ,0.47561             ,0.11698             ,0.25273             ,0.30807             ,0.62226             ,0.14724             ,0.32571             ,0.37247             ,0.33365             ,0.40408             ,0.59358             ,0.85656             ,0.69634             ,0.06568             ,0.01354             ,0.87553             ,0.75989             ,0.74645             ,0.80477             ,0.46397             ,0.51217             ,0.13058             ,0.46449             ,0.33516             ,0.53658             ,0.17935             ,0.12099             ,0.34924             ,0.61169             ,0.85715             ,0.57147             ,0.58929             
500                 ,0.71133             ,0.72458             ,0.07328             ,0.07134             ,2010                ,1209                ,2332                ,489                 ,0.40744             ,0.08402             ,0.85463             ,0.32268             ,0.34348             ,0.12939             ,0.05247             ,0.16809             ,0.59349             ,0.54929             ,0.48867             ,0.29423             ,0.3723              ,0.3445              ,0.08028             ,0.00639             ,0.08561             ,0.02906             ,0.19795             ,0.69568             ,0.82051             ,0.08526             ,0.57544             ,-0.05155            ,0.18498             ,0.62642             ,-0.12656            ,0.04839             ,0.11732             ,0.24106             ,0.16324             ,0.31886             ,0.44331             ,0.24112             ,0.04677             ,0.06372             ,0.15054             ,-0.00541            ,0.09166             ,0.03115             ,0.45022             ,0.0968              ,0.23223             ,0.29328             ,0.59216             ,0.14324             ,0.30746             ,0.34575             ,0.32858             ,0.40007             ,0.59081             ,0.83922             ,0.68427             ,0.07336             ,0.01628             ,0.86422             ,0.74381             ,0.74007             ,0.79168             ,0.46504             ,0.50959             ,0.13                ,0.46756             ,0.32976             ,0.53073             ,0.18298             ,0.1217              ,0.35369             ,0.60791             ,0.85345             ,0.5483              ,0.56331             
