epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
3250                ,0.12853             ,0.15965             ,0.12732             ,0.12462             ,2474                ,3812                ,0.53073             
3300                ,0.12857             ,0.15969             ,0.12731             ,0.12461             ,2474                ,3812                ,0.53138             
3350                ,0.12861             ,0.15973             ,0.12731             ,0.12461             ,2474                ,3812                ,0.53204             
3400                ,0.12864             ,0.15977             ,0.12731             ,0.12461             ,2474                ,3812                ,0.53268             
3450                ,0.12868             ,0.15981             ,0.12731             ,0.12461             ,2474                ,3812                ,0.53331             
3500                ,0.12872             ,0.15985             ,0.1273              ,0.1246              ,2474                ,3812                ,0.53393             
3550                ,0.12876             ,0.15989             ,0.1273              ,0.1246              ,2474                ,3812                ,0.53455             
3600                ,0.12879             ,0.15993             ,0.1273              ,0.1246              ,2474                ,3812                ,0.53514             
3650                ,0.12883             ,0.15997             ,0.1273              ,0.12459             ,2474                ,3812                ,0.53573             
3700                ,0.12887             ,0.16                ,0.12729             ,0.12459             ,2474                ,3812                ,0.53629             
3750                ,0.12891             ,0.16005             ,0.12729             ,0.12459             ,2474                ,3812                ,0.53685             
3800                ,0.12895             ,0.16008             ,0.12729             ,0.12458             ,2474                ,3812                ,0.53738             
3850                ,0.12898             ,0.16012             ,0.12728             ,0.12458             ,2474                ,3812                ,0.53789             
3900                ,0.12902             ,0.16016             ,0.12728             ,0.12458             ,2474                ,3812                ,0.53838             
3950                ,0.12906             ,0.1602              ,0.12728             ,0.12458             ,2474                ,3812                ,0.53885             
4000                ,0.1291              ,0.16024             ,0.12728             ,0.12457             ,2474                ,3812                ,0.53929             
