epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.35432             ,0.38514             ,0.10959             ,0.10659             ,369                 ,606                 ,2509                ,2462                ,0.15494             ,0.47124             ,0.97507             
100                 ,0.43278             ,0.45531             ,0.10272             ,0.10033             ,387                 ,611                 ,2463                ,2419                ,0.1165              ,0.42946             ,0.95459             
150                 ,0.57386             ,0.5865              ,0.08903             ,0.08741             ,397                 ,652                 ,2439                ,2396                ,0.05858             ,0.3918              ,0.89025             
200                 ,0.63168             ,0.63702             ,0.08277             ,0.0819              ,406                 ,691                 ,2419                ,2390                ,0.01921             ,0.33968             ,0.83586             
250                 ,0.67674             ,0.6724              ,0.07754             ,0.07781             ,406                 ,726                 ,2403                ,2390                ,-0.00659            ,0.29797             ,0.79179             
300                 ,0.6994              ,0.69037             ,0.07477             ,0.07564             ,403                 ,757                 ,2392                ,2390                ,-0.02086            ,0.25878             ,0.77255             
350                 ,0.71063             ,0.70011             ,0.07336             ,0.07444             ,402                 ,784                 ,2379                ,2388                ,-0.02845            ,0.23781             ,0.75915             
400                 ,0.71934             ,0.70851             ,0.07225             ,0.07339             ,399                 ,810                 ,2365                ,2383                ,-0.03366            ,0.22489             ,0.75487             
450                 ,0.72659             ,0.7157              ,0.07131             ,0.07248             ,396                 ,836                 ,2352                ,2378                ,-0.03836            ,0.21287             ,0.75727             
500                 ,0.73163             ,0.72204             ,0.07065             ,0.07167             ,393                 ,860                 ,2341                ,2373                ,-0.042              ,0.20443             ,0.76185             
550                 ,0.7353              ,0.72771             ,0.07017             ,0.07094             ,393                 ,882                 ,2337                ,2367                ,-0.04587            ,0.19682             ,0.76525             
600                 ,0.73857             ,0.73183             ,0.06973             ,0.0704              ,392                 ,903                 ,2338                ,2359                ,-0.05072            ,0.1884              ,0.76607             
650                 ,0.74129             ,0.73485             ,0.06937             ,0.07                ,390                 ,924                 ,2338                ,2351                ,-0.0558             ,0.18176             ,0.7631              
700                 ,0.74336             ,0.73708             ,0.06909             ,0.0697              ,390                 ,943                 ,2338                ,2345                ,-0.06134            ,0.1761              ,0.75738             
750                 ,0.74492             ,0.73884             ,0.06888             ,0.06947             ,389                 ,958                 ,2338                ,2341                ,-0.06683            ,0.17055             ,0.74996             
800                 ,0.74576             ,0.73963             ,0.06877             ,0.06937             ,389                 ,970                 ,2338                ,2342                ,-0.07165            ,0.16603             ,0.74074             
850                 ,0.74625             ,0.73983             ,0.0687              ,0.06934             ,388                 ,980                 ,2338                ,2342                ,-0.07573            ,0.16246             ,0.73042             
900                 ,0.7465              ,0.74011             ,0.06867             ,0.0693              ,388                 ,986                 ,2338                ,2341                ,-0.07908            ,0.15966             ,0.72173             
950                 ,0.74671             ,0.74041             ,0.06864             ,0.06926             ,388                 ,992                 ,2338                ,2335                ,-0.08208            ,0.15738             ,0.71401             
1000                ,0.74685             ,0.74051             ,0.06862             ,0.06925             ,388                 ,992                 ,2338                ,2324                ,-0.08493            ,0.15398             ,0.70618             
1050                ,0.74696             ,0.74074             ,0.06861             ,0.06922             ,388                 ,992                 ,2338                ,2315                ,-0.08765            ,0.1504              ,0.69779             
1100                ,0.7472              ,0.74075             ,0.06857             ,0.06922             ,388                 ,992                 ,2338                ,2310                ,-0.0902             ,0.14659             ,0.6898              
1150                ,0.74731             ,0.74089             ,0.06856             ,0.0692              ,388                 ,992                 ,2338                ,2310                ,-0.09259            ,0.14281             ,0.6815              
1200                ,0.74747             ,0.74089             ,0.06854             ,0.0692              ,388                 ,992                 ,2338                ,2310                ,-0.09489            ,0.13864             ,0.67299             
1250                ,0.7476              ,0.74094             ,0.06852             ,0.06919             ,388                 ,992                 ,2338                ,2310                ,-0.09693            ,0.13436             ,0.66461             
1300                ,0.74768             ,0.74096             ,0.06851             ,0.06919             ,388                 ,992                 ,2338                ,2310                ,-0.09887            ,0.1297              ,0.65652             
1350                ,0.74769             ,0.74065             ,0.06851             ,0.06923             ,388                 ,992                 ,2338                ,2310                ,-0.10067            ,0.1249              ,0.64814             
1400                ,0.74797             ,0.74095             ,0.06847             ,0.06919             ,388                 ,992                 ,2338                ,2310                ,-0.10231            ,0.11977             ,0.63981             
1450                ,0.74805             ,0.74107             ,0.06846             ,0.06917             ,388                 ,992                 ,2338                ,2310                ,-0.10378            ,0.11435             ,0.63195             
1500                ,0.74822             ,0.74109             ,0.06843             ,0.06917             ,388                 ,992                 ,2338                ,2310                ,-0.10522            ,0.10885             ,0.62366             
1550                ,0.74834             ,0.7412              ,0.06842             ,0.06916             ,388                 ,992                 ,2338                ,2310                ,-0.10621            ,0.10271             ,0.61508             
1600                ,0.74847             ,0.74126             ,0.0684              ,0.06915             ,388                 ,992                 ,2338                ,2310                ,-0.10698            ,0.09591             ,0.60682             
1650                ,0.74857             ,0.74136             ,0.06839             ,0.06913             ,388                 ,992                 ,2338                ,2310                ,-0.10765            ,0.08905             ,0.59857             
1700                ,0.74856             ,0.74134             ,0.06839             ,0.06914             ,388                 ,992                 ,2338                ,2310                ,-0.10814            ,0.08162             ,0.59057             
1750                ,0.7489              ,0.74141             ,0.06834             ,0.06913             ,388                 ,992                 ,2338                ,2310                ,-0.10855            ,0.07372             ,0.58267             
1800                ,0.74907             ,0.74153             ,0.06832             ,0.06911             ,388                 ,992                 ,2338                ,2310                ,-0.10901            ,0.06563             ,0.57488             
