epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.19591             ,0.19484             ,3683                ,1509                ,3420                ,0.17612             ,0.9533              
100                 ,0                   ,0                   ,0.14306             ,0.14198             ,3675                ,1540                ,3420                ,0.18522             ,0.95323             
150                 ,0                   ,0.00502             ,0.13656             ,0.1356              ,3675                ,1550                ,3420                ,0.19162             ,0.95032             
200                 ,0.0044              ,0.01121             ,0.13608             ,0.13518             ,3678                ,1553                ,3420                ,0.19324             ,0.94915             
250                 ,0.00757             ,0.0141              ,0.13587             ,0.13498             ,3684                ,1554                ,3420                ,0.19335             ,0.94859             
300                 ,0.01103             ,0.01738             ,0.13563             ,0.13475             ,3691                ,1555                ,3420                ,0.19317             ,0.94812             
350                 ,0.01479             ,0.02104             ,0.13537             ,0.1345              ,3699                ,1556                ,3420                ,0.19289             ,0.94764             
400                 ,0.01874             ,0.02494             ,0.1351              ,0.13423             ,3708                ,1556                ,3420                ,0.19249             ,0.9472              
450                 ,0.02268             ,0.02891             ,0.13483             ,0.13396             ,3718                ,1557                ,3420                ,0.19187             ,0.94685             
500                 ,0.02627             ,0.03262             ,0.13458             ,0.1337              ,3726                ,1558                ,3423                ,0.1909              ,0.94669             
550                 ,0.02938             ,0.03593             ,0.13437             ,0.13348             ,3734                ,1559                ,3425                ,0.1895              ,0.94675             
600                 ,0.03252             ,0.03937             ,0.13415             ,0.13324             ,3740                ,1559                ,3431                ,0.18757             ,0.94709             
650                 ,0.03615             ,0.04317             ,0.1339              ,0.13297             ,3745                ,1559                ,3440                ,0.18547             ,0.94742             
700                 ,0.03993             ,0.04692             ,0.13363             ,0.13271             ,3749                ,1559                ,3449                ,0.18329             ,0.94767             
750                 ,0.04413             ,0.05081             ,0.13334             ,0.13244             ,3752                ,1559                ,3454                ,0.18061             ,0.94805             
800                 ,0.05086             ,0.05638             ,0.13287             ,0.13205             ,3755                ,1559                ,3454                ,0.1773              ,0.94839             
850                 ,0.05958             ,0.06353             ,0.13226             ,0.13155             ,3757                ,1559                ,3454                ,0.17289             ,0.9486              
900                 ,0.0669              ,0.07008             ,0.13174             ,0.13109             ,3759                ,1559                ,3454                ,0.16793             ,0.94838             
950                 ,0.07249             ,0.07547             ,0.13135             ,0.13071             ,3760                ,1560                ,3454                ,0.16282             ,0.94773             
1000                ,0.07712             ,0.08038             ,0.13102             ,0.13036             ,3762                ,1560                ,3454                ,0.15736             ,0.94698             
1050                ,0.0814              ,0.08514             ,0.13072             ,0.13002             ,3763                ,1560                ,3454                ,0.15172             ,0.94608             
1100                ,0.08553             ,0.08984             ,0.13042             ,0.12969             ,3765                ,1560                ,3454                ,0.14598             ,0.94499             
1150                ,0.08956             ,0.09425             ,0.13013             ,0.12937             ,3766                ,1560                ,3454                ,0.13964             ,0.94399             
1200                ,0.09357             ,0.09866             ,0.12985             ,0.12906             ,3768                ,1560                ,3454                ,0.13335             ,0.94264             
1250                ,0.09753             ,0.103               ,0.12956             ,0.12875             ,3769                ,1560                ,3454                ,0.12679             ,0.94115             
1300                ,0.10147             ,0.10742             ,0.12928             ,0.12843             ,3771                ,1560                ,3454                ,0.12025             ,0.93932             
1350                ,0.10535             ,0.11187             ,0.129               ,0.12811             ,3773                ,1560                ,3454                ,0.11374             ,0.93718             
1400                ,0.10925             ,0.1164              ,0.12872             ,0.12778             ,3776                ,1560                ,3454                ,0.10743             ,0.93466             
1450                ,0.1133              ,0.12113             ,0.12842             ,0.12744             ,3781                ,1560                ,3454                ,0.10109             ,0.93188             
1500                ,0.11853             ,0.1272              ,0.12805             ,0.127               ,3789                ,1564                ,3454                ,0.09476             ,0.92876             
1550                ,0.12691             ,0.13703             ,0.12744             ,0.12628             ,3803                ,1566                ,3454                ,0.08921             ,0.92494             
1600                ,0.13318             ,0.14462             ,0.12698             ,0.12573             ,3813                ,1569                ,3454                ,0.08224             ,0.92183             
1650                ,0.13727             ,0.14953             ,0.12668             ,0.12536             ,3816                ,1570                ,3454                ,0.07403             ,0.91915             
1700                ,0.14087             ,0.15406             ,0.12641             ,0.12503             ,3816                ,1571                ,3454                ,0.0662              ,0.91584             
