epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0.02613             ,0.02868             ,0.13459             ,0.13398             ,2709                ,3395                ,6                   ,0.45689             ,0.43404             
100                 ,0.03635             ,0.03907             ,0.13388             ,0.13326             ,2711                ,3390                ,6                   ,0.45661             ,0.43521             
150                 ,0.04567             ,0.04918             ,0.13323             ,0.13255             ,2713                ,3383                ,6                   ,0.45525             ,0.43587             
200                 ,0.05594             ,0.0604              ,0.13251             ,0.13177             ,2717                ,3375                ,6                   ,0.45131             ,0.43692             
250                 ,0.06682             ,0.07225             ,0.13175             ,0.13094             ,2722                ,3366                ,7                   ,0.44429             ,0.43812             
300                 ,0.07865             ,0.08514             ,0.13091             ,0.13002             ,2746                ,3355                ,7                   ,0.43388             ,0.43936             
350                 ,0.09068             ,0.09827             ,0.13005             ,0.12909             ,2771                ,3341                ,7                   ,0.41987             ,0.44047             
400                 ,0.1025              ,0.11121             ,0.1292              ,0.12816             ,2785                ,3325                ,8                   ,0.40247             ,0.44142             
450                 ,0.11423             ,0.12403             ,0.12836             ,0.12723             ,2800                ,3305                ,8                   ,0.38182             ,0.44199             
500                 ,0.12592             ,0.13682             ,0.12751             ,0.1263              ,2821                ,3280                ,9                   ,0.35827             ,0.44185             
550                 ,0.1376              ,0.14966             ,0.12665             ,0.12536             ,2849                ,3251                ,9                   ,0.33225             ,0.44057             
600                 ,0.14945             ,0.16287             ,0.12578             ,0.12438             ,2893                ,3223                ,9                   ,0.30397             ,0.43775             
650                 ,0.16493             ,0.1799              ,0.12463             ,0.12311             ,2965                ,3206                ,10                  ,0.27403             ,0.43322             
700                 ,0.17725             ,0.19262             ,0.12371             ,0.12215             ,2986                ,3198                ,11                  ,0.24285             ,0.42871             
750                 ,0.18588             ,0.20277             ,0.12306             ,0.12138             ,2989                ,3177                ,11                  ,0.21312             ,0.42245             
800                 ,0.19235             ,0.21047             ,0.12257             ,0.12079             ,2990                ,3161                ,12                  ,0.18196             ,0.41506             
850                 ,0.19756             ,0.21673             ,0.12217             ,0.12031             ,2990                ,3161                ,12                  ,0.15344             ,0.40576             
900                 ,0.20208             ,0.2221              ,0.12183             ,0.1199              ,2990                ,3161                ,13                  ,0.1267              ,0.39484             
950                 ,0.20619             ,0.22689             ,0.12151             ,0.11953             ,2990                ,3161                ,14                  ,0.1012              ,0.38236             
1000                ,0.21019             ,0.23147             ,0.12121             ,0.11917             ,2990                ,3166                ,14                  ,0.0766              ,0.36806             
1050                ,0.21439             ,0.23613             ,0.12088             ,0.11881             ,2990                ,3171                ,15                  ,0.05169             ,0.35186             
1100                ,0.21914             ,0.24125             ,0.12052             ,0.11841             ,2991                ,3176                ,16                  ,0.02527             ,0.33368             
1150                ,0.22457             ,0.24706             ,0.1201              ,0.11796             ,2991                ,3182                ,17                  ,-0.00359            ,0.31328             
1200                ,0.23084             ,0.25375             ,0.11961             ,0.11743             ,2991                ,3189                ,18                  ,-0.03604            ,0.29068             
1250                ,0.23814             ,0.26149             ,0.11904             ,0.11682             ,2991                ,3189                ,19                  ,-0.07259            ,0.26608             
1300                ,0.24659             ,0.27038             ,0.11838             ,0.11612             ,2991                ,3190                ,20                  ,-0.11383            ,0.23985             
1350                ,0.25617             ,0.28045             ,0.11762             ,0.11531             ,2991                ,3192                ,22                  ,-0.16051            ,0.21329             
1400                ,0.26652             ,0.29134             ,0.1168              ,0.11444             ,2991                ,3192                ,23                  ,-0.21175            ,0.18823             
1450                ,0.27705             ,0.30239             ,0.11596             ,0.11354             ,2990                ,3192                ,25                  ,-0.26575            ,0.16657             
1500                ,0.28714             ,0.31291             ,0.11515             ,0.11268             ,2990                ,3192                ,27                  ,-0.31992            ,0.14917             
1550                ,0.29671             ,0.32271             ,0.11437             ,0.11188             ,2990                ,3192                ,29                  ,-0.37209            ,0.13557             
1600                ,0.30517             ,0.33123             ,0.11368             ,0.11117             ,2989                ,3192                ,31                  ,-0.4207             ,0.1249              
