epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.51546             ,0.5438              ,0.09493             ,0.09182             ,16                  ,1261                ,476                 ,2560                ,0.4578              ,0.76927             ,0.79384             
100                 ,0.63077             ,0.65559             ,0.08287             ,0.07978             ,17                  ,1206                ,457                 ,2621                ,0.42064             ,0.74844             ,0.75992             
150                 ,0.66378             ,0.68264             ,0.07908             ,0.07658             ,18                  ,1161                ,444                 ,2655                ,0.39968             ,0.73235             ,0.73537             
200                 ,0.68613             ,0.69931             ,0.07641             ,0.07454             ,19                  ,1122                ,433                 ,2656                ,0.38513             ,0.71851             ,0.71436             
250                 ,0.70738             ,0.71599             ,0.07378             ,0.07245             ,19                  ,1093                ,422                 ,2656                ,0.3721              ,0.69982             ,0.69607             
300                 ,0.72692             ,0.72952             ,0.07127             ,0.0707              ,20                  ,1071                ,412                 ,2656                ,0.36119             ,0.67837             ,0.68052             
350                 ,0.73681             ,0.73692             ,0.06997             ,0.06973             ,21                  ,1051                ,402                 ,2656                ,0.35774             ,0.662               ,0.67337             
400                 ,0.74345             ,0.74157             ,0.06908             ,0.06911             ,22                  ,1035                ,395                 ,2656                ,0.35567             ,0.64623             ,0.66846             
450                 ,0.74791             ,0.74587             ,0.06848             ,0.06853             ,23                  ,1024                ,391                 ,2656                ,0.35434             ,0.6293              ,0.66479             
500                 ,0.75084             ,0.74863             ,0.06808             ,0.06816             ,24                  ,1016                ,387                 ,2656                ,0.35429             ,0.61401             ,0.66283             
550                 ,0.7528              ,0.75054             ,0.06781             ,0.0679              ,25                  ,1009                ,384                 ,2656                ,0.35438             ,0.6007              ,0.66197             
600                 ,0.75422             ,0.75226             ,0.06761             ,0.06766             ,26                  ,1002                ,384                 ,2656                ,0.35464             ,0.58878             ,0.66243             
650                 ,0.75526             ,0.75306             ,0.06747             ,0.06755             ,27                  ,997                 ,384                 ,2656                ,0.35501             ,0.57709             ,0.66357             
700                 ,0.7562              ,0.75295             ,0.06734             ,0.06757             ,28                  ,994                 ,384                 ,2656                ,0.35464             ,0.56573             ,0.66399             
750                 ,0.75697             ,0.75388             ,0.06723             ,0.06744             ,29                  ,994                 ,384                 ,2656                ,0.35578             ,0.55641             ,0.6662              
800                 ,0.75765             ,0.75468             ,0.06714             ,0.06733             ,31                  ,994                 ,382                 ,2656                ,0.35677             ,0.54688             ,0.66821             
850                 ,0.75821             ,0.75536             ,0.06706             ,0.06724             ,32                  ,994                 ,382                 ,2656                ,0.3573              ,0.53677             ,0.66937             
900                 ,0.75867             ,0.75594             ,0.067               ,0.06716             ,33                  ,994                 ,382                 ,2656                ,0.35724             ,0.52589             ,0.66966             
950                 ,0.75922             ,0.7564              ,0.06692             ,0.06709             ,35                  ,994                 ,382                 ,2656                ,0.35675             ,0.51413             ,0.66947             
1000                ,0.75978             ,0.75699             ,0.06685             ,0.06701             ,36                  ,994                 ,382                 ,2656                ,0.35602             ,0.5017              ,0.66901             
1050                ,0.76083             ,0.75824             ,0.0667              ,0.06684             ,38                  ,994                 ,382                 ,2656                ,0.35423             ,0.4866              ,0.66746             
1100                ,0.76177             ,0.75945             ,0.06657             ,0.06667             ,39                  ,994                 ,382                 ,2656                ,0.35142             ,0.46927             ,0.66485             
1150                ,0.7624              ,0.76026             ,0.06648             ,0.06656             ,41                  ,994                 ,382                 ,2656                ,0.34895             ,0.45275             ,0.66325             
1200                ,0.76286             ,0.76085             ,0.06642             ,0.06648             ,43                  ,994                 ,382                 ,2656                ,0.34627             ,0.43703             ,0.66136             
1250                ,0.76323             ,0.76137             ,0.06636             ,0.06641             ,44                  ,994                 ,382                 ,2656                ,0.34318             ,0.42175             ,0.65869             
1300                ,0.76358             ,0.76182             ,0.06631             ,0.06634             ,46                  ,994                 ,382                 ,2656                ,0.33947             ,0.40599             ,0.65546             
1350                ,0.76393             ,0.76241             ,0.06626             ,0.06626             ,48                  ,994                 ,382                 ,2656                ,0.33531             ,0.39047             ,0.65181             
1400                ,0.76428             ,0.7628              ,0.06622             ,0.06621             ,51                  ,994                 ,382                 ,2656                ,0.33079             ,0.3749              ,0.64835             
1450                ,0.76462             ,0.76328             ,0.06617             ,0.06614             ,53                  ,994                 ,382                 ,2656                ,0.32561             ,0.35902             ,0.6448              
1500                ,0.76494             ,0.76368             ,0.06612             ,0.06608             ,55                  ,994                 ,382                 ,2656                ,0.31986             ,0.34334             ,0.641               
1550                ,0.76528             ,0.76414             ,0.06607             ,0.06602             ,57                  ,994                 ,382                 ,2656                ,0.31355             ,0.32794             ,0.63732             
1600                ,0.7656              ,0.76447             ,0.06603             ,0.06597             ,60                  ,994                 ,382                 ,2656                ,0.3063              ,0.31189             ,0.63343             
1650                ,0.76599             ,0.76473             ,0.06597             ,0.06594             ,62                  ,994                 ,382                 ,2656                ,0.29773             ,0.29516             ,0.62901             
1700                ,0.76636             ,0.76515             ,0.06592             ,0.06588             ,65                  ,994                 ,382                 ,2656                ,0.28801             ,0.27863             ,0.62477             
