epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0.09184             ,0.09765             ,0.12997             ,0.12913             ,274                 ,3624                ,0.72289             
100                 ,0.15526             ,0.16253             ,0.12535             ,0.1244              ,278                 ,3618                ,0.72959             
150                 ,0.20553             ,0.21631             ,0.12156             ,0.12034             ,286                 ,3616                ,0.74001             
200                 ,0.24716             ,0.26118             ,0.11833             ,0.11685             ,298                 ,3616                ,0.74901             
250                 ,0.28032             ,0.29733             ,0.1157              ,0.11395             ,313                 ,3616                ,0.75579             
300                 ,0.30557             ,0.32529             ,0.11365             ,0.11166             ,330                 ,3616                ,0.75998             
350                 ,0.32285             ,0.34467             ,0.11223             ,0.11005             ,347                 ,3616                ,0.76139             
400                 ,0.33257             ,0.35594             ,0.11142             ,0.1091              ,361                 ,3616                ,0.7602              
450                 ,0.33746             ,0.36199             ,0.11101             ,0.10858             ,371                 ,3616                ,0.75668             
500                 ,0.34033             ,0.36573             ,0.11077             ,0.10826             ,378                 ,3616                ,0.75115             
550                 ,0.34221             ,0.36822             ,0.11061             ,0.10805             ,383                 ,3616                ,0.74366             
600                 ,0.34368             ,0.37003             ,0.11049             ,0.1079              ,386                 ,3616                ,0.73414             
650                 ,0.34517             ,0.37171             ,0.11036             ,0.10775             ,387                 ,3617                ,0.72255             
700                 ,0.34684             ,0.37354             ,0.11022             ,0.1076              ,387                 ,3617                ,0.70859             
750                 ,0.34886             ,0.3756              ,0.11005             ,0.10742             ,387                 ,3617                ,0.692               
800                 ,0.35149             ,0.37805             ,0.10983             ,0.10721             ,387                 ,3617                ,0.67242             
850                 ,0.35515             ,0.38166             ,0.10952             ,0.1069              ,387                 ,3617                ,0.64947             
900                 ,0.36327             ,0.38887             ,0.10883             ,0.10627             ,386                 ,3616                ,0.62239             
950                 ,0.41553             ,0.43733             ,0.10427             ,0.10197             ,385                 ,3617                ,0.58347             
