epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.16651             ,0.17869             ,0.12451             ,0.1232              ,4076                ,1228                ,1454                ,83                  ,0.57839             ,0.79552             ,0.69262             
100                 ,0.24626             ,0.26934             ,0.11841             ,0.1162              ,4071                ,1212                ,1419                ,88                  ,0.56356             ,0.745               ,0.67186             
150                 ,0.26988             ,0.29589             ,0.11654             ,0.11407             ,4065                ,1201                ,1394                ,93                  ,0.54573             ,0.69796             ,0.64709             
200                 ,0.38231             ,0.40546             ,0.10719             ,0.10482             ,4059                ,1185                ,1385                ,99                  ,0.51585             ,0.62843             ,0.59471             
250                 ,0.52157             ,0.54014             ,0.09434             ,0.09218             ,4052                ,1167                ,1370                ,104                 ,0.47463             ,0.53781             ,0.52522             
300                 ,0.59432             ,0.59975             ,0.08687             ,0.086               ,4045                ,1137                ,1353                ,109                 ,0.44204             ,0.46675             ,0.46956             
350                 ,0.61164             ,0.60866             ,0.08499             ,0.08504             ,4036                ,1118                ,1338                ,112                 ,0.42512             ,0.43156             ,0.44555             
400                 ,0.61696             ,0.61294             ,0.08441             ,0.08457             ,4026                ,1116                ,1324                ,115                 ,0.41511             ,0.41584             ,0.43861             
450                 ,0.6202              ,0.61724             ,0.08405             ,0.0841              ,4016                ,1116                ,1311                ,117                 ,0.40754             ,0.40613             ,0.43654             
500                 ,0.62288             ,0.62044             ,0.08375             ,0.08375             ,4006                ,1116                ,1300                ,119                 ,0.40094             ,0.39675             ,0.43499             
550                 ,0.62575             ,0.62337             ,0.08343             ,0.08343             ,3995                ,1113                ,1289                ,121                 ,0.39492             ,0.38854             ,0.43308             
600                 ,0.62807             ,0.62602             ,0.08318             ,0.08313             ,3984                ,1111                ,1278                ,123                 ,0.38927             ,0.3809              ,0.4324              
650                 ,0.62985             ,0.62822             ,0.08298             ,0.08289             ,3972                ,1111                ,1269                ,124                 ,0.38335             ,0.37375             ,0.43262             
700                 ,0.63218             ,0.63106             ,0.08271             ,0.08257             ,3956                ,1112                ,1260                ,126                 ,0.37724             ,0.36566             ,0.43296             
750                 ,0.63503             ,0.63491             ,0.08239             ,0.08214             ,3937                ,1112                ,1253                ,127                 ,0.37093             ,0.35594             ,0.43413             
800                 ,0.63688             ,0.63836             ,0.08218             ,0.08175             ,3922                ,1114                ,1246                ,129                 ,0.36442             ,0.3447              ,0.43495             
850                 ,0.64009             ,0.64248             ,0.08182             ,0.08128             ,3900                ,1114                ,1240                ,130                 ,0.35777             ,0.33471             ,0.43638             
900                 ,0.64168             ,0.64527             ,0.08164             ,0.08096             ,3883                ,1114                ,1234                ,131                 ,0.35084             ,0.3257              ,0.43756             
950                 ,0.64456             ,0.64876             ,0.08131             ,0.08056             ,3861                ,1114                ,1228                ,133                 ,0.34395             ,0.31616             ,0.4383              
1000                ,0.65557             ,0.6603              ,0.08004             ,0.07923             ,3821                ,1115                ,1222                ,133                 ,0.33715             ,0.31334             ,0.44374             
1050                ,0.65807             ,0.66533             ,0.07975             ,0.07864             ,3805                ,1128                ,1217                ,133                 ,0.32961             ,0.30999             ,0.45062             
1100                ,0.65885             ,0.66661             ,0.07966             ,0.07849             ,3802                ,1129                ,1217                ,133                 ,0.32189             ,0.29985             ,0.45133             
1150                ,0.65935             ,0.66741             ,0.0796              ,0.0784              ,3801                ,1129                ,1217                ,133                 ,0.31402             ,0.28856             ,0.44973             
1200                ,0.65976             ,0.66781             ,0.07955             ,0.07835             ,3800                ,1129                ,1217                ,133                 ,0.30612             ,0.27719             ,0.44796             
1250                ,0.66016             ,0.66799             ,0.07951             ,0.07833             ,3800                ,1128                ,1217                ,133                 ,0.29827             ,0.26588             ,0.44667             
1300                ,0.66058             ,0.66847             ,0.07946             ,0.07827             ,3800                ,1126                ,1217                ,133                 ,0.29022             ,0.25441             ,0.445               
1350                ,0.66103             ,0.66848             ,0.0794              ,0.07827             ,3800                ,1126                ,1217                ,134                 ,0.28201             ,0.24223             ,0.44245             
1400                ,0.66126             ,0.66863             ,0.07938             ,0.07825             ,3800                ,1126                ,1217                ,134                 ,0.27374             ,0.23                ,0.43978             
1450                ,0.66175             ,0.66863             ,0.07932             ,0.07825             ,3800                ,1126                ,1217                ,133                 ,0.26554             ,0.21797             ,0.43719             
1500                ,0.66202             ,0.6685              ,0.07929             ,0.07827             ,3800                ,1126                ,1217                ,133                 ,0.25725             ,0.20632             ,0.43464             
1550                ,0.66235             ,0.66875             ,0.07925             ,0.07824             ,3800                ,1126                ,1217                ,133                 ,0.24905             ,0.19551             ,0.43245             
1600                ,0.6626              ,0.66873             ,0.07922             ,0.07824             ,3800                ,1125                ,1217                ,133                 ,0.24084             ,0.1847              ,0.43009             
1650                ,0.66289             ,0.66894             ,0.07919             ,0.07822             ,3800                ,1125                ,1217                ,133                 ,0.2327              ,0.1742              ,0.42793             
1700                ,0.66314             ,0.66895             ,0.07916             ,0.07822             ,3800                ,1125                ,1217                ,133                 ,0.22464             ,0.16387             ,0.42556             
1750                ,0.66338             ,0.66918             ,0.07913             ,0.07819             ,3800                ,1125                ,1217                ,133                 ,0.2166              ,0.15396             ,0.42289             
1800                ,0.66359             ,0.66931             ,0.0791              ,0.07817             ,3800                ,1125                ,1217                ,133                 ,0.20859             ,0.14421             ,0.42046             
1850                ,0.66384             ,0.66949             ,0.07907             ,0.07815             ,3800                ,1125                ,1217                ,133                 ,0.20068             ,0.13479             ,0.41798             
1900                ,0.66397             ,0.66954             ,0.07906             ,0.07815             ,3800                ,1125                ,1217                ,133                 ,0.19291             ,0.12575             ,0.41551             
1950                ,0.66418             ,0.66964             ,0.07903             ,0.07813             ,3800                ,1125                ,1217                ,133                 ,0.18527             ,0.11727             ,0.4131              
2000                ,0.66442             ,0.66964             ,0.07901             ,0.07813             ,3800                ,1125                ,1217                ,133                 ,0.17777             ,0.10948             ,0.41122             
2050                ,0.66453             ,0.66976             ,0.07899             ,0.07812             ,3800                ,1125                ,1217                ,133                 ,0.17043             ,0.10198             ,0.40944             
2100                ,0.66466             ,0.66982             ,0.07898             ,0.07811             ,3800                ,1125                ,1217                ,133                 ,0.16326             ,0.09451             ,0.40722             
2150                ,0.66486             ,0.66972             ,0.07895             ,0.07812             ,3800                ,1125                ,1217                ,133                 ,0.15634             ,0.08764             ,0.40551             
2200                ,0.66495             ,0.66994             ,0.07894             ,0.0781              ,3800                ,1125                ,1217                ,133                 ,0.14956             ,0.08131             ,0.40379             
2250                ,0.66511             ,0.66985             ,0.07892             ,0.07811             ,3800                ,1125                ,1217                ,133                 ,0.14299             ,0.07572             ,0.40211             
2300                ,0.66521             ,0.66982             ,0.07891             ,0.07811             ,3800                ,1125                ,1217                ,133                 ,0.13669             ,0.07142             ,0.401               
2350                ,0.66531             ,0.66982             ,0.0789              ,0.07811             ,3800                ,1125                ,1217                ,133                 ,0.1305              ,0.06758             ,0.39951             
2400                ,0.66538             ,0.66975             ,0.07889             ,0.07812             ,3800                ,1125                ,1217                ,133                 ,0.12445             ,0.06448             ,0.39819             
2450                ,0.66547             ,0.66999             ,0.07888             ,0.07809             ,3800                ,1125                ,1217                ,133                 ,0.11854             ,0.0621              ,0.39738             
2500                ,0.66551             ,0.66975             ,0.07888             ,0.07812             ,3800                ,1125                ,1217                ,133                 ,0.11274             ,0.05977             ,0.39651             
2550                ,0.66558             ,0.66977             ,0.07887             ,0.07812             ,3800                ,1125                ,1217                ,133                 ,0.10705             ,0.05791             ,0.39566             
2600                ,0.66569             ,0.66988             ,0.07886             ,0.07811             ,3800                ,1125                ,1217                ,133                 ,0.10148             ,0.05624             ,0.39495             
2650                ,0.66577             ,0.67039             ,0.07885             ,0.07805             ,3800                ,1125                ,1217                ,133                 ,0.0959              ,0.05595             ,0.39332             
2700                ,0.66583             ,0.67032             ,0.07884             ,0.07805             ,3800                ,1125                ,1217                ,134                 ,0.09041             ,0.05425             ,0.39364             
2750                ,0.66581             ,0.67036             ,0.07884             ,0.07805             ,3800                ,1125                ,1217                ,135                 ,0.08502             ,0.05249             ,0.39313             
2800                ,0.66543             ,0.67064             ,0.07889             ,0.07802             ,3800                ,1125                ,1217                ,141                 ,0.07963             ,0.05304             ,0.39309             
2850                ,0.66524             ,0.67028             ,0.07891             ,0.07806             ,3800                ,1125                ,1217                ,148                 ,0.0743              ,0.05433             ,0.39377             
2900                ,0.66509             ,0.67044             ,0.07893             ,0.07804             ,3800                ,1125                ,1217                ,157                 ,0.06903             ,0.05459             ,0.39458             
2950                ,0.66645             ,0.67191             ,0.07877             ,0.07787             ,3799                ,1125                ,1217                ,174                 ,0.06385             ,0.05322             ,0.39487             
3000                ,0.6755              ,0.67932             ,0.07769             ,0.07698             ,3799                ,1113                ,1216                ,208                 ,0.05904             ,0.04871             ,0.39868             
3050                ,0.69061             ,0.69222             ,0.07586             ,0.07542             ,3799                ,1112                ,1186                ,248                 ,0.05453             ,0.04316             ,0.40645             
3100                ,0.7325              ,0.72224             ,0.07054             ,0.07164             ,3799                ,1112                ,1123                ,303                 ,0.0523              ,0.02822             ,0.43574             
3150                ,0.76959             ,0.75815             ,0.06547             ,0.06685             ,3800                ,1113                ,1100                ,356                 ,0.05256             ,0.03465             ,0.48117             
3200                ,0.77635             ,0.76613             ,0.0645              ,0.06574             ,3806                ,1113                ,1099                ,380                 ,0.05203             ,0.03918             ,0.50366             
3250                ,0.77764             ,0.7681              ,0.06431             ,0.06546             ,3806                ,1113                ,1099                ,391                 ,0.05085             ,0.04351             ,0.51093             
