epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0                   ,0                   ,0.13648             ,0.13607             ,1480                ,1578                ,3022                ,1422                ,0.70206             ,1.011               ,0.27372             
100                 ,0.00132             ,0.00151             ,0.13629             ,0.13584             ,1487                ,1578                ,3016                ,1426                ,0.6993              ,1.00162             ,0.27313             
150                 ,0.00179             ,0.0018              ,0.13626             ,0.13582             ,1494                ,1577                ,3015                ,1428                ,0.6966              ,0.9903              ,0.27329             
200                 ,0.00249             ,0.00224             ,0.13621             ,0.13579             ,1502                ,1577                ,3012                ,1428                ,0.69358             ,0.97725             ,0.27362             
250                 ,0.00382             ,0.00321             ,0.13612             ,0.13572             ,1514                ,1577                ,3007                ,1427                ,0.69012             ,0.96253             ,0.27408             
300                 ,0.00664             ,0.00545             ,0.13593             ,0.13557             ,1531                ,1576                ,3000                ,1427                ,0.68643             ,0.9465              ,0.275               
350                 ,0.00922             ,0.00749             ,0.13575             ,0.13543             ,1551                ,1576                ,2991                ,1427                ,0.68226             ,0.92907             ,0.27603             
400                 ,0.01097             ,0.00909             ,0.13563             ,0.13532             ,1582                ,1577                ,2983                ,1427                ,0.67774             ,0.91069             ,0.277               
450                 ,0.01189             ,0.00996             ,0.13557             ,0.13526             ,1616                ,1579                ,2978                ,1419                ,0.67302             ,0.89168             ,0.27798             
500                 ,0.01236             ,0.01046             ,0.13554             ,0.13523             ,1629                ,1585                ,2975                ,1405                ,0.66793             ,0.87187             ,0.27885             
550                 ,0.01264             ,0.01061             ,0.13552             ,0.13522             ,1630                ,1592                ,2973                ,1404                ,0.66267             ,0.85153             ,0.27978             
600                 ,0.01283             ,0.01067             ,0.13551             ,0.13521             ,1630                ,1601                ,2972                ,1404                ,0.6571              ,0.8306              ,0.28062             
650                 ,0.01303             ,0.01071             ,0.13549             ,0.13521             ,1629                ,1610                ,2971                ,1404                ,0.65134             ,0.80921             ,0.28153             
700                 ,0.01319             ,0.01077             ,0.13548             ,0.13521             ,1630                ,1620                ,2971                ,1404                ,0.64527             ,0.78735             ,0.28235             
750                 ,0.01334             ,0.01081             ,0.13547             ,0.1352              ,1629                ,1626                ,2970                ,1404                ,0.63893             ,0.76506             ,0.28319             
800                 ,0.01349             ,0.01087             ,0.13546             ,0.1352              ,1629                ,1627                ,2970                ,1405                ,0.63241             ,0.74247             ,0.28413             
850                 ,0.01362             ,0.01092             ,0.13545             ,0.1352              ,1630                ,1627                ,2970                ,1405                ,0.62555             ,0.71947             ,0.28496             
900                 ,0.01374             ,0.01096             ,0.13544             ,0.13519             ,1630                ,1627                ,2970                ,1405                ,0.61848             ,0.69628             ,0.28582             
950                 ,0.01387             ,0.01101             ,0.13543             ,0.13519             ,1630                ,1627                ,2968                ,1405                ,0.6112              ,0.67291             ,0.28671             
1000                ,0.01397             ,0.01103             ,0.13543             ,0.13519             ,1630                ,1627                ,2968                ,1405                ,0.60369             ,0.64943             ,0.28759             
1050                ,0.01405             ,0.01105             ,0.13542             ,0.13519             ,1630                ,1627                ,2968                ,1406                ,0.59587             ,0.62578             ,0.28836             
1100                ,0.01412             ,0.01104             ,0.13542             ,0.13519             ,1630                ,1627                ,2968                ,1408                ,0.58785             ,0.60212             ,0.28914             
1150                ,0.01418             ,0.01105             ,0.13541             ,0.13519             ,1630                ,1627                ,2968                ,1408                ,0.57962             ,0.57855             ,0.28986             
1200                ,0.01424             ,0.01108             ,0.13541             ,0.13518             ,1630                ,1627                ,2968                ,1409                ,0.57119             ,0.555               ,0.29061             
1250                ,0.01428             ,0.0111              ,0.13541             ,0.13518             ,1629                ,1627                ,2968                ,1414                ,0.56258             ,0.53152             ,0.29141             
1300                ,0.01435             ,0.01107             ,0.1354              ,0.13519             ,1630                ,1627                ,2968                ,1414                ,0.55384             ,0.50819             ,0.29224             
1350                ,0.0144              ,0.01111             ,0.1354              ,0.13518             ,1629                ,1627                ,2967                ,1418                ,0.54495             ,0.48506             ,0.29311             
1400                ,0.01448             ,0.01109             ,0.13539             ,0.13518             ,1629                ,1627                ,2966                ,1436                ,0.53597             ,0.46223             ,0.29399             
