features,samples,r2_train,r2_validation,r2_test,rmse_train,rmse_validation,rmse_test,csv_file,sis
4200,21782,0.57,0.57,0.52,0.09,0.09,0.10,results\1708002916589784.csv,GNDI2:1
4200,21782,0.50,0.51,0.46,0.10,0.10,0.10,results\1708002967677008.csv,GNDI2:1
4200,21782,0.32,0.33,0.37,0.11,0.11,0.11,results\170800301629871.csv,GNDI2:1
4200,21782,0.13,0.16,0.15,0.13,0.12,0.13,results\170800306479205.csv,GNDI2:1
4200,21782,0.55,0.56,0.51,0.09,0.09,0.10,results\1708003130495692.csv,GNDI2:1
4200,21782,0.55,0.56,0.51,0.09,0.09,0.10,results\1708003191019668.csv,GNDI2:1
4200,21782,0.35,0.40,0.41,0.11,0.11,0.11,results\1708003250953098.csv,GNDI2:1
4200,21782,0.39,0.48,0.40,0.11,0.10,0.11,results\170800330785269.csv,GNDI2:1
4200,21782,0.62,0.62,0.57,0.08,0.08,0.09,results\1708003357862002.csv,GNDI2:1
4200,21782,0.62,0.62,0.58,0.08,0.08,0.09,results\170800343035859.csv,GNDI2:1
4200,21782,0.76,0.77,0.76,0.07,0.07,0.07,results\1708003482846358.csv,GNDI3:1
4200,21782,0.58,0.58,0.52,0.09,0.09,0.10,results\1708003550994305.csv,GNDI3:1
4200,21782,0.69,0.72,0.70,0.08,0.07,0.08,results\1708003620266898.csv,GNDI3:1
4200,21782,0.54,0.54,0.50,0.09,0.09,0.10,results\1708003690385333.csv,GNDI3:1
4200,21782,0.49,0.53,0.58,0.10,0.09,0.09,results\1708003761772947.csv,GNDI3:1
4200,21782,0.25,0.28,0.26,0.12,0.12,0.12,results\1708003831971937.csv,GNDI3:1
4200,21782,0.28,0.33,0.27,0.12,0.11,0.12,results\1708003927316518.csv,GNDI3:1
4200,21782,0.52,0.52,0.48,0.09,0.09,0.10,results\1708004016014097.csv,GNDI3:1
4200,21782,0.78,0.77,0.76,0.06,0.06,0.07,results\170800408204771.csv,GNDI3:1
4200,21782,0.56,0.55,0.50,0.09,0.09,0.10,results\1708004146348561.csv,GNDI3:1
4200,21782,0.76,0.75,0.74,0.07,0.07,0.07,results\1708004220324287.csv,GNDI4:1
4200,21782,0.81,0.81,0.80,0.06,0.06,0.06,results\1708004428855419.csv,GNDI4:1
4200,21782,0.75,0.74,0.73,0.07,0.07,0.07,results\1708004580656125.csv,GNDI4:1
4200,21782,0.83,0.82,0.81,0.06,0.06,0.06,results\1708004725231794.csv,GNDI4:1
4200,21782,0.02,0.01,0.01,0.13,0.13,0.14,results\17080048718497.csv,GNDI4:1
4200,21782,0.76,0.77,0.74,0.07,0.07,0.07,results\1708005043728496.csv,GNDI4:1
4200,21782,0.78,0.77,0.76,0.06,0.06,0.07,results\1708005187619966.csv,GNDI4:1
4200,21782,0.77,0.77,0.75,0.07,0.07,0.07,results\1708005323239753.csv,GNDI4:1
4200,21782,0.77,0.75,0.74,0.07,0.07,0.07,results\1708005468300301.csv,GNDI4:1
4200,21782,0.78,0.78,0.76,0.06,0.06,0.07,results\1708005613440297.csv,GNDI4:1
4200,21782,0.34,0.36,0.42,0.11,0.11,0.11,results\170800576026754.csv,GNDI2Alpha:1
4200,21782,0.60,0.59,0.57,0.09,0.09,0.09,results\1708005811912293.csv,GNDI2Alpha:1
4200,21782,0.13,0.16,0.15,0.13,0.12,0.13,results\1708005861078734.csv,GNDI2Alpha:1
4200,21782,0.67,0.65,0.62,0.08,0.08,0.09,results\1708005910045001.csv,GNDI2Alpha:1
4200,21782,0.61,0.61,0.58,0.08,0.09,0.09,results\1708005959982458.csv,GNDI2Alpha:1
4200,21782,0.69,0.67,0.64,0.08,0.08,0.08,results\1708006010349519.csv,GNDI2Alpha:1
4200,21782,0.03,0.03,0.04,0.13,0.13,0.14,results\1708006062325612.csv,GNDI2Alpha:1
4200,21782,0.01,0.01,0.00,0.14,0.14,0.14,results\1708006112343063.csv,GNDI2Alpha:1
4200,21782,0.70,0.69,0.69,0.07,0.08,0.08,results\1708006162259066.csv,GNDI2Alpha:1
4200,21782,0.56,0.56,0.51,0.09,0.09,0.10,results\1708006212188603.csv,GNDI2Alpha:1
4200,21782,0.76,0.77,0.76,0.07,0.07,0.07,results\1708006262470529.csv,GNDI3Alpha:1
4200,21782,0.78,0.75,0.78,0.06,0.07,0.07,results\1708006329523935.csv,GNDI3Alpha:1
4200,21782,0.75,0.74,0.73,0.07,0.07,0.07,results\1708006396026887.csv,GNDI3Alpha:1
4200,21782,0.39,0.42,0.38,0.11,0.10,0.11,results\1708006464555288.csv,GNDI3Alpha:1
4200,21782,0.75,0.74,0.70,0.07,0.07,0.08,results\1708006531260088.csv,GNDI3Alpha:1
4200,21782,0.74,0.71,0.71,0.07,0.07,0.08,results\1708006600256406.csv,GNDI3Alpha:1
4200,21782,0.73,0.69,0.70,0.07,0.08,0.08,results\1708006668611973.csv,GNDI3Alpha:1
4200,21782,0.72,0.70,0.69,0.07,0.07,0.08,results\1708006739312805.csv,GNDI3Alpha:1
4200,21782,0.08,0.08,0.08,0.13,0.13,0.14,results\1708006805989303.csv,GNDI3Alpha:1
4200,21782,0.55,0.57,0.60,0.09,0.09,0.09,results\1708006872813392.csv,GNDI3Alpha:1
4200,21782,0.75,0.75,0.73,0.07,0.07,0.07,results\170800694204374.csv,GNDI4Alpha:1
4200,21782,0.78,0.78,0.77,0.06,0.06,0.07,results\170800709443161.csv,GNDI4Alpha:1
4200,21782,0.76,0.74,0.74,0.07,0.07,0.07,results\1708007246228466.csv,GNDI4Alpha:1
4200,21782,0.84,0.83,0.83,0.06,0.06,0.06,results\1708007395712266.csv,GNDI4Alpha:1
4200,21782,0.81,0.80,0.79,0.06,0.06,0.06,results\1708007535511619.csv,GNDI4Alpha:1
4200,21782,0.77,0.77,0.75,0.07,0.07,0.07,results\1708007669381442.csv,GNDI4Alpha:1
4200,21782,0.82,0.82,0.80,0.06,0.06,0.06,results\1708007800939847.csv,GNDI4Alpha:1
4200,21782,0.64,0.63,0.58,0.08,0.08,0.09,results\1708007944222784.csv,GNDI4Alpha:1
4200,21782,0.70,0.67,0.67,0.07,0.08,0.08,results\1708008088580098.csv,GNDI4Alpha:1
4200,21782,0.76,0.74,0.73,0.07,0.07,0.07,results\1708008229734385.csv,GNDI4Alpha:1
