epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
2600                ,0.51506             ,0.51674             ,0.09497             ,0.0945              ,354                 ,3962                ,250                 ,0.18501             ,0.22704             
2650                ,0.51626             ,0.51704             ,0.09486             ,0.09447             ,354                 ,3962                ,246                 ,0.15548             ,0.22838             
2700                ,0.51739             ,0.51728             ,0.09475             ,0.09445             ,354                 ,3962                ,242                 ,0.12595             ,0.2296              
2750                ,0.5183              ,0.5172              ,0.09466             ,0.09446             ,354                 ,3962                ,238                 ,0.09714             ,0.23076             
2800                ,0.5191              ,0.51723             ,0.09458             ,0.09445             ,354                 ,3962                ,235                 ,0.07158             ,0.2318              
2850                ,0.51975             ,0.51694             ,0.09451             ,0.09448             ,354                 ,3962                ,232                 ,0.05114             ,0.23291             
2900                ,0.52018             ,0.51668             ,0.09447             ,0.09451             ,354                 ,3962                ,230                 ,0.03993             ,0.2341              
2950                ,0.52046             ,0.51659             ,0.09444             ,0.09452             ,354                 ,3962                ,229                 ,0.03782             ,0.23522             
3000                ,0.52071             ,0.51664             ,0.09442             ,0.09451             ,354                 ,3962                ,228                 ,0.03868             ,0.23622             
3050                ,0.52087             ,0.51683             ,0.0944              ,0.09449             ,354                 ,3962                ,227                 ,0.03946             ,0.23728             
3100                ,0.52114             ,0.51684             ,0.09438             ,0.09449             ,354                 ,3962                ,225                 ,0.04096             ,0.23826             
3150                ,0.52126             ,0.51687             ,0.09437             ,0.09449             ,354                 ,3962                ,225                 ,0.04243             ,0.23922             
3200                ,0.52134             ,0.51692             ,0.09436             ,0.09448             ,354                 ,3962                ,225                 ,0.04379             ,0.24013             
3250                ,0.52141             ,0.51697             ,0.09435             ,0.09448             ,354                 ,3962                ,225                 ,0.0448              ,0.241               
3300                ,0.52146             ,0.51704             ,0.09435             ,0.09447             ,354                 ,3962                ,226                 ,0.04637             ,0.2418              
3350                ,0.52151             ,0.5171              ,0.09434             ,0.09447             ,354                 ,3962                ,226                 ,0.04728             ,0.2426              
3400                ,0.52156             ,0.51713             ,0.09434             ,0.09446             ,354                 ,3962                ,226                 ,0.04802             ,0.24336             
3450                ,0.5216              ,0.51718             ,0.09433             ,0.09446             ,354                 ,3962                ,226                 ,0.04859             ,0.24411             
