epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.03618             ,0.04153             ,0.13389             ,0.13309             ,810                 ,1617                ,1977                ,2757                ,0.06179             ,0.39905             ,0.89867             
100                 ,0.1266              ,0.13851             ,0.12746             ,0.12617             ,761                 ,1604                ,2019                ,2725                ,0.06648             ,0.36426             ,0.89093             
150                 ,0.26436             ,0.28914             ,0.11698             ,0.11461             ,710                 ,1515                ,2019                ,2705                ,0.06526             ,0.30185             ,0.87709             
200                 ,0.39587             ,0.43144             ,0.10601             ,0.1025              ,664                 ,1428                ,2018                ,2673                ,0.04952             ,0.24238             ,0.85597             
250                 ,0.53324             ,0.57226             ,0.09318             ,0.08891             ,626                 ,1368                ,2017                ,2658                ,0.02712             ,0.19695             ,0.83702             
300                 ,0.64091             ,0.67397             ,0.08173             ,0.07762             ,595                 ,1319                ,2016                ,2658                ,0.00606             ,0.16854             ,0.82676             
350                 ,0.69101             ,0.71593             ,0.07581             ,0.07245             ,574                 ,1277                ,2016                ,2657                ,-0.00553            ,0.15728             ,0.82469             
400                 ,0.71159             ,0.73311             ,0.07324             ,0.07023             ,560                 ,1247                ,2016                ,2656                ,-0.0107             ,0.16235             ,0.8192              
450                 ,0.72321             ,0.7417              ,0.07175             ,0.06909             ,549                 ,1224                ,2014                ,2656                ,-0.01524            ,0.17441             ,0.81028             
500                 ,0.72995             ,0.747               ,0.07087             ,0.06838             ,540                 ,1204                ,2012                ,2656                ,-0.01758            ,0.18184             ,0.80813             
550                 ,0.73487             ,0.75149             ,0.07023             ,0.06777             ,532                 ,1187                ,2012                ,2656                ,-0.02332            ,0.18552             ,0.8075              
600                 ,0.7388              ,0.75492             ,0.0697              ,0.0673              ,525                 ,1171                ,2012                ,2656                ,-0.03228            ,0.18578             ,0.80516             
650                 ,0.7423              ,0.75771             ,0.06923             ,0.06691             ,519                 ,1154                ,2010                ,2656                ,-0.04441            ,0.18553             ,0.80065             
700                 ,0.7454              ,0.76                ,0.06882             ,0.0666              ,513                 ,1136                ,2010                ,2656                ,-0.05882            ,0.1853              ,0.7945              
750                 ,0.74798             ,0.76164             ,0.06847             ,0.06637             ,506                 ,1120                ,2010                ,2656                ,-0.07378            ,0.18459             ,0.7881              
800                 ,0.75011             ,0.76311             ,0.06818             ,0.06616             ,501                 ,1108                ,2010                ,2656                ,-0.08796            ,0.18451             ,0.78092             
850                 ,0.75198             ,0.76412             ,0.06792             ,0.06602             ,494                 ,1097                ,2010                ,2656                ,-0.0994             ,0.18315             ,0.77337             
900                 ,0.75369             ,0.76525             ,0.06769             ,0.06586             ,488                 ,1088                ,2009                ,2656                ,-0.10774            ,0.18172             ,0.7651              
950                 ,0.75539             ,0.76622             ,0.06745             ,0.06573             ,481                 ,1079                ,2007                ,2656                ,-0.1147             ,0.18002             ,0.75637             
1000                ,0.7569              ,0.76715             ,0.06724             ,0.0656              ,474                 ,1070                ,2007                ,2656                ,-0.12093            ,0.17777             ,0.74752             
1050                ,0.75837             ,0.76807             ,0.06704             ,0.06547             ,468                 ,1062                ,2007                ,2656                ,-0.1272             ,0.17619             ,0.73739             
1100                ,0.75973             ,0.7688              ,0.06685             ,0.06536             ,461                 ,1055                ,2007                ,2656                ,-0.13221            ,0.17401             ,0.72896             
1150                ,0.76105             ,0.76964             ,0.06667             ,0.06525             ,454                 ,1049                ,2007                ,2656                ,-0.13662            ,0.17198             ,0.72047             
1200                ,0.76226             ,0.77052             ,0.0665              ,0.06512             ,448                 ,1044                ,2007                ,2656                ,-0.1414             ,0.17014             ,0.71127             
1250                ,0.76354             ,0.7713              ,0.06632             ,0.06501             ,441                 ,1039                ,2007                ,2656                ,-0.14589            ,0.16837             ,0.70155             
1300                ,0.76485             ,0.77205             ,0.06614             ,0.0649              ,434                 ,1035                ,2007                ,2656                ,-0.15007            ,0.16647             ,0.69242             
1350                ,0.76602             ,0.77269             ,0.06597             ,0.06481             ,427                 ,1033                ,2007                ,2656                ,-0.15331            ,0.16439             ,0.68295             
1400                ,0.76706             ,0.77331             ,0.06582             ,0.06472             ,421                 ,1033                ,2007                ,2656                ,-0.15623            ,0.16228             ,0.67387             
1450                ,0.76803             ,0.77366             ,0.06569             ,0.06467             ,414                 ,1033                ,2007                ,2656                ,-0.15902            ,0.1596              ,0.66507             
1500                ,0.76897             ,0.7741              ,0.06555             ,0.06461             ,408                 ,1033                ,2007                ,2656                ,-0.16175            ,0.15623             ,0.65564             
1550                ,0.7697              ,0.77436             ,0.06545             ,0.06457             ,403                 ,1033                ,2007                ,2656                ,-0.16427            ,0.15296             ,0.64681             
1600                ,0.77025             ,0.77467             ,0.06537             ,0.06453             ,398                 ,1033                ,2007                ,2656                ,-0.16704            ,0.14996             ,0.63929             
1650                ,0.77068             ,0.77478             ,0.06531             ,0.06451             ,395                 ,1033                ,2007                ,2656                ,-0.16936            ,0.14602             ,0.63146             
1700                ,0.77099             ,0.77475             ,0.06527             ,0.06452             ,392                 ,1033                ,2007                ,2656                ,-0.17189            ,0.14226             ,0.62409             
1750                ,0.77123             ,0.77479             ,0.06523             ,0.06451             ,390                 ,1033                ,2007                ,2656                ,-0.1745             ,0.13897             ,0.61793             
1800                ,0.77144             ,0.77478             ,0.0652              ,0.06451             ,388                 ,1033                ,2007                ,2656                ,-0.17689            ,0.13617             ,0.61261             
1850                ,0.77163             ,0.77478             ,0.06518             ,0.06451             ,386                 ,1033                ,2007                ,2656                ,-0.17925            ,0.13361             ,0.60818             
1900                ,0.77173             ,0.77482             ,0.06516             ,0.06451             ,386                 ,1033                ,2007                ,2656                ,-0.18169            ,0.13108             ,0.60418             
