epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2Alpha_0:i,GNDI2Alpha_0:j,GNDI2Alpha_0:alpha1_1,GNDI2Alpha_0:alpha1_2
50                  ,0                   ,0                   ,0.13976             ,0.13958             ,1889                ,6                   ,0.77778             ,0.73994             
100                 ,0.02771             ,0.0288              ,0.13448             ,0.13397             ,1845                ,7                   ,0.80123             ,0.75065             
150                 ,0.12068             ,0.12936             ,0.12789             ,0.12684             ,1805                ,7                   ,0.82679             ,0.75304             
200                 ,0.17531             ,0.19041             ,0.12385             ,0.12231             ,1803                ,7                   ,0.85193             ,0.75206             
250                 ,0.20594             ,0.22506             ,0.12153             ,0.11967             ,1803                ,8                   ,0.87351             ,0.74571             
300                 ,0.23651             ,0.25614             ,0.11917             ,0.11724             ,1803                ,8                   ,0.89344             ,0.73618             
350                 ,0.27474             ,0.29343             ,0.11615             ,0.11427             ,1803                ,9                   ,0.91715             ,0.72169             
400                 ,0.32363             ,0.34346             ,0.11216             ,0.11015             ,1780                ,9                   ,0.95073             ,0.69841             
450                 ,0.36384             ,0.38397             ,0.10878             ,0.1067              ,1756                ,10                  ,0.96143             ,0.67451             
500                 ,0.39595             ,0.41548             ,0.106               ,0.10393             ,1760                ,11                  ,0.96367             ,0.64936             
550                 ,0.42274             ,0.44028             ,0.10362             ,0.1017              ,1760                ,12                  ,0.96946             ,0.62357             
600                 ,0.44439             ,0.46011             ,0.10166             ,0.09988             ,1760                ,12                  ,0.97483             ,0.59812             
650                 ,0.46172             ,0.47518             ,0.10006             ,0.09848             ,1760                ,13                  ,0.97967             ,0.57359             
700                 ,0.4749              ,0.48582             ,0.09883             ,0.09748             ,1760                ,14                  ,0.98394             ,0.55084             
750                 ,0.48515             ,0.49435             ,0.09786             ,0.09667             ,1760                ,15                  ,0.98773             ,0.5301              
800                 ,0.49328             ,0.50098             ,0.09708             ,0.09603             ,1760                ,16                  ,0.99105             ,0.51084             
850                 ,0.50019             ,0.50646             ,0.09642             ,0.0955              ,1760                ,17                  ,0.99402             ,0.4928              
900                 ,0.50583             ,0.5106              ,0.09587             ,0.0951              ,1760                ,18                  ,0.9965              ,0.47673             
950                 ,0.5107              ,0.51464             ,0.0954              ,0.09471             ,1760                ,19                  ,0.99864             ,0.46207             
1000                ,0.51477             ,0.51761             ,0.095               ,0.09442             ,1760                ,21                  ,1.0004              ,0.44922             
1050                ,0.51812             ,0.52001             ,0.09467             ,0.09418             ,1760                ,22                  ,1.00179             ,0.4373              
1100                ,0.52104             ,0.52203             ,0.09439             ,0.09398             ,1760                ,23                  ,1.00282             ,0.42678             
1150                ,0.52362             ,0.5242              ,0.09413             ,0.09377             ,1760                ,24                  ,1.00362             ,0.41683             
1200                ,0.52614             ,0.52593             ,0.09388             ,0.0936              ,1760                ,25                  ,1.00433             ,0.40761             
1250                ,0.52846             ,0.52735             ,0.09365             ,0.09346             ,1760                ,27                  ,1.00489             ,0.39963             
1300                ,0.53057             ,0.52874             ,0.09344             ,0.09332             ,1760                ,28                  ,1.00526             ,0.39178             
1350                ,0.53244             ,0.5299              ,0.09326             ,0.09321             ,1760                ,30                  ,1.00542             ,0.3847              
1400                ,0.53416             ,0.53114             ,0.09308             ,0.09308             ,1760                ,31                  ,1.00545             ,0.37816             
1450                ,0.53581             ,0.53251             ,0.09292             ,0.09295             ,1760                ,32                  ,1.0054              ,0.37181             
1500                ,0.5373              ,0.53378             ,0.09277             ,0.09282             ,1760                ,34                  ,1.00518             ,0.36537             
1550                ,0.53874             ,0.53502             ,0.09263             ,0.0927              ,1760                ,35                  ,1.00487             ,0.35923             
1600                ,0.54015             ,0.53634             ,0.09248             ,0.09257             ,1760                ,37                  ,1.00452             ,0.3532              
1650                ,0.54155             ,0.53744             ,0.09234             ,0.09245             ,1760                ,39                  ,1.00407             ,0.34743             
1700                ,0.54294             ,0.5388              ,0.0922              ,0.09232             ,1760                ,40                  ,1.0036              ,0.34144             
1750                ,0.54436             ,0.53993             ,0.09206             ,0.09221             ,1760                ,42                  ,1.00306             ,0.33568             
1800                ,0.5458              ,0.54128             ,0.09191             ,0.09207             ,1760                ,44                  ,1.00249             ,0.32984             
1850                ,0.54768             ,0.54264             ,0.09172             ,0.09193             ,1760                ,46                  ,1.00187             ,0.32431             
1900                ,0.55016             ,0.54436             ,0.09147             ,0.09176             ,1760                ,48                  ,1.00137             ,0.31754             
1950                ,0.55053             ,0.54533             ,0.09144             ,0.09166             ,1760                ,49                  ,1.00087             ,0.31117             
2000                ,0.55102             ,0.54617             ,0.09139             ,0.09158             ,1760                ,49                  ,1.00032             ,0.30529             
2050                ,0.55153             ,0.54703             ,0.09133             ,0.09149             ,1760                ,49                  ,0.99976             ,0.2993              
2100                ,0.55207             ,0.548               ,0.09128             ,0.09139             ,1760                ,49                  ,0.99921             ,0.2931              
2150                ,0.55263             ,0.54898             ,0.09122             ,0.09129             ,1760                ,49                  ,0.99862             ,0.287               
2200                ,0.55321             ,0.54999             ,0.09116             ,0.09119             ,1760                ,49                  ,0.99804             ,0.28072             
2250                ,0.55379             ,0.55108             ,0.0911              ,0.09108             ,1760                ,49                  ,0.99743             ,0.27475             
2300                ,0.5544              ,0.55219             ,0.09104             ,0.09097             ,1760                ,49                  ,0.99689             ,0.26888             
2350                ,0.55499             ,0.55333             ,0.09098             ,0.09085             ,1760                ,49                  ,0.99641             ,0.26292             
2400                ,0.55556             ,0.55428             ,0.09092             ,0.09076             ,1760                ,49                  ,0.99599             ,0.25746             
2450                ,0.55607             ,0.55519             ,0.09087             ,0.09066             ,1760                ,49                  ,0.99552             ,0.2522              
2500                ,0.55654             ,0.55601             ,0.09082             ,0.09058             ,1760                ,49                  ,0.99511             ,0.24741             
2550                ,0.55693             ,0.55671             ,0.09078             ,0.09051             ,1760                ,49                  ,0.9947              ,0.24307             
2600                ,0.55726             ,0.55722             ,0.09075             ,0.09046             ,1760                ,49                  ,0.99428             ,0.23925             
2650                ,0.55753             ,0.55767             ,0.09072             ,0.09041             ,1760                ,49                  ,0.99385             ,0.23586             
2700                ,0.55774             ,0.55792             ,0.0907              ,0.09039             ,1760                ,49                  ,0.99342             ,0.23285             
2750                ,0.55793             ,0.5583              ,0.09068             ,0.09035             ,1760                ,49                  ,0.99299             ,0.23023             
2800                ,0.55808             ,0.55853             ,0.09066             ,0.09032             ,1760                ,49                  ,0.99256             ,0.22787             
2850                ,0.55821             ,0.55875             ,0.09065             ,0.0903              ,1760                ,49                  ,0.99211             ,0.22579             
2900                ,0.55831             ,0.55891             ,0.09064             ,0.09028             ,1760                ,49                  ,0.99166             ,0.2239              
