epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.13671             ,0.1362              ,2754                ,2855                ,2552                ,0.31908             ,0.40219             
100                 ,0                   ,0                   ,0.13647             ,0.136               ,2768                ,2839                ,2513                ,0.31596             ,0.40186             
150                 ,0                   ,0.00036             ,0.13639             ,0.13592             ,2776                ,2822                ,2475                ,0.31314             ,0.40117             
200                 ,0.00033             ,0.00077             ,0.13636             ,0.13589             ,2776                ,2806                ,2473                ,0.3101              ,0.40065             
250                 ,0.00073             ,0.00114             ,0.13633             ,0.13586             ,2776                ,2788                ,2473                ,0.30686             ,0.40025             
300                 ,0.00111             ,0.00151             ,0.13631             ,0.13584             ,2776                ,2770                ,2473                ,0.30349             ,0.39998             
350                 ,0.002               ,0.00243             ,0.13625             ,0.13577             ,2775                ,2745                ,2473                ,0.3001              ,0.39995             
400                 ,0.00342             ,0.00391             ,0.13615             ,0.13567             ,2775                ,2709                ,2473                ,0.29732             ,0.40068             
450                 ,0.00406             ,0.00457             ,0.13611             ,0.13563             ,2775                ,2688                ,2473                ,0.29492             ,0.40199             
500                 ,0.00626             ,0.00691             ,0.13596             ,0.13547             ,2775                ,2653                ,2473                ,0.29327             ,0.40436             
550                 ,0.0067              ,0.0074              ,0.13593             ,0.13544             ,2775                ,2655                ,2473                ,0.29206             ,0.4077              
600                 ,0.00713             ,0.00788             ,0.1359              ,0.1354              ,2775                ,2656                ,2473                ,0.29054             ,0.41141             
650                 ,0.0076              ,0.00841             ,0.13586             ,0.13537             ,2775                ,2656                ,2473                ,0.28863             ,0.41551             
700                 ,0.00811             ,0.00899             ,0.13583             ,0.13533             ,2769                ,2656                ,2473                ,0.28626             ,0.42                
750                 ,0.00868             ,0.00963             ,0.13579             ,0.13528             ,2761                ,2656                ,2473                ,0.28329             ,0.4249              
800                 ,0.00936             ,0.01039             ,0.13574             ,0.13523             ,2760                ,2656                ,2473                ,0.27952             ,0.43035             
850                 ,0.01016             ,0.01127             ,0.13569             ,0.13517             ,2760                ,2656                ,2473                ,0.27476             ,0.43654             
900                 ,0.01111             ,0.01231             ,0.13562             ,0.1351              ,2760                ,2656                ,2473                ,0.26886             ,0.44349             
950                 ,0.01226             ,0.01356             ,0.13555             ,0.13501             ,2760                ,2656                ,2473                ,0.26177             ,0.4511              
1000                ,0.01371             ,0.01514             ,0.13545             ,0.13491             ,2763                ,2656                ,2473                ,0.25275             ,0.45981             
1050                ,0.01593             ,0.01725             ,0.13529             ,0.13476             ,2763                ,2656                ,2474                ,0.23892             ,0.47165             
1100                ,0.01845             ,0.02006             ,0.13512             ,0.13457             ,2776                ,2656                ,2473                ,0.22884             ,0.47969             
1150                ,0.02257             ,0.02437             ,0.13484             ,0.13427             ,2839                ,2656                ,2473                ,0.21487             ,0.48903             
1200                ,0.03501             ,0.03693             ,0.13398             ,0.13341             ,2967                ,2656                ,2474                ,0.19278             ,0.50039             
1250                ,0.05722             ,0.05965             ,0.13242             ,0.13182             ,2959                ,2656                ,2474                ,0.15308             ,0.51428             
