epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0.00589             ,0.0055              ,0.13598             ,0.13557             ,2954                ,2544                ,3045                ,0.9549              ,0.5999              ,0.13626             ,0.56292             ,0.87372             ,0.67994             ,0.02575             ,0.34261             ,0.71669             ,0.22788             ,0.82166             ,0.24795             
100                 ,0.00789             ,0.00823             ,0.13584             ,0.13538             ,2955                ,2554                ,3066                ,0.90338             ,0.59953             ,0.13488             ,0.54896             ,0.8676              ,0.66177             ,0.02809             ,0.34283             ,0.7174              ,0.23042             ,0.82073             ,0.25363             
150                 ,0.00916             ,0.00932             ,0.13576             ,0.1353              ,2957                ,2568                ,3067                ,0.85473             ,0.59876             ,0.13504             ,0.53382             ,0.86194             ,0.64402             ,0.02379             ,0.34323             ,0.71643             ,0.22968             ,0.81738             ,0.25472             
200                 ,0.01031             ,0.01055             ,0.13568             ,0.13522             ,2959                ,2589                ,3067                ,0.8078              ,0.59804             ,0.13504             ,0.51566             ,0.85492             ,0.623               ,0.01947             ,0.34351             ,0.71534             ,0.22963             ,0.8138              ,0.2568              
250                 ,0.01176             ,0.0121              ,0.13558             ,0.13512             ,2961                ,2615                ,3067                ,0.76098             ,0.59716             ,0.13487             ,0.49554             ,0.84695             ,0.5999              ,0.01448             ,0.34382             ,0.71409             ,0.2298              ,0.8099              ,0.25919             
300                 ,0.01367             ,0.0141              ,0.13545             ,0.13498             ,2964                ,2655                ,3067                ,0.71591             ,0.59607             ,0.13452             ,0.47368             ,0.83824             ,0.57501             ,0.00885             ,0.34419             ,0.71269             ,0.23037             ,0.8058              ,0.26188             
350                 ,0.01464             ,0.01509             ,0.13538             ,0.13491             ,2967                ,2655                ,3067                ,0.67262             ,0.59479             ,0.13397             ,0.45037             ,0.82884             ,0.54864             ,0.00263             ,0.34459             ,0.71114             ,0.23142             ,0.8016              ,0.2649              
400                 ,0.01568             ,0.01615             ,0.13531             ,0.13484             ,2969                ,2655                ,3069                ,0.63107             ,0.59341             ,0.13319             ,0.426               ,0.81875             ,0.52125             ,-0.0043             ,0.34503             ,0.70944             ,0.23273             ,0.79733             ,0.26834             
450                 ,0.01679             ,0.01726             ,0.13523             ,0.13476             ,2972                ,2655                ,3069                ,0.59128             ,0.59196             ,0.13216             ,0.40077             ,0.80797             ,0.49296             ,-0.01177            ,0.34549             ,0.70758             ,0.23428             ,0.79306             ,0.27226             
500                 ,0.01798             ,0.01845             ,0.13515             ,0.13468             ,2974                ,2655                ,3069                ,0.55334             ,0.59044             ,0.13084             ,0.3748              ,0.79656             ,0.46391             ,-0.01996            ,0.34596             ,0.70555             ,0.23616             ,0.78886             ,0.27665             
