epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0.27332             ,0.29468             ,0.11626             ,0.11417             ,149                 ,2203                ,0.23662             
100                 ,0.43779             ,0.4596              ,0.10226             ,0.09993             ,157                 ,2207                ,0.23095             
150                 ,0.49192             ,0.49828             ,0.09721             ,0.09629             ,164                 ,2206                ,0.2152              
200                 ,0.509               ,0.50204             ,0.09557             ,0.09593             ,173                 ,2206                ,0.21094             
250                 ,0.51634             ,0.50217             ,0.09485             ,0.09592             ,184                 ,2206                ,0.21443             
300                 ,0.52226             ,0.50557             ,0.09427             ,0.09559             ,199                 ,2206                ,0.2222              
350                 ,0.52813             ,0.51185             ,0.09369             ,0.09498             ,214                 ,2206                ,0.23206             
400                 ,0.53341             ,0.51911             ,0.09316             ,0.09427             ,230                 ,2206                ,0.24259             
450                 ,0.53877             ,0.52686             ,0.09262             ,0.09351             ,245                 ,2206                ,0.25265             
500                 ,0.54539             ,0.53502             ,0.09196             ,0.0927              ,263                 ,2207                ,0.26272             
550                 ,0.55591             ,0.54695             ,0.09089             ,0.0915              ,286                 ,2206                ,0.2749              
600                 ,0.5675              ,0.55959             ,0.08969             ,0.09021             ,311                 ,2206                ,0.28966             
650                 ,0.57454             ,0.56897             ,0.08896             ,0.08925             ,330                 ,2200                ,0.30169             
700                 ,0.61119             ,0.60059             ,0.08504             ,0.08591             ,341                 ,2009                ,0.31652             
750                 ,0.61324             ,0.60578             ,0.08482             ,0.08535             ,348                 ,2013                ,0.31709             
800                 ,0.61453             ,0.60802             ,0.08468             ,0.08511             ,351                 ,2014                ,0.31765             
850                 ,0.61574             ,0.60985             ,0.08454             ,0.08491             ,353                 ,2014                ,0.3163              
900                 ,0.61692             ,0.6113              ,0.08441             ,0.08475             ,354                 ,2013                ,0.31328             
950                 ,0.61807             ,0.61233             ,0.08429             ,0.08464             ,354                 ,2013                ,0.30954             
1000                ,0.61907             ,0.61316             ,0.08418             ,0.08455             ,354                 ,2013                ,0.30583             
1050                ,0.61993             ,0.61395             ,0.08408             ,0.08446             ,354                 ,2013                ,0.30186             
1100                ,0.62066             ,0.61449             ,0.084               ,0.0844              ,354                 ,2013                ,0.2983              
1150                ,0.62128             ,0.61521             ,0.08393             ,0.08433             ,354                 ,2013                ,0.29377             
1200                ,0.62182             ,0.61557             ,0.08387             ,0.08429             ,354                 ,2013                ,0.29015             
1250                ,0.62229             ,0.6161              ,0.08382             ,0.08423             ,354                 ,2013                ,0.28612             
1300                ,0.62269             ,0.61631             ,0.08377             ,0.08421             ,354                 ,2013                ,0.28307             
1350                ,0.623               ,0.6164              ,0.08374             ,0.0842              ,354                 ,2013                ,0.28062             
1400                ,0.62324             ,0.61652             ,0.08371             ,0.08418             ,354                 ,2013                ,0.27817             
1450                ,0.62343             ,0.61664             ,0.08369             ,0.08417             ,354                 ,2013                ,0.27589             
1500                ,0.62359             ,0.61676             ,0.08367             ,0.08415             ,354                 ,2013                ,0.27387             
1550                ,0.62373             ,0.6168              ,0.08366             ,0.08415             ,354                 ,2013                ,0.272               
1600                ,0.62384             ,0.61684             ,0.08365             ,0.08415             ,354                 ,2013                ,0.27015             
1650                ,0.62394             ,0.61687             ,0.08364             ,0.08414             ,354                 ,2013                ,0.26851             
1700                ,0.62401             ,0.6169              ,0.08363             ,0.08414             ,354                 ,2013                ,0.26706             
1750                ,0.62408             ,0.61693             ,0.08362             ,0.08414             ,354                 ,2013                ,0.26573             
1800                ,0.62413             ,0.61692             ,0.08361             ,0.08414             ,354                 ,2013                ,0.26461             
1850                ,0.62417             ,0.61694             ,0.08361             ,0.08414             ,354                 ,2013                ,0.26379             
1900                ,0.62421             ,0.61696             ,0.08361             ,0.08413             ,354                 ,2013                ,0.26345             
1950                ,0.62425             ,0.61698             ,0.0836              ,0.08413             ,354                 ,2013                ,0.26283             
2000                ,0.62429             ,0.61697             ,0.0836              ,0.08413             ,354                 ,2013                ,0.26203             
2050                ,0.62432             ,0.61697             ,0.08359             ,0.08413             ,354                 ,2013                ,0.2611              
2100                ,0.62435             ,0.61697             ,0.08359             ,0.08413             ,354                 ,2013                ,0.26032             
2150                ,0.62438             ,0.61698             ,0.08359             ,0.08413             ,354                 ,2013                ,0.25958             
2200                ,0.6244              ,0.61697             ,0.08358             ,0.08413             ,354                 ,2013                ,0.25894             
