epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0.06912             ,0.07065             ,0.13159             ,0.13105             ,1017                ,312                 ,2397                ,0.24073             ,0.55963             ,0.85566             ,0.0477              ,0.92004             ,0.7948              ,0.09937             ,0.73246             ,0.05005             ,0.2939              ,0.69963             ,0.99728             
100                 ,0.25537             ,0.26804             ,0.11769             ,0.1163              ,1043                ,329                 ,2364                ,0.23321             ,0.49545             ,0.80657             ,0.04862             ,0.90967             ,0.77594             ,0.1001              ,0.6898              ,0.07077             ,0.29829             ,0.70535             ,1.01775             
150                 ,0.46027             ,0.48187             ,0.1002              ,0.09785             ,1054                ,355                 ,2359                ,0.21563             ,0.43614             ,0.76053             ,0.03304             ,0.85533             ,0.81503             ,0.10314             ,0.64429             ,0.08032             ,0.32493             ,0.69352             ,1.06753             
200                 ,0.56846             ,0.58675             ,0.08959             ,0.08739             ,1046                ,372                 ,2359                ,0.1673              ,0.39467             ,0.71791             ,0.01519             ,0.80151             ,0.88551             ,0.1097              ,0.60657             ,0.07516             ,0.35569             ,0.65568             ,1.09218             
250                 ,0.63329             ,0.64562             ,0.08259             ,0.08093             ,1032                ,380                 ,2359                ,0.12449             ,0.35981             ,0.6757              ,0.01494             ,0.75248             ,0.92475             ,0.11958             ,0.57876             ,0.06966             ,0.38361             ,0.61885             ,1.11515             
300                 ,0.67095             ,0.67723             ,0.07823             ,0.07723             ,1019                ,383                 ,2358                ,0.0972              ,0.33172             ,0.63369             ,-0.01745            ,0.71419             ,0.93803             ,0.12845             ,0.558               ,0.06694             ,0.40708             ,0.58927             ,1.12598             
350                 ,0.69699             ,0.69741             ,0.07507             ,0.07478             ,1007                ,379                 ,2351                ,0.07101             ,0.31228             ,0.59274             ,-0.03511            ,0.68131             ,0.93476             ,0.13888             ,0.54716             ,0.06575             ,0.42589             ,0.56937             ,1.12376             
400                 ,0.71138             ,0.70966             ,0.07327             ,0.07325             ,996                 ,379                 ,2342                ,0.04664             ,0.30409             ,0.55317             ,-0.04128            ,0.65791             ,0.92274             ,0.15121             ,0.54364             ,0.0655              ,0.43991             ,0.5554              ,1.10967             
450                 ,0.72053             ,0.71788             ,0.0721              ,0.0722              ,989                 ,379                 ,2338                ,0.03031             ,0.30031             ,0.51499             ,-0.04249            ,0.63926             ,0.90509             ,0.16095             ,0.54208             ,0.0659              ,0.45112             ,0.54586             ,1.09039             
500                 ,0.72685             ,0.7241              ,0.07128             ,0.0714              ,984                 ,379                 ,2338                ,0.02107             ,0.29904             ,0.47833             ,-0.03751            ,0.62381             ,0.88515             ,0.16792             ,0.54109             ,0.06631             ,0.4611              ,0.53902             ,1.06751             
550                 ,0.73154             ,0.72902             ,0.07067             ,0.07076             ,983                 ,379                 ,2338                ,0.01548             ,0.29812             ,0.44332             ,-0.03776            ,0.61042             ,0.86473             ,0.17319             ,0.54083             ,0.06603             ,0.47003             ,0.53411             ,1.04157             
600                 ,0.73443             ,0.7322              ,0.07028             ,0.07035             ,983                 ,379                 ,2338                ,0.01152             ,0.29786             ,0.40993             ,-0.03482            ,0.60039             ,0.84322             ,0.17772             ,0.53891             ,0.06552             ,0.47648             ,0.52806             ,1.01537             
650                 ,0.73655             ,0.73383             ,0.07                ,0.07013             ,983                 ,379                 ,2338                ,0.011               ,0.29761             ,0.37811             ,-0.02159            ,0.59195             ,0.82164             ,0.18079             ,0.536               ,0.06467             ,0.48228             ,0.52193             ,0.98873             
700                 ,0.73867             ,0.73498             ,0.06972             ,0.06998             ,985                 ,380                 ,2338                ,0.01346             ,0.29657             ,0.34776             ,-0.01092            ,0.58284             ,0.79945             ,0.18316             ,0.5339              ,0.06412             ,0.48699             ,0.5171              ,0.96331             
750                 ,0.73969             ,0.7364              ,0.06958             ,0.06979             ,990                 ,382                 ,2338                ,0.01654             ,0.29495             ,0.3189              ,-0.0045             ,0.57328             ,0.77726             ,0.18536             ,0.53273             ,0.06388             ,0.49042             ,0.51359             ,0.9384              
800                 ,0.73896             ,0.7377              ,0.06968             ,0.06962             ,992                 ,388                 ,2338                ,0.01914             ,0.29285             ,0.29155             ,-0.02453            ,0.56348             ,0.75602             ,0.18755             ,0.53143             ,0.06367             ,0.49308             ,0.51056             ,0.91129             
