epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24
50                  ,0.31078             ,0.32967             ,0.11322             ,0.1113              ,405                 ,519                 ,2994                ,2339                ,0.49902             ,0.22039             ,0.90681             ,0.09474             ,0.49434             ,0.20405             ,0.52242             ,0.60017             ,0.44484             ,0.95957             ,0.977               ,0.21264             ,0.51348             ,0.60847             ,0.16622             ,0.92639             ,0.80561             ,0.52574             ,0.55984             ,0.71009             ,0.19524             ,0.28654             ,0.75131             ,0.07815             ,0.81211             ,0.17662             ,0.98302             ,0.4701              ,0.7118              ,0.95962             ,0.08456             ,0.59939             ,0.8011              ,0.65484             ,0.80683             ,0.12041             ,0.0916              ,0.15152             ,0.4895              ,0.43928             ,0.66053             ,0.46459             ,0.39559             ,0.34164             ,0.76986             ,0.62336             ,0.58764             ,0.38979             ,0.61107             ,0.58575             ,0.23992             ,0.13422             ,0.25354             ,0.10421             ,0.01959             ,0.57906             ,0.19932             ,0.99666             ,0.96245             ,0.22758             ,0.93216             ,0.96298             ,0.99418             ,0.10007             ,0.43843             ,0.33824             ,0.82434             ,0.7561              ,0.88594             ,0.03213             ,0.1424              ,0.3103              
100                 ,0.42611             ,0.45186             ,0.10332             ,0.10064             ,395                 ,490                 ,2996                ,2288                ,0.49356             ,0.19056             ,0.90481             ,0.08323             ,0.45176             ,0.20737             ,0.48091             ,0.58272             ,0.44193             ,0.95005             ,0.95176             ,0.18988             ,0.49216             ,0.56064             ,0.16778             ,0.87594             ,0.806               ,0.53798             ,0.56271             ,0.68538             ,0.20147             ,0.26077             ,0.77129             ,0.08652             ,0.76091             ,0.16343             ,0.97597             ,0.42703             ,0.66234             ,0.9156              ,0.07515             ,0.55457             ,0.78528             ,0.62293             ,0.77487             ,0.07564             ,0.08461             ,0.13157             ,0.46978             ,0.42427             ,0.65404             ,0.4231              ,0.36916             ,0.3109              ,0.73612             ,0.57456             ,0.60162             ,0.37543             ,0.61746             ,0.563               ,0.24568             ,0.12233             ,0.23467             ,0.11212             ,0.01896             ,0.56496             ,0.20381             ,0.99056             ,0.94292             ,0.21632             ,0.94186             ,0.90875             ,0.99485             ,0.09738             ,0.42752             ,0.32699             ,0.83452             ,0.74621             ,0.88641             ,0.02859             ,0.14115             ,0.31084             
150                 ,0.5041              ,0.5262              ,0.09604             ,0.09357             ,380                 ,463                 ,2995                ,2248                ,0.48045             ,0.14849             ,0.89631             ,0.0797              ,0.42083             ,0.21202             ,0.43976             ,0.55759             ,0.43522             ,0.93312             ,0.93047             ,0.17051             ,0.45973             ,0.51833             ,0.16718             ,0.827               ,0.80606             ,0.54939             ,0.55382             ,0.65678             ,0.20873             ,0.23423             ,0.78106             ,0.08991             ,0.71405             ,0.16813             ,0.96153             ,0.38804             ,0.61816             ,0.87161             ,0.06792             ,0.50884             ,0.76385             ,0.58094             ,0.75043             ,0.0292              ,0.07496             ,0.1024              ,0.45055             ,0.38796             ,0.64761             ,0.38744             ,0.34658             ,0.28398             ,0.70084             ,0.51666             ,0.60611             ,0.36493             ,0.60871             ,0.5388              ,0.24721             ,0.11911             ,0.23128             ,0.1202              ,0.01917             ,0.55126             ,0.20472             ,0.97667             ,0.92745             ,0.20829             ,0.94709             ,0.86645             ,0.98885             ,0.10136             ,0.42257             ,0.31771             ,0.83592             ,0.72948             ,0.88705             ,0.04496             ,0.14491             ,0.31029             
200                 ,0.54171             ,0.55684             ,0.09233             ,0.0905              ,370                 ,439                 ,2995                ,2230                ,0.46572             ,0.11977             ,0.88623             ,0.07777             ,0.39013             ,0.21298             ,0.39877             ,0.53014             ,0.42966             ,0.91348             ,0.91186             ,0.15202             ,0.42198             ,0.47829             ,0.16789             ,0.77992             ,0.80271             ,0.55809             ,0.53661             ,0.62454             ,0.21227             ,0.20684             ,0.77265             ,0.09016             ,0.66702             ,0.16372             ,0.94555             ,0.35147             ,0.57507             ,0.82686             ,0.06023             ,0.4646              ,0.74262             ,0.53629             ,0.72785             ,-0.00695            ,0.05889             ,0.07921             ,0.43016             ,0.3472              ,0.63748             ,0.35938             ,0.32476             ,0.26404             ,0.66786             ,0.45801             ,0.59527             ,0.35617             ,0.60336             ,0.52519             ,0.24806             ,0.11989             ,0.23045             ,0.12463             ,0.01827             ,0.53925             ,0.206               ,0.95976             ,0.91407             ,0.20413             ,0.95147             ,0.82468             ,0.98108             ,0.10683             ,0.41705             ,0.30932             ,0.83321             ,0.70511             ,0.87986             ,0.0591              ,0.14272             ,0.30939             
250                 ,0.55986             ,0.56995             ,0.09048             ,0.08915             ,363                 ,419                 ,2995                ,2228                ,0.44835             ,0.09939             ,0.87527             ,0.07377             ,0.35943             ,0.21244             ,0.35931             ,0.50185             ,0.42383             ,0.89241             ,0.89373             ,0.13287             ,0.37947             ,0.44163             ,0.16654             ,0.73468             ,0.79716             ,0.56175             ,0.50796             ,0.59462             ,0.21175             ,0.17977             ,0.75529             ,0.09033             ,0.62008             ,0.15116             ,0.92902             ,0.31686             ,0.53403             ,0.78222             ,0.05278             ,0.42242             ,0.7207              ,0.49222             ,0.70704             ,-0.02787            ,0.04066             ,0.06931             ,0.4125              ,0.31287             ,0.62449             ,0.33984             ,0.30905             ,0.25088             ,0.63819             ,0.4071              ,0.57832             ,0.34619             ,0.59774             ,0.51583             ,0.24863             ,0.11991             ,0.22856             ,0.12771             ,0.01747             ,0.52716             ,0.20662             ,0.94159             ,0.89974             ,0.20073             ,0.95101             ,0.78728             ,0.9679              ,0.10971             ,0.4118              ,0.30217             ,0.82047             ,0.68184             ,0.86271             ,0.06511             ,0.14028             ,0.30913             
300                 ,0.56963             ,0.57512             ,0.08947             ,0.08861             ,358                 ,403                 ,2995                ,2228                ,0.42937             ,0.08107             ,0.86377             ,0.06908             ,0.32651             ,0.21194             ,0.32225             ,0.47436             ,0.41775             ,0.87127             ,0.87491             ,0.11317             ,0.336               ,0.40717             ,0.1635              ,0.69176             ,0.78964             ,0.56139             ,0.47432             ,0.56668             ,0.20862             ,0.1551              ,0.732               ,0.09228             ,0.57437             ,0.13685             ,0.91209             ,0.28404             ,0.49337             ,0.73824             ,0.04571             ,0.38208             ,0.69796             ,0.44973             ,0.68711             ,-0.03735            ,0.02194             ,0.07005             ,0.397               ,0.28672             ,0.60886             ,0.32849             ,0.29376             ,0.24085             ,0.61088             ,0.36376             ,0.55738             ,0.33435             ,0.59209             ,0.50832             ,0.24944             ,0.12034             ,0.22148             ,0.13077             ,0.01649             ,0.51701             ,0.20708             ,0.92391             ,0.88297             ,0.20021             ,0.94589             ,0.75462             ,0.95007             ,0.11308             ,0.40691             ,0.29716             ,0.80237             ,0.66324             ,0.83831             ,0.06826             ,0.13774             ,0.30929             
350                 ,0.57658             ,0.58076             ,0.08875             ,0.08802             ,354                 ,390                 ,2995                ,2227                ,0.40891             ,0.06375             ,0.85129             ,0.06424             ,0.29515             ,0.21182             ,0.2877              ,0.44752             ,0.41089             ,0.84999             ,0.85624             ,0.09375             ,0.29415             ,0.37429             ,0.15931             ,0.6508              ,0.78121             ,0.55804             ,0.43837             ,0.53934             ,0.20399             ,0.13326             ,0.70652             ,0.0964              ,0.53062             ,0.12378             ,0.89421             ,0.25325             ,0.45455             ,0.69529             ,0.03917             ,0.34409             ,0.67401             ,0.40987             ,0.66862             ,-0.03971            ,0.00477             ,0.07901             ,0.3825              ,0.26421             ,0.59182             ,0.32305             ,0.27665             ,0.2326              ,0.5851              ,0.32403             ,0.53491             ,0.32139             ,0.58632             ,0.50036             ,0.25015             ,0.12077             ,0.21351             ,0.13414             ,0.01495             ,0.50773             ,0.20725             ,0.9065              ,0.86527             ,0.20206             ,0.93676             ,0.72542             ,0.92881             ,0.11849             ,0.40277             ,0.29367             ,0.78018             ,0.64757             ,0.80987             ,0.0717              ,0.13632             ,0.30929             
400                 ,0.58217             ,0.58558             ,0.08816             ,0.08751             ,354                 ,380                 ,2995                ,2227                ,0.38756             ,0.04807             ,0.83876             ,0.05968             ,0.26431             ,0.20977             ,0.25554             ,0.42087             ,0.40427             ,0.8281              ,0.83582             ,0.07619             ,0.25514             ,0.34248             ,0.15452             ,0.61095             ,0.77102             ,0.55438             ,0.40288             ,0.51223             ,0.19822             ,0.11261             ,0.6788              ,0.09878             ,0.48889             ,0.11214             ,0.8764              ,0.22428             ,0.41694             ,0.6532              ,0.03322             ,0.30865             ,0.65023             ,0.37218             ,0.64876             ,-0.03678            ,-0.01465            ,0.08386             ,0.36802             ,0.24336             ,0.57309             ,0.32203             ,0.25746             ,0.22076             ,0.56025             ,0.28766             ,0.51024             ,0.30945             ,0.57763             ,0.48999             ,0.25136             ,0.1221              ,0.20402             ,0.13578             ,0.01351             ,0.49753             ,0.20763             ,0.8885              ,0.8452              ,0.20205             ,0.92695             ,0.69762             ,0.90552             ,0.12191             ,0.39834             ,0.29086             ,0.75705             ,0.63374             ,0.77914             ,0.07235             ,0.13452             ,0.30885             
450                 ,0.5863              ,0.58864             ,0.08772             ,0.08719             ,353                 ,373                 ,2995                ,2225                ,0.36567             ,0.03484             ,0.82498             ,0.05515             ,0.2369              ,0.20645             ,0.22572             ,0.39464             ,0.3969              ,0.80564             ,0.81584             ,0.06051             ,0.21912             ,0.31214             ,0.14919             ,0.57256             ,0.76091             ,0.5501              ,0.36693             ,0.4852              ,0.19159             ,0.09448             ,0.65128             ,0.10007             ,0.44951             ,0.10046             ,0.85732             ,0.19703             ,0.38189             ,0.6124              ,0.02788             ,0.27564             ,0.62563             ,0.3361              ,0.62991             ,-0.03222            ,-0.03442            ,0.08818             ,0.35325             ,0.22333             ,0.55483             ,0.32312             ,0.23929             ,0.20915             ,0.53575             ,0.25263             ,0.48543             ,0.29796             ,0.56661             ,0.47985             ,0.25207             ,0.1235              ,0.19711             ,0.13642             ,0.01216             ,0.48711             ,0.2076              ,0.8699              ,0.82555             ,0.20241             ,0.91536             ,0.67166             ,0.88085             ,0.12547             ,0.39469             ,0.28866             ,0.73054             ,0.61846             ,0.74748             ,0.07313             ,0.13386             ,0.30782             
500                 ,0.58963             ,0.59183             ,0.08737             ,0.08685             ,351                 ,369                 ,2996                ,2225                ,0.34401             ,0.02389             ,0.81094             ,0.05047             ,0.2103              ,0.20248             ,0.19822             ,0.36917             ,0.38947             ,0.78294             ,0.79531             ,0.04717             ,0.18598             ,0.28317             ,0.14357             ,0.53565             ,0.75003             ,0.5454              ,0.33284             ,0.45876             ,0.18427             ,0.07832             ,0.62257             ,0.10084             ,0.41205             ,0.08924             ,0.83803             ,0.17179             ,0.34826             ,0.57308             ,0.0231              ,0.24488             ,0.60108             ,0.30137             ,0.61095             ,-0.02689            ,-0.05511            ,0.09414             ,0.33814             ,0.2041              ,0.53635             ,0.32469             ,0.22004             ,0.19719             ,0.51143             ,0.2194              ,0.45868             ,0.28597             ,0.55543             ,0.46986             ,0.25305             ,0.12434             ,0.18835             ,0.13679             ,0.01051             ,0.47773             ,0.20773             ,0.85115             ,0.80495             ,0.20194             ,0.90319             ,0.64543             ,0.85546             ,0.12815             ,0.39092             ,0.28692             ,0.70433             ,0.60404             ,0.71536             ,0.0723              ,0.13202             ,0.30688             
