epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0.00765             ,0.00739             ,0.13586             ,0.13544             ,2311                ,1801                ,3239                ,0.04507             ,0.9412              ,0.72431             ,0.74455             ,0.25137             ,0.30821             ,0.11376             ,0.11606             ,0.41638             ,0.18581             ,0.45372             ,0.51759             
100                 ,0.01977             ,0.01975             ,0.13503             ,0.13459             ,2256                ,1847                ,3293                ,0.03505             ,0.89402             ,0.68457             ,0.6959              ,0.23591             ,0.28146             ,0.10587             ,0.11504             ,0.41436             ,0.18783             ,0.45795             ,0.50195             
150                 ,0.03982             ,0.04028             ,0.13364             ,0.13317             ,2209                ,1885                ,3338                ,0.04343             ,0.84873             ,0.63123             ,0.65086             ,0.20665             ,0.2447              ,0.08505             ,0.11243             ,0.41554             ,0.1962              ,0.47219             ,0.5082              
200                 ,0.07969             ,0.08089             ,0.13084             ,0.13033             ,2202                ,1968                ,3377                ,0.03943             ,0.80449             ,0.56633             ,0.60921             ,0.1624              ,0.20205             ,0.05027             ,0.10886             ,0.42604             ,0.22059             ,0.49736             ,0.55128             
250                 ,0.17106             ,0.17561             ,0.12417             ,0.12343             ,2283                ,2019                ,3411                ,0.0183              ,0.76215             ,0.48087             ,0.57019             ,0.07601             ,0.20324             ,0.00078             ,0.09729             ,0.47279             ,0.28461             ,0.54268             ,0.62976             
300                 ,0.25275             ,0.26196             ,0.11789             ,0.11678             ,2359                ,2018                ,3435                ,0.01129             ,0.71889             ,0.38689             ,0.54355             ,-0.01603            ,0.20281             ,-0.05539            ,0.0934              ,0.52441             ,0.34352             ,0.59866             ,0.71566             
350                 ,0.32373             ,0.34028             ,0.11216             ,0.11041             ,2477                ,2018                ,3461                ,0.08103             ,0.67594             ,0.2948              ,0.53721             ,-0.08665            ,0.14331             ,-0.12744            ,0.0905              ,0.55822             ,0.38858             ,0.64829             ,0.78081             
400                 ,0.37614             ,0.40411             ,0.10772             ,0.10494             ,2486                ,2018                ,3459                ,0.20251             ,0.63433             ,0.21531             ,0.55392             ,-0.13572            ,0.02082             ,-0.22063            ,0.08812             ,0.5638              ,0.39322             ,0.6922              ,0.84563             
450                 ,0.40528             ,0.44027             ,0.10518             ,0.1017              ,2485                ,2019                ,3454                ,0.03183             ,0.59422             ,0.15838             ,0.5552              ,-0.16728            ,-0.07715            ,-0.26293            ,0.08776             ,0.5564              ,0.38627             ,0.72186             ,0.88373             
500                 ,0.42171             ,0.45741             ,0.10371             ,0.10013             ,2485                ,2019                ,3453                ,-0.09556            ,0.55568             ,0.11413             ,0.53964             ,-0.18452            ,-0.15339            ,-0.28281            ,0.08848             ,0.55622             ,0.37816             ,0.73593             ,0.89777             
550                 ,0.43211             ,0.46689             ,0.10278             ,0.09926             ,2485                ,2020                ,3453                ,-0.19229            ,0.51873             ,0.07709             ,0.51533             ,-0.19735            ,-0.21688            ,-0.29973            ,0.08902             ,0.56201             ,0.36773             ,0.74143             ,0.90003             
