epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0.00821             ,0.00548             ,0.13582             ,0.13557             ,398                 ,222                 ,824                 ,0.46781             ,0.50211             ,0.19273             ,0.68314             ,0.20113             ,0.48735             ,0.59046             ,0.10968             ,0.4494              ,0.05915             ,0.23874             ,0.79268             
100                 ,0.09816             ,0.10439             ,0.12952             ,0.12865             ,396                 ,227                 ,853                 ,0.45117             ,0.50855             ,0.1869              ,0.65298             ,0.20164             ,0.4884              ,0.59275             ,0.11399             ,0.45364             ,0.05771             ,0.23811             ,0.78919             
150                 ,0.23398             ,0.25014             ,0.11937             ,0.11772             ,387                 ,239                 ,916                 ,0.41985             ,0.51511             ,0.17516             ,0.6192              ,0.20251             ,0.48968             ,0.6044              ,0.11962             ,0.46215             ,0.05467             ,0.23796             ,0.78323             
200                 ,0.38314             ,0.40819             ,0.10712             ,0.10458             ,387                 ,256                 ,974                 ,0.36935             ,0.52098             ,0.15452             ,0.58281             ,0.20475             ,0.49218             ,0.63553             ,0.12533             ,0.47643             ,0.05085             ,0.23847             ,0.77291             
250                 ,0.57656             ,0.59946             ,0.08875             ,0.08603             ,384                 ,275                 ,1021                ,0.3186              ,0.5243              ,0.13166             ,0.54326             ,0.20472             ,0.48951             ,0.66654             ,0.12873             ,0.4889              ,0.04887             ,0.2429              ,0.76538             
300                 ,0.66932             ,0.66223             ,0.07843             ,0.07901             ,402                 ,294                 ,1031                ,0.29737             ,0.5214              ,0.1209              ,0.50441             ,0.20212             ,0.48258             ,0.66392             ,0.1295              ,0.48729             ,0.0503              ,0.24967             ,0.76122             
350                 ,0.67785             ,0.66065             ,0.07741             ,0.07919             ,406                 ,310                 ,1015                ,0.28146             ,0.51465             ,0.11274             ,0.46852             ,0.20033             ,0.47841             ,0.66311             ,0.13035             ,0.487               ,0.05133             ,0.25289             ,0.75636             
400                 ,0.68084             ,0.66149             ,0.07705             ,0.07909             ,405                 ,322                 ,997                 ,0.2689              ,0.50643             ,0.10689             ,0.43404             ,0.19598             ,0.4727              ,0.65481             ,0.13129             ,0.48457             ,0.05244             ,0.25673             ,0.7543              
450                 ,0.68286             ,0.66362             ,0.0768              ,0.07884             ,404                 ,331                 ,981                 ,0.25704             ,0.49763             ,0.10176             ,0.40078             ,0.19003             ,0.46697             ,0.64233             ,0.13214             ,0.48129             ,0.05368             ,0.26107             ,0.75278             
500                 ,0.6844              ,0.66584             ,0.07662             ,0.07858             ,404                 ,339                 ,968                 ,0.2446              ,0.48861             ,0.09667             ,0.36876             ,0.18289             ,0.46163             ,0.62715             ,0.13276             ,0.47772             ,0.05503             ,0.26581             ,0.75115             
550                 ,0.68559             ,0.66774             ,0.07647             ,0.07836             ,404                 ,346                 ,956                 ,0.23076             ,0.4794              ,0.09112             ,0.33806             ,0.17497             ,0.45659             ,0.61106             ,0.13317             ,0.47429             ,0.05637             ,0.27075             ,0.7494              
600                 ,0.68649             ,0.66888             ,0.07636             ,0.07822             ,403                 ,351                 ,947                 ,0.21308             ,0.47001             ,0.08364             ,0.30888             ,0.16678             ,0.45111             ,0.59776             ,0.13335             ,0.4724              ,0.0574              ,0.27559             ,0.74812             
650                 ,0.6873              ,0.66998             ,0.07626             ,0.07809             ,402                 ,356                 ,940                 ,0.19271             ,0.46036             ,0.07461             ,0.28134             ,0.15849             ,0.44514             ,0.58676             ,0.13339             ,0.47172             ,0.0581              ,0.28032             ,0.7472              
700                 ,0.68807             ,0.67164             ,0.07617             ,0.0779              ,402                 ,365                 ,935                 ,0.17098             ,0.45057             ,0.06471             ,0.25547             ,0.14984             ,0.43878             ,0.57656             ,0.13329             ,0.47166             ,0.05858             ,0.28506             ,0.74674             
