epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.25053             ,0.25148             ,3819                ,2180                ,3249                ,0.684               ,0.68135             
100                 ,0                   ,0                   ,0.15077             ,0.15122             ,3813                ,2193                ,3248                ,0.67143             ,0.69266             
150                 ,0                   ,0                   ,0.1396              ,0.13952             ,3809                ,2190                ,3233                ,0.67015             ,0.69345             
200                 ,0                   ,0                   ,0.13901             ,0.13892             ,3805                ,2185                ,3215                ,0.66999             ,0.69318             
250                 ,0                   ,0                   ,0.1382              ,0.13803             ,3802                ,2180                ,3204                ,0.6698              ,0.69275             
300                 ,0                   ,0                   ,0.13713             ,0.13685             ,3799                ,2175                ,3202                ,0.66941             ,0.69232             
350                 ,0.00745             ,0.00705             ,0.13587             ,0.13546             ,3797                ,2171                ,3202                ,0.66878             ,0.69198             
400                 ,0.02819             ,0.03031             ,0.13445             ,0.13386             ,3797                ,2168                ,3202                ,0.66792             ,0.69169             
450                 ,0.05087             ,0.05602             ,0.13287             ,0.13208             ,3800                ,2165                ,3202                ,0.66683             ,0.69146             
500                 ,0.07445             ,0.08317             ,0.13121             ,0.13016             ,3805                ,2164                ,3202                ,0.66555             ,0.69129             
550                 ,0.09729             ,0.10995             ,0.12958             ,0.12825             ,3810                ,2164                ,3202                ,0.66411             ,0.69117             
600                 ,0.11838             ,0.13504             ,0.12806             ,0.12643             ,3813                ,2164                ,3202                ,0.66257             ,0.69109             
650                 ,0.13738             ,0.15792             ,0.12667             ,0.12474             ,3813                ,2164                ,3202                ,0.66092             ,0.69105             
700                 ,0.15473             ,0.17891             ,0.12539             ,0.12318             ,3813                ,2164                ,3202                ,0.65917             ,0.69104             
750                 ,0.17063             ,0.19808             ,0.1242              ,0.12173             ,3813                ,2165                ,3207                ,0.6573              ,0.69108             
800                 ,0.18518             ,0.21585             ,0.12311             ,0.12038             ,3813                ,2165                ,3207                ,0.6553              ,0.69118             
850                 ,0.19836             ,0.23209             ,0.12211             ,0.11912             ,3813                ,2165                ,3207                ,0.65319             ,0.6913              
900                 ,0.21004             ,0.24672             ,0.12122             ,0.11798             ,3813                ,2165                ,3207                ,0.65091             ,0.69147             
950                 ,0.22054             ,0.25996             ,0.12041             ,0.11694             ,3813                ,2165                ,3211                ,0.6485              ,0.69168             
1000                ,0.22963             ,0.27189             ,0.1197              ,0.116               ,3812                ,2164                ,3211                ,0.64588             ,0.69195             
1050                ,0.23747             ,0.28214             ,0.11909             ,0.11518             ,3812                ,2164                ,3211                ,0.64325             ,0.6922              
1100                ,0.24411             ,0.29066             ,0.11857             ,0.11449             ,3812                ,2164                ,3212                ,0.64056             ,0.69244             
1150                ,0.24979             ,0.29824             ,0.11813             ,0.11388             ,3812                ,2163                ,3213                ,0.63766             ,0.69274             
1200                ,0.25404             ,0.30422             ,0.11779             ,0.11339             ,3812                ,2163                ,3213                ,0.63458             ,0.69308             
1250                ,0.25732             ,0.30894             ,0.11753             ,0.11301             ,3812                ,2163                ,3213                ,0.63145             ,0.69341             
1300                ,0.26029             ,0.31299             ,0.1173              ,0.11268             ,3812                ,2163                ,3216                ,0.6282              ,0.69376             
1350                ,0.26234             ,0.31585             ,0.11714             ,0.11244             ,3811                ,2163                ,3216                ,0.62489             ,0.69411             
1400                ,0.26396             ,0.31834             ,0.11701             ,0.11224             ,3811                ,2158                ,3216                ,0.62152             ,0.69443             
1450                ,0.26526             ,0.32009             ,0.1169              ,0.11209             ,3811                ,2151                ,3216                ,0.61815             ,0.69472             
1500                ,0.2662              ,0.3214              ,0.11683             ,0.11198             ,3811                ,2150                ,3216                ,0.61473             ,0.69497             
1550                ,0.26716             ,0.32267             ,0.11675             ,0.11188             ,3811                ,2149                ,3218                ,0.61109             ,0.69526             
1600                ,0.26776             ,0.32356             ,0.1167              ,0.1118              ,3811                ,2149                ,3218                ,0.60737             ,0.69555             
1650                ,0.26822             ,0.32431             ,0.11667             ,0.11174             ,3811                ,2149                ,3218                ,0.60363             ,0.69579             
1700                ,0.26858             ,0.32495             ,0.11664             ,0.11169             ,3811                ,2149                ,3218                ,0.59977             ,0.69604             
1750                ,0.26887             ,0.32548             ,0.11662             ,0.11165             ,3811                ,2149                ,3218                ,0.59582             ,0.69627             
1800                ,0.26912             ,0.32591             ,0.1166              ,0.11161             ,3811                ,2149                ,3218                ,0.5917              ,0.69652             
1850                ,0.26932             ,0.3262              ,0.11658             ,0.11159             ,3811                ,2149                ,3218                ,0.5875              ,0.69676             
