epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0.10466             ,0.11319             ,0.12905             ,0.12802             ,318                 ,3774                ,0.09604             
100                 ,0.24498             ,0.26885             ,0.11851             ,0.11624             ,335                 ,3763                ,0.14678             
150                 ,0.40357             ,0.42985             ,0.10533             ,0.10265             ,353                 ,3754                ,0.19316             
200                 ,0.46971             ,0.4932              ,0.09932             ,0.09678             ,358                 ,3701                ,0.20149             
250                 ,0.50544             ,0.52315             ,0.09591             ,0.09387             ,354                 ,3663                ,0.2038              
300                 ,0.52339             ,0.53612             ,0.09416             ,0.09259             ,352                 ,3635                ,0.20701             
350                 ,0.53268             ,0.5417              ,0.09323             ,0.09203             ,346                 ,3616                ,0.21016             
400                 ,0.53497             ,0.54162             ,0.093               ,0.09204             ,343                 ,3618                ,0.21325             
450                 ,0.5363              ,0.54172             ,0.09287             ,0.09203             ,342                 ,3618                ,0.21714             
500                 ,0.5371              ,0.54181             ,0.09279             ,0.09202             ,342                 ,3618                ,0.22164             
550                 ,0.53767             ,0.54196             ,0.09273             ,0.092               ,342                 ,3618                ,0.22645             
600                 ,0.53812             ,0.54214             ,0.09269             ,0.09198             ,341                 ,3618                ,0.23107             
650                 ,0.53851             ,0.54237             ,0.09265             ,0.09196             ,341                 ,3618                ,0.23529             
700                 ,0.53892             ,0.54264             ,0.09261             ,0.09193             ,341                 ,3618                ,0.23936             
750                 ,0.53962             ,0.54339             ,0.09254             ,0.09186             ,340                 ,3618                ,0.24305             
800                 ,0.54086             ,0.54543             ,0.09241             ,0.09165             ,340                 ,3618                ,0.24613             
850                 ,0.54242             ,0.54817             ,0.09226             ,0.09138             ,340                 ,3618                ,0.24801             
900                 ,0.54384             ,0.55054             ,0.09211             ,0.09114             ,342                 ,3618                ,0.24843             
950                 ,0.54506             ,0.55207             ,0.09199             ,0.09098             ,342                 ,3618                ,0.24792             
1000                ,0.54599             ,0.55314             ,0.0919              ,0.09087             ,342                 ,3618                ,0.24692             
1050                ,0.54665             ,0.55382             ,0.09183             ,0.0908              ,342                 ,3618                ,0.24596             
1100                ,0.54715             ,0.5544              ,0.09178             ,0.09074             ,342                 ,3618                ,0.24416             
1150                ,0.54747             ,0.55464             ,0.09175             ,0.09072             ,342                 ,3618                ,0.24347             
1200                ,0.54768             ,0.55488             ,0.09172             ,0.09069             ,342                 ,3618                ,0.24238             
1250                ,0.54789             ,0.55508             ,0.0917              ,0.09068             ,342                 ,3618                ,0.24096             
1300                ,0.54834             ,0.55567             ,0.09166             ,0.09061             ,341                 ,3618                ,0.23767             
1350                ,0.54891             ,0.55581             ,0.0916              ,0.0906              ,340                 ,3618                ,0.23612             
1400                ,0.54937             ,0.55602             ,0.09155             ,0.09058             ,340                 ,3618                ,0.23438             
1450                ,0.54968             ,0.55618             ,0.09152             ,0.09056             ,340                 ,3618                ,0.23361             
1500                ,0.54992             ,0.55662             ,0.0915              ,0.09052             ,340                 ,3618                ,0.2327              
1550                ,0.55011             ,0.55701             ,0.09148             ,0.09048             ,340                 ,3618                ,0.23243             
1600                ,0.55021             ,0.55695             ,0.09147             ,0.09048             ,340                 ,3618                ,0.2323              
1650                ,0.55028             ,0.557               ,0.09146             ,0.09048             ,340                 ,3618                ,0.23258             
1700                ,0.55032             ,0.55699             ,0.09146             ,0.09048             ,340                 ,3618                ,0.23283             
1750                ,0.55034             ,0.55702             ,0.09145             ,0.09048             ,340                 ,3618                ,0.23308             
1800                ,0.55035             ,0.55704             ,0.09145             ,0.09047             ,340                 ,3618                ,0.23356             
1850                ,0.55037             ,0.55703             ,0.09145             ,0.09048             ,340                 ,3618                ,0.23379             
1900                ,0.55039             ,0.55704             ,0.09145             ,0.09048             ,340                 ,3618                ,0.234               
1950                ,0.5504              ,0.55703             ,0.09145             ,0.09048             ,340                 ,3618                ,0.23419             
2000                ,0.55041             ,0.55703             ,0.09145             ,0.09048             ,340                 ,3618                ,0.23436             
2050                ,0.55042             ,0.55703             ,0.09145             ,0.09048             ,340                 ,3618                ,0.23453             
2100                ,0.55042             ,0.55701             ,0.09145             ,0.09048             ,340                 ,3618                ,0.23468             
2150                ,0.55043             ,0.55703             ,0.09145             ,0.09048             ,340                 ,3618                ,0.23479             
