epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24
50                  ,0.09088             ,0.10446             ,0.13004             ,0.12864             ,879                 ,2309                ,1526                ,2457                ,0.25582             ,0.27389             ,0.10224             ,0.51003             ,0.23667             ,0.75061             ,0.37742             ,0.20555             ,0.81368             ,0.9584              ,0.51989             ,0.17154             ,0.09195             ,0.65641             ,0.48163             ,0.32402             ,0.75163             ,0.65502             ,0.38663             ,0.80757             ,0.14999             ,0.62657             ,0.81266             ,0.78493             ,-0.01517            ,0.47282             ,0.73647             ,0.1151              ,0.3066              ,0.91135             ,0.09353             ,0.1147              ,-0.00724            ,0.30506             ,0.2993              ,0.05908             ,0.02556             ,0.22166             ,0.25201             ,-0.00901            ,0.35447             ,0.51508             ,0.79833             ,0.19404             ,0.34343             ,0.7941              ,0.89021             ,0.80142             ,0.71268             ,0.06982             ,0.92502             ,0.34546             ,0.0761              ,0.60654             ,0.34261             ,0.14158             ,0.51822             ,0.85698             ,0.75594             ,0.5683              ,0.98278             ,0.24785             ,0.26921             ,0.44261             ,0.32499             ,0.52433             ,0.02071             ,0.89393             ,0.30405             ,0.85864             ,0.89661             ,0.50368             
100                 ,0.16576             ,0.19159             ,0.12457             ,0.12223             ,832                 ,2289                ,1475                ,2436                ,0.20977             ,0.22847             ,0.10574             ,0.46304             ,0.1997              ,0.71618             ,0.33482             ,0.1631              ,0.76602             ,0.91434             ,0.50721             ,0.15573             ,0.06086             ,0.62438             ,0.45547             ,0.2787              ,0.70868             ,0.60341             ,0.34099             ,0.7561              ,0.13814             ,0.62151             ,0.79086             ,0.76638             ,-0.02652            ,0.42563             ,0.69698             ,0.07236             ,0.26119             ,0.86728             ,0.03838             ,0.08457             ,-0.02647            ,0.25853             ,0.25581             ,0.01269             ,0.02017             ,0.24156             ,0.23846             ,-0.08025            ,0.33728             ,0.45867             ,0.75037             ,0.15555             ,0.29161             ,0.7867              ,0.84251             ,0.73525             ,0.70656             ,0.03281             ,0.89058             ,0.33608             ,0.07882             ,0.60682             ,0.34371             ,0.14045             ,0.51437             ,0.82995             ,0.75406             ,0.56632             ,0.97229             ,0.24835             ,0.2803              ,0.43281             ,0.33089             ,0.48478             ,0.02065             ,0.83898             ,0.32215             ,0.85129             ,0.88476             ,0.50073             
150                 ,0.27206             ,0.30557             ,0.11636             ,0.11328             ,789                 ,2246                ,1403                ,2408                ,0.16891             ,0.18997             ,0.09459             ,0.41991             ,0.16833             ,0.66562             ,0.29758             ,0.12973             ,0.72027             ,0.87056             ,0.49913             ,0.16037             ,0.02964             ,0.58181             ,0.43086             ,0.24105             ,0.66634             ,0.55347             ,0.29732             ,0.70303             ,0.13882             ,0.60988             ,0.76934             ,0.74877             ,-0.03898            ,0.38164             ,0.66922             ,0.03703             ,0.2209              ,0.80782             ,-0.01052            ,0.06564             ,-0.05151            ,0.23674             ,0.20431             ,-0.02958            ,0.01709             ,0.25184             ,0.2421              ,-0.14673            ,0.32718             ,0.40236             ,0.70365             ,0.06221             ,0.23768             ,0.74155             ,0.79911             ,0.68022             ,0.7035              ,-0.01225            ,0.84417             ,0.3307              ,0.09                ,0.59757             ,0.36053             ,0.17934             ,0.51334             ,0.78773             ,0.75301             ,0.5585              ,0.95658             ,0.25133             ,0.28982             ,0.40503             ,0.3353              ,0.43318             ,0.01533             ,0.79017             ,0.34307             ,0.83353             ,0.87133             ,0.49748             
200                 ,0.38788             ,0.42724             ,0.1067              ,0.10288             ,747                 ,2243                ,1343                ,2362                ,0.14485             ,0.15768             ,0.11436             ,0.3794              ,0.14786             ,0.6164              ,0.26378             ,0.09786             ,0.67745             ,0.83296             ,0.49232             ,0.22277             ,0.01086             ,0.53542             ,0.40175             ,0.20426             ,0.62462             ,0.50882             ,0.25875             ,0.65765             ,0.1419              ,0.58763             ,0.74861             ,0.73269             ,-0.07099            ,0.34086             ,0.62933             ,0.00717             ,0.18508             ,0.74221             ,-0.06631            ,0.01592             ,-0.08291            ,0.23809             ,0.14691             ,-0.06859            ,0.01156             ,0.25618             ,0.2448              ,-0.21449            ,0.32129             ,0.35394             ,0.65871             ,-0.02628            ,0.18223             ,0.67509             ,0.763               ,0.6424              ,0.70163             ,-0.03199            ,0.81426             ,0.32155             ,0.11548             ,0.60243             ,0.39254             ,0.19133             ,0.50653             ,0.7575              ,0.7514              ,0.55901             ,0.94175             ,0.25217             ,0.29254             ,0.41103             ,0.33562             ,0.39514             ,0.03316             ,0.78849             ,0.36205             ,0.81602             ,0.85366             ,0.49171             
250                 ,0.47864             ,0.51783             ,0.09848             ,0.09439             ,710                 ,2242                ,1282                ,2345                ,0.13795             ,0.12898             ,0.14248             ,0.34091             ,0.12877             ,0.56638             ,0.23396             ,0.06839             ,0.63672             ,0.79717             ,0.48384             ,0.3115              ,0.00046             ,0.4932              ,0.37238             ,0.17108             ,0.58334             ,0.46643             ,0.22376             ,0.62064             ,0.13411             ,0.55468             ,0.73286             ,0.71692             ,-0.08599            ,0.30259             ,0.58488             ,-0.01385            ,0.15152             ,0.67901             ,-0.11891            ,-0.07458            ,-0.10866            ,0.28406             ,0.09567             ,-0.09688            ,0.00276             ,0.25616             ,0.2445              ,-0.27449            ,0.31006             ,0.31827             ,0.61565             ,-0.10068            ,0.13238             ,0.6074              ,0.73526             ,0.61123             ,0.70271             ,-0.04668            ,0.77672             ,0.31411             ,0.13981             ,0.60782             ,0.42657             ,0.22638             ,0.49605             ,0.72959             ,0.75238             ,0.5536              ,0.92602             ,0.25235             ,0.2914              ,0.42418             ,0.33267             ,0.36398             ,0.04666             ,0.80015             ,0.37914             ,0.7981              ,0.83577             ,0.4854              
300                 ,0.54376             ,0.57843             ,0.09212             ,0.08826             ,680                 ,2233                ,1223                ,2346                ,0.12721             ,0.10388             ,0.16491             ,0.30671             ,0.10561             ,0.52583             ,0.20462             ,0.04019             ,0.59691             ,0.76085             ,0.4696              ,0.38224             ,-0.01455            ,0.45524             ,0.3415              ,0.1423              ,0.54253             ,0.42567             ,0.19012             ,0.58545             ,0.10851             ,0.5191              ,0.71714             ,0.69631             ,-0.07589            ,0.26692             ,0.5429              ,-0.02684            ,0.12421             ,0.6297              ,-0.14936            ,-0.16186            ,-0.12553            ,0.32692             ,0.06099             ,-0.11484            ,-0.00512            ,0.24959             ,0.23438             ,-0.32418            ,0.28872             ,0.29069             ,0.57408             ,-0.14683            ,0.09777             ,0.55153             ,0.70933             ,0.57489             ,0.70072             ,-0.05885            ,0.73303             ,0.30471             ,0.15518             ,0.61238             ,0.44965             ,0.2694              ,0.48367             ,0.70075             ,0.75392             ,0.54321             ,0.90999             ,0.24987             ,0.28705             ,0.44111             ,0.32749             ,0.33473             ,0.05015             ,0.80647             ,0.38691             ,0.77448             ,0.81552             ,0.47632             
350                 ,0.61793             ,0.64564             ,0.0843              ,0.08092             ,654                 ,2164                ,1166                ,2345                ,0.1221              ,0.08513             ,0.1835              ,0.27543             ,0.08668             ,0.48737             ,0.18174             ,0.01772             ,0.55778             ,0.72669             ,0.45309             ,0.43143             ,-0.03713            ,0.42036             ,0.31346             ,0.1196              ,0.50339             ,0.38722             ,0.1636              ,0.55861             ,0.08678             ,0.48251             ,0.705               ,0.6764              ,-0.06218            ,0.23468             ,0.50282             ,-0.03334            ,0.0939              ,0.58253             ,-0.17223            ,-0.24635            ,-0.13451            ,0.36088             ,0.02398             ,-0.12203            ,-0.01617            ,0.24289             ,0.22337             ,-0.36667            ,0.26689             ,0.27109             ,0.53652             ,-0.19333            ,0.06364             ,0.4967              ,0.68956             ,0.54343             ,0.699               ,-0.08795            ,0.70207             ,0.29436             ,0.17306             ,0.61675             ,0.46664             ,0.30132             ,0.46932             ,0.68014             ,0.75778             ,0.53366             ,0.89278             ,0.24799             ,0.28272             ,0.45952             ,0.32335             ,0.31315             ,0.06266             ,0.80862             ,0.39583             ,0.75502             ,0.79505             ,0.46797             
400                 ,0.65396             ,0.67602             ,0.08023             ,0.07738             ,635                 ,2145                ,1112                ,2346                ,0.10106             ,0.06675             ,0.1983              ,0.24606             ,0.06599             ,0.46131             ,0.15691             ,0.00731             ,0.51937             ,0.69217             ,0.4327              ,0.4398              ,-0.06603            ,0.38717             ,0.28552             ,0.08958             ,0.46221             ,0.34956             ,0.1382              ,0.52487             ,0.0632              ,0.45401             ,0.69315             ,0.65461             ,-0.03685            ,0.2039              ,0.46195             ,-0.03128            ,0.07293             ,0.54735             ,-0.17505            ,-0.30909            ,-0.13663            ,0.38925             ,0.00649             ,-0.10051            ,-0.0228             ,0.22906             ,0.20626             ,-0.39513            ,0.23316             ,0.2455              ,0.50119             ,-0.22572            ,0.04927             ,0.45253             ,0.66812             ,0.5033              ,0.6967              ,-0.09161            ,0.67324             ,0.28827             ,0.18285             ,0.62075             ,0.47637             ,0.32248             ,0.45166             ,0.6638              ,0.75472             ,0.53086             ,0.87467             ,0.24291             ,0.27607             ,0.48268             ,0.3107              ,0.27834             ,0.0603              ,0.81177             ,0.39192             ,0.74111             ,0.77559             ,0.46218             
450                 ,0.67861             ,0.69735             ,0.07732             ,0.07479             ,619                 ,2144                ,1075                ,2346                ,0.07974             ,0.04779             ,0.2049              ,0.21809             ,0.04784             ,0.43839             ,0.13776             ,-0.00043            ,0.48191             ,0.65879             ,0.41376             ,0.41887             ,-0.07829            ,0.35488             ,0.25998             ,0.06675             ,0.42501             ,0.31448             ,0.11557             ,0.49408             ,0.04612             ,0.42851             ,0.67884             ,0.63034             ,-0.01856            ,0.17361             ,0.42499             ,-0.02912            ,0.05206             ,0.51645             ,-0.16632            ,-0.35728            ,-0.13465            ,0.40203             ,-0.01017            ,-0.073              ,-0.02708            ,0.21132             ,0.189               ,-0.4159             ,0.20355             ,0.21586             ,0.46547             ,-0.25094            ,0.0402              ,0.41552             ,0.6451              ,0.46315             ,0.69134             ,-0.07036            ,0.64825             ,0.27675             ,0.18849             ,0.61971             ,0.47717             ,0.33954             ,0.43336             ,0.64805             ,0.75114             ,0.52773             ,0.85571             ,0.23851             ,0.27151             ,0.49986             ,0.30068             ,0.24828             ,0.05886             ,0.80725             ,0.38693             ,0.72682             ,0.75346             ,0.45485             
500                 ,0.69222             ,0.70866             ,0.07566             ,0.07337             ,607                 ,2144                ,1046                ,2346                ,0.05892             ,0.03376             ,0.19978             ,0.19124             ,0.03332             ,0.41718             ,0.11974             ,-0.01337            ,0.44549             ,0.62398             ,0.39619             ,0.38339             ,-0.08292            ,0.32582             ,0.23551             ,0.04775             ,0.39091             ,0.28292             ,0.0953              ,0.46403             ,0.03301             ,0.40626             ,0.66364             ,0.60415             ,-0.00068            ,0.14748             ,0.39222             ,-0.02569            ,0.03521             ,0.49068             ,-0.15321            ,-0.38754            ,-0.12938            ,0.39829             ,-0.02258            ,-0.04662            ,-0.02885            ,0.19236             ,0.16984             ,-0.43063            ,0.17654             ,0.18661             ,0.43014             ,-0.27127            ,0.03438             ,0.38371             ,0.62085             ,0.42146             ,0.6853              ,-0.05138            ,0.62223             ,0.2661              ,0.19205             ,0.6123              ,0.47525             ,0.35286             ,0.41476             ,0.63323             ,0.7439              ,0.52519             ,0.83536             ,0.23579             ,0.26799             ,0.51355             ,0.29583             ,0.23041             ,0.05584             ,0.79984             ,0.38176             ,0.71056             ,0.73128             ,0.44669             
