epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0                   ,0                   ,0.1399              ,0.13948             ,1703                ,1401                ,3362                ,0.31728             ,0.6689              
100                 ,0                   ,0                   ,0.13798             ,0.13767             ,1705                ,1392                ,3330                ,0.32977             ,0.65874             
150                 ,0                   ,0                   ,0.13686             ,0.13656             ,1705                ,1385                ,3294                ,0.33986             ,0.65027             
200                 ,0.00353             ,0.00155             ,0.13614             ,0.13583             ,1706                ,1377                ,3261                ,0.34689             ,0.64373             
250                 ,0.00829             ,0.00627             ,0.13582             ,0.13551             ,1706                ,1368                ,3247                ,0.35011             ,0.64029             
300                 ,0.01234             ,0.01037             ,0.13554             ,0.13523             ,1708                ,1357                ,3249                ,0.35162             ,0.63821             
350                 ,0.01945             ,0.01786             ,0.13505             ,0.13472             ,1711                ,1340                ,3272                ,0.35243             ,0.63654             
400                 ,0.03713             ,0.03592             ,0.13383             ,0.13348             ,1715                ,1316                ,3319                ,0.35316             ,0.6343              
450                 ,0.06179             ,0.0613              ,0.1321              ,0.13171             ,1718                ,1283                ,3361                ,0.35244             ,0.63196             
500                 ,0.09032             ,0.0906              ,0.13008             ,0.12964             ,1718                ,1239                ,3401                ,0.34829             ,0.63127             
550                 ,0.11918             ,0.12118             ,0.128               ,0.12744             ,1718                ,1175                ,3423                ,0.34075             ,0.63226             
600                 ,0.15752             ,0.16247             ,0.12518             ,0.12441             ,1718                ,1086                ,3450                ,0.3311              ,0.63391             
650                 ,0.23296             ,0.24457             ,0.11945             ,0.11815             ,1717                ,960                 ,3460                ,0.32001             ,0.63509             
700                 ,0.39438             ,0.41519             ,0.10614             ,0.10396             ,1687                ,835                 ,3460                ,0.30661             ,0.63466             
750                 ,0.53145             ,0.55591             ,0.09336             ,0.09059             ,1626                ,753                 ,3461                ,0.29488             ,0.63453             
800                 ,0.63186             ,0.65409             ,0.08275             ,0.07995             ,1519                ,701                 ,3460                ,0.28343             ,0.63974             
850                 ,0.67035             ,0.68873             ,0.0783              ,0.07584             ,1444                ,668                 ,3460                ,0.27936             ,0.64636             
900                 ,0.68873             ,0.704               ,0.07609             ,0.07396             ,1393                ,644                 ,3459                ,0.2833              ,0.65029             
950                 ,0.69848             ,0.71227             ,0.07489             ,0.07292             ,1373                ,626                 ,3456                ,0.29229             ,0.65185             
1000                ,0.7059              ,0.71875             ,0.07396             ,0.07209             ,1364                ,608                 ,3456                ,0.30266             ,0.65158             
1050                ,0.71232             ,0.72426             ,0.07315             ,0.07138             ,1357                ,592                 ,3456                ,0.31216             ,0.65098             
1100                ,0.71788             ,0.72877             ,0.07244             ,0.0708              ,1349                ,578                 ,3456                ,0.32062             ,0.65007             
1150                ,0.72256             ,0.73275             ,0.07184             ,0.07028             ,1342                ,565                 ,3456                ,0.32795             ,0.64868             
1200                ,0.7267              ,0.73633             ,0.0713              ,0.0698              ,1337                ,552                 ,3456                ,0.33403             ,0.64689             
1250                ,0.73026             ,0.73936             ,0.07083             ,0.0694              ,1331                ,541                 ,3456                ,0.33913             ,0.64499             
1300                ,0.73324             ,0.74192             ,0.07044             ,0.06906             ,1326                ,530                 ,3456                ,0.34371             ,0.64306             
1350                ,0.73599             ,0.74427             ,0.07008             ,0.06874             ,1320                ,520                 ,3456                ,0.34719             ,0.6409              
1400                ,0.73859             ,0.74661             ,0.06973             ,0.06843             ,1315                ,511                 ,3456                ,0.34943             ,0.63833             
1450                ,0.741               ,0.74846             ,0.06941             ,0.06818             ,1310                ,503                 ,3456                ,0.35014             ,0.63537             
1500                ,0.74328             ,0.7504              ,0.0691              ,0.06792             ,1306                ,494                 ,3456                ,0.34921             ,0.63168             
1550                ,0.74561             ,0.75242             ,0.06879             ,0.06764             ,1301                ,486                 ,3456                ,0.34802             ,0.62795             
