epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0                   ,0                   ,0.1371              ,0.13663             ,3557                ,3574                ,3090                ,0.90249             ,0.05423             ,0.49125             ,0.16723             ,0.49797             ,0.06331             ,0.3897              ,0.87882             ,0.15966             ,0.95339             ,0.4488              ,0.7101              
100                 ,0.00769             ,0.00803             ,0.13586             ,0.13539             ,3580                ,3549                ,3092                ,0.88973             ,0.0502              ,0.48339             ,0.16541             ,0.4964              ,0.06179             ,0.38901             ,0.84447             ,0.1604              ,0.95323             ,0.44806             ,0.7105              
150                 ,0.02309             ,0.02272             ,0.1348              ,0.13439             ,3606                ,3527                ,3093                ,0.87367             ,0.04669             ,0.47479             ,0.16345             ,0.4929              ,0.05899             ,0.38819             ,0.80676             ,0.16035             ,0.95142             ,0.44747             ,0.7092              
200                 ,0.0377              ,0.03653             ,0.13379             ,0.13343             ,3618                ,3504                ,3090                ,0.85499             ,0.0362              ,0.46494             ,0.15949             ,0.48793             ,0.0525              ,0.38758             ,0.77164             ,0.16124             ,0.94928             ,0.44666             ,0.70794             
250                 ,0.05127             ,0.0493              ,0.13284             ,0.13255             ,3618                ,3482                ,3080                ,0.83434             ,0.00794             ,0.45335             ,0.15365             ,0.48196             ,0.04283             ,0.38723             ,0.74306             ,0.16312             ,0.94709             ,0.4457              ,0.70691             
300                 ,0.06381             ,0.06109             ,0.13196             ,0.13172             ,3618                ,3470                ,3065                ,0.81206             ,-0.0412             ,0.44061             ,0.14566             ,0.47533             ,0.03038             ,0.38721             ,0.72381             ,0.16557             ,0.94492             ,0.44457             ,0.70624             
350                 ,0.0764              ,0.07302             ,0.13107             ,0.13088             ,3618                ,3466                ,3058                ,0.78862             ,-0.0954             ,0.42736             ,0.13544             ,0.46823             ,0.01531             ,0.38754             ,0.7138              ,0.16835             ,0.94282             ,0.4433              ,0.70602             
400                 ,0.08983             ,0.08582             ,0.13011             ,0.12998             ,3618                ,3465                ,3059                ,0.76424             ,-0.15659            ,0.41348             ,0.12259             ,0.46076             ,-0.0028             ,0.38813             ,0.70673             ,0.17154             ,0.94111             ,0.44184             ,0.70659             
450                 ,0.1041              ,0.09945             ,0.12909             ,0.129               ,3618                ,3465                ,3060                ,0.73893             ,-0.21928            ,0.39931             ,0.10673             ,0.45297             ,-0.02417            ,0.38903             ,0.69988             ,0.1749              ,0.93978             ,0.44021             ,0.70811             
500                 ,0.11914             ,0.11383             ,0.128               ,0.12797             ,3619                ,3465                ,3060                ,0.71282             ,-0.28105            ,0.38525             ,0.08778             ,0.44486             ,-0.04897            ,0.39029             ,0.69257             ,0.17825             ,0.93875             ,0.43842             ,0.71063             
550                 ,0.13483             ,0.12891             ,0.12686             ,0.12688             ,3619                ,3467                ,3060                ,0.68594             ,-0.33954            ,0.37169             ,0.06572             ,0.43645             ,-0.07724            ,0.39197             ,0.68577             ,0.18142             ,0.93786             ,0.43653             ,0.71418             
600                 ,0.15084             ,0.14425             ,0.12568             ,0.12575             ,3619                ,3468                ,3060                ,0.65828             ,-0.39152            ,0.35891             ,0.04069             ,0.4278              ,-0.10882            ,0.39413             ,0.68023             ,0.18419             ,0.93692             ,0.43456             ,0.71869             
650                 ,0.16708             ,0.15993             ,0.12447             ,0.1246              ,3621                ,3471                ,3058                ,0.62977             ,-0.4338             ,0.34715             ,0.01298             ,0.41896             ,-0.14328            ,0.39682             ,0.67815             ,0.18636             ,0.9356              ,0.43257             ,0.72398             
700                 ,0.18224             ,0.17439             ,0.12333             ,0.12352             ,3621                ,3471                ,3057                ,0.60048             ,-0.4587             ,0.33646             ,0.00674             ,0.41                ,-0.18056            ,0.39999             ,0.67045             ,0.18789             ,0.93394             ,0.43054             ,0.73015             
750                 ,0.21745             ,0.20779             ,0.12065             ,0.12099             ,3625                ,3473                ,3058                ,0.5702              ,-0.45891            ,0.32651             ,0.02045             ,0.4013              ,-0.22199            ,0.40401             ,0.6563              ,0.18888             ,0.93218             ,0.42845             ,0.73814             
800                 ,0.26837             ,0.25578             ,0.11666             ,0.11727             ,3627                ,3473                ,3057                ,0.53718             ,-0.46161            ,0.31696             ,0.01906             ,0.39362             ,-0.27413            ,0.41357             ,0.65596             ,0.1895              ,0.9299              ,0.42645             ,0.74961             
850                 ,0.31747             ,0.30239             ,0.11267             ,0.11354             ,3630                ,3473                ,3057                ,0.50237             ,-0.47043            ,0.30666             ,0.01654             ,0.38656             ,-0.33763            ,0.43085             ,0.66288             ,0.19                ,0.92708             ,0.42454             ,0.76514             
900                 ,0.36202             ,0.34522             ,0.10893             ,0.11                ,3633                ,3473                ,3057                ,0.46696             ,-0.47719            ,0.29348             ,0.01395             ,0.37895             ,-0.40861            ,0.45511             ,0.67626             ,0.18989             ,0.92223             ,0.42268             ,0.78273             
950                 ,0.40163             ,0.38362             ,0.1055              ,0.10673             ,3635                ,3473                ,3055                ,0.43482             ,-0.48629            ,0.27061             ,0.01143             ,0.37077             ,-0.48218            ,0.48436             ,0.69197             ,0.18855             ,0.91446             ,0.42092             ,0.79958             
1000                ,0.43692             ,0.4182              ,0.10234             ,0.10369             ,3637                ,3473                ,3054                ,0.41041             ,-0.49244            ,0.22955             ,0.00902             ,0.36186             ,-0.55583            ,0.51587             ,0.70934             ,0.18575             ,0.90426             ,0.41926             ,0.8147              
1050                ,0.47024             ,0.45153             ,0.09927             ,0.10068             ,3639                ,3480                ,3053                ,0.39339             ,-0.49347            ,0.16608             ,0.00675             ,0.35153             ,-0.62543            ,0.54889             ,0.72985             ,0.18047             ,0.8904              ,0.41781             ,0.82365             
1100                ,0.50024             ,0.4812              ,0.09641             ,0.09791             ,3640                ,3481                ,3052                ,0.38604             ,-0.48966            ,0.07392             ,0.00457             ,0.33966             ,-0.69195            ,0.5816              ,0.74539             ,0.173               ,0.87513             ,0.41658             ,0.82857             
1150                ,0.52856             ,0.50819             ,0.09364             ,0.09533             ,3641                ,3481                ,3052                ,0.38427             ,-0.47744            ,-0.04359            ,0.00249             ,0.32601             ,-0.75126            ,0.61254             ,0.75739             ,0.16311             ,0.85891             ,0.41567             ,0.82724             
1200                ,0.55607             ,0.533               ,0.09087             ,0.0929              ,3642                ,3481                ,3052                ,0.38012             ,-0.46851            ,-0.16733            ,0.00057             ,0.31031             ,-0.80698            ,0.64079             ,0.76608             ,0.15204             ,0.84351             ,0.41534             ,0.82706             
1250                ,0.5823              ,0.55732             ,0.08814             ,0.09045             ,3643                ,3481                ,3052                ,0.36254             ,-0.46649            ,-0.26196            ,0.00032             ,0.29286             ,-0.86206            ,0.6663              ,0.77583             ,0.14079             ,0.82782             ,0.4158              ,0.8314              
1300                ,0.60645             ,0.57984             ,0.08556             ,0.08812             ,3643                ,3481                ,3052                ,0.33144             ,-0.46381            ,-0.30257            ,0.00033             ,0.27418             ,-0.91223            ,0.68932             ,0.78462             ,0.12995             ,0.81253             ,0.41723             ,0.83603             
1350                ,0.63442             ,0.60604             ,0.08246             ,0.08532             ,3643                ,3481                ,3052                ,0.2966              ,-0.46887            ,-0.32165            ,0.00032             ,0.25364             ,-0.96191            ,0.71251             ,0.79269             ,0.11888             ,0.80156             ,0.42078             ,0.84582             
1400                ,0.70022             ,0.6714              ,0.07467             ,0.07793             ,3631                ,3481                ,3054                ,0.23079             ,-0.51844            ,-0.35212            ,0.00033             ,0.22864             ,-1.04512            ,0.74978             ,0.82321             ,0.09299             ,0.79551             ,0.42992             ,0.88472             
1450                ,0.73234             ,0.70253             ,0.07056             ,0.07414             ,3632                ,3481                ,3054                ,0.15971             ,-0.53658            ,-0.3885             ,0.00062             ,0.21284             ,-1.12556            ,0.78126             ,0.85235             ,0.05588             ,0.76779             ,0.43374             ,0.90278             
1500                ,0.75185             ,0.72245             ,0.06794             ,0.07162             ,3632                ,3489                ,3054                ,0.10372             ,-0.52623            ,-0.41627            ,0.00063             ,0.20182             ,-1.1745             ,0.80343             ,0.86632             ,0.02016             ,0.74006             ,0.43512             ,0.90335             
1550                ,0.76418             ,0.73424             ,0.06623             ,0.07008             ,3632                ,3488                ,3055                ,0.05912             ,-0.51152            ,-0.43335            ,0.00062             ,0.19324             ,-1.21324            ,0.81917             ,0.87278             ,-0.01058            ,0.71859             ,0.43542             ,0.90487             
1600                ,0.77245             ,0.74323             ,0.06506             ,0.06888             ,3632                ,3494                ,3055                ,0.02334             ,-0.5007             ,-0.44716            ,0.00069             ,0.18572             ,-1.23924            ,0.83187             ,0.87692             ,-0.03708            ,0.70086             ,0.43541             ,0.90364             
1650                ,0.77714             ,0.74799             ,0.06438             ,0.06824             ,3631                ,3495                ,3055                ,-0.00541            ,-0.49003            ,-0.45472            ,0.00072             ,0.17936             ,-1.26075            ,0.83931             ,0.87752             ,-0.0591             ,0.68712             ,0.4347              ,0.90225             
1700                ,0.71092             ,0.7155              ,0.07333             ,0.07251             ,3639                ,3490                ,3142                ,-0.01526            ,-0.51324            ,-0.46718            ,0.00486             ,0.17824             ,-1.2948             ,0.87018             ,0.89929             ,-0.06189            ,0.66143             ,0.42865             ,0.92059             
