epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI2_0:i,GNDI2_0:j,GNDI2_0:alpha1
50                  ,0                   ,0                   ,0.13764             ,0.13701             ,2228                ,3507                ,0.61146             
100                 ,0.00535             ,0.00598             ,0.13602             ,0.13553             ,2234                ,3483                ,0.60699             
150                 ,0.00713             ,0.00795             ,0.1359              ,0.1354              ,2240                ,3466                ,0.60738             
200                 ,0.00889             ,0.00977             ,0.13578             ,0.13527             ,2249                ,3457                ,0.60733             
250                 ,0.01092             ,0.01189             ,0.13564             ,0.13513             ,2259                ,3452                ,0.60732             
300                 ,0.0132              ,0.01427             ,0.13548             ,0.13497             ,2271                ,3450                ,0.60736             
350                 ,0.01573             ,0.01694             ,0.13531             ,0.13478             ,2282                ,3450                ,0.60747             
400                 ,0.0185              ,0.01988             ,0.13512             ,0.13458             ,2295                ,3450                ,0.60767             
450                 ,0.02152             ,0.02306             ,0.13491             ,0.13436             ,2310                ,3450                ,0.60798             
500                 ,0.02488             ,0.0266              ,0.13468             ,0.13412             ,2328                ,3451                ,0.60844             
550                 ,0.02901             ,0.03092             ,0.13439             ,0.13382             ,2359                ,3457                ,0.60901             
600                 ,0.03456             ,0.03657             ,0.13401             ,0.13343             ,2411                ,3457                ,0.60987             
650                 ,0.04042             ,0.04251             ,0.1336              ,0.13302             ,2458                ,3457                ,0.61102             
700                 ,0.04577             ,0.04812             ,0.13323             ,0.13263             ,2470                ,3457                ,0.61235             
750                 ,0.05138             ,0.05405             ,0.13283             ,0.13221             ,2471                ,3458                ,0.6139              
800                 ,0.05743             ,0.06045             ,0.13241             ,0.13177             ,2471                ,3458                ,0.61573             
850                 ,0.06395             ,0.06736             ,0.13195             ,0.13128             ,2471                ,3458                ,0.61785             
900                 ,0.07097             ,0.07483             ,0.13145             ,0.13075             ,2471                ,3458                ,0.6203              
950                 ,0.07856             ,0.0829              ,0.13092             ,0.13018             ,2471                ,3458                ,0.62307             
1000                ,0.08673             ,0.09162             ,0.13033             ,0.12956             ,2471                ,3458                ,0.62618             
1050                ,0.09552             ,0.101               ,0.12971             ,0.12889             ,2471                ,3458                ,0.62962             
1100                ,0.10492             ,0.11105             ,0.12903             ,0.12817             ,2471                ,3458                ,0.63337             
1150                ,0.11523             ,0.12189             ,0.12829             ,0.12739             ,2471                ,3458                ,0.63731             
1200                ,0.12606             ,0.13297             ,0.1275              ,0.12658             ,2471                ,3458                ,0.6414              
1250                ,0.137               ,0.14459             ,0.1267              ,0.12573             ,2471                ,3458                ,0.64592             
1300                ,0.14812             ,0.1563              ,0.12588             ,0.12486             ,2471                ,3458                ,0.65059             
1350                ,0.15927             ,0.16805             ,0.12505             ,0.12399             ,2471                ,3457                ,0.65548             
1400                ,0.17031             ,0.17968             ,0.12423             ,0.12312             ,2471                ,3457                ,0.66052             
1450                ,0.18109             ,0.19108             ,0.12342             ,0.12226             ,2471                ,3457                ,0.66567             
1500                ,0.19148             ,0.20206             ,0.12263             ,0.12143             ,2471                ,3457                ,0.67082             
1550                ,0.2013              ,0.21255             ,0.12189             ,0.12063             ,2471                ,3457                ,0.67597             
1600                ,0.21044             ,0.22247             ,0.12119             ,0.11987             ,2471                ,3457                ,0.68103             
1650                ,0.2189              ,0.23171             ,0.12054             ,0.11915             ,2471                ,3457                ,0.68597             
1700                ,0.22669             ,0.24016             ,0.11993             ,0.1185              ,2471                ,3457                ,0.69076             
