epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3_0:i,GNDI3_0:j,GNDI3_0:k,GNDI3_0:alpha1,GNDI3_0:alpha2
50                  ,0.08552             ,0.098               ,0.13042             ,0.12911             ,3852                ,722                 ,38                  ,0.98905             ,0.51845             
100                 ,0.19005             ,0.21337             ,0.12274             ,0.12057             ,3866                ,681                 ,40                  ,0.9876              ,0.51427             
150                 ,0.24235             ,0.2719              ,0.11871             ,0.116               ,3875                ,644                 ,43                  ,0.98446             ,0.49941             
200                 ,0.28411             ,0.31706             ,0.11539             ,0.11234             ,3880                ,611                 ,45                  ,0.97811             ,0.4827              
250                 ,0.31725             ,0.35128             ,0.11269             ,0.10949             ,3881                ,582                 ,48                  ,0.96802             ,0.46618             
300                 ,0.3436              ,0.37652             ,0.1105              ,0.10734             ,3881                ,557                 ,51                  ,0.95466             ,0.45112             
350                 ,0.36498             ,0.39582             ,0.10868             ,0.10566             ,3882                ,535                 ,54                  ,0.9387              ,0.43817             
400                 ,0.3825              ,0.41057             ,0.10717             ,0.10437             ,3882                ,516                 ,58                  ,0.92102             ,0.42749             
450                 ,0.39821             ,0.42276             ,0.1058              ,0.10328             ,3883                ,499                 ,62                  ,0.90197             ,0.4194              
500                 ,0.41295             ,0.43377             ,0.1045              ,0.10229             ,3883                ,482                 ,66                  ,0.88235             ,0.41319             
550                 ,0.42662             ,0.44398             ,0.10327             ,0.10137             ,3883                ,467                 ,70                  ,0.8626              ,0.40897             
600                 ,0.43892             ,0.45274             ,0.10216             ,0.10056             ,3883                ,453                 ,75                  ,0.84234             ,0.40649             
650                 ,0.44993             ,0.46076             ,0.10115             ,0.09982             ,3883                ,440                 ,79                  ,0.82157             ,0.40563             
700                 ,0.45965             ,0.468               ,0.10025             ,0.09915             ,3883                ,429                 ,84                  ,0.80067             ,0.40578             
750                 ,0.46811             ,0.47475             ,0.09947             ,0.09852             ,3883                ,419                 ,88                  ,0.77962             ,0.40634             
