epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0.26571             ,0.2818              ,0.11687             ,0.1152              ,388                 ,3919                ,3081                ,0.82671             ,0.052               ,0.60935             ,0.20948             ,0.32411             ,0.80677             ,0.78816             ,0.16673             ,-0.00527            ,0.81706             ,0.31211             ,0.87307             
100                 ,0.30767             ,0.33294             ,0.11348             ,0.11103             ,386                 ,3931                ,3060                ,0.77266             ,0.04281             ,0.56151             ,0.17273             ,0.32119             ,0.80478             ,0.80591             ,0.17869             ,-0.0301             ,0.78451             ,0.30679             ,0.86494             
150                 ,0.34018             ,0.36692             ,0.11078             ,0.10816             ,384                 ,3937                ,3055                ,0.72779             ,0.05891             ,0.51572             ,0.13937             ,0.32355             ,0.7926              ,0.78212             ,0.17542             ,-0.05611            ,0.75243             ,0.29701             ,0.84719             
200                 ,0.42874             ,0.45205             ,0.10308             ,0.10063             ,378                 ,3944                ,3022                ,0.67166             ,0.04633             ,0.47499             ,0.09586             ,0.34576             ,0.76976             ,0.81187             ,0.18879             ,-0.09065            ,0.71155             ,0.27503             ,0.81811             
250                 ,0.49873             ,0.51563             ,0.09656             ,0.09461             ,361                 ,3949                ,3014                ,0.60771             ,0.0363              ,0.44473             ,0.03632             ,0.34802             ,0.73386             ,0.86455             ,0.20404             ,-0.14484            ,0.67586             ,0.28274             ,0.77374             
300                 ,0.54417             ,0.55168             ,0.09208             ,0.09102             ,352                 ,3947                ,3010                ,0.5568              ,0.04813             ,0.43477             ,-0.01668            ,0.31878             ,0.69523             ,0.86463             ,0.20873             ,-0.21382            ,0.65879             ,0.3076              ,0.73782             
350                 ,0.58638             ,0.58707             ,0.08771             ,0.08735             ,349                 ,3935                ,3003                ,0.52278             ,0.0787              ,0.45599             ,-0.05892            ,0.26169             ,0.66524             ,0.79931             ,0.20136             ,-0.29315            ,0.66493             ,0.34471             ,0.72989             
400                 ,0.643               ,0.63538             ,0.08149             ,0.08209             ,350                 ,3908                ,2992                ,0.50693             ,0.1119              ,0.38856             ,-0.09418            ,0.18934             ,0.63151             ,0.69785             ,0.18129             ,-0.3726             ,0.69546             ,0.39648             ,0.75776             
450                 ,0.67494             ,0.66529             ,0.07776             ,0.07865             ,357                 ,3890                ,2991                ,0.50954             ,0.12856             ,0.31005             ,-0.11046            ,0.1115              ,0.60649             ,0.58595             ,0.15314             ,-0.43635            ,0.73764             ,0.43951             ,0.80417             
500                 ,0.69687             ,0.68741             ,0.07509             ,0.076               ,366                 ,3870                ,2991                ,0.51231             ,0.12048             ,0.2543              ,-0.11343            ,0.04741             ,0.589               ,0.49434             ,0.12796             ,-0.47851            ,0.77247             ,0.46784             ,0.83455             
550                 ,0.71552             ,0.70937             ,0.07274             ,0.07329             ,374                 ,3845                ,2990                ,0.5086              ,0.10024             ,0.21582             ,-0.11113            ,0.00713             ,0.57387             ,0.42533             ,0.10854             ,-0.50921            ,0.79654             ,0.48326             ,0.84596             
600                 ,0.73507             ,0.73338             ,0.0702              ,0.07019             ,376                 ,3817                ,2988                ,0.50112             ,0.08094             ,0.16899             ,-0.10093            ,-0.02241            ,0.56737             ,0.36374             ,0.08795             ,-0.53459            ,0.81542             ,0.48929             ,0.8548              
650                 ,0.73944             ,0.73995             ,0.06962             ,0.06932             ,379                 ,3806                ,2987                ,0.48906             ,0.06133             ,0.14521             ,-0.09485            ,-0.03684            ,0.55275             ,0.31453             ,0.07338             ,-0.55264            ,0.82917             ,0.49359             ,0.84976             
700                 ,0.74139             ,0.74326             ,0.06936             ,0.06888             ,382                 ,3802                ,2987                ,0.4735              ,0.04415             ,0.14092             ,-0.0913             ,-0.04297            ,0.53501             ,0.28058             ,0.06498             ,-0.56743            ,0.83854             ,0.49422             ,0.83283             
750                 ,0.7425              ,0.74511             ,0.06921             ,0.06863             ,383                 ,3798                ,2986                ,0.45577             ,0.03063             ,0.14682             ,-0.08785            ,-0.04383            ,0.51758             ,0.26191             ,0.06047             ,-0.58009            ,0.84453             ,0.49168             ,0.81039             
800                 ,0.74329             ,0.74656             ,0.0691              ,0.06844             ,384                 ,3795                ,2986                ,0.43659             ,0.02055             ,0.15571             ,-0.08522            ,-0.04228            ,0.49976             ,0.25695             ,0.05866             ,-0.58819            ,0.84832             ,0.48855             ,0.788               
850                 ,0.74291             ,0.7441              ,0.06915             ,0.06877             ,384                 ,3790                ,2986                ,0.41683             ,0.01351             ,0.16343             ,-0.08286            ,-0.0414             ,0.48194             ,0.25805             ,0.05727             ,-0.59218            ,0.85115             ,0.48513             ,0.76591             
900                 ,0.74481             ,0.74824             ,0.0689              ,0.06821             ,384                 ,3783                ,2986                ,0.39768             ,0.00886             ,0.16669             ,-0.08196            ,-0.03938            ,0.46835             ,0.25372             ,0.05628             ,-0.59964            ,0.85363             ,0.48163             ,0.74761             
950                 ,0                   ,0                   ,0.23685             ,0.45107             ,389                 ,3777                ,2997                ,0.38287             ,0.00683             ,0.18367             ,-0.08376            ,-0.04453            ,0.45144             ,0.23243             ,0.04696             ,-0.62118            ,0.86023             ,0.48333             ,0.73661             
1000                ,0.65689             ,0.71324             ,0.07989             ,0.0728              ,379                 ,3769                ,2978                ,0.30243             ,0.03635             ,0.1629              ,-0.09645            ,-0.09886            ,0.40187             ,0.30601             ,0.02657             ,-0.5978             ,0.87062             ,0.54                ,0.78862             
1050                ,0.68058             ,0.72001             ,0.07708             ,0.07193             ,379                 ,3769                ,2978                ,0.29472             ,0.02765             ,0.16259             ,-0.10317            ,-0.10942            ,0.3965              ,0.30726             ,0.01772             ,-0.59749            ,0.87568             ,0.55142             ,0.79267             
1100                ,0.68729             ,0.72595             ,0.07627             ,0.07116             ,379                 ,3769                ,2978                ,0.28807             ,0.01886             ,0.16259             ,-0.09776            ,-0.1106             ,0.39782             ,0.30603             ,0.00919             ,-0.59749            ,0.87912             ,0.55037             ,0.7936              
1150                ,0.69018             ,0.72831             ,0.07591             ,0.07086             ,379                 ,3769                ,2978                ,0.2843              ,0.01229             ,0.16259             ,-0.09429            ,-0.11108            ,0.39854             ,0.30231             ,0.00261             ,-0.59749            ,0.88324             ,0.54971             ,0.79406             
1200                ,0.69204             ,0.73013             ,0.07568             ,0.07062             ,379                 ,3769                ,2978                ,0.28055             ,0.00779             ,0.16259             ,-0.09227            ,-0.11094            ,0.3987              ,0.29841             ,-0.00229            ,-0.59749            ,0.88696             ,0.54913             ,0.79409             
1250                ,0.69344             ,0.73141             ,0.07551             ,0.07045             ,379                 ,3769                ,2978                ,0.27609             ,0.00485             ,0.16259             ,-0.09127            ,-0.11034            ,0.39848             ,0.29495             ,-0.00575            ,-0.59749            ,0.88994             ,0.54856             ,0.79381             
1300                ,0.69459             ,0.73252             ,0.07537             ,0.07031             ,379                 ,3769                ,2978                ,0.27063             ,0.00298             ,0.16259             ,-0.09078            ,-0.10923            ,0.39814             ,0.29224             ,-0.00807            ,-0.59749            ,0.89221             ,0.5478              ,0.79323             
1350                ,0.69563             ,0.73351             ,0.07524             ,0.07018             ,379                 ,3769                ,2978                ,0.26469             ,0.00179             ,0.16259             ,-0.09111            ,-0.10795            ,0.39758             ,0.28984             ,-0.0095             ,-0.59749            ,0.89421             ,0.54725             ,0.79248             
