epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI3Alpha_0:i,GNDI3Alpha_0:j,GNDI3Alpha_0:k,GNDI3Alpha_0:alpha1_1,GNDI3Alpha_0:alpha1_2,GNDI3Alpha_0:alpha1_3,GNDI3Alpha_0:alpha1_4,GNDI3Alpha_0:alpha1_5,GNDI3Alpha_0:alpha1_6,GNDI3Alpha_0:alpha2_1,GNDI3Alpha_0:alpha2_2,GNDI3Alpha_0:alpha2_3,GNDI3Alpha_0:alpha2_4,GNDI3Alpha_0:alpha2_5,GNDI3Alpha_0:alpha2_6
50                  ,0                   ,0                   ,0.14792             ,0.14852             ,901                 ,616                 ,130                 ,0.37533             ,0.98068             ,0.04452             ,0.19673             ,0.45561             ,0.19846             ,0.37906             ,0.30793             ,0.17299             ,0.40358             ,0.43951             ,0.54764             
100                 ,0                   ,0                   ,0.14174             ,0.14176             ,880                 ,601                 ,133                 ,0.38231             ,0.96106             ,0.06957             ,0.16099             ,0.4471              ,0.22312             ,0.37847             ,0.29546             ,0.16706             ,0.41406             ,0.42495             ,0.53055             
150                 ,0.03165             ,0.0347              ,0.13421             ,0.13356             ,873                 ,589                 ,139                 ,0.37953             ,0.93757             ,0.07161             ,0.12399             ,0.43573             ,0.24338             ,0.37626             ,0.28591             ,0.17307             ,0.42431             ,0.40975             ,0.5141              
200                 ,0.22592             ,0.24758             ,0.11999             ,0.11792             ,898                 ,565                 ,149                 ,0.36847             ,0.91308             ,0.03144             ,0.07616             ,0.42455             ,0.24812             ,0.37182             ,0.2837              ,0.18222             ,0.44949             ,0.39452             ,0.50763             
250                 ,0.44497             ,0.46667             ,0.10161             ,0.09928             ,953                 ,517                 ,162                 ,0.36098             ,0.88643             ,-0.04228            ,0.0297              ,0.4136              ,0.22946             ,0.36951             ,0.2902              ,0.18056             ,0.48319             ,0.39533             ,0.51853             
300                 ,0.58985             ,0.57579             ,0.08734             ,0.08854             ,996                 ,469                 ,176                 ,0.37879             ,0.84957             ,-0.09305            ,-0.00987            ,0.4052              ,0.20205             ,0.36929             ,0.30002             ,0.16366             ,0.52646             ,0.40171             ,0.53577             
350                 ,0.64649             ,0.64089             ,0.08109             ,0.08146             ,1013                ,438                 ,190                 ,0.40879             ,0.80528             ,-0.083              ,-0.03581            ,0.38984             ,0.1818              ,0.3705              ,0.30794             ,0.13787             ,0.56084             ,0.40239             ,0.54672             
400                 ,0.66846             ,0.65676             ,0.07853             ,0.07964             ,1015                ,422                 ,202                 ,0.43403             ,0.76266             ,-0.06112            ,-0.04838            ,0.3638              ,0.16816             ,0.37356             ,0.31235             ,0.11596             ,0.58345             ,0.40039             ,0.55264             
450                 ,0.67834             ,0.66373             ,0.07735             ,0.07883             ,1011                ,415                 ,213                 ,0.44972             ,0.72137             ,-0.04532            ,-0.05536            ,0.32903             ,0.15928             ,0.38121             ,0.31719             ,0.10236             ,0.59734             ,0.39858             ,0.55463             
500                 ,0.68501             ,0.65118             ,0.07654             ,0.08029             ,1005                ,411                 ,223                 ,0.46015             ,0.68245             ,-0.03318            ,-0.05708            ,0.28932             ,0.15218             ,0.39044             ,0.32164             ,0.09451             ,0.60598             ,0.39878             ,0.55539             
