epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24
50                  ,0.22392             ,0.23963             ,0.12015             ,0.11854             ,3983                ,1141                ,585                 ,3827                ,0.28294             ,0.06845             ,0.81077             ,0.28549             ,0.85753             ,0.45379             ,0.62854             ,0.15344             ,0.3204              ,0.84598             ,0.51829             ,0.81507             ,0.70826             ,0.16957             ,0.90256             ,0.50677             ,0.64565             ,0.70606             ,0.73494             ,0.05993             ,-0.01212            ,0.38763             ,0.03217             ,0.67283             ,0.19898             ,0.20668             ,0.52863             ,0.51549             ,0.29943             ,0.38163             ,0.85625             ,0.3182              ,0.37097             ,0.59578             ,0.09293             ,0.1854              ,0.6448              ,0.24054             ,0.66884             ,0.56769             ,0.9349              ,0.25575             ,0.44944             ,0.29717             ,0.96029             ,0.15381             ,0.5225              ,0.31611             ,0.02569             ,0.16174             ,0.20026             ,0.50707             ,0.20751             ,0.17054             ,0.50527             ,0.26613             ,0.43144             ,0.49971             ,0.1802              ,0.84362             ,0.94381             ,0.31572             ,0.86915             ,0.44762             ,0.16987             ,0.28021             ,0.10574             ,0.55127             ,0.75267             ,0.94742             ,0.84877             ,0.2861              
100                 ,0.42566             ,0.45732             ,0.10336             ,0.10014             ,3974                ,1136                ,551                 ,3821                ,0.23808             ,0.10802             ,0.79363             ,0.29553             ,0.84423             ,0.446               ,0.62064             ,0.14127             ,0.3005              ,0.80956             ,0.47168             ,0.79496             ,0.69333             ,0.1658              ,0.89316             ,0.50946             ,0.63201             ,0.67826             ,0.7123              ,0.05199             ,-0.04262            ,0.34566             ,0.02106             ,0.63117             ,0.15634             ,0.15711             ,0.53642             ,0.47033             ,0.30574             ,0.36631             ,0.8442              ,0.30413             ,0.40375             ,0.6296              ,0.0257              ,0.18706             ,0.62077             ,0.19896             ,0.6901              ,0.59922             ,0.88646             ,0.2613              ,0.39837             ,0.23357             ,0.97004             ,0.10226             ,0.53272             ,0.27451             ,0.0328              ,0.16549             ,0.19218             ,0.50056             ,0.2055              ,0.19266             ,0.51329             ,0.25507             ,0.41035             ,0.49762             ,0.19752             ,0.83238             ,0.93902             ,0.3203              ,0.85535             ,0.44142             ,0.17599             ,0.25436             ,0.1339              ,0.58152             ,0.72767             ,0.94594             ,0.84321             ,0.2875              
150                 ,0.59128             ,0.62211             ,0.08719             ,0.08357             ,3970                ,1083                ,525                 ,3819                ,0.19842             ,0.13418             ,0.75108             ,0.24887             ,0.82675             ,0.45605             ,0.61488             ,0.12736             ,0.25294             ,0.75134             ,0.42257             ,0.76496             ,0.66671             ,0.16344             ,0.90102             ,0.5242              ,0.64276             ,0.64042             ,0.6557              ,0.07827             ,-0.06644            ,0.31092             ,0.02404             ,0.59353             ,0.12162             ,0.13539             ,0.51514             ,0.39377             ,0.30094             ,0.36391             ,0.84687             ,0.28134             ,0.41069             ,0.63399             ,-0.03756            ,0.1822              ,0.56046             ,0.15907             ,0.71948             ,0.60447             ,0.85155             ,0.25676             ,0.3307              ,0.17047             ,0.96168             ,0.05762             ,0.53317             ,0.23801             ,0.05098             ,0.15026             ,0.17549             ,0.49735             ,0.20732             ,0.21681             ,0.5178              ,0.23944             ,0.39336             ,0.50803             ,0.19245             ,0.823               ,0.93151             ,0.33366             ,0.83629             ,0.4336              ,0.19624             ,0.23856             ,0.15529             ,0.5999              ,0.69534             ,0.9379              ,0.83423             ,0.32523             
200                 ,0.68345             ,0.70812             ,0.07673             ,0.07344             ,3966                ,1047                ,506                 ,3819                ,0.16319             ,0.13953             ,0.7102              ,0.2225              ,0.80401             ,0.44547             ,0.60392             ,0.11779             ,0.21569             ,0.70565             ,0.38489             ,0.73408             ,0.64172             ,0.15646             ,0.9034              ,0.5209              ,0.65031             ,0.59491             ,0.61532             ,0.08455             ,-0.07987            ,0.28739             ,0.02411             ,0.55376             ,0.09265             ,0.10871             ,0.48927             ,0.33837             ,0.28665             ,0.34332             ,0.83308             ,0.25565             ,0.3937              ,0.61551             ,-0.08436            ,0.18062             ,0.5154              ,0.1231              ,0.74193             ,0.58293             ,0.81326             ,0.22835             ,0.28055             ,0.12065             ,0.94513             ,0.02007             ,0.52241             ,0.20019             ,0.07181             ,0.14526             ,0.16853             ,0.50425             ,0.20943             ,0.23729             ,0.5184              ,0.23223             ,0.37936             ,0.52055             ,0.2023              ,0.81346             ,0.92387             ,0.34691             ,0.82327             ,0.42545             ,0.21146             ,0.23514             ,0.17351             ,0.62581             ,0.66275             ,0.92996             ,0.81549             ,0.3588              
250                 ,0.70678             ,0.72672             ,0.07385             ,0.07106             ,3962                ,1011                ,495                 ,3821                ,0.1305              ,0.13044             ,0.67025             ,0.18518             ,0.77964             ,0.41516             ,0.59043             ,0.10986             ,0.18665             ,0.66174             ,0.35162             ,0.70481             ,0.62845             ,0.14483             ,0.88816             ,0.50266             ,0.64446             ,0.55126             ,0.5864              ,0.0761              ,-0.07786            ,0.27055             ,0.02448             ,0.51689             ,0.06512             ,0.0911              ,0.46115             ,0.31286             ,0.2733              ,0.31913             ,0.80551             ,0.22974             ,0.35485             ,0.5356              ,-0.10966            ,0.18128             ,0.49176             ,0.11281             ,0.71404             ,0.53086             ,0.7767              ,0.2006              ,0.26056             ,0.09867             ,0.9158              ,-0.00228            ,0.50643             ,0.18428             ,0.07928             ,0.14747             ,0.16691             ,0.50551             ,0.20901             ,0.24762             ,0.51419             ,0.23008             ,0.36919             ,0.52124             ,0.21166             ,0.80467             ,0.91588             ,0.35311             ,0.81215             ,0.42123             ,0.22244             ,0.22976             ,0.18248             ,0.63296             ,0.63464             ,0.91439             ,0.79764             ,0.36948             
300                 ,0.72471             ,0.74011             ,0.07156             ,0.0693              ,3960                ,995                 ,488                 ,3821                ,0.10208             ,0.11532             ,0.62885             ,0.14718             ,0.75563             ,0.38401             ,0.57658             ,0.10064             ,0.16386             ,0.62125             ,0.32108             ,0.67349             ,0.61627             ,0.13294             ,0.86609             ,0.47815             ,0.63026             ,0.51006             ,0.55745             ,0.06289             ,-0.07248            ,0.2553              ,0.02463             ,0.48064             ,0.04405             ,0.08947             ,0.42905             ,0.29401             ,0.26254             ,0.30033             ,0.77465             ,0.20989             ,0.31324             ,0.46562             ,-0.1248             ,0.17911             ,0.46946             ,0.1121              ,0.66879             ,0.47486             ,0.73646             ,0.17791             ,0.25371             ,0.08495             ,0.88558             ,-0.01853            ,0.49003             ,0.16958             ,0.06914             ,0.14424             ,0.16573             ,0.50689             ,0.20891             ,0.25246             ,0.50829             ,0.22693             ,0.35981             ,0.51867             ,0.21865             ,0.79582             ,0.90493             ,0.35739             ,0.79835             ,0.41693             ,0.23131             ,0.22134             ,0.1876              ,0.63621             ,0.60829             ,0.8953              ,0.77844             ,0.37261             
350                 ,0.73336             ,0.74629             ,0.07042             ,0.06847             ,3960                ,994                 ,483                 ,3821                ,0.0785              ,0.09768             ,0.58955             ,0.11522             ,0.73102             ,0.35438             ,0.56262             ,0.09218             ,0.14366             ,0.58339             ,0.29068             ,0.64142             ,0.60454             ,0.12188             ,0.83657             ,0.45258             ,0.60682             ,0.47204             ,0.52931             ,0.04824             ,-0.06559            ,0.24003             ,0.02488             ,0.44592             ,0.02921             ,0.09442             ,0.39786             ,0.28204             ,0.25487             ,0.27884             ,0.74223             ,0.19117             ,0.2713              ,0.39885             ,-0.12869            ,0.17638             ,0.45084             ,0.11653             ,0.61492             ,0.42285             ,0.6947              ,0.16021             ,0.26069             ,0.07914             ,0.85248             ,-0.03008            ,0.47206             ,0.15643             ,0.05997             ,0.13883             ,0.16775             ,0.51333             ,0.20885             ,0.25428             ,0.50184             ,0.22531             ,0.35369             ,0.51537             ,0.22406             ,0.78538             ,0.89004             ,0.36214             ,0.78259             ,0.41369             ,0.23734             ,0.2224              ,0.18994             ,0.63319             ,0.58355             ,0.87389             ,0.75907             ,0.3735              
400                 ,0.74048             ,0.75206             ,0.06948             ,0.06769             ,3959                ,995                 ,479                 ,3822                ,0.05922             ,0.08021             ,0.55207             ,0.08894             ,0.70515             ,0.32093             ,0.54774             ,0.08393             ,0.12468             ,0.54742             ,0.26084             ,0.60991             ,0.59391             ,0.11072             ,0.80377             ,0.42688             ,0.58103             ,0.43557             ,0.50392             ,0.03247             ,-0.05886            ,0.22455             ,0.02582             ,0.41256             ,0.01874             ,0.09457             ,0.36788             ,0.27582             ,0.24815             ,0.25234             ,0.70869             ,0.17224             ,0.23193             ,0.33827             ,-0.12742            ,0.17463             ,0.4363              ,0.1228              ,0.56221             ,0.37504             ,0.65451             ,0.14306             ,0.27198             ,0.07647             ,0.81856             ,-0.03936            ,0.45348             ,0.14444             ,0.05715             ,0.13352             ,0.17125             ,0.51798             ,0.20819             ,0.2555              ,0.49445             ,0.22439             ,0.34898             ,0.50985             ,0.22866             ,0.7736              ,0.87471             ,0.36582             ,0.76753             ,0.4106              ,0.24351             ,0.22806             ,0.19137             ,0.62692             ,0.55882             ,0.85149             ,0.73898             ,0.37278             
450                 ,0.75326             ,0.7616              ,0.06775             ,0.06637             ,3958                ,998                 ,474                 ,3822                ,0.04374             ,0.06457             ,0.51583             ,0.07023             ,0.67834             ,0.28926             ,0.53273             ,0.07622             ,0.10661             ,0.51456             ,0.23251             ,0.57862             ,0.58127             ,0.10063             ,0.77118             ,0.40184             ,0.55418             ,0.4007              ,0.47825             ,0.01778             ,-0.05182            ,0.20945             ,0.02831             ,0.37989             ,0.01161             ,0.09155             ,0.3386              ,0.26657             ,0.24123             ,0.22194             ,0.6758              ,0.15326             ,0.19589             ,0.28898             ,-0.12443            ,0.17279             ,0.42027             ,0.1231              ,0.51821             ,0.33184             ,0.6139              ,0.12826             ,0.28129             ,0.07072             ,0.78453             ,-0.04813            ,0.43449             ,0.12899             ,0.05491             ,0.12822             ,0.17485             ,0.52126             ,0.20797             ,0.25806             ,0.4873              ,0.22457             ,0.34455             ,0.50552             ,0.2326              ,0.76113             ,0.8592              ,0.37033             ,0.75207             ,0.40762             ,0.24912             ,0.2361              ,0.19348             ,0.62212             ,0.53453             ,0.82871             ,0.718               ,0.37288             
500                 ,0.76329             ,0.76896             ,0.06636             ,0.06534             ,3955                ,1014                ,469                 ,3821                ,0.03163             ,0.05078             ,0.48151             ,0.06132             ,0.64962             ,0.26551             ,0.51789             ,0.06889             ,0.09011             ,0.48536             ,0.20538             ,0.54829             ,0.5643              ,0.09259             ,0.74165             ,0.37821             ,0.52733             ,0.36754             ,0.4477              ,0.00992             ,-0.04348            ,0.195               ,0.03214             ,0.34805             ,0.00693             ,0.08847             ,0.31151             ,0.24602             ,0.23461             ,0.18989             ,0.64454             ,0.13483             ,0.16211             ,0.2547              ,-0.11661            ,0.17209             ,0.39913             ,0.1107              ,0.48846             ,0.29381             ,0.57378             ,0.11627             ,0.29045             ,0.05855             ,0.75048             ,-0.0551             ,0.415               ,0.10886             ,0.05585             ,0.1221              ,0.17712             ,0.52397             ,0.20863             ,0.26292             ,0.481               ,0.22529             ,0.34178             ,0.50503             ,0.23541             ,0.74735             ,0.84419             ,0.37656             ,0.73604             ,0.40525             ,0.25494             ,0.24546             ,0.19827             ,0.61782             ,0.51238             ,0.80374             ,0.69715             ,0.37618             
550                 ,0.76876             ,0.77302             ,0.06558             ,0.06477             ,3952                ,1031                ,463                 ,3821                ,0.02238             ,0.03864             ,0.44881             ,0.0588              ,0.61976             ,0.24296             ,0.50254             ,0.06189             ,0.07353             ,0.46006             ,0.17929             ,0.51932             ,0.54678             ,0.08492             ,0.71127             ,0.35552             ,0.49756             ,0.33591             ,0.41663             ,0.00571             ,-0.03543            ,0.18067             ,0.03659             ,0.31767             ,0.00388             ,0.08139             ,0.28628             ,0.22461             ,0.22904             ,0.15893             ,0.61312             ,0.1158              ,0.13105             ,0.22633             ,-0.10575            ,0.17163             ,0.38066             ,0.09367             ,0.463               ,0.25919             ,0.53424             ,0.10721             ,0.2988              ,0.0445              ,0.71655             ,-0.06037            ,0.39754             ,0.09164             ,0.05915             ,0.1165              ,0.17772             ,0.52221             ,0.20891             ,0.26741             ,0.47452             ,0.22647             ,0.33957             ,0.50432             ,0.23779             ,0.73271             ,0.83039             ,0.38189             ,0.72081             ,0.40299             ,0.25879             ,0.25085             ,0.20406             ,0.61322             ,0.49192             ,0.7777              ,0.67581             ,0.37625             
600                 ,0.77251             ,0.77602             ,0.06505             ,0.06433             ,3950                ,1047                ,458                 ,3821                ,0.01547             ,0.02846             ,0.41741             ,0.05938             ,0.59005             ,0.22117             ,0.48692             ,0.05474             ,0.05517             ,0.43817             ,0.15526             ,0.4908              ,0.52965             ,0.07729             ,0.67864             ,0.33315             ,0.46654             ,0.30589             ,0.38646             ,0.00233             ,-0.02909            ,0.16651             ,0.04074             ,0.28885             ,0.00204             ,0.07232             ,0.26225             ,0.20526             ,0.22446             ,0.13171             ,0.5814              ,0.09674             ,0.10416             ,0.2004              ,-0.09334            ,0.16997             ,0.36651             ,0.07646             ,0.43692             ,0.22678             ,0.4958              ,0.10118             ,0.30598             ,0.03076             ,0.68426             ,-0.06476            ,0.38118             ,0.07855             ,0.05953             ,0.10959             ,0.17767             ,0.51851             ,0.20933             ,0.27122             ,0.46795             ,0.22596             ,0.33527             ,0.50185             ,0.23963             ,0.71763             ,0.81672             ,0.38593             ,0.7055              ,0.39969             ,0.26123             ,0.25218             ,0.20958             ,0.60855             ,0.47038             ,0.75177             ,0.6544              ,0.37159             
650                 ,0.77609             ,0.77973             ,0.06453             ,0.0638              ,3947                ,1049                ,452                 ,3821                ,0.01045             ,0.02044             ,0.38729             ,0.06301             ,0.56153             ,0.19911             ,0.47128             ,0.04771             ,0.03576             ,0.41923             ,0.13286             ,0.46242             ,0.51312             ,0.06991             ,0.6445              ,0.31082             ,0.43362             ,0.27757             ,0.35966             ,-0.00105            ,-0.0245             ,0.15309             ,0.0441              ,0.26161             ,0.00106             ,0.05991             ,0.2393              ,0.18966             ,0.2201              ,0.10561             ,0.54992             ,0.07746             ,0.08205             ,0.17795             ,-0.08227            ,0.16691             ,0.35792             ,0.05901             ,0.41197             ,0.19616             ,0.45698             ,0.09827             ,0.30819             ,0.01782             ,0.65312             ,-0.06908            ,0.3656              ,0.06732             ,0.05693             ,0.1025              ,0.17754             ,0.51356             ,0.21107             ,0.27468             ,0.46178             ,0.22363             ,0.32777             ,0.49732             ,0.24201             ,0.70243             ,0.80304             ,0.38884             ,0.69088             ,0.39456             ,0.26119             ,0.25133             ,0.21509             ,0.60501             ,0.44611             ,0.72674             ,0.63311             ,0.36448             
