epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4Alpha_0:i,GNDI4Alpha_0:j,GNDI4Alpha_0:k,GNDI4Alpha_0:l,GNDI4Alpha_0:alpha1_1,GNDI4Alpha_0:alpha1_2,GNDI4Alpha_0:alpha1_3,GNDI4Alpha_0:alpha1_4,GNDI4Alpha_0:alpha1_5,GNDI4Alpha_0:alpha1_6,GNDI4Alpha_0:alpha1_7,GNDI4Alpha_0:alpha1_8,GNDI4Alpha_0:alpha1_9,GNDI4Alpha_0:alpha1_10,GNDI4Alpha_0:alpha1_11,GNDI4Alpha_0:alpha1_12,GNDI4Alpha_0:alpha1_13,GNDI4Alpha_0:alpha1_14,GNDI4Alpha_0:alpha1_15,GNDI4Alpha_0:alpha1_16,GNDI4Alpha_0:alpha1_17,GNDI4Alpha_0:alpha1_18,GNDI4Alpha_0:alpha1_19,GNDI4Alpha_0:alpha1_20,GNDI4Alpha_0:alpha1_21,GNDI4Alpha_0:alpha1_22,GNDI4Alpha_0:alpha1_23,GNDI4Alpha_0:alpha1_24,GNDI4Alpha_0:alpha2_1,GNDI4Alpha_0:alpha2_2,GNDI4Alpha_0:alpha2_3,GNDI4Alpha_0:alpha2_4,GNDI4Alpha_0:alpha2_5,GNDI4Alpha_0:alpha2_6,GNDI4Alpha_0:alpha2_7,GNDI4Alpha_0:alpha2_8,GNDI4Alpha_0:alpha2_9,GNDI4Alpha_0:alpha2_10,GNDI4Alpha_0:alpha2_11,GNDI4Alpha_0:alpha2_12,GNDI4Alpha_0:alpha2_13,GNDI4Alpha_0:alpha2_14,GNDI4Alpha_0:alpha2_15,GNDI4Alpha_0:alpha2_16,GNDI4Alpha_0:alpha2_17,GNDI4Alpha_0:alpha2_18,GNDI4Alpha_0:alpha2_19,GNDI4Alpha_0:alpha2_20,GNDI4Alpha_0:alpha2_21,GNDI4Alpha_0:alpha2_22,GNDI4Alpha_0:alpha2_23,GNDI4Alpha_0:alpha2_24,GNDI4Alpha_0:alpha3_1,GNDI4Alpha_0:alpha3_2,GNDI4Alpha_0:alpha3_3,GNDI4Alpha_0:alpha3_4,GNDI4Alpha_0:alpha3_5,GNDI4Alpha_0:alpha3_6,GNDI4Alpha_0:alpha3_7,GNDI4Alpha_0:alpha3_8,GNDI4Alpha_0:alpha3_9,GNDI4Alpha_0:alpha3_10,GNDI4Alpha_0:alpha3_11,GNDI4Alpha_0:alpha3_12,GNDI4Alpha_0:alpha3_13,GNDI4Alpha_0:alpha3_14,GNDI4Alpha_0:alpha3_15,GNDI4Alpha_0:alpha3_16,GNDI4Alpha_0:alpha3_17,GNDI4Alpha_0:alpha3_18,GNDI4Alpha_0:alpha3_19,GNDI4Alpha_0:alpha3_20,GNDI4Alpha_0:alpha3_21,GNDI4Alpha_0:alpha3_22,GNDI4Alpha_0:alpha3_23,GNDI4Alpha_0:alpha3_24
50                  ,0                   ,0                   ,0.13705             ,0.13676             ,3127                ,2517                ,3992                ,3638                ,0.55636             ,0.99838             ,0.66172             ,0.16217             ,0.81147             ,0.8584              ,0.69335             ,0.04633             ,0.38835             ,0.23195             ,0.19054             ,0.24246             ,0.87837             ,0.36726             ,0.89011             ,0.43786             ,0.51926             ,0.1073              ,0.15711             ,0.73042             ,0.49507             ,0.33802             ,0.10347             ,0.89494             ,0.67761             ,0.86045             ,0.11671             ,0.02392             ,0.60237             ,0.20221             ,0.02658             ,0.85722             ,0.28843             ,0.83492             ,0.91663             ,0.45066             ,0.78446             ,0.9381              ,0.13311             ,0.56019             ,0.53781             ,0.66225             ,0.02422             ,0.04172             ,0.22202             ,0.77906             ,0.08936             ,0.69512             ,1.00935             ,0.84979             ,0.33379             ,0.31969             ,0.27249             ,0.46132             ,0.23546             ,0.71705             ,0.83918             ,0.23324             ,0.48482             ,0.80229             ,0.89273             ,0.59327             ,0.05844             ,0.49959             ,0.30213             ,0.60926             ,0.66069             ,0.17203             ,0.74429             ,0.1703              ,0.02891             ,0.45561             
100                 ,0                   ,0                   ,0.13654             ,0.13617             ,3127                ,2510                ,3982                ,3640                ,0.55503             ,0.98994             ,0.64712             ,0.14241             ,0.80996             ,0.8505              ,0.64394             ,0.04352             ,0.38623             ,0.23206             ,0.19009             ,0.24245             ,0.87628             ,0.36641             ,0.8686              ,0.43632             ,0.5193              ,0.10857             ,0.13407             ,0.71417             ,0.49116             ,0.33731             ,0.07463             ,0.89106             ,0.67327             ,0.85007             ,0.11566             ,0.02262             ,0.60106             ,0.19889             ,0.02759             ,0.8313              ,0.2861              ,0.79544             ,0.91088             ,0.45001             ,0.78183             ,0.93038             ,0.1329              ,0.51449             ,0.53785             ,0.64875             ,0.02473             ,0.04213             ,0.21918             ,0.76649             ,0.06321             ,0.68721             ,1.00704             ,0.84621             ,0.33377             ,0.32017             ,0.27245             ,0.46185             ,0.23731             ,0.70544             ,0.83807             ,0.23369             ,0.48548             ,0.80084             ,0.89152             ,0.59295             ,0.06085             ,0.49922             ,0.30209             ,0.60842             ,0.66011             ,0.17298             ,0.74328             ,0.1704              ,0.02779             ,0.45512             
150                 ,0.00064             ,0                   ,0.13634             ,0.13595             ,3127                ,2501                ,3972                ,3641                ,0.55272             ,0.97784             ,0.62884             ,0.11923             ,0.80761             ,0.83967             ,0.59681             ,0.04192             ,0.38234             ,0.23129             ,0.18857             ,0.24289             ,0.87347             ,0.36543             ,0.84221             ,0.43312             ,0.5193              ,0.10629             ,0.1091              ,0.69399             ,0.48581             ,0.33619             ,0.05102             ,0.88611             ,0.66783             ,0.8362              ,0.11415             ,0.02165             ,0.59892             ,0.19375             ,0.02681             ,0.7994              ,0.28427             ,0.75423             ,0.90437             ,0.44857             ,0.77846             ,0.92038             ,0.13146             ,0.47006             ,0.53784             ,0.63531             ,0.02548             ,0.0422              ,0.21577             ,0.75046             ,0.04204             ,0.67716             ,1.00345             ,0.84032             ,0.33358             ,0.31977             ,0.27192             ,0.46159             ,0.23763             ,0.69247             ,0.83553             ,0.23344             ,0.48533             ,0.79952             ,0.88982             ,0.59264             ,0.06211             ,0.49753             ,0.30209             ,0.60332             ,0.65894             ,0.17368             ,0.74166             ,0.17031             ,0.02696             ,0.45454             
200                 ,0.00376             ,0.00323             ,0.13613             ,0.13572             ,3127                ,2489                ,3962                ,3641                ,0.54982             ,0.96395             ,0.6082              ,0.09707             ,0.80476             ,0.82689             ,0.55177             ,0.04034             ,0.37762             ,0.2303              ,0.18668             ,0.24344             ,0.87012             ,0.36433             ,0.81314             ,0.42926             ,0.51929             ,0.1035              ,0.08584             ,0.67125             ,0.47953             ,0.33487             ,0.03268             ,0.88028             ,0.66114             ,0.81952             ,0.11243             ,0.02042             ,0.59632             ,0.1875              ,0.02574             ,0.76471             ,0.28227             ,0.71297             ,0.89674             ,0.44681             ,0.77446             ,0.90858             ,0.12964             ,0.42728             ,0.53784             ,0.61984             ,0.02601             ,0.04219             ,0.21161             ,0.73205             ,0.02604             ,0.66547             ,0.99908             ,0.8333              ,0.33337             ,0.31917             ,0.27123             ,0.46115             ,0.23789             ,0.67783             ,0.83234             ,0.2331              ,0.48501             ,0.79805             ,0.88784             ,0.59229             ,0.06338             ,0.4954              ,0.30209             ,0.59712             ,0.65755             ,0.17443             ,0.73976             ,0.17023             ,0.02609             ,0.45391             
250                 ,0.00726             ,0.00707             ,0.13589             ,0.13546             ,3127                ,2479                ,3951                ,3638                ,0.54636             ,0.94863             ,0.58589             ,0.07726             ,0.80147             ,0.81248             ,0.50873             ,0.03867             ,0.37232             ,0.22915             ,0.18446             ,0.24406             ,0.8663              ,0.36308             ,0.78252             ,0.42497             ,0.51928             ,0.1003              ,0.06544             ,0.64675             ,0.47248             ,0.33337             ,0.01964             ,0.87367             ,0.6532              ,0.80001             ,0.11056             ,0.01906             ,0.59327             ,0.18014             ,0.02441             ,0.7283              ,0.27993             ,0.67231             ,0.88803             ,0.44485             ,0.76995             ,0.89524             ,0.12764             ,0.38688             ,0.53784             ,0.60255             ,0.02613             ,0.04214             ,0.20671             ,0.71184             ,0.01507             ,0.65235             ,0.99399             ,0.82534             ,0.33314             ,0.31836             ,0.27043             ,0.4606              ,0.23826             ,0.66205             ,0.82861             ,0.2327              ,0.48456             ,0.79641             ,0.88562             ,0.5919              ,0.06485             ,0.49294             ,0.30209             ,0.59018             ,0.65604             ,0.17525             ,0.73761             ,0.17015             ,0.02517             ,0.45321             
300                 ,0.0122              ,0.01235             ,0.13555             ,0.1351              ,3127                ,2475                ,3939                ,3629                ,0.54236             ,0.93203             ,0.56239             ,0.06041             ,0.79764             ,0.79651             ,0.46765             ,0.03667             ,0.36661             ,0.22786             ,0.1817              ,0.2449              ,0.86209             ,0.3617              ,0.75106             ,0.42038             ,0.51928             ,0.09612             ,0.04829             ,0.62102             ,0.46475             ,0.33167             ,0.01109             ,0.86637             ,0.64389             ,0.77673             ,0.10859             ,0.01802             ,0.5896              ,0.17134             ,0.02262             ,0.69062             ,0.27682             ,0.63266             ,0.87837             ,0.44277             ,0.76509             ,0.88039             ,0.12563             ,0.34987             ,0.53783             ,0.58389             ,0.02576             ,0.04201             ,0.20093             ,0.69023             ,0.0081              ,0.63789             ,0.98819             ,0.8169              ,0.33287             ,0.31721             ,0.26948             ,0.45989             ,0.23892             ,0.64585             ,0.82429             ,0.23217             ,0.48388             ,0.79468             ,0.88324             ,0.59155             ,0.06662             ,0.49007             ,0.30209             ,0.58234             ,0.65441             ,0.17609             ,0.73522             ,0.17006             ,0.02431             ,0.45242             
350                 ,0.01906             ,0.01958             ,0.13508             ,0.1346              ,3127                ,2474                ,3924                ,3617                ,0.5377              ,0.91417             ,0.53812             ,0.04675             ,0.79312             ,0.77892             ,0.42854             ,0.03435             ,0.36048             ,0.22643             ,0.17808             ,0.24615             ,0.85756             ,0.36019             ,0.71933             ,0.41557             ,0.51927             ,0.09038             ,0.03455             ,0.59443             ,0.45648             ,0.32982             ,0.00589             ,0.85849             ,0.63284             ,0.74771             ,0.10664             ,0.01802             ,0.58506             ,0.16047             ,0.01993             ,0.65137             ,0.27215             ,0.59437             ,0.86776             ,0.44059             ,0.76002             ,0.86384             ,0.12374             ,0.31793             ,0.53783             ,0.56424             ,0.02461             ,0.04178             ,0.19397             ,0.6675              ,0.00389             ,0.62214             ,0.9815              ,0.80926             ,0.33256             ,0.31538             ,0.26828             ,0.45885             ,0.24006             ,0.63093             ,0.81906             ,0.23145             ,0.48279             ,0.79297             ,0.88079             ,0.59132             ,0.06891             ,0.4866              ,0.30209             ,0.57341             ,0.65277             ,0.17688             ,0.73267             ,0.16997             ,0.02364             ,0.45158             
400                 ,0.02803             ,0.02915             ,0.13446             ,0.13394             ,3127                ,2473                ,3902                ,3617                ,0.53228             ,0.89565             ,0.51338             ,0.03649             ,0.78809             ,0.76014             ,0.39137             ,0.03198             ,0.35456             ,0.2249              ,0.17391             ,0.2476              ,0.85273             ,0.35862             ,0.68749             ,0.41053             ,0.51926             ,0.08392             ,0.02399             ,0.56732             ,0.44767             ,0.32778             ,0.00295             ,0.84999             ,0.61976             ,0.71235             ,0.10462             ,0.01869             ,0.5799              ,0.14798             ,0.01601             ,0.61101             ,0.26659             ,0.55749             ,0.85652             ,0.43833             ,0.75468             ,0.84619             ,0.12174             ,0.288               ,0.53783             ,0.54368             ,0.02257             ,0.04141             ,0.18605             ,0.64396             ,0.00155             ,0.60531             ,0.97392             ,0.80267             ,0.33218             ,0.31308             ,0.26688             ,0.45763             ,0.24193             ,0.6175              ,0.81307             ,0.23057             ,0.48133             ,0.79122             ,0.87816             ,0.59118             ,0.07141             ,0.48281             ,0.30209             ,0.5635              ,0.65112             ,0.17773             ,0.72994             ,0.16984             ,0.02311             ,0.45066             
450                 ,0.03688             ,0.03839             ,0.13384             ,0.1333              ,3127                ,2473                ,3892                ,3617                ,0.52596             ,0.87586             ,0.48843             ,0.02941             ,0.78268             ,0.74051             ,0.35616             ,0.0295              ,0.34959             ,0.2233              ,0.16944             ,0.24911             ,0.84757             ,0.35693             ,0.65579             ,0.4053              ,0.51925             ,0.07751             ,0.0162              ,0.53999             ,0.43837             ,0.32553             ,0.00139             ,0.84081             ,0.60412             ,0.66921             ,0.1025              ,0.01956             ,0.57443             ,0.13395             ,0.01072             ,0.56937             ,0.26057             ,0.52203             ,0.845               ,0.43621             ,0.74906             ,0.82798             ,0.11967             ,0.25807             ,0.53783             ,0.52192             ,0.01931             ,0.04089             ,0.17683             ,0.61989             ,0.00039             ,0.58751             ,0.96551             ,0.79604             ,0.33174             ,0.3106              ,0.26539             ,0.45656             ,0.24501             ,0.60523             ,0.80665             ,0.22963             ,0.47972             ,0.78929             ,0.8753              ,0.59106             ,0.07413             ,0.47899             ,0.30209             ,0.55303             ,0.64953             ,0.17884             ,0.727               ,0.16962             ,0.02261             ,0.44961             
500                 ,0.04658             ,0.04844             ,0.13317             ,0.13261             ,3127                ,2473                ,3884                ,3618                ,0.51875             ,0.85459             ,0.46361             ,0.02444             ,0.77699             ,0.72031             ,0.32291             ,0.02692             ,0.3449              ,0.22159             ,0.1648              ,0.25053             ,0.84208             ,0.35515             ,0.62441             ,0.39987             ,0.51924             ,0.07128             ,0.01074             ,0.51266             ,0.4287              ,0.3231              ,0.00062             ,0.83117             ,0.58586             ,0.61956             ,0.10042             ,0.02064             ,0.56863             ,0.11889             ,0.00428             ,0.52675             ,0.25346             ,0.48776             ,0.83278             ,0.43404             ,0.74304             ,0.80895             ,0.11757             ,0.23032             ,0.53782             ,0.49972             ,0.0146              ,0.04035             ,0.16632             ,0.59545             ,-0.00016            ,0.56931             ,0.95613             ,0.79074             ,0.33126             ,0.30786             ,0.26386             ,0.45549             ,0.24904             ,0.59536             ,0.79967             ,0.22864             ,0.47795             ,0.78725             ,0.87216             ,0.59093             ,0.07701             ,0.47519             ,0.30209             ,0.54243             ,0.64811             ,0.18                ,0.72395             ,0.16937             ,0.02218             ,0.44849             
