epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.38526             ,0.40655             ,0.10693             ,0.10472             ,3616                ,2063                ,1009                ,326                 ,0.62441             ,0.06535             ,0.7279              
100                 ,0.52868             ,0.55446             ,0.09363             ,0.09074             ,3614                ,2068                ,995                 ,347                 ,0.598               ,0.00165             ,0.70943             
150                 ,0.64073             ,0.66131             ,0.08175             ,0.07911             ,3592                ,2082                ,997                 ,364                 ,0.58403             ,-0.00447            ,0.68237             
200                 ,0.70192             ,0.71157             ,0.07446             ,0.07301             ,3571                ,2095                ,997                 ,374                 ,0.56566             ,-0.0076             ,0.6575              
250                 ,0.73879             ,0.73798             ,0.0697              ,0.06958             ,3550                ,2105                ,994                 ,379                 ,0.55618             ,-0.01892            ,0.64994             
300                 ,0.75239             ,0.74862             ,0.06786             ,0.06816             ,3525                ,2109                ,1001                ,381                 ,0.5596              ,-0.02483            ,0.65359             
350                 ,0.76279             ,0.75938             ,0.06642             ,0.06668             ,3492                ,2109                ,1012                ,381                 ,0.55652             ,-0.02485            ,0.65729             
400                 ,0.76889             ,0.76664             ,0.06556             ,0.06567             ,3468                ,2106                ,1021                ,382                 ,0.55332             ,-0.02482            ,0.65789             
450                 ,0.77164             ,0.76968             ,0.06517             ,0.06524             ,3458                ,2094                ,1025                ,382                 ,0.54989             ,-0.02476            ,0.65793             
500                 ,0.77732             ,0.7752              ,0.06436             ,0.06445             ,3455                ,2052                ,1024                ,383                 ,0.5462              ,-0.02467            ,0.65749             
550                 ,0.78721             ,0.78598             ,0.06291             ,0.06289             ,3452                ,2023                ,1024                ,383                 ,0.54229             ,-0.02452            ,0.65607             
600                 ,0.78941             ,0.78848             ,0.06259             ,0.06252             ,3450                ,2023                ,1024                ,383                 ,0.53811             ,-0.02436            ,0.65445             
650                 ,0.79115             ,0.7901              ,0.06233             ,0.06228             ,3450                ,2023                ,1024                ,383                 ,0.53349             ,-0.0242             ,0.65292             
700                 ,0.79261             ,0.79128             ,0.06211             ,0.0621              ,3450                ,2023                ,1023                ,383                 ,0.5286              ,-0.02403            ,0.65152             
750                 ,0.79386             ,0.79241             ,0.06192             ,0.06194             ,3450                ,2023                ,1021                ,384                 ,0.52341             ,-0.02383            ,0.65011             
800                 ,0.79491             ,0.79343             ,0.06176             ,0.06178             ,3450                ,2023                ,1021                ,384                 ,0.51808             ,-0.02364            ,0.64893             
850                 ,0.7958              ,0.79434             ,0.06163             ,0.06165             ,3450                ,2023                ,1021                ,384                 ,0.51266             ,-0.02346            ,0.64768             
900                 ,0.79657             ,0.79508             ,0.06151             ,0.06154             ,3450                ,2023                ,1021                ,384                 ,0.50714             ,-0.0233             ,0.64634             
950                 ,0.79723             ,0.7957              ,0.06141             ,0.06144             ,3450                ,2023                ,1021                ,385                 ,0.50148             ,-0.02314            ,0.64501             
1000                ,0.79791             ,0.79629             ,0.06131             ,0.06136             ,3450                ,2023                ,1021                ,385                 ,0.49568             ,-0.02299            ,0.64341             
1050                ,0.79856             ,0.7967              ,0.06121             ,0.06129             ,3450                ,2023                ,1021                ,385                 ,0.48974             ,-0.02285            ,0.64174             
