epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.05138             ,0.05723             ,0.13283             ,0.13199             ,2555                ,77                  ,760                 ,1453                ,0.4553              ,0.89205             ,0.12625             
100                 ,0.09651             ,0.10582             ,0.12964             ,0.12855             ,2510                ,81                  ,724                 ,1472                ,0.44164             ,0.85177             ,0.1339              
150                 ,0.15655             ,0.17091             ,0.12525             ,0.12378             ,2468                ,86                  ,688                 ,1495                ,0.4273              ,0.7976              ,0.14554             
200                 ,0.22867             ,0.24836             ,0.11978             ,0.11786             ,2465                ,92                  ,650                 ,1504                ,0.41281             ,0.7365              ,0.15871             
250                 ,0.34012             ,0.36962             ,0.11079             ,0.10793             ,2456                ,98                  ,612                 ,1471                ,0.39592             ,0.6766              ,0.16801             
300                 ,0.45534             ,0.48221             ,0.10065             ,0.09782             ,2420                ,104                 ,571                 ,1376                ,0.38308             ,0.6335              ,0.16706             
350                 ,0.52806             ,0.53795             ,0.09369             ,0.0924              ,2408                ,110                 ,541                 ,1299                ,0.36606             ,0.59595             ,0.15687             
400                 ,0.58219             ,0.57782             ,0.08816             ,0.08833             ,2408                ,114                 ,517                 ,1217                ,0.35934             ,0.56482             ,0.1594              
450                 ,0.63228             ,0.61989             ,0.0827              ,0.08381             ,2421                ,117                 ,498                 ,1141                ,0.3592              ,0.53659             ,0.17733             
500                 ,0.68549             ,0.67645             ,0.07649             ,0.07732             ,2423                ,120                 ,479                 ,1076                ,0.35881             ,0.51385             ,0.1997              
550                 ,0.7054              ,0.69561             ,0.07403             ,0.075               ,2413                ,123                 ,466                 ,1029                ,0.36227             ,0.49775             ,0.21619             
600                 ,0.71403             ,0.70456             ,0.07293             ,0.07389             ,2366                ,126                 ,458                 ,997                 ,0.36395             ,0.48632             ,0.22498             
650                 ,0.71967             ,0.70966             ,0.07221             ,0.07325             ,2340                ,129                 ,452                 ,977                 ,0.36603             ,0.47557             ,0.23147             
700                 ,0.72386             ,0.71227             ,0.07167             ,0.07292             ,2337                ,132                 ,446                 ,966                 ,0.36902             ,0.46472             ,0.23743             
750                 ,0.72736             ,0.71487             ,0.07121             ,0.07259             ,2337                ,134                 ,440                 ,961                 ,0.3716              ,0.45375             ,0.24291             
800                 ,0.73026             ,0.71755             ,0.07083             ,0.07225             ,2337                ,137                 ,434                 ,961                 ,0.37327             ,0.44368             ,0.24756             
850                 ,0.73256             ,0.7198              ,0.07053             ,0.07196             ,2337                ,140                 ,429                 ,962                 ,0.37463             ,0.43369             ,0.25176             
900                 ,0.73462             ,0.72197             ,0.07026             ,0.07168             ,2337                ,143                 ,424                 ,962                 ,0.3754              ,0.42322             ,0.25543             
950                 ,0.73652             ,0.72357             ,0.07001             ,0.07147             ,2337                ,146                 ,418                 ,962                 ,0.37533             ,0.412               ,0.25889             
1000                ,0.7382              ,0.72533             ,0.06978             ,0.07124             ,2337                ,149                 ,413                 ,962                 ,0.37489             ,0.40123             ,0.26205             
1050                ,0.73965             ,0.72677             ,0.06959             ,0.07106             ,2337                ,152                 ,407                 ,962                 ,0.37323             ,0.39066             ,0.26458             
1100                ,0.74081             ,0.7277              ,0.06943             ,0.07094             ,2337                ,155                 ,402                 ,962                 ,0.37159             ,0.37985             ,0.2672              
1150                ,0.74185             ,0.72806             ,0.06929             ,0.07089             ,2337                ,158                 ,398                 ,962                 ,0.37007             ,0.36911             ,0.27025             
1200                ,0.74302             ,0.72878             ,0.06914             ,0.0708              ,2337                ,162                 ,394                 ,963                 ,0.36809             ,0.36065             ,0.27382             
1250                ,0.74383             ,0.72995             ,0.06903             ,0.07064             ,2337                ,166                 ,392                 ,970                 ,0.36517             ,0.35304             ,0.27665             
1300                ,0.74465             ,0.73132             ,0.06892             ,0.07046             ,2337                ,171                 ,390                 ,976                 ,0.36152             ,0.34662             ,0.27911             
1350                ,0.74554             ,0.73171             ,0.0688              ,0.07041             ,2337                ,176                 ,387                 ,978                 ,0.35744             ,0.33884             ,0.28174             
1400                ,0.74648             ,0.73245             ,0.06867             ,0.07032             ,2337                ,181                 ,386                 ,978                 ,0.35293             ,0.32933             ,0.28437             
1450                ,0.74742             ,0.73294             ,0.06854             ,0.07025             ,2337                ,187                 ,385                 ,978                 ,0.34713             ,0.31936             ,0.28672             
1500                ,0.74836             ,0.73359             ,0.06842             ,0.07016             ,2337                ,193                 ,384                 ,978                 ,0.34086             ,0.30913             ,0.28927             
1550                ,0.74918             ,0.73417             ,0.0683              ,0.07009             ,2337                ,200                 ,384                 ,978                 ,0.33418             ,0.29779             ,0.29178             
1600                ,0.74985             ,0.73488             ,0.06821             ,0.06999             ,2337                ,207                 ,384                 ,978                 ,0.32708             ,0.28627             ,0.29401             
1650                ,0.75034             ,0.73563             ,0.06815             ,0.0699              ,2337                ,214                 ,384                 ,979                 ,0.31968             ,0.2758              ,0.29587             
1700                ,0.75073             ,0.73597             ,0.06809             ,0.06985             ,2337                ,221                 ,384                 ,983                 ,0.31203             ,0.26488             ,0.29761             
1750                ,0.75105             ,0.7366              ,0.06805             ,0.06977             ,2337                ,227                 ,383                 ,990                 ,0.30436             ,0.25501             ,0.29946             
1800                ,0.75135             ,0.73701             ,0.06801             ,0.06971             ,2337                ,234                 ,381                 ,992                 ,0.29678             ,0.24482             ,0.30128             
1850                ,0.75151             ,0.73714             ,0.06799             ,0.0697              ,2337                ,240                 ,381                 ,992                 ,0.28949             ,0.23271             ,0.30346             
1900                ,0.75161             ,0.73714             ,0.06797             ,0.0697              ,2337                ,246                 ,380                 ,992                 ,0.28235             ,0.22113             ,0.3057              
1950                ,0.75162             ,0.73758             ,0.06797             ,0.06964             ,2337                ,252                 ,380                 ,992                 ,0.27482             ,0.21071             ,0.30761             
2000                ,0.75164             ,0.73755             ,0.06797             ,0.06964             ,2337                ,259                 ,380                 ,992                 ,0.26742             ,0.20033             ,0.30959             
2050                ,0.75161             ,0.73774             ,0.06797             ,0.06962             ,2337                ,265                 ,380                 ,992                 ,0.26013             ,0.19081             ,0.31151             
2100                ,0.7516              ,0.73765             ,0.06797             ,0.06963             ,2337                ,271                 ,380                 ,992                 ,0.25298             ,0.1813              ,0.31365             
2150                ,0.75157             ,0.73809             ,0.06798             ,0.06957             ,2338                ,277                 ,380                 ,992                 ,0.24586             ,0.17222             ,0.31595             
2200                ,0.75152             ,0.7382              ,0.06798             ,0.06956             ,2338                ,283                 ,380                 ,992                 ,0.2389              ,0.1628              ,0.31812             
2250                ,0.75148             ,0.73824             ,0.06799             ,0.06955             ,2338                ,289                 ,380                 ,992                 ,0.23225             ,0.1537              ,0.32049             
2300                ,0.75141             ,0.73827             ,0.068               ,0.06955             ,2338                ,295                 ,381                 ,992                 ,0.22561             ,0.14513             ,0.3227              
2350                ,0.75132             ,0.73832             ,0.06801             ,0.06954             ,2338                ,301                 ,381                 ,992                 ,0.21929             ,0.13702             ,0.32498             
