epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.04483             ,0.05036             ,0.13329             ,0.13247             ,1616                ,4159                ,1785                ,2415                ,0.79675             ,0.77645             ,0.89973             
100                 ,0.05351             ,0.05794             ,0.13268             ,0.13194             ,1618                ,4157                ,1827                ,2460                ,0.79366             ,0.74264             ,0.89713             
150                 ,0.05924             ,0.06306             ,0.13228             ,0.13158             ,1638                ,4155                ,1862                ,2470                ,0.78768             ,0.69851             ,0.89153             
200                 ,0.06447             ,0.06787             ,0.13191             ,0.13125             ,1690                ,4153                ,1883                ,2471                ,0.78228             ,0.64833             ,0.8865              
250                 ,0.07699             ,0.07979             ,0.13103             ,0.1304              ,1738                ,4151                ,1946                ,2471                ,0.77557             ,0.59442             ,0.88007             
300                 ,0.30628             ,0.31345             ,0.11359             ,0.11264             ,1762                ,4149                ,2023                ,2484                ,0.74862             ,0.4719              ,0.8449              
350                 ,0.51138             ,0.52879             ,0.09533             ,0.09332             ,1755                ,4147                ,2020                ,2611                ,0.73061             ,0.35022             ,0.83118             
400                 ,0.58546             ,0.60582             ,0.08781             ,0.08535             ,1749                ,4146                ,2018                ,2649                ,0.71845             ,0.27542             ,0.83281             
450                 ,0.61961             ,0.63964             ,0.08412             ,0.0816              ,1749                ,4145                ,2017                ,2647                ,0.708               ,0.2312              ,0.82887             
500                 ,0.65661             ,0.67897             ,0.07992             ,0.07702             ,1749                ,4144                ,2016                ,2647                ,0.7014              ,0.20001             ,0.82501             
550                 ,0.67784             ,0.7002              ,0.07741             ,0.07443             ,1749                ,4143                ,2016                ,2647                ,0.69798             ,0.19552             ,0.82351             
600                 ,0.69766             ,0.71797             ,0.07499             ,0.07219             ,1749                ,4142                ,2015                ,2647                ,0.69432             ,0.19728             ,0.8202              
650                 ,0.71379             ,0.73176             ,0.07296             ,0.07041             ,1749                ,4141                ,2015                ,2647                ,0.68911             ,0.19332             ,0.81552             
700                 ,0.72649             ,0.74211             ,0.07133             ,0.06903             ,1749                ,4141                ,2015                ,2647                ,0.68323             ,0.18527             ,0.81236             
750                 ,0.73606             ,0.74959             ,0.07007             ,0.06803             ,1749                ,4141                ,2015                ,2647                ,0.67657             ,0.17445             ,0.8093              
800                 ,0.74297             ,0.75516             ,0.06914             ,0.06727             ,1749                ,4140                ,2015                ,2647                ,0.66961             ,0.16323             ,0.80638             
850                 ,0.74801             ,0.7594              ,0.06846             ,0.06668             ,1753                ,4140                ,2015                ,2647                ,0.6622              ,0.14972             ,0.80471             
900                 ,0.75218             ,0.76253             ,0.06789             ,0.06624             ,1753                ,4140                ,2015                ,2647                ,0.65489             ,0.13883             ,0.80337             
