epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.16845             ,0.18336             ,0.12437             ,0.12285             ,1961                ,3550                ,1643                ,245                 ,0.38773             ,0.02728             ,0.82045             
100                 ,0.22651             ,0.24359             ,0.11995             ,0.11823             ,2018                ,3579                ,1644                ,259                 ,0.38209             ,-0.0071             ,0.8293              
150                 ,0.2881              ,0.30876             ,0.11507             ,0.11302             ,2020                ,3601                ,1644                ,274                 ,0.37336             ,-0.04804            ,0.8396              
200                 ,0.33885             ,0.36237             ,0.1109              ,0.10855             ,2021                ,3611                ,1636                ,291                 ,0.36548             ,-0.05813            ,0.8476              
250                 ,0.36429             ,0.38953             ,0.10874             ,0.10621             ,2006                ,3618                ,1635                ,299                 ,0.37849             ,-0.07343            ,0.84617             
300                 ,0.3859              ,0.4119              ,0.10688             ,0.10425             ,2007                ,3619                ,1636                ,299                 ,0.37871             ,-0.07364            ,0.84343             
350                 ,0.43137             ,0.45788             ,0.10284             ,0.10009             ,2008                ,3619                ,1636                ,299                 ,0.37875             ,-0.07365            ,0.82911             
400                 ,0.53129             ,0.55207             ,0.09337             ,0.09098             ,2009                ,3619                ,1636                ,299                 ,0.37883             ,-0.07365            ,0.79303             
450                 ,0.59561             ,0.60413             ,0.08673             ,0.08553             ,2010                ,3619                ,1629                ,299                 ,0.37895             ,-0.0737             ,0.77044             
500                 ,0.62172             ,0.62433             ,0.08388             ,0.08332             ,2012                ,3619                ,1596                ,299                 ,0.3791              ,-0.07379            ,0.76786             
550                 ,0.63527             ,0.63328             ,0.08237             ,0.08232             ,2013                ,3619                ,1516                ,299                 ,0.37918             ,-0.07385            ,0.76667             
600                 ,0.64213             ,0.63797             ,0.08159             ,0.08179             ,2015                ,3619                ,1432                ,299                 ,0.3792              ,-0.07386            ,0.76589             
650                 ,0.64737             ,0.643               ,0.08099             ,0.08122             ,2016                ,3619                ,1361                ,299                 ,0.3792              ,-0.07386            ,0.76526             
700                 ,0.65226             ,0.64788             ,0.08042             ,0.08067             ,2017                ,3619                ,1291                ,299                 ,0.37918             ,-0.07386            ,0.76482             
750                 ,0.65845             ,0.65354             ,0.07971             ,0.08002             ,2018                ,3619                ,1214                ,299                 ,0.37916             ,-0.07385            ,0.76426             
800                 ,0.66681             ,0.66005             ,0.07872             ,0.07926             ,2019                ,3619                ,1131                ,299                 ,0.37914             ,-0.07384            ,0.76379             
850                 ,0.67316             ,0.66563             ,0.07797             ,0.07861             ,2019                ,3619                ,1069                ,299                 ,0.3791              ,-0.07382            ,0.76333             
900                 ,0.67665             ,0.66861             ,0.07755             ,0.07826             ,2020                ,3619                ,1036                ,299                 ,0.37908             ,-0.07382            ,0.7627              
950                 ,0.67843             ,0.6698              ,0.07734             ,0.07811             ,2020                ,3619                ,1027                ,299                 ,0.37908             ,-0.07382            ,0.76188             
1000                ,0.67963             ,0.67072             ,0.07719             ,0.07801             ,2020                ,3620                ,1027                ,299                 ,0.37907             ,-0.07382            ,0.76102             
1050                ,0.68063             ,0.6716              ,0.07707             ,0.0779              ,2021                ,3620                ,1027                ,299                 ,0.37907             ,-0.07382            ,0.76014             
1100                ,0.68199             ,0.67347             ,0.07691             ,0.07768             ,2021                ,3620                ,1027                ,299                 ,0.37907             ,-0.07383            ,0.75917             
1150                ,0.6832              ,0.67499             ,0.07676             ,0.0775              ,2021                ,3620                ,1027                ,299                 ,0.37908             ,-0.07384            ,0.7582              
1200                ,0.6843              ,0.67603             ,0.07663             ,0.07737             ,2021                ,3620                ,1027                ,299                 ,0.37909             ,-0.07385            ,0.75726             
1250                ,0.68532             ,0.67708             ,0.07651             ,0.07725             ,2021                ,3620                ,1026                ,299                 ,0.3791              ,-0.07386            ,0.75637             
1300                ,0.68634             ,0.67815             ,0.07638             ,0.07712             ,2021                ,3620                ,1022                ,299                 ,0.3791              ,-0.07388            ,0.75553             
1350                ,0.68725             ,0.67925             ,0.07627             ,0.07699             ,2021                ,3620                ,1022                ,299                 ,0.37911             ,-0.07389            ,0.75469             
1400                ,0.68808             ,0.68015             ,0.07617             ,0.07688             ,2021                ,3620                ,1022                ,299                 ,0.37912             ,-0.07391            ,0.75388             
1450                ,0.68882             ,0.68099             ,0.07608             ,0.07678             ,2021                ,3620                ,1021                ,299                 ,0.37913             ,-0.07392            ,0.75309             
1500                ,0.68946             ,0.68157             ,0.076               ,0.07671             ,2021                ,3620                ,1021                ,300                 ,0.37914             ,-0.07394            ,0.75248             
1550                ,0.68997             ,0.68216             ,0.07594             ,0.07664             ,2021                ,3621                ,1021                ,300                 ,0.37915             ,-0.07396            ,0.75187             
1600                ,0.69069             ,0.68262             ,0.07585             ,0.07658             ,2021                ,3621                ,1021                ,300                 ,0.37916             ,-0.07397            ,0.75091             
1650                ,0.69128             ,0.68308             ,0.07578             ,0.07653             ,2021                ,3621                ,1021                ,300                 ,0.37917             ,-0.07399            ,0.75039             
1700                ,0.69177             ,0.68352             ,0.07572             ,0.07647             ,2020                ,3621                ,1021                ,300                 ,0.37918             ,-0.07401            ,0.74981             
1750                ,0.69238             ,0.68408             ,0.07564             ,0.07641             ,2020                ,3621                ,1021                ,300                 ,0.37918             ,-0.07402            ,0.7491              
1800                ,0.69271             ,0.6848              ,0.0756              ,0.07632             ,2020                ,3621                ,1021                ,300                 ,0.37919             ,-0.07404            ,0.7486              
1850                ,0.69345             ,0.68542             ,0.07551             ,0.07624             ,2020                ,3621                ,1021                ,300                 ,0.3792              ,-0.07405            ,0.74781             
1900                ,0.69397             ,0.68569             ,0.07545             ,0.07621             ,2020                ,3621                ,1021                ,300                 ,0.3792              ,-0.07406            ,0.74712             
1950                ,0.69451             ,0.68626             ,0.07538             ,0.07614             ,2020                ,3622                ,1021                ,300                 ,0.37921             ,-0.07408            ,0.74645             
2000                ,0.69503             ,0.68684             ,0.07532             ,0.07607             ,2020                ,3622                ,1021                ,300                 ,0.37921             ,-0.07409            ,0.74576             
2050                ,0.69552             ,0.6873              ,0.07526             ,0.07602             ,2020                ,3622                ,1021                ,300                 ,0.37922             ,-0.0741             ,0.74501             
2100                ,0.69601             ,0.68776             ,0.0752              ,0.07596             ,2020                ,3622                ,1021                ,300                 ,0.37922             ,-0.07412            ,0.74427             
2150                ,0.69653             ,0.68837             ,0.07513             ,0.07589             ,2020                ,3622                ,1021                ,300                 ,0.37922             ,-0.07413            ,0.74348             
2200                ,0.69691             ,0.68893             ,0.07508             ,0.07582             ,2020                ,3623                ,1021                ,300                 ,0.37922             ,-0.07414            ,0.74273             
2250                ,0.69754             ,0.68933             ,0.07501             ,0.07577             ,2020                ,3623                ,1021                ,301                 ,0.37921             ,-0.07415            ,0.74171             
2300                ,0.6987              ,0.69113             ,0.07486             ,0.07555             ,2018                ,3624                ,1023                ,301                 ,0.38147             ,-0.07602            ,0.76681             
2350                ,0.6994              ,0.69178             ,0.07478             ,0.07547             ,2018                ,3624                ,1021                ,301                 ,0.38155             ,-0.07609            ,0.76721             
2400                ,0.69992             ,0.69221             ,0.07471             ,0.07542             ,2019                ,3624                ,1021                ,302                 ,0.38154             ,-0.0761             ,0.76674             
2450                ,0.70042             ,0.69274             ,0.07465             ,0.07535             ,2019                ,3625                ,1021                ,302                 ,0.38152             ,-0.0761             ,0.76625             
