epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.20785             ,0.22326             ,0.12139             ,0.11981             ,2816                ,91                  ,1831                ,3453                ,0.96288             ,0.7084              ,0.22435             
100                 ,0.32319             ,0.34421             ,0.1122              ,0.11009             ,2826                ,97                  ,1833                ,3454                ,0.96647             ,0.66584             ,0.21334             
150                 ,0.42239             ,0.44264             ,0.10365             ,0.10149             ,2841                ,103                 ,1833                ,3454                ,0.97256             ,0.61157             ,0.19078             
200                 ,0.50152             ,0.5121              ,0.09629             ,0.09495             ,2872                ,108                 ,1827                ,3453                ,0.98238             ,0.56135             ,0.16823             
250                 ,0.54983             ,0.5395              ,0.09151             ,0.09225             ,2933                ,112                 ,1808                ,3450                ,0.99474             ,0.53645             ,0.16483             
300                 ,0.59893             ,0.58478             ,0.08637             ,0.0876              ,2993                ,115                 ,1783                ,3450                ,1.00834             ,0.54667             ,0.18875             
350                 ,0.64873             ,0.63928             ,0.08083             ,0.08165             ,2986                ,118                 ,1769                ,3450                ,1.02494             ,0.56597             ,0.22172             
400                 ,0.69248             ,0.68789             ,0.07563             ,0.07595             ,2978                ,120                 ,1770                ,3450                ,1.03984             ,0.58474             ,0.25251             
450                 ,0.71827             ,0.71577             ,0.07239             ,0.07247             ,2972                ,122                 ,1770                ,3450                ,1.0502              ,0.60224             ,0.27873             
500                 ,0.73293             ,0.7316              ,0.07048             ,0.07043             ,2968                ,123                 ,1770                ,3450                ,1.05463             ,0.61693             ,0.29888             
550                 ,0.74097             ,0.73951             ,0.06941             ,0.06938             ,2966                ,125                 ,1770                ,3449                ,1.05488             ,0.6287              ,0.31503             
600                 ,0.7469              ,0.74549             ,0.06861             ,0.06858             ,2965                ,127                 ,1770                ,3449                ,1.04988             ,0.63768             ,0.32676             
650                 ,0.75378             ,0.75242             ,0.06767             ,0.06764             ,2966                ,129                 ,1769                ,3392                ,1.04301             ,0.64348             ,0.33633             
700                 ,0.75801             ,0.75717             ,0.06709             ,0.06699             ,2965                ,131                 ,1769                ,3396                ,1.03496             ,0.64645             ,0.34484             
750                 ,0.76081             ,0.76017             ,0.0667              ,0.06657             ,2965                ,133                 ,1769                ,3395                ,1.02503             ,0.64775             ,0.35166             
