features,samples,r2_train,r2_validation,r2_test,rmse_train,rmse_validation,rmse_test,csv_file,sis
4200,21782,0.77,0.76,0.76,0.06,0.07,0.07,results\1708000359746749.csv,GNDI4:1
4200,21782,0.81,0.80,0.80,0.06,0.06,0.06,results\1708000540717992.csv,GNDI4:1
4200,21782,0.81,0.82,0.78,0.06,0.06,0.07,results\1708000744232405.csv,GNDI4:1
4200,21782,0.76,0.74,0.74,0.07,0.07,0.07,results\170800094723511.csv,GNDI4:1
4200,21782,0.75,0.74,0.74,0.07,0.07,0.07,results\1708001146498684.csv,GNDI4:1
4200,21782,0.83,0.83,0.83,0.06,0.06,0.06,results\1708001344154214.csv,GNDI4:1
4200,21782,0.73,0.72,0.71,0.07,0.07,0.08,results\1708001541346751.csv,GNDI4:1
4200,21782,0.76,0.74,0.74,0.07,0.07,0.07,results\1708001742011919.csv,GNDI4:1
4200,21782,0.83,0.83,0.85,0.06,0.06,0.05,results\1708001939998616.csv,GNDI4:1
4200,21782,0.80,0.79,0.80,0.06,0.06,0.06,results\1708002135751123.csv,GNDI4:1
