epoch,train_r2,validation_r2,train_rmse,validation_rmse,GNDI4_0:i,GNDI4_0:j,GNDI4_0:k,GNDI4_0:l,GNDI4_0:alpha1,GNDI4_0:alpha2,GNDI4_0:alpha3
50                  ,0.01814             ,0.01948             ,0.13514             ,0.13461             ,2654                ,3416                ,2794                ,1864                ,0.0692              ,0.09483             ,0.23227             
100                 ,0.02095             ,0.02251             ,0.13495             ,0.1344              ,2654                ,3417                ,2818                ,1867                ,0.06958             ,0.08878             ,0.23514             
150                 ,0.02546             ,0.02712             ,0.13464             ,0.13408             ,2654                ,3417                ,2864                ,1871                ,0.06961             ,0.08009             ,0.23886             
200                 ,0.03248             ,0.03437             ,0.13415             ,0.13358             ,2654                ,3425                ,2926                ,1874                ,0.06976             ,0.06758             ,0.2441              
250                 ,0.04547             ,0.04751             ,0.13325             ,0.13267             ,2655                ,3452                ,2978                ,1880                ,0.06974             ,0.04916             ,0.25126             
300                 ,0.05913             ,0.06156             ,0.13229             ,0.13169             ,2655                ,3460                ,2976                ,1889                ,0.06987             ,0.02061             ,0.26228             
350                 ,0.07837             ,0.08134             ,0.13093             ,0.13029             ,2655                ,3460                ,2976                ,1914                ,0.06834             ,-0.02041            ,0.27698             
400                 ,0.12836             ,0.13183             ,0.12733             ,0.12666             ,2655                ,3460                ,2959                ,2020                ,0.06335             ,-0.08038            ,0.29675             
450                 ,0.18039             ,0.18596             ,0.12347             ,0.12265             ,2655                ,3460                ,2958                ,2017                ,0.05401             ,-0.17285            ,0.32595             
500                 ,0.24939             ,0.25802             ,0.11816             ,0.1171              ,2654                ,3460                ,2958                ,2017                ,0.04568             ,-0.27863            ,0.36089             
550                 ,0.32922             ,0.34265             ,0.1117              ,0.11022             ,2654                ,3460                ,2956                ,2017                ,0.05896             ,-0.3877             ,0.39879             
600                 ,0.40778             ,0.42837             ,0.10496             ,0.10278             ,2654                ,3460                ,2956                ,2017                ,0.11766             ,-0.49199            ,0.43641             
650                 ,0.4893              ,0.5184              ,0.09746             ,0.09434             ,2654                ,3452                ,2958                ,2018                ,0.19157             ,-0.58646            ,0.47338             
700                 ,0.62163             ,0.65371             ,0.08389             ,0.08                ,2654                ,3423                ,2961                ,2016                ,0.24872             ,-0.66541            ,0.50848             
750                 ,0.69294             ,0.72369             ,0.07557             ,0.07146             ,2654                ,3385                ,2961                ,2016                ,0.27465             ,-0.69001            ,0.52664             
800                 ,0.74761             ,0.76619             ,0.06852             ,0.06573             ,2654                ,3385                ,2962                ,2020                ,0.31009             ,-0.69118            ,0.53482             
850                 ,0.78338             ,0.79128             ,0.06348             ,0.0621              ,2654                ,3385                ,2962                ,2022                ,0.3364              ,-0.71168            ,0.54852             
900                 ,0.80199             ,0.80555             ,0.06069             ,0.05994             ,2654                ,3384                ,2961                ,2022                ,0.36111             ,-0.73797            ,0.56165             
950                 ,0.8116              ,0.81323             ,0.0592              ,0.05875             ,2654                ,3377                ,2962                ,2022                ,0.38277             ,-0.76679            ,0.5736              
1000                ,0.81681             ,0.81666             ,0.05837             ,0.05821             ,2654                ,3378                ,2962                ,2022                ,0.39348             ,-0.78777            ,0.58227             
1050                ,0.8199              ,0.81856             ,0.05788             ,0.0579              ,2654                ,3378                ,2962                ,2022                ,0.40295             ,-0.80215            ,0.58835             
