epoch,train_r2,validation_r2,train_rmse,validation_rmse,BI_0:i,BI_1:i,BI_2:i,DI_0:i,DI_0:j,DI_1:i,DI_1:j,DI_2:i,DI_2:j,NDI_0:i,NDI_0:j,NDI_1:i,NDI_1:j,NDI_2:i,NDI_2:j,SNDI_0:i,SNDI_0:j,SNDI_0:alpha,SNDI_1:i,SNDI_1:j,SNDI_1:alpha,SNDI_2:i,SNDI_2:j,SNDI_2:alpha,MNDI_0:i,MNDI_0:j,MNDI_0:k,MNDI_0:alpha,MNDI_1:i,MNDI_1:j,MNDI_1:k,MNDI_1:alpha,MNDI_2:i,MNDI_2:j,MNDI_2:k,MNDI_2:alpha
50                  ,0.22992             ,0.23488             ,0.11968             ,0.11891             ,33                  ,2841                ,1158                ,2146                ,2020                ,3803                ,926                 ,2407                ,2544                ,2308                ,634                 ,4197                ,1047                ,1057                ,878                 ,2166                ,3555                ,0.16516             ,2798                ,2824                ,0.74667             ,938                 ,226                 ,0.23119             ,367                 ,2252                ,422                 ,0.7746              ,2195                ,2375                ,2917                ,0.50529             ,267                 ,1796                ,1103                ,0.49613             
100                 ,0.48391             ,0.49573             ,0.09798             ,0.09653             ,34                  ,2823                ,1195                ,2194                ,2022                ,3787                ,959                 ,2370                ,2619                ,2305                ,646                 ,4197                ,1076                ,1094                ,840                 ,2200                ,3524                ,0.14226             ,2767                ,2806                ,0.76006             ,968                 ,237                 ,0.23884             ,388                 ,2178                ,441                 ,0.79719             ,2251                ,2342                ,2873                ,0.51762             ,285                 ,1793                ,1158                ,0.46794             
150                 ,0.68996             ,0.70408             ,0.07594             ,0.07395             ,36                  ,2807                ,1219                ,2244                ,2022                ,3776                ,995                 ,2275                ,2653                ,2301                ,652                 ,4196                ,1056                ,1072                ,788                 ,2208                ,3485                ,0.12757             ,2745                ,2758                ,0.74016             ,992                 ,248                 ,0.25713             ,395                 ,2103                ,451                 ,0.83576             ,2323                ,2259                ,2829                ,0.53419             ,304                 ,1799                ,1222                ,0.43115             
200                 ,0.76639             ,0.77176             ,0.06592             ,0.06494             ,38                  ,2774                ,1233                ,2262                ,2022                ,3773                ,1016                ,2239                ,2651                ,2301                ,662                 ,4196                ,1021                ,1026                ,768                 ,2201                ,3453                ,0.12259             ,2730                ,2705                ,0.72074             ,1010                ,260                 ,0.27411             ,395                 ,2014                ,455                 ,0.83089             ,2340                ,2253                ,2795                ,0.52853             ,316                 ,1823                ,1267                ,0.39336             
250                 ,0.7893              ,0.79109             ,0.0626              ,0.06213             ,40                  ,2721                ,1251                ,2231                ,2021                ,3774                ,1032                ,2266                ,2650                ,2301                ,673                 ,4196                ,1001                ,1008                ,777                 ,2186                ,3421                ,0.12009             ,2711                ,2650                ,0.70268             ,1034                ,271                 ,0.2798              ,394                 ,2022                ,465                 ,0.79982             ,2328                ,2269                ,2767                ,0.51494             ,322                 ,1817                ,1296                ,0.35807             
300                 ,0.79968             ,0.80036             ,0.06104             ,0.06074             ,42                  ,2677                ,1273                ,2211                ,2021                ,3773                ,1053                ,2267                ,2650                ,2301                ,684                 ,4196                ,998                 ,1015                ,790                 ,2175                ,3389                ,0.11707             ,2689                ,2630                ,0.68556             ,1061                ,284                 ,0.27724             ,395                 ,2023                ,478                 ,0.77312             ,2321                ,2269                ,2730                ,0.50627             ,329                 ,1818                ,1319                ,0.33107             
350                 ,0.80688             ,0.80655             ,0.05993             ,0.05979             ,44                  ,2647                ,1297                ,2211                ,2021                ,3773                ,1076                ,2266                ,2649                ,2309                ,694                 ,4196                ,1002                ,1033                ,801                 ,2162                ,3359                ,0.11175             ,2688                ,2620                ,0.66795             ,1091                ,298                 ,0.27033             ,396                 ,2023                ,496                 ,0.7534              ,2321                ,2269                ,2699                ,0.5024              ,337                 ,1818                ,1342                ,0.31123             
400                 ,0.81125             ,0.8115              ,0.05925             ,0.05902             ,46                  ,2646                ,1324                ,2216                ,2021                ,3767                ,1105                ,2267                ,2649                ,2322                ,704                 ,4195                ,1002                ,1054                ,814                 ,2147                ,3330                ,0.10848             ,2690                ,2609                ,0.64938             ,1121                ,312                 ,0.26106             ,397                 ,2023                ,518                 ,0.75069             ,2321                ,2269                ,2664                ,0.4961              ,345                 ,1818                ,1363                ,0.28843             
450                 ,0.81457             ,0.81541             ,0.05873             ,0.0584              ,48                  ,2646                ,1354                ,2215                ,2021                ,3765                ,1132                ,2267                ,2646                ,2323                ,713                 ,4195                ,1003                ,1078                ,828                 ,2131                ,3303                ,0.10776             ,2690                ,2593                ,0.62825             ,1151                ,327                 ,0.25092             ,399                 ,2023                ,540                 ,0.73822             ,2321                ,2269                ,2644                ,0.49277             ,353                 ,1818                ,1383                ,0.27099             
500                 ,0.81712             ,0.81824             ,0.05832             ,0.05796             ,50                  ,2646                ,1386                ,2215                ,2021                ,3765                ,1154                ,2267                ,2646                ,2323                ,720                 ,4195                ,1003                ,1106                ,840                 ,2119                ,3275                ,0.10628             ,2691                ,2570                ,0.6075              ,1182                ,342                 ,0.24134             ,400                 ,2023                ,560                 ,0.72253             ,2321                ,2269                ,2642                ,0.4885              ,361                 ,1818                ,1403                ,0.25672             
