epoch,train_r2,validation_r2,train_rmse,validation_rmse,BI_0:i,BI_1:i,BI_2:i,DI_0:i,DI_0:j,DI_1:i,DI_1:j,DI_2:i,DI_2:j,NDI_0:i,NDI_0:j,NDI_1:i,NDI_1:j,NDI_2:i,NDI_2:j,SNDI_0:i,SNDI_0:j,SNDI_0:alpha,SNDI_1:i,SNDI_1:j,SNDI_1:alpha,SNDI_2:i,SNDI_2:j,SNDI_2:alpha,MNDI_0:i,MNDI_0:j,MNDI_0:k,MNDI_0:alpha,MNDI_1:i,MNDI_1:j,MNDI_1:k,MNDI_1:alpha,MNDI_2:i,MNDI_2:j,MNDI_2:k,MNDI_2:alpha
50                  ,0.1555              ,0                   ,0.12533             ,0.35046             ,611                 ,2664                ,2243                ,1193                ,1235                ,699                 ,3931                ,2411                ,1396                ,3275                ,472                 ,797                 ,3030                ,709                 ,51                  ,2230                ,3081                ,0.71312             ,711                 ,3773                ,0.72423             ,1983                ,3496                ,0.44674             ,2890                ,2479                ,3778                ,0.70183             ,1412                ,1944                ,3719                ,0.41679             ,431                 ,109                 ,494                 ,0.44341             
100                 ,0.54625             ,0.48574             ,0.09187             ,0.09749             ,629                 ,2658                ,2220                ,1228                ,1263                ,667                 ,3942                ,2371                ,1399                ,3221                ,441                 ,754                 ,3020                ,755                 ,55                  ,2227                ,3060                ,0.69052             ,669                 ,3748                ,0.70769             ,2016                ,3465                ,0.47688             ,2833                ,2434                ,3803                ,0.75292             ,1422                ,1925                ,3695                ,0.39077             ,439                 ,114                 ,526                 ,0.4582              
150                 ,0.69021             ,0.40776             ,0.07591             ,0.10461             ,634                 ,2656                ,2216                ,1263                ,1296                ,654                 ,3942                ,2347                ,1399                ,3182                ,421                 ,727                 ,3019                ,788                 ,58                  ,2211                ,3070                ,0.67157             ,646                 ,3719                ,0.7064              ,2018                ,3454                ,0.49958             ,2788                ,2405                ,3816                ,0.81284             ,1429                ,1925                ,3681                ,0.39362             ,450                 ,116                 ,543                 ,0.46403             
200                 ,0.76363             ,0.67862             ,0.06631             ,0.07706             ,638                 ,2655                ,2216                ,1291                ,1337                ,662                 ,3935                ,2348                ,1398                ,3151                ,411                 ,723                 ,3019                ,810                 ,60                  ,2147                ,3079                ,0.64339             ,645                 ,3704                ,0.70376             ,2021                ,3447                ,0.50396             ,2768                ,2408                ,3813                ,0.85214             ,1416                ,1924                ,3665                ,0.39142             ,449                 ,116                 ,546                 ,0.46185             
250                 ,0.79655             ,0                   ,0.06152             ,0.13866             ,657                 ,2652                ,2215                ,1319                ,1378                ,680                 ,3925                ,2348                ,1398                ,3123                ,403                 ,731                 ,3019                ,821                 ,63                  ,2074                ,3065                ,0.62847             ,655                 ,3710                ,0.69131             ,2021                ,3442                ,0.52004             ,2767                ,2454                ,3808                ,0.86281             ,1393                ,1913                ,3645                ,0.39781             ,449                 ,117                 ,553                 ,0.47599             
300                 ,0.81655             ,0.7921              ,0.05841             ,0.06198             ,691                 ,2649                ,2195                ,1355                ,1410                ,703                 ,3915                ,2348                ,1398                ,3131                ,399                 ,742                 ,3019                ,826                 ,66                  ,2066                ,3009                ,0.61668             ,664                 ,3723                ,0.67622             ,2020                ,3441                ,0.54469             ,2765                ,2477                ,3807                ,0.86202             ,1392                ,1896                ,3614                ,0.42104             ,450                 ,119                 ,561                 ,0.4814              
350                 ,0.83134             ,0.82651             ,0.05601             ,0.05662             ,728                 ,2647                ,2159                ,1395                ,1441                ,732                 ,3906                ,2307                ,1398                ,3131                ,396                 ,757                 ,3019                ,832                 ,69                  ,2120                ,3005                ,0.60428             ,669                 ,3731                ,0.65936             ,2019                ,3432                ,0.56248             ,2765                ,2477                ,3808                ,0.8622              ,1400                ,1877                ,3615                ,0.46197             ,454                 ,121                 ,567                 ,0.48124             
400                 ,0.8416              ,0.84725             ,0.05428             ,0.05313             ,765                 ,2644                ,2140                ,1433                ,1473                ,761                 ,3897                ,2241                ,1398                ,3131                ,394                 ,773                 ,3019                ,839                 ,71                  ,2133                ,2999                ,0.59311             ,671                 ,3732                ,0.64161             ,2018                ,3420                ,0.57618             ,2755                ,2477                ,3806                ,0.86601             ,1396                ,1864                ,3614                ,0.4975              ,460                 ,124                 ,574                 ,0.47932             
450                 ,0.8378              ,0.83369             ,0.05493             ,0.05544             ,801                 ,2616                ,2141                ,1472                ,1505                ,791                 ,3886                ,2141                ,1407                ,3132                ,394                 ,790                 ,3018                ,847                 ,74                  ,2135                ,2997                ,0.58524             ,671                 ,3731                ,0.62297             ,2018                ,3411                ,0.58549             ,2737                ,2477                ,3804                ,0.86675             ,1409                ,1883                ,3615                ,0.50454             ,465                 ,125                 ,583                 ,0.48042             
500                 ,0.83579             ,0.82828             ,0.05527             ,0.05633             ,836                 ,2568                ,2140                ,1511                ,1536                ,819                 ,3875                ,2139                ,1438                ,3132                ,396                 ,805                 ,3018                ,857                 ,77                  ,2139                ,2996                ,0.58135             ,671                 ,3731                ,0.61204             ,2015                ,3407                ,0.59577             ,2719                ,2482                ,3800                ,0.86865             ,1422                ,1884                ,3614                ,0.51183             ,458                 ,123                 ,591                 ,0.49706             
550                 ,0.84211             ,0.83528             ,0.05419             ,0.05517             ,873                 ,2520                ,2142                ,1548                ,1567                ,844                 ,3863                ,2142                ,1458                ,3132                ,395                 ,817                 ,3018                ,869                 ,80                  ,2139                ,2993                ,0.57958             ,675                 ,3731                ,0.6023              ,2018                ,3407                ,0.59924             ,2703                ,2482                ,3799                ,0.87101             ,1428                ,1884                ,3614                ,0.5088              ,458                 ,123                 ,591                 ,0.49718             
600                 ,0.84786             ,0.84471             ,0.0532              ,0.05357             ,908                 ,2500                ,2141                ,1584                ,1597                ,874                 ,3849                ,2143                ,1483                ,3132                ,394                 ,831                 ,3018                ,880                 ,84                  ,2138                ,2991                ,0.57429             ,676                 ,3730                ,0.59524             ,2018                ,3406                ,0.60483             ,2687                ,2482                ,3790                ,0.87346             ,1435                ,1884                ,3614                ,0.50656             ,458                 ,123                 ,591                 ,0.4972              
650                 ,0.85478             ,0.85349             ,0.05197             ,0.05203             ,942                 ,2461                ,2141                ,1619                ,1627                ,905                 ,3836                ,2141                ,1509                ,3133                ,393                 ,847                 ,3018                ,892                 ,87                  ,2138                ,2988                ,0.56813             ,675                 ,3729                ,0.58978             ,2018                ,3406                ,0.61064             ,2661                ,2482                ,3775                ,0.8784              ,1442                ,1884                ,3614                ,0.50233             ,458                 ,123                 ,591                 ,0.4972              
700                 ,0.85786             ,0.85759             ,0.05142             ,0.0513              ,975                 ,2397                ,2140                ,1653                ,1657                ,938                 ,3821                ,2141                ,1534                ,3133                ,393                 ,865                 ,3017                ,904                 ,91                  ,2138                ,2986                ,0.56268             ,674                 ,3729                ,0.58314             ,2018                ,3406                ,0.61516             ,2636                ,2482                ,3759                ,0.88684             ,1450                ,1883                ,3614                ,0.49791             ,458                 ,123                 ,591                 ,0.49719             
750                 ,0.8597              ,0.86016             ,0.05108             ,0.05084             ,1008                ,2340                ,2141                ,1685                ,1685                ,972                 ,3805                ,2141                ,1556                ,3133                ,393                 ,884                 ,3017                ,916                 ,94                  ,2138                ,2984                ,0.55868             ,671                 ,3729                ,0.57545             ,2018                ,3406                ,0.61745             ,2615                ,2482                ,3756                ,0.89263             ,1450                ,1883                ,3614                ,0.49902             ,458                 ,123                 ,591                 ,0.49719             
800                 ,0.86108             ,0.86189             ,0.05083             ,0.05052             ,1041                ,2302                ,2141                ,1716                ,1713                ,1007                ,3789                ,2141                ,1577                ,3134                ,392                 ,904                 ,3017                ,928                 ,98                  ,2138                ,2982                ,0.55354             ,669                 ,3729                ,0.56826             ,2018                ,3406                ,0.61994             ,2595                ,2482                ,3755                ,0.89484             ,1450                ,1883                ,3614                ,0.50153             ,458                 ,123                 ,591                 ,0.49719             
850                 ,0.86224             ,0.86303             ,0.05062             ,0.05031             ,1073                ,2266                ,2141                ,1745                ,1739                ,1043                ,3772                ,2141                ,1597                ,3134                ,392                 ,924                 ,3016                ,940                 ,102                 ,2138                ,2981                ,0.54723             ,667                 ,3729                ,0.56154             ,2018                ,3406                ,0.6232              ,2575                ,2482                ,3751                ,0.8965              ,1450                ,1883                ,3614                ,0.50174             ,458                 ,123                 ,591                 ,0.4972              
900                 ,0.86349             ,0.8643              ,0.05039             ,0.05008             ,1105                ,2230                ,2141                ,1774                ,1765                ,1078                ,3756                ,2141                ,1619                ,3134                ,392                 ,944                 ,3016                ,953                 ,106                 ,2138                ,2980                ,0.54093             ,666                 ,3729                ,0.55429             ,2017                ,3406                ,0.62641             ,2554                ,2482                ,3751                ,0.89599             ,1450                ,1883                ,3614                ,0.50473             ,458                 ,123                 ,591                 ,0.4972              
950                 ,0.8647              ,0.8654              ,0.05017             ,0.04987             ,1137                ,2187                ,2141                ,1801                ,1789                ,1114                ,3738                ,2141                ,1643                ,3135                ,393                 ,965                 ,3016                ,965                 ,110                 ,2138                ,2978                ,0.53386             ,666                 ,3728                ,0.54747             ,2018                ,3406                ,0.62989             ,2533                ,2482                ,3750                ,0.89469             ,1450                ,1884                ,3614                ,0.50679             ,458                 ,123                 ,591                 ,0.49721             
1000                ,0.86577             ,0.86652             ,0.04997             ,0.04966             ,1168                ,2153                ,2141                ,1826                ,1813                ,1149                ,3721                ,2141                ,1673                ,3135                ,393                 ,986                 ,3015                ,978                 ,115                 ,2138                ,2977                ,0.52747             ,666                 ,3726                ,0.54051             ,2017                ,3406                ,0.63276             ,2529                ,2482                ,3750                ,0.89286             ,1450                ,1883                ,3614                ,0.50735             ,458                 ,123                 ,591                 ,0.49721             
1050                ,0.86677             ,0.86754             ,0.04978             ,0.04948             ,1200                ,2136                ,2141                ,1850                ,1835                ,1184                ,3703                ,2141                ,1697                ,3135                ,393                 ,1008                ,3015                ,990                 ,120                 ,2138                ,2977                ,0.52164             ,667                 ,3726                ,0.53354             ,2017                ,3406                ,0.63501             ,2529                ,2482                ,3750                ,0.89115             ,1450                ,1884                ,3614                ,0.50729             ,458                 ,123                 ,591                 ,0.49722             
1100                ,0.86774             ,0.86852             ,0.0496              ,0.04929             ,1232                ,2136                ,2141                ,1873                ,1857                ,1219                ,3684                ,2141                ,1717                ,3135                ,393                 ,1031                ,3015                ,1003                ,124                 ,2138                ,2976                ,0.51579             ,667                 ,3725                ,0.52674             ,2017                ,3406                ,0.63722             ,2529                ,2482                ,3750                ,0.88985             ,1450                ,1884                ,3614                ,0.50774             ,458                 ,123                 ,591                 ,0.49722             
